"Plot Title: 21474964"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474964, SEN S/N: 21474964)","Coupler Detached (LGR S/N: 21474964)","Bad Battery (LGR S/N: 21474964)","End Of File (LGR S/N: 21474964)"
1,08/19/22 08:58:12 AM,14.709,,,
2,08/19/22 08:58:41 AM,,Logged,,
3,08/19/22 10:58:12 AM,14.134,,,
4,08/19/22 12:58:12 PM,14.613,,,
5,08/19/22 02:58:12 PM,12.207,,,
6,08/19/22 04:58:12 PM,15.760,,,
7,08/19/22 06:58:12 PM,11.819,,,
8,08/19/22 08:58:12 PM,9.176,,,
9,08/19/22 10:58:12 PM,7.782,,,
10,08/20/22 12:58:12 AM,6.978,,,
11,08/20/22 02:58:12 AM,6.370,,,
12,08/20/22 04:58:12 AM,6.268,,,
13,08/20/22 06:58:12 AM,6.268,,,
14,08/20/22 08:58:12 AM,7.179,,,
15,08/20/22 10:58:12 AM,9.768,,,
16,08/20/22 12:58:12 PM,14.613,,,
17,08/20/22 02:58:12 PM,9.866,,,
18,08/20/22 04:58:12 PM,13.173,,,
19,08/20/22 06:58:12 PM,10.748,,,
20,08/20/22 08:58:12 PM,9.077,,,
21,08/20/22 10:58:12 PM,7.983,,,
22,08/21/22 12:58:12 AM,7.280,,,
23,08/21/22 02:58:12 AM,6.775,,,
24,08/21/22 04:58:12 AM,5.347,,,
25,08/21/22 06:58:12 AM,6.064,,,
26,08/21/22 08:58:12 AM,8.481,,,
27,08/21/22 10:58:12 AM,10.651,,,
28,08/21/22 12:58:12 PM,12.980,,,
29,08/21/22 02:58:12 PM,8.481,,,
30,08/21/22 04:58:12 PM,10.846,,,
31,08/21/22 06:58:12 PM,8.382,,,
32,08/21/22 08:58:12 PM,7.179,,,
33,08/21/22 10:58:12 PM,5.757,,,
34,08/22/22 12:58:12 AM,4.415,,,
35,08/22/22 02:58:12 AM,4.519,,,
36,08/22/22 04:58:12 AM,4.519,,,
37,08/22/22 06:58:12 AM,4.623,,,
38,08/22/22 08:58:12 AM,7.682,,,
39,08/22/22 10:58:12 AM,12.594,,,
40,08/22/22 12:58:12 PM,16.808,,,
41,08/22/22 02:58:12 PM,11.916,,,
42,08/22/22 04:58:12 PM,12.013,,,
43,08/22/22 06:58:12 PM,10.846,,,
44,08/22/22 08:58:12 PM,7.983,,,
45,08/22/22 10:58:12 PM,5.962,,,
46,08/23/22 12:58:12 AM,4.727,,,
47,08/23/22 02:58:12 AM,3.998,,,
48,08/23/22 04:58:12 AM,3.578,,,
49,08/23/22 06:58:12 AM,3.155,,,
50,08/23/22 08:58:12 AM,6.064,,,
51,08/23/22 10:58:12 AM,13.654,,,
52,08/23/22 12:58:12 PM,18.806,,,
53,08/23/22 02:58:12 PM,14.996,,,
54,08/23/22 04:58:12 PM,8.082,,,
55,08/23/22 06:58:12 PM,6.573,,,
56,08/23/22 08:58:12 PM,5.860,,,
57,08/23/22 10:58:12 PM,4.623,,,
58,08/24/22 12:58:12 AM,3.998,,,
59,08/24/22 02:58:12 AM,3.472,,,
60,08/24/22 04:58:12 AM,3.155,,,
61,08/24/22 06:58:12 AM,2.943,,,
62,08/24/22 08:58:12 AM,5.962,,,
63,08/24/22 10:58:12 AM,13.750,,,
64,08/24/22 12:58:12 PM,15.855,,,
65,08/24/22 02:58:12 PM,16.141,,,
66,08/24/22 04:58:12 PM,8.978,,,
67,08/24/22 06:58:12 PM,9.373,,,
68,08/24/22 08:58:12 PM,7.280,,,
69,08/24/22 10:58:12 PM,5.655,,,
70,08/25/22 12:58:12 AM,4.831,,,
71,08/25/22 02:58:12 AM,3.893,,,
72,08/25/22 04:58:12 AM,3.367,,,
73,08/25/22 06:58:12 AM,3.049,,,
74,08/25/22 08:58:12 AM,6.775,,,
75,08/25/22 10:58:12 AM,14.230,,,
76,08/25/22 12:58:12 PM,15.951,,,
77,08/25/22 02:58:12 PM,12.304,,,
78,08/25/22 04:58:12 PM,11.625,,,
79,08/25/22 06:58:12 PM,8.879,,,
80,08/25/22 08:58:12 PM,8.282,,,
81,08/25/22 10:58:12 PM,7.481,,,
82,08/26/22 12:58:12 AM,6.573,,,
83,08/26/22 02:58:12 AM,5.347,,,
84,08/26/22 04:58:12 AM,5.037,,,
85,08/26/22 06:58:12 AM,5.347,,,
86,08/26/22 08:58:12 AM,7.582,,,
87,08/26/22 10:58:12 AM,10.259,,,
88,08/26/22 12:58:12 PM,13.750,,,
89,08/26/22 02:58:12 PM,10.748,,,
90,08/26/22 04:58:12 PM,14.038,,,
91,08/26/22 06:58:12 PM,9.176,,,
92,08/26/22 08:58:12 PM,7.582,,,
93,08/26/22 10:58:12 PM,6.775,,,
94,08/27/22 12:58:12 AM,6.268,,,
95,08/27/22 02:58:12 AM,5.037,,,
96,08/27/22 04:58:12 AM,4.207,,,
97,08/27/22 06:58:12 AM,3.578,,,
98,08/27/22 08:58:12 AM,5.347,,,
99,08/27/22 10:58:12 AM,10.748,,,
100,08/27/22 12:58:12 PM,15.473,,,
101,08/27/22 02:58:12 PM,17.665,,,
102,08/27/22 04:58:12 PM,12.110,,,
103,08/27/22 06:58:12 PM,10.063,,,
104,08/27/22 08:58:12 PM,6.978,,,
105,08/27/22 10:58:12 PM,5.757,,,
106,08/28/22 12:58:12 AM,4.727,,,
107,08/28/22 02:58:12 AM,4.415,,,
108,08/28/22 04:58:12 AM,3.998,,,
109,08/28/22 06:58:12 AM,3.261,,,
110,08/28/22 08:58:12 AM,6.775,,,
111,08/28/22 10:58:12 AM,13.558,,,
112,08/28/22 12:58:12 PM,16.332,,,
113,08/28/22 02:58:12 PM,19.662,,,
114,08/28/22 04:58:12 PM,12.401,,,
115,08/28/22 06:58:12 PM,10.651,,,
116,08/28/22 08:58:12 PM,7.582,,,
117,08/28/22 10:58:12 PM,5.962,,,
118,08/29/22 12:58:12 AM,5.244,,,
119,08/29/22 02:58:12 AM,4.623,,,
120,08/29/22 04:58:12 AM,3.788,,,
121,08/29/22 06:58:12 AM,3.472,,,
122,08/29/22 08:58:12 AM,6.370,,,
123,08/29/22 10:58:12 AM,13.461,,,
124,08/29/22 12:58:12 PM,19.662,,,
125,08/29/22 02:58:12 PM,16.713,,,
126,08/29/22 04:58:12 PM,16.332,,,
127,08/29/22 06:58:12 PM,12.401,,,
128,08/29/22 08:58:12 PM,9.275,,,
129,08/29/22 10:58:12 PM,7.280,,,
130,08/30/22 12:58:12 AM,6.674,,,
131,08/30/22 02:58:12 AM,5.655,,,
132,08/30/22 04:58:12 AM,5.244,,,
133,08/30/22 06:58:12 AM,4.102,,,
134,08/30/22 08:58:12 AM,7.782,,,
135,08/30/22 10:58:12 AM,16.046,,,
136,08/30/22 12:58:12 PM,20.234,,,
137,08/30/22 02:58:12 PM,18.996,,,
138,08/30/22 04:58:12 PM,16.237,,,
139,08/30/22 06:58:12 PM,13.558,,,
140,08/30/22 08:58:12 PM,10.259,,,
141,08/30/22 10:58:12 PM,8.481,,,
142,08/31/22 12:58:12 AM,7.079,,,
143,08/31/22 02:58:12 AM,6.064,,,
144,08/31/22 04:58:12 AM,6.064,,,
145,08/31/22 06:58:12 AM,5.244,,,
146,08/31/22 08:58:12 AM,7.983,,,
147,08/31/22 10:58:12 AM,13.558,,,
148,08/31/22 12:58:12 PM,15.664,,,
149,08/31/22 02:58:12 PM,18.711,,,
150,08/31/22 04:58:12 PM,15.091,,,
151,08/31/22 06:58:12 PM,11.431,,,
152,08/31/22 08:58:12 PM,8.680,,,
153,08/31/22 10:58:12 PM,7.179,,,
154,09/01/22 12:58:12 AM,6.064,,,
155,09/01/22 02:58:12 AM,5.037,,,
156,09/01/22 04:58:12 AM,3.998,,,
157,09/01/22 06:58:12 AM,3.893,,,
158,09/01/22 08:58:12 AM,6.877,,,
159,09/01/22 10:58:12 AM,12.594,,,
160,09/01/22 12:58:12 PM,16.427,,,
161,09/01/22 02:58:12 PM,18.236,,,
162,09/01/22 04:58:12 PM,14.421,,,
163,09/01/22 06:58:12 PM,11.625,,,
164,09/01/22 08:58:12 PM,8.481,,,
165,09/01/22 10:58:12 PM,7.280,,,
166,09/02/22 12:58:12 AM,6.166,,,
