"Plot Title: 21397973"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397973, SEN S/N: 21397973)","Coupler Detached (LGR S/N: 21397973)","Bad Battery (LGR S/N: 21397973)","Good Battery (LGR S/N: 21397973)","End Of File (LGR S/N: 21397973)"
1,08/18/22 02:59:43 PM,18.236,,,,
2,08/18/22 02:59:59 PM,,Logged,,,
3,08/18/22 04:59:43 PM,12.787,,,,
4,08/18/22 06:59:43 PM,9.275,,,,
5,08/18/22 08:59:43 PM,6.978,,,,
6,08/18/22 10:59:43 PM,5.450,,,,
7,08/19/22 12:59:43 AM,4.415,,,,
8,08/19/22 02:59:43 AM,3.998,,,,
9,08/19/22 04:59:43 AM,3.261,,,,
10,08/19/22 06:59:43 AM,2.837,,,,
11,08/19/22 08:59:43 AM,7.882,,,,
12,08/19/22 10:59:43 AM,13.173,,,,
13,08/19/22 12:59:43 PM,12.787,,,,
14,08/19/22 02:59:43 PM,10.259,,,,
15,08/19/22 04:59:43 PM,14.230,,,,
16,08/19/22 06:59:43 PM,10.161,,,,
17,08/19/22 08:59:43 PM,6.775,,,,
18,08/19/22 10:59:43 PM,5.552,,,,
19,08/20/22 12:59:43 AM,4.727,,,,
20,08/20/22 02:59:43 AM,4.207,,,,
21,08/20/22 04:59:43 AM,3.788,,,,
22,08/20/22 06:59:43 AM,4.102,,,,
23,08/20/22 08:59:43 AM,4.831,,,,
24,08/20/22 10:59:43 AM,8.581,,,,
25,08/20/22 12:59:43 PM,13.461,,,,
26,08/20/22 02:59:43 PM,6.064,,,,
27,08/20/22 04:59:43 PM,10.161,,,,
28,08/20/22 06:59:43 PM,8.481,,,,
29,08/20/22 08:59:43 PM,6.268,,,,
30,08/20/22 10:59:43 PM,5.244,,,,
31,08/21/22 12:59:43 AM,4.102,,,,
32,08/21/22 02:59:43 AM,3.578,,,,
33,08/21/22 04:59:43 AM,3.049,,,,
34,08/21/22 06:59:43 AM,3.683,,,,
35,08/21/22 08:59:43 AM,5.860,,,,
36,08/21/22 10:59:43 AM,8.680,,,,
37,08/21/22 12:59:43 PM,11.722,,,,
38,08/21/22 02:59:43 PM,7.079,,,,
39,08/21/22 04:59:43 PM,8.581,,,,
40,08/21/22 06:59:43 PM,6.268,,,,
41,08/21/22 08:59:43 PM,4.934,,,,
42,08/21/22 10:59:43 PM,3.788,,,,
43,08/22/22 12:59:43 AM,2.730,,,,
44,08/22/22 02:59:43 AM,2.624,,,,
45,08/22/22 04:59:43 AM,2.837,,,,
46,08/22/22 06:59:43 AM,2.943,,,,
47,08/22/22 08:59:43 AM,7.582,,,,
48,08/22/22 10:59:43 AM,13.365,,,,
49,08/22/22 12:59:43 PM,15.664,,,,
50,08/22/22 02:59:43 PM,9.965,,,,
51,08/22/22 04:59:43 PM,8.779,,,,
52,08/22/22 06:59:43 PM,9.077,,,,
53,08/22/22 08:59:43 PM,5.962,,,,
54,08/22/22 10:59:43 PM,3.893,,,,
55,08/23/22 12:59:43 AM,2.730,,,,
56,08/23/22 02:59:43 AM,2.088,,,,
57,08/23/22 04:59:43 AM,1.548,,,,
58,08/23/22 06:59:43 AM,1.112,,,,
59,08/23/22 08:59:43 AM,5.347,,,,
60,08/23/22 10:59:43 AM,10.846,,,,
61,08/23/22 12:59:43 PM,14.804,,,,
62,08/23/22 02:59:43 PM,13.750,,,,
63,08/23/22 04:59:43 PM,6.064,,,,
64,08/23/22 06:59:43 PM,5.757,,,,
65,08/23/22 08:59:43 PM,4.102,,,,
66,08/23/22 10:59:43 PM,3.155,,,,
67,08/24/22 12:59:43 AM,2.624,,,,
68,08/24/22 02:59:43 AM,1.980,,,,
69,08/24/22 04:59:43 AM,1.764,,,,
70,08/24/22 06:59:43 AM,1.872,,,,
71,08/24/22 08:59:43 AM,5.860,,,,
72,08/24/22 10:59:43 AM,11.625,,,,
