"Plot Title: 21397966"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397966, SEN S/N: 21397966)","Coupler Detached (LGR S/N: 21397966)","Bad Battery (LGR S/N: 21397966)","End Of File (LGR S/N: 21397966)"
1,08/18/22 12:45:45 PM,20.138,,,
2,08/18/22 12:46:08 PM,,Logged,,
3,08/18/22 02:45:45 PM,18.236,,,
4,08/18/22 04:45:45 PM,16.237,,,
5,08/18/22 06:45:45 PM,13.365,,,
6,08/18/22 08:45:45 PM,10.259,,,
7,08/18/22 10:45:45 PM,8.282,,,
8,08/19/22 12:45:45 AM,6.877,,,
9,08/19/22 02:45:45 AM,6.166,,,
10,08/19/22 04:45:45 AM,5.141,,,
11,08/19/22 06:45:45 AM,4.207,,,
12,08/19/22 08:45:45 AM,7.381,,,
13,08/19/22 10:45:45 AM,13.365,,,
14,08/19/22 12:45:45 PM,13.269,,,
15,08/19/22 02:45:45 PM,10.455,,,
16,08/19/22 04:45:45 PM,13.076,,,
17,08/19/22 06:45:45 PM,11.041,,,
18,08/19/22 08:45:45 PM,7.782,,,
19,08/19/22 10:45:45 PM,6.674,,,
20,08/20/22 12:45:45 AM,5.757,,,
21,08/20/22 02:45:45 AM,5.244,,,
22,08/20/22 04:45:45 AM,4.831,,,
23,08/20/22 06:45:45 AM,4.727,,,
24,08/20/22 08:45:45 AM,4.934,,,
25,08/20/22 10:45:45 AM,6.471,,,
26,08/20/22 12:45:45 PM,9.077,,,
27,08/20/22 02:45:45 PM,6.268,,,
28,08/20/22 04:45:45 PM,5.962,,,
29,08/20/22 06:45:45 PM,6.370,,,
30,08/20/22 08:45:45 PM,5.552,,,
31,08/20/22 10:45:45 PM,4.934,,,
32,08/21/22 12:45:45 AM,4.207,,,
33,08/21/22 02:45:45 AM,3.893,,,
34,08/21/22 04:45:45 AM,3.049,,,
35,08/21/22 06:45:45 AM,3.472,,,
36,08/21/22 08:45:45 AM,4.831,,,
37,08/21/22 10:45:45 AM,7.280,,,
38,08/21/22 12:45:45 PM,10.259,,,
39,08/21/22 02:45:45 PM,6.674,,,
40,08/21/22 04:45:45 PM,8.581,,,
41,08/21/22 06:45:45 PM,6.268,,,
42,08/21/22 08:45:45 PM,4.934,,,
43,08/21/22 10:45:45 PM,4.311,,,
44,08/22/22 12:45:45 AM,3.261,,,
45,08/22/22 02:45:45 AM,2.837,,,
