"Plot Title: 21474965"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474965, SEN S/N: 21474965)","Coupler Detached (LGR S/N: 21474965)","End Of File (LGR S/N: 21474965)"
1,08/19/22 10:33:59 AM,17.855,,
2,08/19/22 10:34:24 AM,,Logged,
3,08/19/22 12:33:59 PM,17.189,,
4,08/19/22 02:33:59 PM,14.613,,
5,08/19/22 04:33:59 PM,17.475,,
6,08/19/22 06:33:59 PM,12.980,,
7,08/19/22 08:33:59 PM,9.373,,
8,08/19/22 10:33:59 PM,7.782,,
9,08/20/22 12:33:59 AM,6.775,,
10,08/20/22 02:33:59 AM,6.370,,
11,08/20/22 04:33:59 AM,5.860,,
12,08/20/22 06:33:59 AM,6.064,,
13,08/20/22 08:33:59 AM,6.978,,
14,08/20/22 10:33:59 AM,10.063,,
15,08/20/22 12:33:59 PM,13.750,,
16,08/20/22 02:33:59 PM,10.846,,
17,08/20/22 04:33:59 PM,13.269,,
18,08/20/22 06:33:59 PM,11.528,,
19,08/20/22 08:33:59 PM,9.077,,
20,08/20/22 10:33:59 PM,7.882,,
21,08/21/22 12:33:59 AM,6.674,,
22,08/21/22 02:33:59 AM,6.877,,
23,08/21/22 04:33:59 AM,4.727,,
24,08/21/22 06:33:59 AM,5.757,,
25,08/21/22 08:33:59 AM,7.882,,
26,08/21/22 10:33:59 AM,10.748,,
27,08/21/22 12:33:59 PM,14.517,,
28,08/21/22 02:33:59 PM,6.573,,
29,08/21/22 04:33:59 PM,11.041,,
30,08/21/22 06:33:59 PM,8.382,,
31,08/21/22 08:33:59 PM,6.877,,
32,08/21/22 10:33:59 PM,5.757,,
33,08/22/22 12:33:59 AM,3.893,,
34,08/22/22 02:33:59 AM,3.998,,
35,08/22/22 04:33:59 AM,4.311,,
36,08/22/22 06:33:59 AM,4.207,,
37,08/22/22 08:33:59 AM,6.674,,
38,08/22/22 10:33:59 AM,13.942,,
39,08/22/22 12:33:59 PM,18.521,,
40,08/22/22 02:33:59 PM,12.497,,
41,08/22/22 04:33:59 PM,11.236,,
42,08/22/22 06:33:59 PM,10.944,,
43,08/22/22 08:33:59 PM,8.082,,
44,08/22/22 10:33:59 PM,5.860,,
45,08/23/22 12:33:59 AM,4.415,,
46,08/23/22 02:33:59 AM,3.683,,
47,08/23/22 04:33:59 AM,3.155,,
48,08/23/22 06:33:59 AM,2.730,,
49,08/23/22 08:33:59 AM,3.788,,
50,08/23/22 10:33:59 AM,13.461,,
51,08/23/22 12:33:59 PM,20.424,,
52,08/23/22 02:33:59 PM,18.711,,
53,08/23/22 04:33:59 PM,9.866,,
54,08/23/22 06:33:59 PM,6.268,,
55,08/23/22 08:33:59 PM,5.860,,
56,08/23/22 10:33:59 PM,4.415,,
57,08/24/22 12:33:59 AM,3.893,,
58,08/24/22 02:33:59 AM,3.261,,
59,08/24/22 04:33:59 AM,2.943,,
