"Plot Title: 21397964"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397964, SEN S/N: 21397964)","Coupler Detached (LGR S/N: 21397964)","End Of File (LGR S/N: 21397964)"
1,08/22/22 01:24:04 PM,17.855,,
2,08/22/22 01:24:23 PM,,Logged,
3,08/22/22 03:24:04 PM,12.690,,
4,08/22/22 05:24:04 PM,12.013,,
5,08/22/22 07:24:04 PM,12.110,,
6,08/22/22 09:24:04 PM,9.077,,
7,08/22/22 11:24:04 PM,7.280,,
8,08/23/22 01:24:04 AM,6.064,,
9,08/23/22 03:24:04 AM,5.037,,
10,08/23/22 05:24:04 AM,4.207,,
11,08/23/22 07:24:04 AM,4.102,,
12,08/23/22 09:24:04 AM,10.161,,
13,08/23/22 11:24:04 AM,13.269,,
14,08/23/22 01:24:04 PM,14.134,,
15,08/23/22 03:24:04 PM,14.996,,
16,08/23/22 05:24:04 PM,14.517,,
17,08/23/22 07:24:04 PM,11.625,,
18,08/23/22 09:24:04 PM,8.879,,
19,08/23/22 11:24:04 PM,7.381,,
20,08/24/22 01:24:04 AM,6.268,,
21,08/24/22 03:24:04 AM,5.552,,
22,08/24/22 05:24:04 AM,5.141,,
23,08/24/22 07:24:04 AM,5.141,,
24,08/24/22 09:24:04 AM,9.373,,
25,08/24/22 11:24:04 AM,12.690,,
26,08/24/22 01:24:04 PM,13.269,,
27,08/24/22 03:24:04 PM,14.134,,
28,08/24/22 05:24:04 PM,9.669,,
29,08/24/22 07:24:04 PM,9.275,,
30,08/24/22 09:24:04 PM,7.381,,
31,08/24/22 11:24:04 PM,6.064,,
32,08/25/22 01:24:04 AM,5.141,,
33,08/25/22 03:24:04 AM,4.311,,
34,08/25/22 05:24:04 AM,4.311,,
35,08/25/22 07:24:04 AM,4.415,,
36,08/25/22 09:24:04 AM,9.669,,
37,08/25/22 11:24:04 AM,12.304,,
38,08/25/22 01:24:04 PM,11.625,,
39,08/25/22 03:24:04 PM,10.259,,
40,08/25/22 05:24:04 PM,9.275,,
41,08/25/22 07:24:04 PM,8.481,,
42,08/25/22 09:24:04 PM,7.481,,
43,08/25/22 11:24:04 PM,6.775,,
44,08/26/22 01:24:04 AM,6.370,,
45,08/26/22 03:24:04 AM,5.655,,
46,08/26/22 05:24:04 AM,4.831,,
47,08/26/22 07:24:04 AM,5.037,,
48,08/26/22 09:24:04 AM,6.064,,
