"Plot Title: 21397969"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397969, SEN S/N: 21397969)","Coupler Detached (LGR S/N: 21397969)","Bad Battery (LGR S/N: 21397969)","End Of File (LGR S/N: 21397969)"
1,08/22/22 01:38:48 PM,16.523,,,
2,08/22/22 01:39:07 PM,,Logged,,
3,08/22/22 03:38:48 PM,11.236,,,
4,08/22/22 05:38:48 PM,13.461,,,
5,08/22/22 07:38:48 PM,11.334,,,
6,08/22/22 09:38:48 PM,7.582,,,
7,08/22/22 11:38:48 PM,5.757,,,
8,08/23/22 01:38:48 AM,4.415,,,
9,08/23/22 03:38:48 AM,3.261,,,
10,08/23/22 05:38:48 AM,2.517,,,
11,08/23/22 07:38:48 AM,3.893,,,
12,08/23/22 09:38:48 AM,10.455,,,
13,08/23/22 11:38:48 AM,15.187,,,
14,08/23/22 01:38:48 PM,18.140,,,
15,08/23/22 03:38:48 PM,20.901,,,
16,08/23/22 05:38:48 PM,13.654,,,
17,08/23/22 07:38:48 PM,9.965,,,
18,08/23/22 09:38:48 PM,6.978,,,
19,08/23/22 11:38:48 PM,5.450,,,
20,08/24/22 01:38:48 AM,4.519,,,
21,08/24/22 03:38:48 AM,3.893,,,
22,08/24/22 05:38:48 AM,3.261,,,
23,08/24/22 07:38:48 AM,4.727,,,
24,08/24/22 09:38:48 AM,10.846,,,
25,08/24/22 11:38:48 AM,15.187,,,
26,08/24/22 01:38:48 PM,18.616,,,
27,08/24/22 03:38:48 PM,12.207,,,
28,08/24/22 05:38:48 PM,14.038,,,
29,08/24/22 07:38:48 PM,10.944,,,
30,08/24/22 09:38:48 PM,7.582,,,
31,08/24/22 11:38:48 PM,5.757,,,
32,08/25/22 01:38:48 AM,4.519,,,
33,08/25/22 03:38:48 AM,3.893,,,
34,08/25/22 05:38:48 AM,3.788,,,
35,08/25/22 07:38:48 AM,4.623,,,
36,08/25/22 09:38:48 AM,11.236,,,
37,08/25/22 11:38:48 AM,13.076,,,
38,08/25/22 01:38:48 PM,12.497,,,
39,08/25/22 03:38:48 PM,9.077,,,
40,08/25/22 05:38:48 PM,8.680,,,
41,08/25/22 07:38:48 PM,7.582,,,
42,08/25/22 09:38:48 PM,6.573,,,
43,08/25/22 11:38:48 PM,5.860,,,
44,08/26/22 01:38:48 AM,5.141,,,
45,08/26/22 03:38:48 AM,4.207,,,
46,08/26/22 05:38:48 AM,3.683,,,
47,08/26/22 07:38:48 AM,4.415,,,
48,08/26/22 09:38:48 AM,6.268,,,
49,08/26/22 11:38:48 AM,8.481,,,
50,08/26/22 01:38:48 PM,9.866,,,
51,08/26/22 03:38:48 PM,13.173,,,
52,08/26/22 05:38:48 PM,8.282,,,
53,08/26/22 07:38:48 PM,7.280,,,
