"Plot Title: 21474967"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474967, SEN S/N: 21474967)","Coupler Detached (LGR S/N: 21474967)","End Of File (LGR S/N: 21474967)"
1,08/22/22 12:58:31 PM,20.710,,
2,08/22/22 12:58:53 PM,,Logged,
3,08/22/22 02:58:31 PM,13.173,,
4,08/22/22 04:58:31 PM,12.110,,
5,08/22/22 06:58:31 PM,13.461,,
6,08/22/22 08:58:31 PM,9.571,,
7,08/22/22 10:58:31 PM,7.782,,
8,08/23/22 12:58:31 AM,6.573,,
9,08/23/22 02:58:31 AM,5.347,,
10,08/23/22 04:58:31 AM,4.623,,
11,08/23/22 06:58:31 AM,3.893,,
12,08/23/22 08:58:31 AM,7.179,,
13,08/23/22 10:58:31 AM,13.558,,
14,08/23/22 12:58:31 PM,19.282,,
15,08/23/22 02:58:31 PM,19.377,,
16,08/23/22 04:58:31 PM,20.996,,
17,08/23/22 06:58:31 PM,14.325,,
18,08/23/22 08:58:31 PM,9.965,,
19,08/23/22 10:58:31 PM,7.983,,
20,08/24/22 12:58:31 AM,6.877,,
21,08/24/22 02:58:31 AM,6.064,,
22,08/24/22 04:58:31 AM,5.860,,
23,08/24/22 06:58:31 AM,5.450,,
24,08/24/22 08:58:31 AM,8.581,,
25,08/24/22 10:58:31 AM,14.517,,
26,08/24/22 12:58:31 PM,17.665,,
27,08/24/22 02:58:31 PM,18.521,,
28,08/24/22 04:58:31 PM,14.613,,
29,08/24/22 06:58:31 PM,13.558,,
30,08/24/22 08:58:31 PM,9.768,,
31,08/24/22 10:58:31 PM,8.082,,
32,08/25/22 12:58:31 AM,7.179,,
33,08/25/22 02:58:31 AM,6.370,,
34,08/25/22 04:58:31 AM,5.962,,
35,08/25/22 06:58:31 AM,5.757,,
36,08/25/22 08:58:31 AM,8.382,,
37,08/25/22 10:58:31 AM,14.038,,
38,08/25/22 12:58:31 PM,15.187,,
39,08/25/22 02:58:31 PM,14.134,,
40,08/25/22 04:58:31 PM,11.236,,
41,08/25/22 06:58:31 PM,9.571,,
42,08/25/22 08:58:31 PM,8.481,,
43,08/25/22 10:58:31 PM,7.782,,
44,08/26/22 12:58:31 AM,7.381,,
45,08/26/22 02:58:31 AM,6.775,,
46,08/26/22 04:58:31 AM,5.757,,
47,08/26/22 06:58:31 AM,6.064,,
48,08/26/22 08:58:31 AM,7.079,,
49,08/26/22 10:58:31 AM,9.571,,
50,08/26/22 12:58:31 PM,10.846,,
51,08/26/22 02:58:31 PM,14.517,,
52,08/26/22 04:58:31 PM,13.365,,
53,08/26/22 06:58:31 PM,8.978,,
54,08/26/22 08:58:31 PM,8.082,,
55,08/26/22 10:58:31 PM,7.481,,
56,08/27/22 12:58:31 AM,6.775,,
57,08/27/22 02:58:31 AM,5.655,,
58,08/27/22 04:58:31 AM,5.141,,
59,08/27/22 06:58:31 AM,4.623,,
60,08/27/22 08:58:31 AM,6.370,,
61,08/27/22 10:58:31 AM,11.334,,
62,08/27/22 12:58:31 PM,15.569,,
63,08/27/22 02:58:31 PM,17.094,,
64,08/27/22 04:58:31 PM,11.916,,
65,08/27/22 06:58:31 PM,11.139,,
66,08/27/22 08:58:31 PM,7.882,,
67,08/27/22 10:58:31 PM,6.775,,
68,08/28/22 12:58:31 AM,5.962,,
69,08/28/22 02:58:31 AM,5.552,,
70,08/28/22 04:58:31 AM,5.244,,
71,08/28/22 06:58:31 AM,4.623,,
72,08/28/22 08:58:31 AM,7.582,,
73,08/28/22 10:58:31 AM,13.173,,
74,08/28/22 12:58:31 PM,14.900,,
75,08/28/22 02:58:31 PM,14.996,,
76,08/28/22 04:58:31 PM,11.431,,
77,08/28/22 06:58:31 PM,10.846,,
78,08/28/22 08:58:31 PM,7.882,,
79,08/28/22 10:58:31 PM,6.268,,
80,08/29/22 12:58:31 AM,5.860,,
81,08/29/22 02:58:31 AM,5.347,,
82,08/29/22 04:58:31 AM,4.831,,
83,08/29/22 06:58:31 AM,4.102,,
84,08/29/22 08:58:31 AM,7.179,,
85,08/29/22 10:58:31 AM,13.654,,
86,08/29/22 12:58:31 PM,18.331,,
87,08/29/22 02:58:31 PM,22.046,,
88,08/29/22 04:58:31 PM,23.100,,
89,08/29/22 06:58:31 PM,18.806,,
90,08/29/22 08:58:31 PM,11.819,,
91,08/29/22 10:58:31 PM,9.275,,
92,08/30/22 12:58:31 AM,7.882,,
93,08/30/22 02:58:31 AM,7.079,,
94,08/30/22 04:58:31 AM,6.471,,
95,08/30/22 06:58:31 AM,5.860,,
96,08/30/22 08:58:31 AM,8.978,,
