"Plot Title: 21397967"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397967, SEN S/N: 21397967)","Coupler Detached (LGR S/N: 21397967)","Coupler Attached (LGR S/N: 21397967)","Host Connected (LGR S/N: 21397967)","End Of File (LGR S/N: 21397967)"
1,08/17/22 04:23:53 PM,22.429,,,,
2,08/17/22 04:24:12 PM,,Logged,,,
3,08/17/22 06:23:53 PM,18.236,,,,
4,08/17/22 08:23:53 PM,12.401,,,,
5,08/17/22 10:23:53 PM,9.275,,,,
6,08/18/22 12:23:53 AM,7.280,,,,
7,08/18/22 02:23:53 AM,6.268,,,,
8,08/18/22 04:23:53 AM,5.037,,,,
9,08/18/22 06:23:53 AM,4.727,,,,
10,08/18/22 08:23:53 AM,7.682,,,,
11,08/18/22 10:23:53 AM,12.497,,,,
12,08/18/22 12:23:53 PM,19.282,,,,
13,08/18/22 02:23:53 PM,18.426,,,,
14,08/18/22 04:23:53 PM,22.621,,,,
15,08/18/22 06:23:53 PM,18.806,,,,
16,08/18/22 08:23:53 PM,12.497,,,,
17,08/18/22 10:23:53 PM,10.063,,,,
18,08/19/22 12:23:53 AM,8.282,,,,
19,08/19/22 02:23:53 AM,7.179,,,,
20,08/19/22 04:23:53 AM,6.471,,,,
21,08/19/22 06:23:53 AM,5.757,,,,
22,08/19/22 08:23:53 AM,8.581,,,,
23,08/19/22 10:23:53 AM,17.379,,,,
24,08/19/22 12:23:53 PM,15.378,,,,
25,08/19/22 02:23:53 PM,14.421,,,,
26,08/19/22 04:23:53 PM,13.076,,,,
27,08/19/22 06:23:53 PM,12.401,,,,
28,08/19/22 08:23:53 PM,9.965,,,,
29,08/19/22 10:23:53 PM,9.472,,,,
30,08/20/22 12:23:53 AM,9.176,,,,
31,08/20/22 02:23:53 AM,7.582,,,,
32,08/20/22 04:23:53 AM,6.064,,,,
33,08/20/22 06:23:53 AM,5.860,,,,
34,08/20/22 08:23:53 AM,8.282,,,,
35,08/20/22 10:23:53 AM,11.819,,,,
36,08/20/22 12:23:53 PM,13.750,,,,
37,08/20/22 02:23:53 PM,12.110,,,,
38,08/20/22 04:23:53 PM,10.944,,,,
39,08/20/22 06:23:53 PM,5.962,,,,
40,08/20/22 08:23:53 PM,6.573,,,,
41,08/20/22 10:23:53 PM,6.268,,,,
42,08/21/22 12:23:53 AM,5.244,,,,
43,08/21/22 02:23:53 AM,4.519,,,,
44,08/21/22 04:23:53 AM,4.623,,,,
