"Plot Title: 20365629"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365629, SEN S/N: 20365629)","Coupler Detached (LGR S/N: 20365629)","Bad Battery (LGR S/N: 20365629)","Coupler Attached (LGR S/N: 20365629)","Host Connected (LGR S/N: 20365629)","Stopped (LGR S/N: 20365629)","End Of File (LGR S/N: 20365629)"
1,08/29/22 01:40:21 PM,24.448,,,,,,
2,08/29/22 01:40:35 PM,,Logged,,,,,
3,08/29/22 03:40:21 PM,21.187,,,,,,
4,08/29/22 05:40:21 PM,17.189,,,,,,
5,08/29/22 07:40:21 PM,12.980,,,,,,
6,08/29/22 09:40:21 PM,10.063,,,,,,
7,08/29/22 11:40:21 PM,8.680,,,,,,
8,08/30/22 01:40:21 AM,7.582,,,,,,
9,08/30/22 03:40:21 AM,6.978,,,,,,
10,08/30/22 05:40:21 AM,6.268,,,,,,
11,08/30/22 07:40:21 AM,6.674,,,,,,
12,08/30/22 09:40:21 AM,14.038,,,,,,
13,08/30/22 11:40:21 AM,19.282,,,,,,
14,08/30/22 01:40:21 PM,20.519,,,,,,
15,08/30/22 03:40:21 PM,22.333,,,,,,
16,08/30/22 05:40:21 PM,17.475,,,,,,
17,08/30/22 07:40:21 PM,14.134,,,,,,
18,08/30/22 09:40:21 PM,11.625,,,,,,
19,08/30/22 11:40:21 PM,9.965,,,,,,
20,08/31/22 01:40:21 AM,9.077,,,,,,
21,08/31/22 03:40:21 AM,8.581,,,,,,
22,08/31/22 05:40:21 AM,7.481,,,,,,
23,08/31/22 07:40:21 AM,8.282,,,,,,
24,08/31/22 09:40:21 AM,13.269,,,,,,
25,08/31/22 11:40:21 AM,18.711,,,,,,
26,08/31/22 01:40:21 PM,22.429,,,,,,
27,08/31/22 03:40:21 PM,17.855,,,,,,
28,08/31/22 05:40:21 PM,16.046,,,,,,
29,08/31/22 07:40:21 PM,13.942,,,,,,
30,08/31/22 09:40:21 PM,10.651,,,,,,
31,08/31/22 11:40:21 PM,8.978,,,,,,
32,09/01/22 01:40:21 AM,7.782,,,,,,
33,09/01/22 03:40:21 AM,6.674,,,,,,
34,09/01/22 05:40:21 AM,6.268,,,,,,
35,09/01/22 07:40:21 AM,6.775,,,,,,
36,09/01/22 09:40:21 AM,12.690,,,,,,
37,09/01/22 11:40:21 AM,14.134,,,,,,
38,09/01/22 01:40:21 PM,14.517,,,,,,
39,09/01/22 03:40:21 PM,18.901,,,,,,
40,09/01/22 05:40:21 PM,14.613,,,,,,
41,09/01/22 07:40:21 PM,11.819,,,,,,
42,09/01/22 09:40:21 PM,9.571,,,,,,
43,09/01/22 11:40:21 PM,8.481,,,,,,
44,09/02/22 01:40:21 AM,8.182,,,,,,
45,09/02/22 03:40:21 AM,8.382,,,,,,
46,09/02/22 05:40:21 AM,7.682,,,,,,
47,09/02/22 07:40:21 AM,7.882,,,,,,
48,09/02/22 09:40:21 AM,14.325,,,,,,
49,09/02/22 11:40:21 AM,15.091,,,,,,
50,09/02/22 01:40:21 PM,22.717,,,,,,
51,09/02/22 03:40:21 PM,18.236,,,,,,
52,09/02/22 05:40:21 PM,17.094,,,,,,
53,09/02/22 07:40:21 PM,13.750,,,,,,
54,09/02/22 09:40:21 PM,11.334,,,,,,
55,09/02/22 11:40:21 PM,9.275,,,,,,
56,09/03/22 01:40:21 AM,7.882,,,,,,
