"Plot Title: 20365594"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365594, SEN S/N: 20365594)","Coupler Detached (LGR S/N: 20365594)","Coupler Attached (LGR S/N: 20365594)","Host Connected (LGR S/N: 20365594)","Stopped (LGR S/N: 20365594)","End Of File (LGR S/N: 20365594)"
1,08/30/23 06:38:32 PM,22.621,,,,,
2,08/30/23 06:38:38 PM,,Logged,,,,
3,08/30/23 10:38:32 PM,21.664,,,,,
4,08/31/23 02:38:32 AM,21.378,,,,,
5,08/31/23 06:38:32 AM,20.710,,,,,
6,08/31/23 10:38:32 AM,22.908,,,,,
7,08/31/23 01:37:58 PM,,,Logged,,,
8,08/31/23 01:38:11 PM,,,,Logged,,
9,08/31/23 01:38:40 PM,,Logged,,,,
10,08/31/23 02:38:32 PM,25.610,,,,,
11,08/31/23 06:38:32 PM,18.616,,,,,
12,08/31/23 10:38:32 PM,10.748,,,,,
13,09/01/23 02:38:32 AM,7.179,,,,,
14,09/01/23 06:38:32 AM,5.037,,,,,
15,09/01/23 10:38:32 AM,17.379,,,,,
16,09/01/23 02:38:32 PM,24.255,,,,,
17,09/01/23 06:38:32 PM,17.379,,,,,
18,09/01/23 10:38:32 PM,11.722,,,,,
19,09/02/23 02:38:32 AM,7.983,,,,,
20,09/02/23 06:38:32 AM,5.860,,,,,
21,09/02/23 10:38:32 AM,13.750,,,,,
22,09/02/23 02:38:32 PM,24.835,,,,,
23,09/02/23 06:38:32 PM,15.855,,,,,
24,09/02/23 10:38:32 PM,9.965,,,,,
25,09/03/23 02:38:32 AM,8.282,,,,,
26,09/03/23 06:38:32 AM,5.860,,,,,
27,09/03/23 10:38:32 AM,14.325,,,,,
28,09/03/23 02:38:32 PM,20.519,,,,,
29,09/03/23 06:38:32 PM,13.846,,,,,
30,09/03/23 10:38:32 PM,8.879,,,,,
31,09/04/23 02:38:32 AM,5.552,,,,,
32,09/04/23 06:38:32 AM,3.367,,,,,
33,09/04/23 10:38:32 AM,14.996,,,,,
34,09/04/23 02:38:32 PM,20.615,,,,,
35,09/04/23 06:38:32 PM,13.173,,,,,
36,09/04/23 10:38:32 PM,7.079,,,,,
37,09/05/23 02:38:32 AM,4.207,,,,,
38,09/05/23 06:38:32 AM,2.837,,,,,
39,09/05/23 10:38:32 AM,10.455,,,,,
40,09/05/23 02:38:32 PM,23.292,,,,,
41,09/05/23 06:38:32 PM,15.091,,,,,
42,09/05/23 10:38:32 PM,7.280,,,,,
43,09/06/23 02:38:32 AM,5.244,,,,,
44,09/06/23 06:38:32 AM,3.998,,,,,
45,09/06/23 10:38:32 AM,14.325,,,,,
46,09/06/23 02:38:32 PM,23.484,,,,,
47,09/06/23 06:38:32 PM,17.760,,,,,
48,09/06/23 10:38:32 PM,11.334,,,,,
49,09/07/23 02:38:32 AM,7.381,,,,,
50,09/07/23 06:38:32 AM,5.655,,,,,
51,09/07/23 10:38:32 AM,8.481,,,,,
52,09/07/23 02:38:32 PM,14.996,,,,,
53,09/07/23 06:38:32 PM,15.760,,,,,
54,09/07/23 10:38:32 PM,10.161,,,,,
55,09/08/23 02:38:32 AM,6.573,,,,,
56,09/08/23 06:38:32 AM,4.623,,,,,
57,09/08/23 10:38:32 AM,9.176,,,,,
58,09/08/23 02:38:32 PM,16.141,,,,,
