"Plot Title: 20365628"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365628, SEN S/N: 20365628)","Coupler Detached (LGR S/N: 20365628)","Coupler Attached (LGR S/N: 20365628)","Host Connected (LGR S/N: 20365628)","Bad Battery (LGR S/N: 20365628)","Stopped (LGR S/N: 20365628)","End Of File (LGR S/N: 20365628)"
1,08/30/23 06:20:51 PM,21.760,,,,,,
2,08/30/23 06:21:12 PM,,Logged,,,,,
3,08/30/23 10:20:51 PM,21.664,,,,,,
4,08/31/23 02:20:51 AM,21.378,,,,,,
5,08/31/23 06:20:51 AM,20.805,,,,,,
6,08/31/23 10:20:51 AM,34.691,,,,,,
7,08/31/23 02:20:51 PM,38.938,,,,,,
8,08/31/23 03:45:23 PM,,,Logged,,,,
9,08/31/23 03:45:30 PM,,,,Logged,,,
10,08/31/23 03:45:41 PM,,Logged,,,,,
11,08/31/23 06:20:51 PM,18.331,,,,,,
12,08/31/23 10:20:51 PM,11.916,,,,,,
13,09/01/23 02:20:51 AM,9.077,,,,,,
14,09/01/23 06:20:51 AM,6.877,,,,,,
15,09/01/23 10:20:51 AM,12.497,,,,,,
16,09/01/23 02:20:51 PM,19.282,,,,,,
17,09/01/23 06:20:51 PM,16.427,,,,,,
18,09/01/23 10:20:51 PM,11.625,,,,,,
19,09/02/23 02:20:51 AM,9.077,,,,,,
20,09/02/23 06:20:51 AM,7.381,,,,,,
21,09/02/23 10:20:51 AM,10.748,,,,,,
22,09/02/23 02:20:51 PM,20.329,,,,,,
23,09/02/23 06:20:51 PM,15.760,,,,,,
24,09/02/23 10:20:51 PM,10.944,,,,,,
25,09/03/23 02:20:51 AM,9.571,,,,,,
26,09/03/23 06:20:51 AM,7.682,,,,,,
27,09/03/23 10:20:51 AM,11.916,,,,,,
28,09/03/23 02:20:51 PM,16.141,,,,,,
29,09/03/23 06:20:51 PM,13.269,,,,,,
30,09/03/23 10:20:51 PM,9.965,,,,,,
31,09/04/23 02:20:51 AM,7.481,,,,,,
32,09/04/23 06:20:51 AM,5.860,,,,,,
33,09/04/23 10:20:51 AM,10.063,,,,,,
34,09/04/23 02:20:51 PM,17.189,,,,,,
35,09/04/23 06:20:51 PM,14.230,,,,,,
36,09/04/23 10:20:51 PM,8.581,,,,,,
37,09/05/23 02:20:51 AM,6.268,,,,,,
38,09/05/23 06:20:51 AM,5.037,,,,,,
39,09/05/23 10:20:51 AM,7.983,,,,,,
40,09/05/23 02:20:51 PM,20.234,,,,,,
41,09/05/23 06:20:51 PM,15.378,,,,,,
42,09/05/23 10:20:51 PM,8.879,,,,,,
43,09/06/23 02:20:51 AM,7.481,,,,,,
44,09/06/23 06:20:51 AM,5.655,,,,,,
45,09/06/23 10:20:51 AM,10.259,,,,,,
46,09/06/23 02:20:51 PM,21.473,,,,,,
47,09/06/23 06:20:51 PM,18.806,,,,,,
48,09/06/23 10:20:51 PM,10.063,,,,,,
49,09/07/23 02:20:51 AM,7.179,,,,,,
50,09/07/23 06:20:51 AM,5.860,,,,,,
51,09/07/23 10:20:51 AM,10.161,,,,,,
52,09/07/23 02:20:51 PM,19.948,,,,,,
53,09/07/23 06:20:51 PM,17.379,,,,,,
54,09/07/23 10:20:51 PM,9.176,,,,,,
55,09/08/23 02:20:51 AM,6.674,,,,,,
56,09/08/23 06:20:51 AM,5.347,,,,,,
57,09/08/23 10:20:51 AM,10.944,,,,,,
58,09/08/23 02:20:51 PM,20.996,,,,,,
59,09/08/23 06:20:51 PM,18.521,,,,,,
60,09/08/23 10:20:51 PM,9.965,,,,,,
61,09/09/23 02:20:51 AM,6.978,,,,,,
62,09/09/23 06:20:51 AM,5.141,,,,,,
63,09/09/23 10:20:51 AM,11.819,,,,,,
64,09/09/23 02:20:51 PM,21.378,,,,,,
65,09/09/23 06:20:51 PM,15.951,,,,,,
66,09/09/23 10:20:51 PM,10.651,,,,,,
67,09/10/23 02:20:51 AM,8.282,,,,,,
68,09/10/23 06:20:51 AM,6.064,,,,,,
69,09/10/23 10:20:51 AM,9.275,,,,,,
70,09/10/23 02:20:51 PM,15.282,,,,,,
71,09/10/23 06:20:51 PM,12.980,,,,,,
72,09/10/23 10:20:51 PM,8.779,,,,,,
73,09/11/23 02:20:51 AM,6.268,,,,,,
74,09/11/23 06:20:51 AM,5.962,,,,,,
75,09/11/23 10:20:51 AM,8.382,,,,,,
76,09/11/23 02:20:51 PM,13.365,,,,,,
77,09/11/23 06:20:51 PM,6.166,,,,,,
78,09/11/23 10:20:51 PM,4.831,,,,,,
79,09/12/23 02:20:51 AM,3.998,,,,,,
80,09/12/23 06:20:51 AM,3.367,,,,,,
81,09/12/23 10:20:51 AM,8.481,,,,,,
82,09/12/23 02:20:51 PM,20.234,,,,,,
83,09/12/23 06:20:51 PM,13.269,,,,,,
84,09/12/23 10:20:51 PM,8.282,,,,,,
85,09/13/23 02:20:51 AM,6.370,,,,,,
86,09/13/23 06:20:51 AM,3.578,,,,,,
87,09/13/23 10:20:51 AM,10.063,,,,,,
88,09/13/23 02:20:51 PM,15.187,,,,,,
89,09/13/23 06:20:51 PM,10.651,,,,,,
90,09/13/23 10:20:51 PM,6.064,,,,,,
91,09/14/23 02:20:51 AM,3.683,,,,,,
92,09/14/23 06:20:51 AM,2.730,,,,,,
93,09/14/23 10:20:51 AM,6.166,,,,,,
94,09/14/23 02:20:51 PM,12.594,,,,,,
95,09/14/23 06:20:51 PM,8.182,,,,,,
96,09/14/23 10:20:51 PM,4.934,,,,,,
97,09/15/23 02:20:51 AM,4.207,,,,,,
98,09/15/23 06:20:51 AM,3.683,,,,,,
99,09/15/23 10:20:51 AM,3.472,,,,,,
100,09/15/23 02:20:51 PM,3.261,,,,,,
101,09/15/23 06:20:51 PM,3.049,,,,,,
102,09/15/23 10:20:51 PM,2.837,,,,,,
103,09/16/23 02:20:51 AM,2.303,,,,,,
104,09/16/23 06:20:51 AM,1.656,,,,,,
105,09/16/23 10:20:51 AM,1.221,,,,,,
106,09/16/23 02:20:51 PM,12.980,,,,,,
107,09/16/23 06:20:51 PM,13.750,,,,,,
108,09/16/23 10:20:51 PM,4.623,,,,,,
109,09/17/23 02:20:51 AM,2.410,,,,,,
