"Plot Title: 21397972"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397972, SEN S/N: 21397972)","Coupler Detached (LGR S/N: 21397972)","Coupler Attached (LGR S/N: 21397972)","Host Connected (LGR S/N: 21397972)","Stopped (LGR S/N: 21397972)","End Of File (LGR S/N: 21397972)"
1,08/31/23 09:26:18 AM,23.100,,,,,
2,08/31/23 09:26:36 AM,,Logged,,,,
3,08/31/23 11:26:18 AM,12.401,,,,,
4,08/31/23 01:26:18 PM,18.806,,,,,
5,08/31/23 03:26:18 PM,21.282,,,,,
6,08/31/23 05:26:18 PM,18.901,,,,,
7,08/31/23 07:26:18 PM,14.421,,,,,
8,08/31/23 09:26:18 PM,10.455,,,,,
9,08/31/23 11:26:18 PM,8.481,,,,,
10,09/01/23 01:26:18 AM,7.280,,,,,
11,09/01/23 03:26:18 AM,5.962,,,,,
12,09/01/23 05:26:18 AM,5.347,,,,,
13,09/01/23 07:26:18 AM,5.552,,,,,
14,09/01/23 09:26:18 AM,8.382,,,,,
15,09/01/23 11:26:18 AM,12.594,,,,,
16,09/01/23 01:26:18 PM,15.187,,,,,
17,09/01/23 03:26:18 PM,17.094,,,,,
18,09/01/23 05:26:18 PM,14.996,,,,,
19,09/01/23 07:26:18 PM,11.722,,,,,
20,09/01/23 09:26:18 PM,10.161,,,,,
21,09/01/23 11:26:18 PM,8.779,,,,,
22,09/02/23 01:26:18 AM,7.682,,,,,
23,09/02/23 03:26:18 AM,6.573,,,,,
24,09/02/23 05:26:18 AM,6.268,,,,,
25,09/02/23 07:26:18 AM,5.962,,,,,
26,09/02/23 09:26:18 AM,8.282,,,,,
27,09/02/23 11:26:18 AM,11.139,,,,,
28,09/02/23 01:26:18 PM,17.570,,,,,
29,09/02/23 03:26:18 PM,17.379,,,,,
30,09/02/23 05:26:18 PM,14.325,,,,,
31,09/02/23 07:26:18 PM,11.528,,,,,
32,09/02/23 09:26:18 PM,8.978,,,,,
33,09/02/23 11:26:18 PM,8.182,,,,,
34,09/03/23 01:26:18 AM,7.682,,,,,
35,09/03/23 03:26:18 AM,6.978,,,,,
36,09/03/23 05:26:18 AM,5.860,,,,,
37,09/03/23 07:26:18 AM,5.655,,,,,
38,09/03/23 09:26:18 AM,8.481,,,,,
39,09/03/23 11:26:18 AM,11.041,,,,,
40,09/03/23 01:26:18 PM,13.461,,,,,
41,09/03/23 03:26:18 PM,12.401,,,,,
42,09/03/23 05:26:18 PM,11.625,,,,,
43,09/03/23 07:26:18 PM,9.965,,,,,
44,09/03/23 09:26:18 PM,8.182,,,,,
45,09/03/23 11:26:18 PM,7.079,,,,,
46,09/04/23 01:26:18 AM,6.064,,,,,
47,09/04/23 03:26:18 AM,5.141,,,,,
48,09/04/23 05:26:18 AM,4.415,,,,,
49,09/04/23 07:26:18 AM,3.998,,,,,
50,09/04/23 09:26:18 AM,6.775,,,,,
51,09/04/23 11:26:18 AM,10.063,,,,,
52,09/04/23 01:26:18 PM,13.076,,,,,
53,09/04/23 03:26:18 PM,16.046,,,,,
54,09/04/23 05:26:18 PM,13.942,,,,,
55,09/04/23 07:26:18 PM,9.373,,,,,
56,09/04/23 09:26:18 PM,6.978,,,,,
57,09/04/23 11:26:18 PM,5.347,,,,,
58,09/05/23 01:26:18 AM,4.207,,,,,
59,09/05/23 03:26:18 AM,3.367,,,,,
60,09/05/23 05:26:18 AM,2.730,,,,,
61,09/05/23 07:26:18 AM,2.410,,,,,
62,09/05/23 09:26:18 AM,3.893,,,,,
63,09/05/23 11:26:18 AM,9.472,,,,,
64,09/05/23 01:26:18 PM,15.473,,,,,
65,09/05/23 03:26:18 PM,17.284,,,,,
66,09/05/23 05:26:18 PM,13.461,,,,,
67,09/05/23 07:26:18 PM,10.063,,,,,
68,09/05/23 09:26:18 PM,7.280,,,,,
69,09/05/23 11:26:18 PM,6.064,,,,,
70,09/06/23 01:26:18 AM,5.347,,,,,
71,09/06/23 03:26:18 AM,4.519,,,,,
72,09/06/23 05:26:18 AM,3.788,,,,,
73,09/06/23 07:26:18 AM,3.472,,,,,
74,09/06/23 09:26:18 AM,5.757,,,,,
75,09/06/23 11:26:18 AM,10.553,,,,,
76,09/06/23 01:26:18 PM,15.664,,,,,
77,09/06/23 03:26:18 PM,19.187,,,,,
78,09/06/23 05:26:18 PM,17.855,,,,,
79,09/06/23 07:26:18 PM,12.304,,,,,
80,09/06/23 09:26:18 PM,8.581,,,,,
