"Plot Title: 20384653"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20384653, SEN S/N: 20384653)","Coupler Detached (LGR S/N: 20384653)","Coupler Attached (LGR S/N: 20384653)","Host Connected (LGR S/N: 20384653)","End Of File (LGR S/N: 20384653)"
1,08/30/23 06:40:57 PM,22.525,,,,
2,08/30/23 06:41:05 PM,,Logged,,,
3,08/30/23 10:40:57 PM,21.664,,,,
4,08/31/23 02:40:57 AM,21.282,,,,
5,08/31/23 06:40:57 AM,20.901,,,,
6,08/31/23 10:40:57 AM,36.728,,,,
7,08/31/23 10:49:12 AM,,,Logged,,
8,08/31/23 10:49:22 AM,,,,Logged,
9,08/31/23 10:49:35 AM,,Logged,,,
10,08/31/23 02:40:57 PM,17.284,,,,
11,08/31/23 06:40:57 PM,13.269,,,,
12,08/31/23 10:40:57 PM,7.782,,,,
13,09/01/23 02:40:57 AM,5.757,,,,
14,09/01/23 06:40:57 AM,4.727,,,,
15,09/01/23 10:40:57 AM,10.944,,,,
16,09/01/23 02:40:57 PM,17.570,,,,
17,09/01/23 06:40:57 PM,12.787,,,,
18,09/01/23 10:40:57 PM,8.879,,,,
19,09/02/23 02:40:57 AM,6.573,,,,
20,09/02/23 06:40:57 AM,5.552,,,,
21,09/02/23 10:40:57 AM,9.373,,,,
22,09/02/23 02:40:57 PM,17.570,,,,
23,09/02/23 06:40:57 PM,11.916,,,,
24,09/02/23 10:40:57 PM,7.782,,,,
25,09/03/23 02:40:57 AM,6.775,,,,
26,09/03/23 06:40:57 AM,5.037,,,,
27,09/03/23 10:40:57 AM,10.455,,,,
28,09/03/23 02:40:57 PM,14.709,,,,
29,09/03/23 06:40:57 PM,10.748,,,,
30,09/03/23 10:40:57 PM,7.280,,,,
31,09/04/23 02:40:57 AM,5.037,,,,
32,09/04/23 06:40:57 AM,3.578,,,,
33,09/04/23 10:40:57 AM,9.669,,,,
34,09/04/23 02:40:57 PM,13.365,,,,
35,09/04/23 06:40:57 PM,8.680,,,,
36,09/04/23 10:40:57 PM,4.831,,,,
37,09/05/23 02:40:57 AM,3.155,,,,
38,09/05/23 06:40:57 AM,2.088,,,,
39,09/05/23 10:40:57 AM,5.552,,,,
40,09/05/23 02:40:57 PM,14.230,,,,
41,09/05/23 06:40:57 PM,9.275,,,,
42,09/05/23 10:40:57 PM,4.623,,,,
43,09/06/23 02:40:57 AM,3.893,,,,
44,09/06/23 06:40:57 AM,2.624,,,,
45,09/06/23 10:40:57 AM,6.674,,,,
46,09/06/23 02:40:57 PM,14.421,,,,
47,09/06/23 06:40:57 PM,10.357,,,,
48,09/06/23 10:40:57 PM,5.141,,,,
49,09/07/23 02:40:57 AM,3.472,,,,
50,09/07/23 06:40:57 AM,2.730,,,,
51,09/07/23 10:40:57 AM,6.573,,,,
52,09/07/23 02:40:57 PM,13.076,,,,
53,09/07/23 06:40:57 PM,9.275,,,,
54,09/07/23 10:40:57 PM,4.102,,,,
55,09/08/23 02:40:57 AM,2.837,,,,
56,09/08/23 06:40:57 AM,2.195,,,,
57,09/08/23 10:40:57 AM,7.381,,,,
58,09/08/23 02:40:57 PM,14.230,,,,
59,09/08/23 06:40:57 PM,9.866,,,,
60,09/08/23 10:40:57 PM,4.727,,,,
61,09/09/23 02:40:57 AM,3.155,,,,
62,09/09/23 06:40:57 AM,2.624,,,,
63,09/09/23 10:40:57 AM,7.782,,,,
64,09/09/23 02:40:57 PM,16.618,,,,
65,09/09/23 06:40:57 PM,10.846,,,,
66,09/09/23 10:40:57 PM,6.370,,,,
67,09/10/23 02:40:57 AM,4.519,,,,
68,09/10/23 06:40:57 AM,3.049,,,,
69,09/10/23 10:40:57 AM,8.382,,,,
70,09/10/23 02:40:57 PM,12.207,,,,
71,09/10/23 06:40:57 PM,7.983,,,,
72,09/10/23 10:40:57 PM,4.623,,,,
73,09/11/23 02:40:57 AM,3.155,,,,
74,09/11/23 06:40:57 AM,2.624,,,,
75,09/11/23 10:40:57 AM,5.552,,,,
76,09/11/23 02:40:57 PM,5.552,,,,
77,09/11/23 06:40:57 PM,2.624,,,,
78,09/11/23 10:40:57 PM,2.195,,,,
79,09/12/23 02:40:57 AM,1.439,,,,
80,09/12/23 06:40:57 AM,0.784,,,,
81,09/12/23 10:40:57 AM,2.517,,,,
82,09/12/23 02:40:57 PM,7.782,,,,
83,09/12/23 06:40:57 PM,4.934,,,,
84,09/12/23 10:40:57 PM,3.049,,,,
85,09/13/23 02:40:57 AM,1.764,,,,
86,09/13/23 06:40:57 AM,0.893,,,,
87,09/13/23 10:40:57 AM,3.367,,,,
88,09/13/23 02:40:57 PM,8.879,,,,
89,09/13/23 06:40:57 PM,5.552,,,,
90,09/13/23 10:40:57 PM,2.088,,,,
91,09/14/23 02:40:57 AM,1.221,,,,
92,09/14/23 06:40:57 AM,0.893,,,,
93,09/14/23 10:40:57 AM,3.049,,,,
94,09/14/23 02:40:57 PM,8.481,,,,
95,09/14/23 06:40:57 PM,3.578,,,,
96,09/14/23 10:40:57 PM,2.303,,,,
97,09/15/23 02:40:57 AM,1.980,,,,
98,09/15/23 06:40:57 AM,1.656,,,,
99,09/15/23 10:40:57 AM,1.548,,,,
100,09/15/23 02:40:57 PM,1.330,,,,
101,09/15/23 06:40:57 PM,1.221,,,,
102,09/15/23 10:40:57 PM,1.112,,,,
103,09/16/23 02:40:57 AM,1.112,,,,
104,09/16/23 06:40:57 AM,1.112,,,,
105,09/16/23 10:40:57 AM,1.003,,,,
106,09/16/23 02:40:57 PM,1.003,,,,
107,09/16/23 06:40:57 PM,0.893,,,,
108,09/16/23 10:40:57 PM,0.893,,,,
109,09/17/23 02:40:57 AM,0.784,,,,
110,09/17/23 06:40:57 AM,0.674,,,,
111,09/17/23 10:40:57 AM,0.563,,,,
112,09/17/23 02:40:57 PM,0.674,,,,
113,09/17/23 06:40:57 PM,0.674,,,,
114,09/17/23 10:40:57 PM,0.674,,,,
115,09/18/23 02:40:57 AM,0.563,,,,
116,09/18/23 06:40:57 AM,0.453,,,,
117,09/18/23 10:40:57 AM,0.563,,,,
118,09/18/23 02:40:57 PM,0.563,,,,
119,09/18/23 06:40:57 PM,0.563,,,,
120,09/18/23 10:40:57 PM,0.563,,,,
121,09/19/23 02:40:57 AM,0.453,,,,
122,09/19/23 06:40:57 AM,0.343,,,,
123,09/19/23 10:40:57 AM,0.343,,,,
124,09/19/23 02:40:57 PM,0.453,,,,
125,09/19/23 06:40:57 PM,0.453,,,,
126,09/19/23 10:40:57 PM,0.453,,,,
127,09/20/23 02:40:57 AM,0.121,,,,
128,09/20/23 06:40:57 AM,0.121,,,,
129,09/20/23 10:40:57 AM,0.232,,,,
130,09/20/23 02:40:57 PM,0.343,,,,
131,09/20/23 06:40:57 PM,0.453,,,,
132,09/20/23 10:40:57 PM,0.453,,,,
133,09/21/23 02:40:57 AM,0.232,,,,
134,09/21/23 06:40:57 AM,0.010,,,,
135,09/21/23 10:40:57 AM,0.121,,,,
136,09/21/23 02:40:57 PM,0.563,,,,
137,09/21/23 06:40:57 PM,0.893,,,,
138,09/21/23 10:40:57 PM,0.343,,,,
139,09/22/23 02:40:57 AM,0.121,,,,
140,09/22/23 06:40:57 AM,-0.213,,,,
141,09/22/23 10:40:57 AM,0.343,,,,
142,09/22/23 02:40:57 PM,2.943,,,,
143,09/22/23 06:40:57 PM,0.784,,,,
144,09/22/23 10:40:57 PM,0.010,,,,
145,09/23/23 02:40:57 AM,-0.325,,,,
146,09/23/23 06:40:57 AM,-0.774,,,,
147,09/23/23 10:40:57 AM,-0.102,,,,
148,09/23/23 02:40:57 PM,1.330,,,,
149,09/23/23 06:40:57 PM,0.121,,,,
150,09/23/23 10:40:57 PM,-0.325,,,,
151,09/24/23 02:40:57 AM,-0.887,,,,
152,09/24/23 06:40:57 AM,-1.341,,,,
153,09/24/23 10:40:57 AM,0.453,,,,
154,09/24/23 02:40:57 PM,3.893,,,,
155,09/24/23 06:40:57 PM,0.232,,,,
156,09/24/23 10:40:57 PM,-0.325,,,,
157,09/25/23 02:40:57 AM,-0.549,,,,
158,09/25/23 06:40:57 AM,-1.001,,,,
