"Plot Title: 21397966"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397966, SEN S/N: 21397966)","Coupler Detached (LGR S/N: 21397966)","Bad Battery (LGR S/N: 21397966)","End Of File (LGR S/N: 21397966)"
1,08/31/23 12:03:32 PM,21.664,,,
2,08/31/23 12:04:51 PM,,Logged,,
3,08/31/23 02:03:32 PM,21.473,,,
4,08/31/23 04:03:32 PM,23.292,,,
5,08/31/23 06:03:32 PM,18.236,,,
6,08/31/23 08:03:32 PM,15.187,,,
7,08/31/23 10:03:32 PM,11.819,,,
8,09/01/23 12:03:32 AM,10.161,,,
9,09/01/23 02:03:32 AM,8.779,,,
10,09/01/23 04:03:32 AM,7.682,,,
11,09/01/23 06:03:32 AM,6.877,,,
12,09/01/23 08:03:32 AM,6.877,,,
13,09/01/23 10:03:32 AM,9.866,,,
14,09/01/23 12:03:32 PM,13.461,,,
15,09/01/23 02:03:32 PM,16.141,,,
16,09/01/23 04:03:32 PM,16.808,,,
17,09/01/23 06:03:32 PM,15.378,,,
18,09/01/23 08:03:32 PM,12.594,,,
19,09/01/23 10:03:32 PM,11.334,,,
20,09/02/23 12:03:32 AM,10.063,,,
21,09/02/23 02:03:32 AM,9.077,,,
22,09/02/23 04:03:32 AM,8.282,,,
23,09/02/23 06:03:32 AM,7.582,,,
24,09/02/23 08:03:32 AM,7.381,,,
25,09/02/23 10:03:32 AM,9.373,,,
26,09/02/23 12:03:32 PM,13.461,,,
27,09/02/23 02:03:32 PM,19.472,,,
28,09/02/23 04:03:32 PM,16.237,,,
29,09/02/23 06:03:32 PM,15.378,,,
30,09/02/23 08:03:32 PM,12.110,,,
31,09/02/23 10:03:32 PM,10.161,,,
32,09/03/23 12:03:32 AM,9.275,,,
33,09/03/23 02:03:32 AM,8.779,,,
34,09/03/23 04:03:32 AM,7.882,,,
35,09/03/23 06:03:32 AM,7.079,,,
36,09/03/23 08:03:32 AM,6.978,,,
37,09/03/23 10:03:32 AM,9.768,,,
38,09/03/23 12:03:32 PM,11.236,,,
39,09/03/23 02:03:32 PM,12.883,,,
40,09/03/23 04:03:32 PM,12.401,,,
41,09/03/23 06:03:32 PM,11.528,,,
42,09/03/23 08:03:32 PM,9.965,,,
43,09/03/23 10:03:32 PM,8.879,,,
44,09/04/23 12:03:32 AM,7.782,,,
45,09/04/23 02:03:32 AM,6.674,,,
46,09/04/23 04:03:32 AM,5.860,,,
47,09/04/23 06:03:32 AM,5.141,,,
48,09/04/23 08:03:32 AM,4.934,,,
49,09/04/23 10:03:32 AM,8.082,,,
50,09/04/23 12:03:32 PM,10.455,,,
51,09/04/23 02:03:32 PM,15.473,,,
