"Plot Title: jp_TopWest2324"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474967, SEN S/N: 21474967)","Coupler Detached (LGR S/N: 21474967)","End Of File (LGR S/N: 21474967)"
1,09/02/23 11:52:12 AM,21.760,,
2,09/02/23 11:56:48 AM,,Logged,
3,09/02/23 01:52:12 PM,18.806,,
4,09/02/23 03:52:12 PM,16.808,,
5,09/02/23 05:52:12 PM,17.475,,
6,09/02/23 07:52:12 PM,12.980,,
7,09/02/23 09:52:12 PM,10.455,,
8,09/02/23 11:52:12 PM,9.472,,
9,09/03/23 01:52:12 AM,8.680,,
10,09/03/23 03:52:12 AM,8.382,,
11,09/03/23 05:52:12 AM,7.782,,
12,09/03/23 07:52:12 AM,7.481,,
13,09/03/23 09:52:12 AM,10.846,,
14,09/03/23 11:52:12 AM,14.038,,
15,09/03/23 01:52:12 PM,15.855,,
16,09/03/23 03:52:12 PM,10.748,,
17,09/03/23 05:52:12 PM,12.304,,
18,09/03/23 07:52:12 PM,10.944,,
19,09/03/23 09:52:12 PM,9.176,,
20,09/03/23 11:52:12 PM,7.882,,
21,09/04/23 01:52:12 AM,7.079,,
22,09/04/23 03:52:12 AM,6.370,,
23,09/04/23 05:52:12 AM,5.655,,
24,09/04/23 07:52:12 AM,5.347,,
25,09/04/23 09:52:12 AM,9.077,,
26,09/04/23 11:52:12 AM,11.528,,
27,09/04/23 01:52:12 PM,15.569,,
28,09/04/23 03:52:12 PM,16.523,,
29,09/04/23 05:52:12 PM,13.942,,
30,09/04/23 07:52:12 PM,10.259,,
31,09/04/23 09:52:12 PM,8.382,,
32,09/04/23 11:52:12 PM,7.280,,
33,09/05/23 01:52:12 AM,6.573,,
34,09/05/23 03:52:12 AM,5.962,,
35,09/05/23 05:52:12 AM,5.450,,
36,09/05/23 07:52:12 AM,4.934,,
37,09/05/23 09:52:12 AM,7.782,,
38,09/05/23 11:52:12 AM,11.528,,
39,09/05/23 01:52:12 PM,15.760,,
40,09/05/23 03:52:12 PM,18.236,,
41,09/05/23 05:52:12 PM,16.713,,
42,09/05/23 07:52:12 PM,12.401,,
43,09/05/23 09:52:12 PM,9.373,,
44,09/05/23 11:52:12 PM,7.882,,
45,09/06/23 01:52:12 AM,6.978,,
46,09/06/23 03:52:12 AM,6.268,,
47,09/06/23 05:52:12 AM,5.757,,
48,09/06/23 07:52:12 AM,5.655,,
49,09/06/23 09:52:12 AM,8.082,,
50,09/06/23 11:52:12 AM,11.431,,
51,09/06/23 01:52:12 PM,15.473,,
52,09/06/23 03:52:12 PM,17.379,,
53,09/06/23 05:52:12 PM,15.569,,
54,09/06/23 07:52:12 PM,12.497,,
55,09/06/23 09:52:12 PM,9.669,,
56,09/06/23 11:52:12 PM,8.182,,
57,09/07/23 01:52:12 AM,7.381,,
58,09/07/23 03:52:12 AM,6.775,,
59,09/07/23 05:52:12 AM,6.064,,
60,09/07/23 07:52:12 AM,5.757,,
