"Plot Title: 20365618"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365618, SEN S/N: 20365618)","Coupler Detached (LGR S/N: 20365618)","Coupler Attached (LGR S/N: 20365618)","Host Connected (LGR S/N: 20365618)","Bad Battery (LGR S/N: 20365618)","Stopped (LGR S/N: 20365618)","End Of File (LGR S/N: 20365618)"
1,09/01/23 12:08:21 PM,24.545,,,,,,
2,09/01/23 12:08:35 PM,,Logged,,,,,
3,09/01/23 12:08:43 PM,,,Logged,,,,
4,09/01/23 12:08:52 PM,,,,Logged,,,
5,09/01/23 12:09:05 PM,,Logged,,,,,
6,09/01/23 04:08:21 PM,24.351,,,,,,
7,09/01/23 08:08:21 PM,23.677,,,,,,
8,09/02/23 12:08:21 AM,22.142,,,,,,
9,09/02/23 04:08:21 AM,22.717,,,,,,
10,09/02/23 08:08:21 AM,19.662,,,,,,
11,09/02/23 12:08:21 PM,29.752,,,,,,
12,09/02/23 04:08:21 PM,11.819,,,,,,
13,09/02/23 08:08:21 PM,9.669,,,,,,
14,09/03/23 12:08:21 AM,7.582,,,,,,
15,09/03/23 04:08:21 AM,7.179,,,,,,
16,09/03/23 08:08:21 AM,6.674,,,,,,
17,09/03/23 12:08:21 PM,10.553,,,,,,
18,09/03/23 04:08:21 PM,9.571,,,,,,
19,09/03/23 08:08:21 PM,8.879,,,,,,
20,09/04/23 12:08:21 AM,7.179,,,,,,
21,09/04/23 04:08:21 AM,6.370,,,,,,
22,09/04/23 08:08:21 AM,5.552,,,,,,
23,09/04/23 12:08:21 PM,8.581,,,,,,
24,09/04/23 04:08:21 PM,10.651,,,,,,
25,09/04/23 08:08:21 PM,7.782,,,,,,
26,09/05/23 12:08:21 AM,6.573,,,,,,
27,09/05/23 04:08:21 AM,5.860,,,,,,
28,09/05/23 08:08:21 AM,5.450,,,,,,
29,09/05/23 12:08:21 PM,7.682,,,,,,
30,09/05/23 04:08:21 PM,11.236,,,,,,
31,09/05/23 08:08:21 PM,8.382,,,,,,
32,09/06/23 12:08:21 AM,6.268,,,,,,
33,09/06/23 04:08:21 AM,5.552,,,,,,
34,09/06/23 08:08:21 AM,5.037,,,,,,
35,09/06/23 12:08:21 PM,7.381,,,,,,
36,09/06/23 04:08:21 PM,10.455,,,,,,
37,09/06/23 08:08:21 PM,7.582,,,,,,
38,09/07/23 12:08:21 AM,5.655,,,,,,
39,09/07/23 04:08:21 AM,4.934,,,,,,
40,09/07/23 08:08:21 AM,4.519,,,,,,
41,09/07/23 12:08:21 PM,7.079,,,,,,
42,09/07/23 04:08:21 PM,9.077,,,,,,
43,09/07/23 08:08:21 PM,6.471,,,,,,
44,09/08/23 12:08:21 AM,4.519,,,,,,
45,09/08/23 04:08:21 AM,3.893,,,,,,
46,09/08/23 08:08:21 AM,3.998,,,,,,
47,09/08/23 12:08:21 PM,6.877,,,,,,
48,09/08/23 04:08:21 PM,8.978,,,,,,
49,09/08/23 08:08:21 PM,6.573,,,,,,
50,09/09/23 12:08:21 AM,4.519,,,,,,
51,09/09/23 04:08:21 AM,3.683,,,,,,
52,09/09/23 08:08:21 AM,3.998,,,,,,
53,09/09/23 12:08:21 PM,6.370,,,,,,
54,09/09/23 04:08:21 PM,9.866,,,,,,
55,09/09/23 08:08:21 PM,8.082,,,,,,
56,09/10/23 12:08:21 AM,6.268,,,,,,
57,09/10/23 04:08:21 AM,5.757,,,,,,
58,09/10/23 08:08:21 AM,4.934,,,,,,
59,09/10/23 12:08:21 PM,6.674,,,,,,
60,09/10/23 04:08:21 PM,8.879,,,,,,
61,09/10/23 08:08:21 PM,7.381,,,,,,
62,09/11/23 12:08:21 AM,5.962,,,,,,
63,09/11/23 04:08:21 AM,5.552,,,,,,
64,09/11/23 08:08:21 AM,4.623,,,,,,
65,09/11/23 12:08:21 PM,6.978,,,,,,
66,09/11/23 04:08:21 PM,8.779,,,,,,
67,09/11/23 08:08:21 PM,6.775,,,,,,
68,09/12/23 12:08:21 AM,5.244,,,,,,
69,09/12/23 04:08:21 AM,3.788,,,,,,
70,09/12/23 08:08:21 AM,3.049,,,,,,
71,09/12/23 12:08:21 PM,6.166,,,,,,
72,09/12/23 04:08:21 PM,6.978,,,,,,
73,09/12/23 08:08:21 PM,6.573,,,,,,
74,09/13/23 12:08:21 AM,4.207,,,,,,
75,09/13/23 04:08:21 AM,3.261,,,,,,
76,09/13/23 08:08:21 AM,2.837,,,,,,
77,09/13/23 12:08:21 PM,5.450,,,,,,
78,09/13/23 04:08:21 PM,7.280,,,,,,
79,09/13/23 08:08:21 PM,5.244,,,,,,
80,09/14/23 12:08:21 AM,3.788,,,,,,
81,09/14/23 04:08:21 AM,3.155,,,,,,
82,09/14/23 08:08:21 AM,3.261,,,,,,
83,09/14/23 12:08:21 PM,5.962,,,,,,
84,09/14/23 04:08:21 PM,7.179,,,,,,
85,09/14/23 08:08:21 PM,4.623,,,,,,
86,09/15/23 12:08:21 AM,3.893,,,,,,
87,09/15/23 04:08:21 AM,3.578,,,,,,
88,09/15/23 08:08:21 AM,3.367,,,,,,
89,09/15/23 12:08:21 PM,4.934,,,,,,
90,09/15/23 04:08:21 PM,9.373,,,,,,
91,09/15/23 08:08:21 PM,5.757,,,,,,
92,09/16/23 12:08:21 AM,3.472,,,,,,
93,09/16/23 04:08:21 AM,2.624,,,,,,
94,09/16/23 08:08:21 AM,1.980,,,,,,
95,09/16/23 12:08:21 PM,2.943,,,,,,
96,09/16/23 04:08:21 PM,8.182,,,,,,
97,09/16/23 08:08:21 PM,4.623,,,,,,
98,09/17/23 12:08:21 AM,2.730,,,,,,
99,09/17/23 04:08:21 AM,2.088,,,,,,
100,09/17/23 08:08:21 AM,1.548,,,,,,
101,09/17/23 12:08:21 PM,3.261,,,,,,
102,09/17/23 04:08:21 PM,7.882,,,,,,
103,09/17/23 08:08:21 PM,4.934,,,,,,
104,09/18/23 12:08:21 AM,3.261,,,,,,
105,09/18/23 04:08:21 AM,2.517,,,,,,
106,09/18/23 08:08:21 AM,2.303,,,,,,
107,09/18/23 12:08:21 PM,5.037,,,,,,
108,09/18/23 04:08:21 PM,6.573,,,,,,
109,09/18/23 08:08:21 PM,4.102,,,,,,
110,09/19/23 12:08:21 AM,3.472,,,,,,
111,09/19/23 04:08:21 AM,3.155,,,,,,
112,09/19/23 08:08:21 AM,2.730,,,,,,
113,09/19/23 12:08:21 PM,4.207,,,,,,
114,09/19/23 04:08:21 PM,6.064,,,,,,
115,09/19/23 08:08:21 PM,3.893,,,,,,
116,09/20/23 12:08:21 AM,2.730,,,,,,
117,09/20/23 04:08:21 AM,2.195,,,,,,
118,09/20/23 08:08:21 AM,1.764,,,,,,
119,09/20/23 12:08:21 PM,3.155,,,,,,
120,09/20/23 04:08:21 PM,6.775,,,,,,
121,09/20/23 08:08:21 PM,4.207,,,,,,
122,09/21/23 12:08:21 AM,2.837,,,,,,
123,09/21/23 04:08:21 AM,2.303,,,,,,
124,09/21/23 08:08:21 AM,1.980,,,,,,
125,09/21/23 12:08:21 PM,4.102,,,,,,
126,09/21/23 04:08:21 PM,8.282,,,,,,
127,09/21/23 08:08:21 PM,4.415,,,,,,
128,09/22/23 12:08:21 AM,2.517,,,,,,
129,09/22/23 04:08:21 AM,1.764,,,,,,
130,09/22/23 08:08:21 AM,1.330,,,,,,
131,09/22/23 12:08:21 PM,2.088,,,,,,
132,09/22/23 04:08:21 PM,4.311,,,,,,
133,09/22/23 08:08:21 PM,2.624,,,,,,
134,09/23/23 12:08:21 AM,1.656,,,,,,
135,09/23/23 04:08:21 AM,1.439,,,,,,
136,09/23/23 08:08:21 AM,0.674,,,,,,
137,09/23/23 12:08:21 PM,1.330,,,,,,
138,09/23/23 04:08:21 PM,3.578,,,,,,
139,09/23/23 08:08:21 PM,1.656,,,,,,
140,09/24/23 12:08:21 AM,0.893,,,,,,
141,09/24/23 04:08:21 AM,0.343,,,,,,
142,09/24/23 08:08:21 AM,-0.102,,,,,,
143,09/24/23 12:08:21 PM,1.221,,,,,,
144,09/24/23 04:08:21 PM,4.102,,,,,,
145,09/24/23 08:08:21 PM,1.548,,,,,,
146,09/25/23 12:08:21 AM,0.784,,,,,,
147,09/25/23 04:08:21 AM,0.232,,,,,,
148,09/25/23 08:08:21 AM,-0.102,,,,,,
149,09/25/23 12:08:21 PM,1.872,,,,,,
150,09/25/23 04:08:21 PM,4.623,,,,,,
151,09/25/23 08:08:21 PM,2.195,,,,,,
152,09/26/23 12:08:21 AM,1.003,,,,,,
153,09/26/23 04:08:21 AM,0.784,,,,,,
154,09/26/23 08:08:21 AM,0.784,,,,,,
155,09/26/23 12:08:21 PM,3.049,,,,,,
156,09/26/23 04:08:21 PM,4.831,,,,,,
157,09/26/23 08:08:21 PM,3.578,,,,,,
158,09/27/23 12:08:21 AM,1.656,,,,,,
159,09/27/23 04:08:21 AM,1.112,,,,,,
160,09/27/23 08:08:21 AM,1.003,,,,,,
161,09/27/23 12:08:21 PM,3.578,,,,,,
162,09/27/23 04:08:21 PM,6.978,,,,,,
163,09/27/23 08:08:21 PM,3.893,,,,,,
164,09/28/23 12:08:21 AM,2.624,,,,,,
165,09/28/23 04:08:21 AM,2.088,,,,,,
166,09/28/23 08:08:21 AM,1.656,,,,,,
167,09/28/23 12:08:21 PM,4.415,,,,,,
168,09/28/23 04:08:21 PM,6.877,,,,,,
169,09/28/23 08:08:21 PM,4.311,,,,,,
170,09/29/23 12:08:21 AM,2.837,,,,,,
171,09/29/23 04:08:21 AM,2.088,,,,,,
172,09/29/23 08:08:21 AM,1.656,,,,,,
173,09/29/23 12:08:21 PM,3.998,,,,,,
174,09/29/23 04:08:21 PM,7.381,,,,,,
175,09/29/23 08:08:21 PM,4.415,,,,,,
176,09/30/23 12:08:21 AM,2.624,,,,,,
177,09/30/23 04:08:21 AM,2.195,,,,,,
178,09/30/23 08:08:21 AM,1.439,,,,,,
179,09/30/23 12:08:21 PM,4.207,,,,,,
180,09/30/23 04:08:21 PM,5.655,,,,,,
181,09/30/23 08:08:21 PM,3.155,,,,,,
182,10/01/23 12:08:21 AM,2.410,,,,,,
183,10/01/23 04:08:21 AM,1.764,,,,,,
184,10/01/23 08:08:21 AM,1.872,,,,,,
185,10/01/23 12:08:21 PM,4.207,,,,,,
186,10/01/23 04:08:21 PM,6.978,,,,,,
187,10/01/23 08:08:21 PM,4.102,,,,,,
188,10/02/23 12:08:21 AM,2.624,,,,,,
189,10/02/23 04:08:21 AM,2.088,,,,,,
190,10/02/23 08:08:21 AM,2.303,,,,,,
191,10/02/23 12:08:21 PM,4.207,,,,,,
192,10/02/23 04:08:21 PM,5.244,,,,,,
193,10/02/23 08:08:21 PM,3.155,,,,,,
194,10/03/23 12:08:21 AM,2.517,,,,,,
195,10/03/23 04:08:21 AM,1.764,,,,,,
196,10/03/23 08:08:21 AM,1.656,,,,,,
197,10/03/23 12:08:21 PM,2.088,,,,,,
198,10/03/23 04:08:21 PM,2.517,,,,,,
199,10/03/23 08:08:21 PM,1.872,,,,,,
200,10/04/23 12:08:21 AM,1.221,,,,,,
201,10/04/23 04:08:21 AM,0.343,,,,,,
202,10/04/23 08:08:21 AM,0.232,,,,,,
203,10/04/23 12:08:21 PM,1.439,,,,,,
204,10/04/23 04:08:21 PM,2.088,,,,,,
205,10/04/23 08:08:21 PM,1.221,,,,,,
206,10/05/23 12:08:21 AM,0.893,,,,,,
207,10/05/23 04:08:21 AM,0.784,,,,,,
208,10/05/23 08:08:21 AM,0.563,,,,,,
209,10/05/23 12:08:21 PM,1.764,,,,,,
210,10/05/23 04:08:21 PM,3.261,,,,,,
211,10/05/23 08:08:21 PM,1.439,,,,,,
212,10/06/23 12:08:21 AM,0.784,,,,,,
213,10/06/23 04:08:21 AM,0.343,,,,,,
214,10/06/23 08:08:21 AM,0.232,,,,,,
215,10/06/23 12:08:21 PM,1.330,,,,,,
216,10/06/23 04:08:21 PM,2.837,,,,,,
217,10/06/23 08:08:21 PM,1.112,,,,,,
218,10/07/23 12:08:21 AM,0.343,,,,,,
219,10/07/23 04:08:21 AM,-0.102,,,,,,
220,10/07/23 08:08:21 AM,-0.213,,,,,,
221,10/07/23 12:08:21 PM,1.112,,,,,,
222,10/07/23 04:08:21 PM,1.980,,,,,,
223,10/07/23 08:08:21 PM,0.563,,,,,,
224,10/08/23 12:08:21 AM,-0.213,,,,,,
225,10/08/23 04:08:21 AM,-0.549,,,,,,
226,10/08/23 08:08:21 AM,-0.662,,,,,,
227,10/08/23 12:08:21 PM,1.003,,,,,,
228,10/08/23 04:08:21 PM,2.517,,,,,,
229,10/08/23 08:08:21 PM,0.343,,,,,,
230,10/09/23 12:08:21 AM,-0.213,,,,,,
231,10/09/23 04:08:21 AM,-0.662,,,,,,
232,10/09/23 08:08:21 AM,-0.774,,,,,,
233,10/09/23 12:08:21 PM,0.784,,,,,,
234,10/09/23 04:08:21 PM,2.410,,,,,,
235,10/09/23 08:08:21 PM,-0.102,,,,,,
236,10/10/23 12:08:21 AM,-0.437,,,,,,
237,10/10/23 04:08:21 AM,-0.774,,,,,,
238,10/10/23 08:08:21 AM,-0.887,,,,,,
239,10/10/23 12:08:21 PM,0.563,,,,,,
240,10/10/23 04:08:21 PM,2.088,,,,,,
241,10/10/23 08:08:21 PM,0.232,,,,,,
242,10/11/23 12:08:21 AM,-0.102,,,,,,
243,10/11/23 04:08:21 AM,-0.102,,,,,,
244,10/11/23 08:08:21 AM,-0.213,,,,,,
245,10/11/23 12:08:21 PM,1.439,,,,,,
246,10/11/23 04:08:21 PM,0.563,,,,,,
247,10/11/23 08:08:21 PM,0.343,,,,,,
248,10/12/23 12:08:21 AM,0.121,,,,,,
249,10/12/23 04:08:21 AM,0.010,,,,,,
250,10/12/23 08:08:21 AM,-0.102,,,,,,
251,10/12/23 12:08:21 PM,0.121,,,,,,
252,10/12/23 04:08:21 PM,0.232,,,,,,
253,10/12/23 08:08:21 PM,0.121,,,,,,
254,10/13/23 12:08:21 AM,-0.102,,,,,,
255,10/13/23 04:08:21 AM,-0.102,,,,,,
256,10/13/23 08:08:21 AM,-0.102,,,,,,
257,10/13/23 12:08:21 PM,-0.102,,,,,,
258,10/13/23 04:08:21 PM,0.121,,,,,,
259,10/13/23 08:08:21 PM,0.121,,,,,,
260,10/14/23 12:08:21 AM,0.010,,,,,,
261,10/14/23 04:08:21 AM,0.010,,,,,,
