"Plot Title: 20578489"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20578489, SEN S/N: 20578489)","Coupler Detached (LGR S/N: 20578489)","Coupler Attached (LGR S/N: 20578489)","Host Connected (LGR S/N: 20578489)","End Of File (LGR S/N: 20578489)"
1,09/04/23 04:28:07 PM,25.708,,,,
2,09/04/23 04:28:18 PM,,Logged,,,
3,09/04/23 08:28:07 PM,23.869,,,,
4,09/05/23 12:28:07 AM,23.292,,,,
5,09/05/23 04:28:07 AM,22.238,,,,
6,09/05/23 08:28:07 AM,19.472,,,,
7,09/05/23 12:28:07 PM,16.618,,,,
8,09/05/23 04:28:07 PM,17.284,,,,
9,09/05/23 08:28:07 PM,12.207,,,,
10,09/06/23 12:28:07 AM,9.373,,,,
11,09/06/23 04:28:07 AM,7.682,,,,
12,09/06/23 08:28:07 AM,8.779,,,,
13,09/06/23 12:28:07 PM,18.140,,,,
14,09/06/23 04:28:07 PM,19.282,,,,
15,09/06/23 08:28:07 PM,13.654,,,,
16,09/07/23 12:28:07 AM,10.357,,,,
17,09/07/23 04:28:07 AM,8.680,,,,
18,09/07/23 08:28:07 AM,9.571,,,,
19,09/07/23 12:28:07 PM,17.570,,,,
20,09/07/23 04:28:07 PM,18.331,,,,
21,09/07/23 08:28:07 PM,13.173,,,,
22,09/08/23 12:28:07 AM,10.357,,,,
23,09/08/23 04:28:07 AM,8.581,,,,
24,09/08/23 08:28:07 AM,10.846,,,,
25,09/08/23 12:28:07 PM,21.473,,,,
26,09/08/23 04:28:07 PM,20.615,,,,
27,09/08/23 08:28:07 PM,14.134,,,,
28,09/09/23 12:28:07 AM,10.944,,,,
29,09/09/23 04:28:07 AM,8.978,,,,
30,09/09/23 08:28:07 AM,11.722,,,,
31,09/09/23 12:28:07 PM,22.046,,,,
32,09/09/23 04:28:07 PM,19.662,,,,
33,09/09/23 08:28:07 PM,14.421,,,,
34,09/10/23 12:28:07 AM,12.013,,,,
35,09/10/23 04:28:07 AM,10.259,,,,
36,09/10/23 08:28:07 AM,11.625,,,,
37,09/10/23 12:28:07 PM,12.690,,,,
38,09/10/23 04:28:07 PM,12.304,,,,
39,09/10/23 08:28:07 PM,9.571,,,,
40,09/11/23 12:28:07 AM,8.481,,,,
41,09/11/23 04:28:07 AM,7.179,,,,
42,09/11/23 08:28:07 AM,7.280,,,,
43,09/11/23 12:28:07 PM,11.139,,,,
44,09/11/23 04:28:07 PM,10.455,,,,
45,09/11/23 08:28:07 PM,8.879,,,,
46,09/12/23 12:28:07 AM,6.064,,,,
47,09/12/23 04:28:07 AM,4.623,,,,
48,09/12/23 08:28:07 AM,6.166,,,,
49,09/12/23 12:28:07 PM,16.618,,,,
50,09/12/23 04:28:07 PM,14.230,,,,
51,09/12/23 08:28:07 PM,9.472,,,,
52,09/13/23 12:28:07 AM,6.978,,,,
53,09/13/23 04:28:07 AM,5.450,,,,
54,09/13/23 08:28:07 AM,7.179,,,,
55,09/13/23 12:28:07 PM,12.207,,,,
56,09/13/23 04:28:07 PM,13.461,,,,
57,09/13/23 08:28:07 PM,8.680,,,,
58,09/14/23 12:28:07 AM,6.370,,,,
59,09/14/23 04:28:07 AM,5.141,,,,
60,09/14/23 08:28:07 AM,5.962,,,,
61,09/14/23 12:28:07 PM,10.651,,,,
62,09/14/23 04:28:07 PM,7.481,,,,
63,09/14/23 08:28:07 PM,6.370,,,,
64,09/15/23 12:28:07 AM,5.860,,,,
65,09/15/23 04:28:07 AM,5.141,,,,
66,09/15/23 08:28:07 AM,4.831,,,,
67,09/15/23 12:28:07 PM,6.775,,,,
68,09/15/23 04:28:07 PM,8.182,,,,
69,09/15/23 08:28:07 PM,5.037,,,,
70,09/16/23 12:28:07 AM,3.367,,,,
71,09/16/23 04:28:07 AM,2.410,,,,
72,09/16/23 08:28:07 AM,1.872,,,,
73,09/16/23 12:28:07 PM,15.282,,,,
74,09/16/23 04:28:07 PM,14.996,,,,
75,09/16/23 08:28:07 PM,9.275,,,,
76,09/17/23 12:28:07 AM,6.166,,,,
77,09/17/23 04:28:07 AM,4.519,,,,
78,09/17/23 08:28:07 AM,4.519,,,,
79,09/17/23 12:28:07 PM,15.187,,,,
80,09/17/23 04:28:07 PM,15.855,,,,
81,09/17/23 08:28:07 PM,10.455,,,,
82,09/18/23 12:28:07 AM,7.782,,,,
83,09/18/23 04:28:07 AM,6.064,,,,
84,09/18/23 08:28:07 AM,7.682,,,,
85,09/18/23 12:28:07 PM,12.207,,,,
86,09/18/23 04:28:07 PM,12.787,,,,
87,09/18/23 08:28:07 PM,8.680,,,,
88,09/19/23 12:28:07 AM,6.775,,,,
89,09/19/23 04:28:07 AM,5.860,,,,
90,09/19/23 08:28:07 AM,6.064,,,,
91,09/19/23 12:28:07 PM,15.569,,,,
92,09/19/23 04:28:07 PM,14.996,,,,
93,09/19/23 08:28:07 PM,9.669,,,,
94,09/20/23 12:28:07 AM,7.179,,,,
95,09/20/23 04:28:07 AM,5.962,,,,
96,09/20/23 08:28:07 AM,6.877,,,,
97,09/20/23 12:28:07 PM,16.618,,,,
98,09/20/23 04:28:07 PM,14.900,,,,
99,09/20/23 08:28:07 PM,10.161,,,,
100,09/21/23 12:28:07 AM,8.282,,,,
101,09/21/23 04:28:07 AM,5.962,,,,
102,09/21/23 08:28:07 AM,6.166,,,,
103,09/21/23 12:28:07 PM,17.284,,,,
104,09/21/23 04:28:07 PM,14.709,,,,
105,09/21/23 08:28:07 PM,9.965,,,,
106,09/22/23 12:28:07 AM,7.381,,,,
107,09/22/23 04:28:07 AM,5.450,,,,
108,09/22/23 08:28:07 AM,6.064,,,,
109,09/22/23 12:28:07 PM,17.379,,,,
110,09/22/23 04:28:07 PM,16.046,,,,
111,09/22/23 08:28:07 PM,10.161,,,,
112,09/23/23 12:28:07 AM,7.381,,,,
113,09/23/23 04:28:07 AM,4.727,,,,
114,09/23/23 08:28:07 AM,3.683,,,,
115,09/23/23 12:28:07 PM,11.528,,,,
116,09/23/23 04:28:07 PM,11.334,,,,
117,09/23/23 08:28:07 PM,7.782,,,,
118,09/24/23 12:28:07 AM,5.347,,,,
119,09/24/23 04:28:07 AM,3.788,,,,
120,09/24/23 08:28:07 AM,5.037,,,,
121,09/24/23 12:28:07 PM,16.427,,,,
122,09/24/23 04:28:07 PM,15.664,,,,
123,09/24/23 08:28:07 PM,9.669,,,,
124,09/25/23 12:28:07 AM,6.674,,,,
125,09/25/23 04:28:07 AM,4.934,,,,
126,09/25/23 08:28:07 AM,6.674,,,,
127,09/25/23 12:28:07 PM,19.758,,,,
128,09/25/23 04:28:07 PM,17.570,,,,
129,09/25/23 08:28:07 PM,11.334,,,,
130,09/26/23 12:28:07 AM,8.779,,,,
131,09/26/23 04:28:07 AM,6.775,,,,
132,09/26/23 08:28:07 AM,8.082,,,,
133,09/26/23 12:28:07 PM,19.187,,,,
134,09/26/23 04:28:07 PM,18.140,,,,
135,09/26/23 08:28:07 PM,12.110,,,,
136,09/27/23 12:28:07 AM,9.275,,,,
137,09/27/23 04:28:07 AM,7.481,,,,
138,09/27/23 08:28:07 AM,8.779,,,,
139,09/27/23 12:28:07 PM,21.760,,,,
140,09/27/23 04:28:07 PM,19.282,,,,
141,09/27/23 08:28:07 PM,13.076,,,,
142,09/28/23 12:28:07 AM,10.455,,,,
143,09/28/23 04:28:07 AM,8.879,,,,
144,09/28/23 08:28:07 AM,10.748,,,,
145,09/28/23 12:28:07 PM,23.581,,,,
146,09/28/23 04:28:07 PM,19.567,,,,
147,09/28/23 08:28:07 PM,14.517,,,,
148,09/29/23 12:28:07 AM,10.553,,,,
149,09/29/23 04:28:07 AM,8.581,,,,
150,09/29/23 08:28:07 AM,10.944,,,,
151,09/29/23 12:28:07 PM,23.196,,,,
152,09/29/23 04:28:07 PM,20.424,,,,
153,09/29/23 08:28:07 PM,13.558,,,,
154,09/30/23 12:28:07 AM,10.748,,,,
155,09/30/23 04:28:07 AM,8.581,,,,
156,09/30/23 08:28:07 AM,9.373,,,,
157,09/30/23 12:28:07 PM,20.424,,,,
158,09/30/23 04:28:07 PM,14.709,,,,
159,09/30/23 08:28:07 PM,11.236,,,,
160,10/01/23 12:28:07 AM,9.669,,,,
161,10/01/23 04:28:07 AM,8.680,,,,
162,10/01/23 08:28:07 AM,9.669,,,,
163,10/01/23 12:28:07 PM,17.855,,,,
164,10/01/23 04:28:07 PM,16.046,,,,
165,10/01/23 08:28:07 PM,10.944,,,,
166,10/02/23 12:28:07 AM,8.879,,,,
167,10/02/23 04:28:07 AM,7.582,,,,
168,10/02/23 08:28:07 AM,7.381,,,,
169,10/02/23 12:28:07 PM,16.618,,,,
170,10/02/23 04:28:07 PM,13.461,,,,
171,10/02/23 08:28:07 PM,8.680,,,,
172,10/03/23 12:28:07 AM,6.471,,,,
173,10/03/23 04:28:07 AM,4.519,,,,
174,10/03/23 08:28:07 AM,3.893,,,,
175,10/03/23 12:28:07 PM,8.282,,,,
176,10/03/23 04:28:07 PM,10.357,,,,
177,10/03/23 08:28:07 PM,4.415,,,,
178,10/04/23 12:28:07 AM,4.623,,,,
179,10/04/23 04:28:07 AM,3.155,,,,
180,10/04/23 08:28:07 AM,3.261,,,,
181,10/04/23 12:28:07 PM,11.819,,,,
182,10/04/23 04:28:07 PM,10.748,,,,
183,10/04/23 08:28:07 PM,6.064,,,,
184,10/05/23 12:28:07 AM,4.415,,,,
185,10/05/23 04:28:07 AM,3.998,,,,
186,10/05/23 08:28:07 AM,4.727,,,,
187,10/05/23 12:28:07 PM,14.230,,,,
188,10/05/23 04:28:07 PM,13.654,,,,
189,10/05/23 08:28:07 PM,8.282,,,,
190,10/06/23 12:28:07 AM,5.860,,,,
191,10/06/23 04:28:07 AM,5.450,,,,
192,10/06/23 08:28:07 AM,4.415,,,,
193,10/06/23 12:28:07 PM,10.553,,,,
194,10/06/23 04:28:07 PM,13.461,,,,
195,10/06/23 08:28:07 PM,7.782,,,,
196,10/07/23 12:28:07 AM,5.860,,,,
197,10/07/23 04:28:07 AM,4.623,,,,
198,10/07/23 08:28:07 AM,5.757,,,,
199,10/07/23 12:28:07 PM,18.616,,,,
200,10/07/23 04:28:07 PM,16.808,,,,
201,10/07/23 08:28:07 PM,9.571,,,,
202,10/08/23 12:28:07 AM,7.079,,,,
203,10/08/23 04:28:07 AM,5.860,,,,
204,10/08/23 08:28:07 AM,6.573,,,,
205,10/08/23 12:28:07 PM,18.901,,,,
206,10/08/23 04:28:07 PM,17.475,,,,
207,10/08/23 08:28:07 PM,10.259,,,,
208,10/09/23 12:28:07 AM,7.381,,,,
209,10/09/23 04:28:07 AM,6.064,,,,
210,10/09/23 08:28:07 AM,7.079,,,,
211,10/09/23 12:28:07 PM,18.331,,,,
212,10/09/23 04:28:07 PM,16.332,,,,
213,10/09/23 08:28:07 PM,10.161,,,,
214,10/10/23 12:28:07 AM,7.179,,,,
215,10/10/23 04:28:07 AM,5.037,,,,
216,10/10/23 08:28:07 AM,6.573,,,,
217,10/10/23 12:28:07 PM,19.472,,,,
218,10/10/23 04:28:07 PM,16.523,,,,
219,10/10/23 08:28:07 PM,10.455,,,,
220,10/11/23 12:28:07 AM,7.782,,,,
221,10/11/23 04:28:07 AM,6.471,,,,
222,10/11/23 08:28:07 AM,6.978,,,,
223,10/11/23 12:28:07 PM,11.041,,,,
224,10/11/23 04:28:07 PM,6.978,,,,
225,10/11/23 08:28:07 PM,5.141,,,,
226,10/12/23 12:28:07 AM,4.623,,,,
227,10/12/23 04:28:07 AM,4.102,,,,
228,10/12/23 08:28:07 AM,3.049,,,,
229,10/12/23 12:28:07 PM,2.943,,,,
230,10/12/23 04:28:07 PM,2.517,,,,
231,10/12/23 08:28:07 PM,2.088,,,,
232,10/13/23 12:28:07 AM,1.872,,,,
233,10/13/23 04:28:07 AM,1.330,,,,
234,10/13/23 08:28:07 AM,0.674,,,,
235,10/13/23 12:28:07 PM,2.837,,,,
236,10/13/23 04:28:07 PM,8.581,,,,
237,10/13/23 08:28:07 PM,3.578,,,,
238,10/14/23 12:28:07 AM,1.980,,,,
239,10/14/23 04:28:07 AM,0.893,,,,
240,10/14/23 08:28:07 AM,0.784,,,,
241,10/14/23 12:28:07 PM,1.980,,,,
242,10/14/23 04:28:07 PM,9.176,,,,
243,10/14/23 08:28:07 PM,4.102,,,,
244,10/15/23 12:28:07 AM,2.624,,,,
245,10/15/23 04:28:07 AM,1.112,,,,
246,10/15/23 08:28:07 AM,0.563,,,,
247,10/15/23 12:28:07 PM,10.846,,,,
248,10/15/23 04:28:07 PM,10.455,,,,
249,10/15/23 08:28:07 PM,5.347,,,,
250,10/16/23 12:28:07 AM,3.683,,,,
251,10/16/23 04:28:07 AM,2.943,,,,
252,10/16/23 08:28:07 AM,2.517,,,,
253,10/16/23 12:28:07 PM,13.846,,,,
254,10/16/23 04:28:07 PM,13.173,,,,
255,10/16/23 08:28:07 PM,7.682,,,,
256,10/17/23 12:28:07 AM,5.655,,,,
257,10/17/23 04:28:07 AM,4.934,,,,
258,10/17/23 08:28:07 AM,4.831,,,,
259,10/17/23 12:28:07 PM,12.594,,,,
260,10/17/23 04:28:07 PM,13.558,,,,
261,10/17/23 08:28:07 PM,8.282,,,,
262,10/18/23 12:28:07 AM,6.064,,,,
263,10/18/23 04:28:07 AM,4.415,,,,
264,10/18/23 08:28:07 AM,4.102,,,,
265,10/18/23 12:28:07 PM,10.651,,,,
266,10/18/23 04:28:07 PM,10.161,,,,
267,10/18/23 08:28:07 PM,6.471,,,,
268,10/19/23 12:28:07 AM,4.934,,,,
269,10/19/23 04:28:07 AM,3.998,,,,
270,10/19/23 08:28:07 AM,4.415,,,,
271,10/19/23 12:28:07 PM,13.654,,,,
272,10/19/23 04:28:07 PM,13.461,,,,
273,10/19/23 08:28:07 PM,7.782,,,,
274,10/20/23 12:28:07 AM,5.860,,,,
275,10/20/23 04:28:07 AM,4.727,,,,
276,10/20/23 08:28:07 AM,5.347,,,,
277,10/20/23 12:28:07 PM,13.846,,,,
278,10/20/23 04:28:07 PM,13.173,,,,
279,10/20/23 08:28:07 PM,8.082,,,,
280,10/21/23 12:28:07 AM,5.552,,,,
281,10/21/23 04:28:07 AM,4.727,,,,
282,10/21/23 08:28:07 AM,4.831,,,,
283,10/21/23 12:28:07 PM,16.713,,,,
284,10/21/23 04:28:07 PM,14.996,,,,
285,10/21/23 08:28:07 PM,9.472,,,,
286,10/22/23 12:28:07 AM,8.382,,,,
287,10/22/23 04:28:07 AM,5.860,,,,
288,10/22/23 08:28:07 AM,5.860,,,,
289,10/22/23 12:28:07 PM,15.664,,,,
290,10/22/23 04:28:07 PM,14.804,,,,
291,10/22/23 08:28:07 PM,8.581,,,,
292,10/23/23 12:28:07 AM,6.064,,,,
293,10/23/23 04:28:07 AM,4.934,,,,
294,10/23/23 08:28:07 AM,5.450,,,,
295,10/23/23 12:28:07 PM,16.903,,,,
296,10/23/23 04:28:07 PM,13.365,,,,
297,10/23/23 08:28:07 PM,8.978,,,,
298,10/24/23 12:28:07 AM,6.775,,,,
299,10/24/23 04:28:07 AM,5.037,,,,
300,10/24/23 08:28:07 AM,4.207,,,,
301,10/24/23 12:28:07 PM,14.421,,,,
