"Plot Title: nw_NorthUpper_2324"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397967, SEN S/N: 21397967)","Coupler Detached (LGR S/N: 21397967)","Bad Battery (LGR S/N: 21397967)","End Of File (LGR S/N: 21397967)"
1,09/05/23 12:20:32 PM,22.046,,,
2,09/05/23 12:20:45 PM,,Logged,,
3,09/05/23 02:20:32 PM,13.654,,,
4,09/05/23 04:20:32 PM,15.951,,,
5,09/05/23 06:20:32 PM,13.750,,,
6,09/05/23 08:20:32 PM,10.651,,,
7,09/05/23 10:20:32 PM,8.779,,,
8,09/06/23 12:20:32 AM,7.381,,,
9,09/06/23 02:20:32 AM,6.674,,,
10,09/06/23 04:20:32 AM,6.268,,,
11,09/06/23 06:20:32 AM,5.962,,,
12,09/06/23 08:20:32 AM,6.064,,,
13,09/06/23 10:20:32 AM,7.983,,,
14,09/06/23 12:20:32 PM,11.139,,,
15,09/06/23 02:20:32 PM,15.569,,,
16,09/06/23 04:20:32 PM,17.950,,,
17,09/06/23 06:20:32 PM,17.094,,,
18,09/06/23 08:20:32 PM,13.461,,,
19,09/06/23 10:20:32 PM,10.944,,,
20,09/07/23 12:20:32 AM,9.571,,,
21,09/07/23 02:20:32 AM,8.581,,,
22,09/07/23 04:20:32 AM,8.082,,,
23,09/07/23 06:20:32 AM,7.481,,,
24,09/07/23 08:20:32 AM,7.079,,,
25,09/07/23 10:20:32 AM,8.581,,,
26,09/07/23 12:20:32 PM,11.236,,,
27,09/07/23 02:20:32 PM,14.709,,,
28,09/07/23 04:20:32 PM,16.808,,,
29,09/07/23 06:20:32 PM,16.713,,,
30,09/07/23 08:20:32 PM,13.365,,,
31,09/07/23 10:20:32 PM,10.651,,,
32,09/08/23 12:20:32 AM,9.077,,,
33,09/08/23 02:20:32 AM,7.882,,,
34,09/08/23 04:20:32 AM,6.978,,,
35,09/08/23 06:20:32 AM,6.064,,,
36,09/08/23 08:20:32 AM,5.962,,,
37,09/08/23 10:20:32 AM,8.779,,,
38,09/08/23 12:20:32 PM,13.076,,,
39,09/08/23 02:20:32 PM,16.808,,,
40,09/08/23 04:20:32 PM,18.806,,,
41,09/08/23 06:20:32 PM,17.665,,,
42,09/08/23 08:20:32 PM,14.038,,,
43,09/08/23 10:20:32 PM,11.431,,,
44,09/09/23 12:20:32 AM,9.571,,,
45,09/09/23 02:20:32 AM,8.182,,,
46,09/09/23 04:20:32 AM,7.280,,,
47,09/09/23 06:20:32 AM,6.674,,,
48,09/09/23 08:20:32 AM,6.370,,,
49,09/09/23 10:20:32 AM,9.275,,,
50,09/09/23 12:20:32 PM,13.750,,,
51,09/09/23 02:20:32 PM,15.569,,,
52,09/09/23 04:20:32 PM,17.379,,,
53,09/09/23 06:20:32 PM,14.804,,,
54,09/09/23 08:20:32 PM,12.594,,,
55,09/09/23 10:20:32 PM,11.139,,,
56,09/10/23 12:20:32 AM,9.866,,,
57,09/10/23 02:20:32 AM,8.779,,,
58,09/10/23 04:20:32 AM,8.182,,,
59,09/10/23 06:20:32 AM,7.381,,,
60,09/10/23 08:20:32 AM,6.877,,,
61,09/10/23 10:20:32 AM,8.382,,,
62,09/10/23 12:20:32 PM,9.669,,,
63,09/10/23 02:20:32 PM,10.553,,,
64,09/10/23 04:20:32 PM,10.455,,,
65,09/10/23 06:20:32 PM,9.373,,,
66,09/10/23 08:20:32 PM,7.882,,,
67,09/10/23 10:20:32 PM,6.877,,,
68,09/11/23 12:20:32 AM,6.471,,,
69,09/11/23 02:20:32 AM,5.757,,,
70,09/11/23 04:20:32 AM,5.450,,,
71,09/11/23 06:20:32 AM,5.037,,,
72,09/11/23 08:20:32 AM,5.450,,,
73,09/11/23 10:20:32 AM,7.381,,,
74,09/11/23 12:20:32 PM,9.373,,,
75,09/11/23 02:20:32 PM,8.779,,,
76,09/11/23 04:20:32 PM,10.259,,,
77,09/11/23 06:20:32 PM,9.472,,,
78,09/11/23 08:20:32 PM,7.882,,,
79,09/11/23 10:20:32 PM,6.674,,,
80,09/12/23 12:20:32 AM,5.141,,,
81,09/12/23 02:20:32 AM,4.102,,,
82,09/12/23 04:20:32 AM,3.367,,,
83,09/12/23 06:20:32 AM,2.730,,,
84,09/12/23 08:20:32 AM,2.624,,,
85,09/12/23 10:20:32 AM,6.471,,,
86,09/12/23 12:20:32 PM,11.041,,,
87,09/12/23 02:20:32 PM,12.594,,,
88,09/12/23 04:20:32 PM,12.883,,,
89,09/12/23 06:20:32 PM,12.690,,,
90,09/12/23 08:20:32 PM,9.373,,,
91,09/12/23 10:20:32 PM,7.179,,,
92,09/13/23 12:20:32 AM,5.860,,,
93,09/13/23 02:20:32 AM,4.831,,,
94,09/13/23 04:20:32 AM,3.893,,,
95,09/13/23 06:20:32 AM,3.155,,,
96,09/13/23 08:20:32 AM,3.261,,,
97,09/13/23 10:20:32 AM,6.166,,,
98,09/13/23 12:20:32 PM,8.182,,,
99,09/13/23 02:20:32 PM,10.063,,,
100,09/13/23 04:20:32 PM,12.497,,,
101,09/13/23 06:20:32 PM,12.013,,,
102,09/13/23 08:20:32 PM,8.581,,,
103,09/13/23 10:20:32 PM,6.877,,,
104,09/14/23 12:20:32 AM,5.450,,,
105,09/14/23 02:20:32 AM,4.727,,,
106,09/14/23 04:20:32 AM,3.683,,,
107,09/14/23 06:20:32 AM,3.683,,,
108,09/14/23 08:20:32 AM,4.102,,,
109,09/14/23 10:20:32 AM,6.064,,,
110,09/14/23 12:20:32 PM,8.382,,,
111,09/14/23 02:20:32 PM,5.450,,,
112,09/14/23 04:20:32 PM,5.860,,,
113,09/14/23 06:20:32 PM,5.450,,,
114,09/14/23 08:20:32 PM,4.831,,,
115,09/14/23 10:20:32 PM,4.519,,,
116,09/15/23 12:20:32 AM,4.415,,,
117,09/15/23 02:20:32 AM,4.207,,,
118,09/15/23 04:20:32 AM,3.683,,,
119,09/15/23 06:20:32 AM,3.472,,,
120,09/15/23 08:20:32 AM,3.472,,,
121,09/15/23 10:20:32 AM,3.683,,,
122,09/15/23 12:20:32 PM,5.244,,,
123,09/15/23 02:20:32 PM,5.244,,,
124,09/15/23 04:20:32 PM,7.079,,,
125,09/15/23 06:20:32 PM,6.166,,,
126,09/15/23 08:20:32 PM,4.102,,,
127,09/15/23 10:20:32 PM,2.730,,,
128,09/16/23 12:20:32 AM,1.872,,,
129,09/16/23 02:20:32 AM,1.330,,,
130,09/16/23 04:20:32 AM,0.893,,,
131,09/16/23 06:20:32 AM,0.563,,,
132,09/16/23 08:20:32 AM,0.343,,,
133,09/16/23 10:20:32 AM,1.003,,,
134,09/16/23 12:20:32 PM,7.782,,,
135,09/16/23 02:20:32 PM,12.594,,,
136,09/16/23 04:20:32 PM,14.804,,,
137,09/16/23 06:20:32 PM,13.558,,,
138,09/16/23 08:20:32 PM,9.669,,,
139,09/16/23 10:20:32 PM,7.079,,,
140,09/17/23 12:20:32 AM,5.244,,,
141,09/17/23 02:20:32 AM,3.998,,,
142,09/17/23 04:20:32 AM,3.472,,,
143,09/17/23 06:20:32 AM,2.943,,,
144,09/17/23 08:20:32 AM,2.837,,,
145,09/17/23 10:20:32 AM,5.450,,,
146,09/17/23 12:20:32 PM,9.275,,,
147,09/17/23 02:20:32 PM,13.173,,,
148,09/17/23 04:20:32 PM,14.804,,,
149,09/17/23 06:20:32 PM,12.980,,,
150,09/17/23 08:20:32 PM,9.571,,,
151,09/17/23 10:20:32 PM,7.882,,,
152,09/18/23 12:20:32 AM,6.674,,,
153,09/18/23 02:20:32 AM,5.655,,,
154,09/18/23 04:20:32 AM,4.831,,,
155,09/18/23 06:20:32 AM,4.102,,,
156,09/18/23 08:20:32 AM,4.519,,,
157,09/18/23 10:20:32 AM,7.481,,,
158,09/18/23 12:20:32 PM,8.978,,,
159,09/18/23 02:20:32 PM,9.669,,,
160,09/18/23 04:20:32 PM,12.013,,,
161,09/18/23 06:20:32 PM,9.176,,,
162,09/18/23 08:20:32 PM,7.381,,,
163,09/18/23 10:20:32 PM,6.166,,,
164,09/19/23 12:20:32 AM,5.244,,,
165,09/19/23 02:20:32 AM,4.623,,,
166,09/19/23 04:20:32 AM,4.311,,,
167,09/19/23 06:20:32 AM,3.578,,,
168,09/19/23 08:20:32 AM,3.261,,,
169,09/19/23 10:20:32 AM,4.934,,,
170,09/19/23 12:20:32 PM,8.879,,,
171,09/19/23 02:20:32 PM,12.980,,,
172,09/19/23 04:20:32 PM,12.497,,,
173,09/19/23 06:20:32 PM,10.161,,,
174,09/19/23 08:20:32 PM,7.682,,,
175,09/19/23 10:20:32 PM,6.370,,,
176,09/20/23 12:20:32 AM,5.450,,,
177,09/20/23 02:20:32 AM,4.311,,,
178,09/20/23 04:20:32 AM,4.207,,,
179,09/20/23 06:20:32 AM,3.788,,,
180,09/20/23 08:20:32 AM,3.578,,,
181,09/20/23 10:20:32 AM,5.757,,,
182,09/20/23 12:20:32 PM,10.161,,,
183,09/20/23 02:20:32 PM,13.654,,,
184,09/20/23 04:20:32 PM,12.013,,,
185,09/20/23 06:20:32 PM,10.259,,,
186,09/20/23 08:20:32 PM,7.983,,,
187,09/20/23 10:20:32 PM,6.370,,,
188,09/21/23 12:20:32 AM,5.450,,,
189,09/21/23 02:20:32 AM,4.415,,,
190,09/21/23 04:20:32 AM,3.578,,,
191,09/21/23 06:20:32 AM,2.730,,,
192,09/21/23 08:20:32 AM,2.837,,,
193,09/21/23 10:20:32 AM,5.037,,,
194,09/21/23 12:20:32 PM,9.275,,,
195,09/21/23 02:20:32 PM,11.041,,,
196,09/21/23 04:20:32 PM,12.110,,,
197,09/21/23 06:20:32 PM,11.431,,,
198,09/21/23 08:20:32 PM,8.481,,,
199,09/21/23 10:20:32 PM,6.573,,,
200,09/22/23 12:20:32 AM,5.347,,,
201,09/22/23 02:20:32 AM,4.102,,,
202,09/22/23 04:20:32 AM,3.261,,,
203,09/22/23 06:20:32 AM,2.730,,,
204,09/22/23 08:20:32 AM,2.303,,,
205,09/22/23 10:20:32 AM,4.519,,,
206,09/22/23 12:20:32 PM,8.680,,,
207,09/22/23 02:20:32 PM,12.497,,,
208,09/22/23 04:20:32 PM,14.421,,,
209,09/22/23 06:20:32 PM,13.076,,,
210,09/22/23 08:20:32 PM,9.176,,,
211,09/22/23 10:20:32 PM,7.079,,,
212,09/23/23 12:20:32 AM,5.655,,,
213,09/23/23 02:20:32 AM,4.102,,,
214,09/23/23 04:20:32 AM,2.624,,,
215,09/23/23 06:20:32 AM,1.548,,,
216,09/23/23 08:20:32 AM,1.003,,,
217,09/23/23 10:20:32 AM,1.764,,,
218,09/23/23 12:20:32 PM,4.207,,,
219,09/23/23 02:20:32 PM,6.775,,,
220,09/23/23 04:20:32 PM,8.382,,,
221,09/23/23 06:20:32 PM,8.680,,,
222,09/23/23 08:20:32 PM,5.962,,,
