"Plot Title: 20578492"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20578492, SEN S/N: 20578492)","Coupler Detached (LGR S/N: 20578492)","Coupler Attached (LGR S/N: 20578492)","Host Connected (LGR S/N: 20578492)","End Of File (LGR S/N: 20578492)"
1,09/04/23 04:34:26 PM,25.513,,,,
2,09/04/23 04:34:30 PM,,Logged,,,
3,09/04/23 08:34:26 PM,23.869,,,,
4,09/05/23 12:34:26 AM,23.196,,,,
5,09/05/23 04:34:26 AM,21.951,,,,
6,09/05/23 08:34:26 AM,18.140,,,,
7,09/05/23 12:34:26 PM,14.134,,,,
8,09/05/23 04:34:26 PM,15.282,,,,
9,09/05/23 08:34:26 PM,11.041,,,,
10,09/06/23 12:34:26 AM,8.680,,,,
11,09/06/23 04:34:26 AM,7.481,,,,
12,09/06/23 08:34:26 AM,7.682,,,,
13,09/06/23 12:34:26 PM,15.091,,,,
14,09/06/23 04:34:26 PM,16.999,,,,
15,09/06/23 08:34:26 PM,11.916,,,,
16,09/07/23 12:34:26 AM,9.472,,,,
17,09/07/23 04:34:26 AM,8.082,,,,
18,09/07/23 08:34:26 AM,8.182,,,,
19,09/07/23 12:34:26 PM,14.517,,,,
20,09/07/23 04:34:26 PM,15.569,,,,
21,09/07/23 08:34:26 PM,11.139,,,,
22,09/08/23 12:34:26 AM,8.978,,,,
23,09/08/23 04:34:26 AM,7.682,,,,
24,09/08/23 08:34:26 AM,8.382,,,,
25,09/08/23 12:34:26 PM,17.855,,,,
26,09/08/23 04:34:26 PM,17.570,,,,
27,09/08/23 08:34:26 PM,12.207,,,,
28,09/09/23 12:34:26 AM,9.373,,,,
29,09/09/23 04:34:26 AM,7.782,,,,
30,09/09/23 08:34:26 AM,8.978,,,,
31,09/09/23 12:34:26 PM,17.855,,,,
32,09/09/23 04:34:26 PM,16.332,,,,
33,09/09/23 08:34:26 PM,12.401,,,,
34,09/10/23 12:34:26 AM,10.455,,,,
35,09/10/23 04:34:26 AM,9.077,,,,
36,09/10/23 08:34:26 AM,9.275,,,,
37,09/10/23 12:34:26 PM,10.846,,,,
38,09/10/23 04:34:26 PM,10.846,,,,
39,09/10/23 08:34:26 PM,8.879,,,,
40,09/11/23 12:34:26 AM,7.782,,,,
41,09/11/23 04:34:26 AM,6.775,,,,
42,09/11/23 08:34:26 AM,6.775,,,,
43,09/11/23 12:34:26 PM,9.669,,,,
44,09/11/23 04:34:26 PM,9.373,,,,
45,09/11/23 08:34:26 PM,8.082,,,,
46,09/12/23 12:34:26 AM,5.962,,,,
47,09/12/23 04:34:26 AM,4.831,,,,
48,09/12/23 08:34:26 AM,4.831,,,,
49,09/12/23 12:34:26 PM,16.046,,,,
50,09/12/23 04:34:26 PM,13.365,,,,
51,09/12/23 08:34:26 PM,9.077,,,,
52,09/13/23 12:34:26 AM,6.877,,,,
53,09/13/23 04:34:26 AM,5.450,,,,
54,09/13/23 08:34:26 AM,5.655,,,,
55,09/13/23 12:34:26 PM,10.846,,,,
56,09/13/23 04:34:26 PM,12.110,,,,
57,09/13/23 08:34:26 PM,8.082,,,,
58,09/14/23 12:34:26 AM,6.064,,,,
59,09/14/23 04:34:26 AM,4.831,,,,
60,09/14/23 08:34:26 AM,5.347,,,,
61,09/14/23 12:34:26 PM,8.581,,,,
62,09/14/23 04:34:26 PM,6.064,,,,
63,09/14/23 08:34:26 PM,5.552,,,,
64,09/15/23 12:34:26 AM,5.244,,,,
65,09/15/23 04:34:26 AM,4.727,,,,
66,09/15/23 08:34:26 AM,4.415,,,,
67,09/15/23 12:34:26 PM,5.757,,,,
68,09/15/23 04:34:26 PM,7.079,,,,
69,09/15/23 08:34:26 PM,4.934,,,,
70,09/16/23 12:34:26 AM,3.367,,,,
71,09/16/23 04:34:26 AM,2.303,,,,
72,09/16/23 08:34:26 AM,1.764,,,,
73,09/16/23 12:34:26 PM,12.883,,,,
74,09/16/23 04:34:26 PM,13.654,,,,
75,09/16/23 08:34:26 PM,8.282,,,,
76,09/17/23 12:34:26 AM,5.552,,,,
77,09/17/23 04:34:26 AM,4.207,,,,
78,09/17/23 08:34:26 AM,4.207,,,,
79,09/17/23 12:34:26 PM,13.269,,,,
80,09/17/23 04:34:26 PM,14.134,,,,
81,09/17/23 08:34:26 PM,9.176,,,,
