"Plot Title: 21474965"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474965, SEN S/N: 21474965)","Coupler Detached (LGR S/N: 21474965)","End Of File (LGR S/N: 21474965)"
1,08/31/23 02:54:29 PM,28.754,,
2,08/31/23 02:54:48 PM,,Logged,
3,08/31/23 04:54:29 PM,18.996,,
4,08/31/23 06:54:29 PM,15.855,,
5,08/31/23 08:54:29 PM,13.269,,
6,08/31/23 10:54:29 PM,11.334,,
7,09/01/23 12:54:29 AM,10.063,,
8,09/01/23 02:54:29 AM,8.978,,
9,09/01/23 04:54:29 AM,7.882,,
10,09/01/23 06:54:29 AM,7.280,,
11,09/01/23 08:54:29 AM,7.983,,
12,09/01/23 10:54:29 AM,11.722,,
13,09/01/23 12:54:29 PM,15.187,,
14,09/01/23 02:54:29 PM,17.094,,
15,09/01/23 04:54:29 PM,16.903,,
16,09/01/23 06:54:29 PM,14.421,,
17,09/01/23 08:54:29 PM,12.401,,
18,09/01/23 10:54:29 PM,11.041,,
19,09/02/23 12:54:29 AM,9.866,,
20,09/02/23 02:54:29 AM,8.978,,
21,09/02/23 04:54:29 AM,8.182,,
22,09/02/23 06:54:29 AM,7.582,,
23,09/02/23 08:54:29 AM,7.983,,
24,09/02/23 10:54:29 AM,10.259,,
25,09/02/23 12:54:29 PM,14.325,,
26,09/02/23 02:54:29 PM,17.094,,
27,09/02/23 04:54:29 PM,15.091,,
28,09/02/23 06:54:29 PM,13.846,,
29,09/02/23 08:54:29 PM,11.819,,
30,09/02/23 10:54:29 PM,10.553,,
31,09/03/23 12:54:29 AM,9.768,,
32,09/03/23 02:54:29 AM,9.275,,
33,09/03/23 04:54:29 AM,8.481,,
34,09/03/23 06:54:29 AM,7.782,,
35,09/03/23 08:54:29 AM,8.581,,
36,09/03/23 10:54:29 AM,10.944,,
37,09/03/23 12:54:29 PM,12.401,,
38,09/03/23 02:54:29 PM,14.996,,
39,09/03/23 04:54:29 PM,13.558,,
40,09/03/23 06:54:29 PM,12.401,,
41,09/03/23 08:54:29 PM,10.748,,
42,09/03/23 10:54:29 PM,9.669,,
43,09/04/23 12:54:29 AM,8.680,,
44,09/04/23 02:54:29 AM,7.682,,
45,09/04/23 04:54:29 AM,6.978,,
46,09/04/23 06:54:29 AM,6.166,,
47,09/04/23 08:54:29 AM,6.674,,
48,09/04/23 10:54:29 AM,9.965,,
49,09/04/23 12:54:29 PM,13.076,,
50,09/04/23 02:54:29 PM,15.473,,
51,09/04/23 04:54:29 PM,15.282,,
52,09/04/23 06:54:29 PM,12.304,,
53,09/04/23 08:54:29 PM,9.965,,
54,09/04/23 10:54:29 PM,8.481,,
55,09/05/23 12:54:29 AM,7.481,,
56,09/05/23 02:54:29 AM,6.573,,
57,09/05/23 04:54:29 AM,5.962,,
58,09/05/23 06:54:29 AM,5.450,,
59,09/05/23 08:54:29 AM,5.450,,
60,09/05/23 10:54:29 AM,8.282,,
61,09/05/23 12:54:29 PM,13.461,,
62,09/05/23 02:54:29 PM,16.808,,
63,09/05/23 04:54:29 PM,15.282,,
64,09/05/23 06:54:29 PM,13.076,,
65,09/05/23 08:54:29 PM,10.357,,
66,09/05/23 10:54:29 PM,8.680,,
67,09/06/23 12:54:29 AM,7.782,,
68,09/06/23 02:54:29 AM,7.280,,
69,09/06/23 04:54:29 AM,6.370,,
70,09/06/23 06:54:29 AM,5.962,,
71,09/06/23 08:54:29 AM,6.471,,
72,09/06/23 10:54:29 AM,9.965,,
73,09/06/23 12:54:29 PM,14.421,,
74,09/06/23 02:54:29 PM,17.665,,
75,09/06/23 04:54:29 PM,17.760,,
76,09/06/23 06:54:29 PM,14.804,,
77,09/06/23 08:54:29 PM,11.334,,
78,09/06/23 10:54:29 PM,9.373,,
79,09/07/23 12:54:29 AM,8.082,,
80,09/07/23 02:54:29 AM,7.179,,
81,09/07/23 04:54:29 AM,6.674,,
82,09/07/23 06:54:29 AM,6.064,,
83,09/07/23 08:54:29 AM,6.674,,
84,09/07/23 10:54:29 AM,9.965,,
85,09/07/23 12:54:29 PM,14.325,,
86,09/07/23 02:54:29 PM,16.713,,
87,09/07/23 04:54:29 PM,16.237,,
88,09/07/23 06:54:29 PM,13.750,,
89,09/07/23 08:54:29 PM,10.651,,
90,09/07/23 10:54:29 PM,8.680,,
91,09/08/23 12:54:29 AM,7.381,,
92,09/08/23 02:54:29 AM,6.674,,
93,09/08/23 04:54:29 AM,6.166,,
94,09/08/23 06:54:29 AM,5.552,,
95,09/08/23 08:54:29 AM,6.064,,
96,09/08/23 10:54:29 AM,10.553,,
97,09/08/23 12:54:29 PM,15.091,,
98,09/08/23 02:54:29 PM,17.570,,
99,09/08/23 04:54:29 PM,17.379,,
100,09/08/23 06:54:29 PM,14.421,,
101,09/08/23 08:54:29 PM,11.139,,
102,09/08/23 10:54:29 PM,9.176,,
103,09/09/23 12:54:29 AM,7.882,,
104,09/09/23 02:54:29 AM,6.877,,
105,09/09/23 04:54:29 AM,6.064,,
106,09/09/23 06:54:29 AM,5.552,,
107,09/09/23 08:54:29 AM,6.370,,
108,09/09/23 10:54:29 AM,10.846,,
109,09/09/23 12:54:29 PM,15.282,,
110,09/09/23 02:54:29 PM,17.570,,
111,09/09/23 04:54:29 PM,16.999,,
112,09/09/23 06:54:29 PM,13.750,,
113,09/09/23 08:54:29 PM,11.236,,
114,09/09/23 10:54:29 PM,9.965,,
115,09/10/23 12:54:29 AM,8.779,,
116,09/10/23 02:54:29 AM,7.983,,
117,09/10/23 04:54:29 AM,6.877,,
118,09/10/23 06:54:29 AM,6.268,,
119,09/10/23 08:54:29 AM,6.370,,
120,09/10/23 10:54:29 AM,9.275,,
121,09/10/23 12:54:29 PM,9.669,,
122,09/10/23 02:54:29 PM,13.173,,
123,09/10/23 04:54:29 PM,12.980,,
124,09/10/23 06:54:29 PM,11.139,,
125,09/10/23 08:54:29 PM,9.373,,
126,09/10/23 10:54:29 PM,8.282,,
127,09/11/23 12:54:29 AM,7.179,,
128,09/11/23 02:54:29 AM,6.268,,
129,09/11/23 04:54:29 AM,6.064,,
130,09/11/23 06:54:29 AM,5.962,,
131,09/11/23 08:54:29 AM,6.268,,
132,09/11/23 10:54:29 AM,8.082,,
133,09/11/23 12:54:29 PM,10.944,,
134,09/11/23 02:54:29 PM,10.455,,
135,09/11/23 04:54:29 PM,7.381,,
136,09/11/23 06:54:29 PM,6.064,,
137,09/11/23 08:54:29 PM,5.450,,
138,09/11/23 10:54:29 PM,5.037,,
139,09/12/23 12:54:29 AM,4.831,,
140,09/12/23 02:54:29 AM,4.519,,
141,09/12/23 04:54:29 AM,4.415,,
142,09/12/23 06:54:29 AM,3.893,,
143,09/12/23 08:54:29 AM,3.893,,
144,09/12/23 10:54:29 AM,7.682,,
145,09/12/23 12:54:29 PM,13.461,,
146,09/12/23 02:54:29 PM,15.378,,
147,09/12/23 04:54:29 PM,13.750,,
148,09/12/23 06:54:29 PM,11.041,,
149,09/12/23 08:54:29 PM,8.978,,
