"Plot Title: 20406008"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406008, SEN S/N: 20406008)","Coupler Detached (LGR S/N: 20406008)","Coupler Attached (LGR S/N: 20406008)","Host Connected (LGR S/N: 20406008)","End Of File (LGR S/N: 20406008)"
1,08/30/23 06:20:05 PM,22.621,,,,
2,08/30/23 06:20:25 PM,,Logged,,,
3,08/30/23 10:20:05 PM,21.760,,,,
4,08/31/23 02:20:05 AM,21.378,,,,
5,08/31/23 06:20:05 AM,20.805,,,,
6,08/31/23 10:20:05 AM,25.028,,,,
7,08/31/23 02:20:05 PM,39.729,,,,
8,08/31/23 02:56:17 PM,,,Logged,,
9,08/31/23 02:56:23 PM,,,,Logged,
10,08/31/23 02:56:38 PM,,,,Logged,
11,08/31/23 02:56:39 PM,,Logged,,,
12,08/31/23 06:20:05 PM,18.236,,,,
13,08/31/23 10:20:05 PM,11.819,,,,
14,09/01/23 02:20:05 AM,8.879,,,,
15,09/01/23 06:20:05 AM,6.471,,,,
16,09/01/23 10:20:05 AM,12.013,,,,
17,09/01/23 02:20:05 PM,18.236,,,,
18,09/01/23 06:20:05 PM,16.332,,,,
19,09/01/23 10:20:05 PM,11.528,,,,
20,09/02/23 02:20:05 AM,8.779,,,,
21,09/02/23 06:20:05 AM,7.079,,,,
22,09/02/23 10:20:05 AM,10.259,,,,
23,09/02/23 02:20:05 PM,18.996,,,,
24,09/02/23 06:20:05 PM,15.473,,,,
25,09/02/23 10:20:05 PM,10.846,,,,
26,09/03/23 02:20:05 AM,9.275,,,,
27,09/03/23 06:20:05 AM,7.280,,,,
28,09/03/23 10:20:05 AM,11.431,,,,
29,09/03/23 02:20:05 PM,15.378,,,,
30,09/03/23 06:20:05 PM,13.173,,,,
31,09/03/23 10:20:05 PM,9.866,,,,
32,09/04/23 02:20:05 AM,7.381,,,,
33,09/04/23 06:20:05 AM,5.552,,,,
34,09/04/23 10:20:05 AM,9.472,,,,
35,09/04/23 02:20:05 PM,16.046,,,,
36,09/04/23 06:20:05 PM,14.230,,,,
37,09/04/23 10:20:05 PM,8.680,,,,
38,09/05/23 02:20:05 AM,6.268,,,,
39,09/05/23 06:20:05 AM,4.831,,,,
40,09/05/23 10:20:05 AM,6.978,,,,
41,09/05/23 02:20:05 PM,17.855,,,,
42,09/05/23 06:20:05 PM,15.091,,,,
43,09/05/23 10:20:05 PM,8.879,,,,
44,09/06/23 02:20:05 AM,7.179,,,,
45,09/06/23 06:20:05 AM,5.450,,,,
46,09/06/23 10:20:05 AM,9.571,,,,
47,09/06/23 02:20:05 PM,18.996,,,,
48,09/06/23 06:20:05 PM,17.855,,,,
49,09/06/23 10:20:05 PM,9.866,,,,
50,09/07/23 02:20:05 AM,6.775,,,,
51,09/07/23 06:20:05 AM,5.450,,,,
52,09/07/23 10:20:05 AM,9.571,,,,
53,09/07/23 02:20:05 PM,17.760,,,,
54,09/07/23 06:20:05 PM,16.237,,,,
55,09/07/23 10:20:05 PM,8.779,,,,
56,09/08/23 02:20:05 AM,5.962,,,,
57,09/08/23 06:20:05 AM,4.831,,,,
58,09/08/23 10:20:05 AM,10.357,,,,
59,09/08/23 02:20:05 PM,18.711,,,,
60,09/08/23 06:20:05 PM,17.284,,,,
61,09/08/23 10:20:05 PM,9.571,,,,
62,09/09/23 02:20:05 AM,6.471,,,,
63,09/09/23 06:20:05 AM,4.623,,,,
64,09/09/23 10:20:05 AM,10.846,,,,
65,09/09/23 02:20:05 PM,19.187,,,,
66,09/09/23 06:20:05 PM,15.378,,,,
67,09/09/23 10:20:05 PM,10.259,,,,
68,09/10/23 02:20:05 AM,7.782,,,,
69,09/10/23 06:20:05 AM,5.450,,,,
70,09/10/23 10:20:05 AM,8.282,,,,
71,09/10/23 02:20:05 PM,13.461,,,,
72,09/10/23 06:20:05 PM,12.497,,,,
73,09/10/23 10:20:05 PM,8.481,,,,
74,09/11/23 02:20:05 AM,5.450,,,,
75,09/11/23 06:20:05 AM,5.244,,,,
76,09/11/23 10:20:05 AM,7.983,,,,
77,09/11/23 02:20:05 PM,12.304,,,,
78,09/11/23 06:20:05 PM,5.655,,,,
79,09/11/23 10:20:05 PM,4.311,,,,
80,09/12/23 02:20:05 AM,3.578,,,,
81,09/12/23 06:20:05 AM,3.155,,,,Logged
