"Plot Title: 21474964"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474964, SEN S/N: 21474964)","Coupler Detached (LGR S/N: 21474964)","End Of File (LGR S/N: 21474964)"
1,08/31/23 01:37:19 PM,26.585,,
2,08/31/23 01:37:35 PM,,Logged,
3,08/31/23 03:37:19 PM,19.472,,
4,08/31/23 05:37:19 PM,16.237,,
5,08/31/23 07:37:19 PM,13.750,,
6,08/31/23 09:37:19 PM,10.944,,
7,08/31/23 11:37:19 PM,9.768,,
8,09/01/23 01:37:19 AM,8.879,,
9,09/01/23 03:37:19 AM,7.582,,
10,09/01/23 05:37:19 AM,6.775,,
11,09/01/23 07:37:19 AM,6.978,,
12,09/01/23 09:37:19 AM,10.651,,
13,09/01/23 11:37:19 AM,13.461,,
14,09/01/23 01:37:19 PM,16.332,,
15,09/01/23 03:37:19 PM,17.665,,
16,09/01/23 05:37:19 PM,15.760,,
17,09/01/23 07:37:19 PM,12.690,,
18,09/01/23 09:37:19 PM,11.334,,
19,09/01/23 11:37:19 PM,10.063,,
20,09/02/23 01:37:19 AM,8.978,,
21,09/02/23 03:37:19 AM,8.082,,
22,09/02/23 05:37:19 AM,7.481,,
23,09/02/23 07:37:19 AM,7.381,,
24,09/02/23 09:37:19 AM,9.866,,
25,09/02/23 11:37:19 AM,12.110,,
26,09/02/23 01:37:19 PM,16.332,,
27,09/02/23 03:37:19 PM,16.237,,
28,09/02/23 05:37:19 PM,14.134,,
29,09/02/23 07:37:19 PM,12.304,,
30,09/02/23 09:37:19 PM,10.357,,
31,09/02/23 11:37:19 PM,9.669,,
32,09/03/23 01:37:19 AM,9.373,,
33,09/03/23 03:37:19 AM,8.581,,
34,09/03/23 05:37:19 AM,7.682,,
35,09/03/23 07:37:19 AM,7.682,,
36,09/03/23 09:37:19 AM,10.944,,
37,09/03/23 11:37:19 AM,12.883,,
38,09/03/23 01:37:19 PM,14.804,,
39,09/03/23 03:37:19 PM,14.134,,
40,09/03/23 05:37:19 PM,12.980,,
41,09/03/23 07:37:19 PM,11.528,,
42,09/03/23 09:37:19 PM,9.965,,
43,09/03/23 11:37:19 PM,8.879,,
44,09/04/23 01:37:19 AM,7.782,,
45,09/04/23 03:37:19 AM,6.877,,
46,09/04/23 05:37:19 AM,6.166,,
47,09/04/23 07:37:19 AM,5.552,,
48,09/04/23 09:37:19 AM,8.879,,
49,09/04/23 11:37:19 AM,11.722,,
50,09/04/23 01:37:19 PM,14.230,,
51,09/04/23 03:37:19 PM,14.804,,
52,09/04/23 05:37:19 PM,12.594,,
53,09/04/23 07:37:19 PM,9.669,,
54,09/04/23 09:37:19 PM,8.182,,
55,09/04/23 11:37:19 PM,7.079,,
56,09/05/23 01:37:19 AM,6.268,,
57,09/05/23 03:37:19 AM,5.552,,
58,09/05/23 05:37:19 AM,5.141,,
59,09/05/23 07:37:19 AM,4.831,,
60,09/05/23 09:37:19 AM,5.552,,
61,09/05/23 11:37:19 AM,9.472,,
62,09/05/23 01:37:19 PM,14.421,,
63,09/05/23 03:37:19 PM,15.091,,
64,09/05/23 05:37:19 PM,13.846,,
65,09/05/23 07:37:19 PM,10.455,,
66,09/05/23 09:37:19 PM,8.282,,
67,09/05/23 11:37:19 PM,7.381,,
68,09/06/23 01:37:19 AM,7.280,,
69,09/06/23 03:37:19 AM,5.962,,
70,09/06/23 05:37:19 AM,5.655,,
71,09/06/23 07:37:19 AM,5.552,,
72,09/06/23 09:37:19 AM,7.682,,
73,09/06/23 11:37:19 AM,10.651,,
74,09/06/23 01:37:19 PM,14.804,,
75,09/06/23 03:37:19 PM,17.094,,
76,09/06/23 05:37:19 PM,15.378,,
77,09/06/23 07:37:19 PM,11.334,,
78,09/06/23 09:37:19 PM,8.978,,
79,09/06/23 11:37:19 PM,7.582,,
80,09/07/23 01:37:19 AM,6.674,,
81,09/07/23 03:37:19 AM,6.370,,
82,09/07/23 05:37:19 AM,5.757,,
83,09/07/23 07:37:19 AM,5.655,,
84,09/07/23 09:37:19 AM,7.782,,
85,09/07/23 11:37:19 AM,10.553,,
86,09/07/23 01:37:19 PM,14.134,,
87,09/07/23 03:37:19 PM,15.378,,
88,09/07/23 05:37:19 PM,14.230,,
89,09/07/23 07:37:19 PM,10.357,,
90,09/07/23 09:37:19 PM,8.182,,
91,09/07/23 11:37:19 PM,6.877,,
92,09/08/23 01:37:19 AM,6.166,,
93,09/08/23 03:37:19 AM,5.552,,
94,09/08/23 05:37:19 AM,5.141,,
95,09/08/23 07:37:19 AM,4.519,,
96,09/08/23 09:37:19 AM,8.481,,
97,09/08/23 11:37:19 AM,11.528,,
98,09/08/23 01:37:19 PM,14.996,,
99,09/08/23 03:37:19 PM,16.808,,
100,09/08/23 05:37:19 PM,15.282,,
101,09/08/23 07:37:19 PM,10.944,,
102,09/08/23 09:37:19 PM,8.978,,
103,09/08/23 11:37:19 PM,7.582,,
104,09/09/23 01:37:19 AM,6.674,,
105,09/09/23 03:37:19 AM,5.655,,
106,09/09/23 05:37:19 AM,5.244,,
107,09/09/23 07:37:19 AM,5.141,,
108,09/09/23 09:37:19 AM,8.779,,
109,09/09/23 11:37:19 AM,12.304,,
110,09/09/23 01:37:19 PM,15.855,,
111,09/09/23 03:37:19 PM,16.141,,
112,09/09/23 05:37:19 PM,14.134,,
113,09/09/23 07:37:19 PM,11.139,,
114,09/09/23 09:37:19 PM,9.571,,
115,09/09/23 11:37:19 PM,8.581,,
116,09/10/23 01:37:19 AM,7.682,,
117,09/10/23 03:37:19 AM,6.471,,
