"Plot Title: GP_SL_2324"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397965, SEN S/N: 21397965)","Coupler Detached (LGR S/N: 21397965)","Coupler Attached (LGR S/N: 21397965)","Host Connected (LGR S/N: 21397965)","Stopped (LGR S/N: 21397965)","End Of File (LGR S/N: 21397965)"
1,08/31/23 03:42:38 PM,31.880,,,,,
2,08/31/23 03:42:53 PM,,Logged,,,,
3,08/31/23 05:42:38 PM,17.475,,,,,
4,08/31/23 07:42:38 PM,14.900,,,,,
5,08/31/23 09:42:38 PM,12.401,,,,,
6,08/31/23 11:42:38 PM,10.846,,,,,
7,09/01/23 01:42:38 AM,9.669,,,,,
8,09/01/23 03:42:38 AM,8.481,,,,,
9,09/01/23 05:42:38 AM,7.682,,,,,
10,09/01/23 07:42:38 AM,7.280,,,,,
11,09/01/23 09:42:38 AM,9.571,,,,,
12,09/01/23 11:42:38 AM,12.980,,,,,
13,09/01/23 01:42:38 PM,15.664,,,,,
14,09/01/23 03:42:38 PM,16.999,,,,,
15,09/01/23 05:42:38 PM,15.473,,,,,
16,09/01/23 07:42:38 PM,13.269,,,,,
17,09/01/23 09:42:38 PM,11.819,,,,,
18,09/01/23 11:42:38 PM,10.651,,,,,
19,09/02/23 01:42:38 AM,9.571,,,,,
20,09/02/23 03:42:38 AM,8.680,,,,,
21,09/02/23 05:42:38 AM,8.082,,,,,
22,09/02/23 07:42:38 AM,7.682,,,,,
23,09/02/23 09:42:38 AM,9.472,,,,,
24,09/02/23 11:42:38 AM,12.013,,,,,
25,09/02/23 01:42:38 PM,16.523,,,,,
26,09/02/23 03:42:38 PM,16.713,,,,,
27,09/02/23 05:42:38 PM,14.996,,,,,
28,09/02/23 07:42:38 PM,13.269,,,,,
29,09/02/23 09:42:38 PM,11.334,,,,,
30,09/02/23 11:42:38 PM,10.357,,,,,
31,09/03/23 01:42:38 AM,9.866,,,,,
32,09/03/23 03:42:38 AM,9.176,,,,,
33,09/03/23 05:42:38 AM,8.282,,,,,
34,09/03/23 07:42:38 AM,7.882,,,,,
35,09/03/23 09:42:38 AM,10.161,,,,,
36,09/03/23 11:42:38 AM,11.916,,,,,
37,09/03/23 01:42:38 PM,13.461,,,,,
38,09/03/23 03:42:38 PM,13.846,,,,,
39,09/03/23 05:42:38 PM,12.980,,,,,
40,09/03/23 07:42:38 PM,11.722,,,,,
41,09/03/23 09:42:38 PM,10.357,,,,,
42,09/03/23 11:42:38 PM,9.373,,,,,
43,09/04/23 01:42:38 AM,8.382,,,,,
44,09/04/23 03:42:38 AM,7.582,,,,,
45,09/04/23 05:42:38 AM,6.877,,,,,
46,09/04/23 07:42:38 AM,6.268,,,,,
47,09/04/23 09:42:38 AM,8.082,,,,,
48,09/04/23 11:42:38 AM,11.041,,,,,
49,09/04/23 01:42:38 PM,14.134,,,,,
50,09/04/23 03:42:38 PM,15.664,,,,,
51,09/04/23 05:42:38 PM,14.134,,,,,
52,09/04/23 07:42:38 PM,11.236,,,,,
53,09/04/23 09:42:38 PM,9.472,,,,,
54,09/04/23 11:42:38 PM,8.282,,,,,
55,09/05/23 01:42:38 AM,7.381,,,,,
56,09/05/23 03:42:38 AM,6.674,,,,,
57,09/05/23 05:42:38 AM,6.064,,,,,
58,09/05/23 07:42:38 AM,5.655,,,,,
59,09/05/23 09:42:38 AM,6.268,,,,,
60,09/05/23 11:42:38 AM,10.748,,,,,
61,09/05/23 01:42:38 PM,16.141,,,,,
62,09/05/23 03:42:38 PM,16.523,,,,,
63,09/05/23 05:42:38 PM,14.325,,,,,
64,09/05/23 07:42:38 PM,11.819,,,,,
65,09/05/23 09:42:38 PM,9.669,,,,,
66,09/05/23 11:42:38 PM,8.581,,,,,
67,09/06/23 01:42:38 AM,8.082,,,,,
68,09/06/23 03:42:38 AM,7.079,,,,,
69,09/06/23 05:42:38 AM,6.573,,,,,
70,09/06/23 07:42:38 AM,6.268,,,,,
71,09/06/23 09:42:38 AM,7.983,,,,,
72,09/06/23 11:42:38 AM,12.207,,,,,
73,09/06/23 01:42:38 PM,16.808,,,,,
74,09/06/23 03:42:38 PM,18.806,,,,,
75,09/06/23 05:42:38 PM,16.903,,,,,
76,09/06/23 07:42:38 PM,13.269,,,,,
77,09/06/23 09:42:38 PM,10.651,,,,,
78,09/06/23 11:42:38 PM,9.077,,,,,
79,09/07/23 01:42:38 AM,7.983,,,,,
80,09/07/23 03:42:38 AM,7.381,,,,,
81,09/07/23 05:42:38 AM,6.674,,,,,
82,09/07/23 07:42:38 AM,6.268,,,,,
83,09/07/23 09:42:38 AM,8.282,,,,,
84,09/07/23 11:42:38 AM,12.207,,,,,
85,09/07/23 01:42:38 PM,16.237,,,,,
86,09/07/23 03:42:38 PM,17.570,,,,,
87,09/07/23 05:42:38 PM,15.855,,,,,
88,09/07/23 07:42:38 PM,12.401,,,,,
89,09/07/23 09:42:38 PM,10.063,,,,,
90,09/07/23 11:42:38 PM,8.382,,,,,
91,09/08/23 01:42:38 AM,7.481,,,,,
92,09/08/23 03:42:38 AM,6.877,,,,,
93,09/08/23 05:42:38 AM,6.370,,,,,
94,09/08/23 07:42:38 AM,5.655,,,,,
95,09/08/23 09:42:38 AM,8.382,,,,,
96,09/08/23 11:42:38 AM,13.269,,,,,
97,09/08/23 01:42:38 PM,17.189,,,,,
98,09/08/23 03:42:38 PM,18.711,,,,,
99,09/08/23 05:42:38 PM,16.808,,,,,
100,09/08/23 07:42:38 PM,13.076,,,,,
101,09/08/23 09:42:38 PM,10.651,,,,,
102,09/08/23 11:42:38 PM,8.978,,,,,
103,09/09/23 01:42:38 AM,7.882,,,,,
104,09/09/23 03:42:38 AM,6.775,,,,,
105,09/09/23 05:42:38 AM,6.166,,,,,
106,09/09/23 07:42:38 AM,5.962,,,,,
107,09/09/23 09:42:38 AM,8.581,,,,,
108,09/09/23 11:42:38 AM,13.461,,,,,
109,09/09/23 01:42:38 PM,17.379,,,,,
110,09/09/23 03:42:38 PM,17.855,,,,,
111,09/09/23 05:42:38 PM,15.855,,,,,
112,09/09/23 07:42:38 PM,12.980,,,,,
113,09/09/23 09:42:38 PM,11.041,,,,,
114,09/09/23 11:42:38 PM,9.866,,,,,
115,09/10/23 01:42:38 AM,8.879,,,,,
116,09/10/23 03:42:38 AM,7.882,,,,,
117,09/10/23 05:42:38 AM,7.079,,,,,
118,09/10/23 07:42:38 AM,6.370,,,,,
119,09/10/23 09:42:38 AM,7.481,,,,,
120,09/10/23 11:42:38 AM,9.768,,,,,
121,09/10/23 01:42:38 PM,11.334,,,,,
122,09/10/23 03:42:38 PM,13.269,,,,,
123,09/10/23 05:42:38 PM,12.690,,,,,
124,09/10/23 07:42:38 PM,10.455,,,,,
125,09/10/23 09:42:38 PM,9.373,,,,,
126,09/10/23 11:42:38 PM,8.182,,,,,
127,09/11/23 01:42:38 AM,6.775,,,,,
128,09/11/23 03:42:38 AM,6.471,,,,,
129,09/11/23 05:42:38 AM,6.370,,,,,
130,09/11/23 07:42:38 AM,6.268,,,,,
131,09/11/23 09:42:38 AM,7.179,,,,,
132,09/11/23 11:42:38 AM,8.581,,,,,
133,09/11/23 01:42:38 PM,11.625,,,,,
134,09/11/23 03:42:38 PM,9.275,,,,,
135,09/11/23 05:42:38 PM,6.978,,,,,
136,09/11/23 07:42:38 PM,5.962,,,,,
137,09/11/23 09:42:38 PM,5.450,,,,,
138,09/11/23 11:42:38 PM,5.037,,,,,
139,09/12/23 01:42:38 AM,4.831,,,,,
140,09/12/23 03:42:38 AM,4.623,,,,,
141,09/12/23 05:42:38 AM,4.519,,,,,
142,09/12/23 07:42:38 AM,3.893,,,,,
143,09/12/23 09:42:38 AM,5.450,,,,,
144,09/12/23 11:42:38 AM,11.236,,,,,
145,09/12/23 01:42:38 PM,15.855,,,,,
146,09/12/23 03:42:38 PM,14.613,,,,,
147,09/12/23 05:42:38 PM,12.980,,,,,
148,09/12/23 07:42:38 PM,10.259,,,,,
149,09/12/23 09:42:38 PM,8.779,,,,,
150,09/12/23 11:42:38 PM,7.983,,,,,
151,09/13/23 01:42:38 AM,7.179,,,,,
152,09/13/23 03:42:38 AM,5.860,,,,,
153,09/13/23 05:42:38 AM,4.831,,,,,
154,09/13/23 07:42:38 AM,4.207,,,,,
155,09/13/23 09:42:38 AM,6.573,,,,,
156,09/13/23 11:42:38 AM,12.013,,,,,
157,09/13/23 01:42:38 PM,12.304,,,,,
158,09/13/23 03:42:38 PM,11.139,,,,,
159,09/13/23 05:42:38 PM,10.259,,,,,
160,09/13/23 07:42:38 PM,8.978,,,,,
161,09/13/23 09:42:38 PM,7.280,,,,,
162,09/13/23 11:42:38 PM,5.757,,,,,
163,09/14/23 01:42:38 AM,4.831,,,,,
