"Plot Title: 21397973"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397973, SEN S/N: 21397973)","Coupler Detached (LGR S/N: 21397973)","Bad Battery (LGR S/N: 21397973)","Coupler Attached (LGR S/N: 21397973)","Host Connected (LGR S/N: 21397973)","End Of File (LGR S/N: 21397973)"
1,08/31/23 10:46:16 AM,18.901,,,,,
2,08/31/23 10:47:52 AM,,Logged,,,,
3,08/31/23 12:46:16 PM,18.331,,,,,
4,08/31/23 02:46:16 PM,19.758,,,,,
5,08/31/23 04:46:16 PM,18.045,,,,,
6,08/31/23 06:46:16 PM,12.497,,,,,
7,08/31/23 08:46:16 PM,8.779,,,,,
8,08/31/23 10:46:16 PM,6.877,,,,,
9,09/01/23 12:46:16 AM,5.962,,,,,
10,09/01/23 02:46:16 AM,5.037,,,,,
11,09/01/23 04:46:16 AM,4.207,,,,,
12,09/01/23 06:46:16 AM,4.415,,,,,
13,09/01/23 08:46:16 AM,8.282,,,,,
14,09/01/23 10:46:16 AM,15.091,,,,,
15,09/01/23 12:46:16 PM,19.567,,,,,
16,09/01/23 02:46:16 PM,18.616,,,,,
17,09/01/23 04:46:16 PM,16.427,,,,,
18,09/01/23 06:46:16 PM,11.139,,,,,
19,09/01/23 08:46:16 PM,9.077,,,,,
20,09/01/23 10:46:16 PM,7.782,,,,,
21,09/02/23 12:46:16 AM,6.775,,,,,
22,09/02/23 02:46:16 AM,5.757,,,,,
23,09/02/23 04:46:16 AM,5.244,,,,,
24,09/02/23 06:46:16 AM,4.831,,,,,
25,09/02/23 08:46:16 AM,7.682,,,,,
26,09/02/23 10:46:16 AM,10.455,,,,,
27,09/02/23 12:46:16 PM,16.141,,,,,
28,09/02/23 02:46:16 PM,18.521,,,,,
29,09/02/23 04:46:16 PM,12.207,,,,,
30,09/02/23 06:46:16 PM,10.944,,,,,
31,09/02/23 08:46:16 PM,7.782,,,,,
32,09/02/23 10:46:16 PM,7.079,,,,,
33,09/03/23 12:46:16 AM,6.775,,,,,
34,09/03/23 02:46:16 AM,6.268,,,,,
35,09/03/23 04:46:16 AM,5.244,,,,,
36,09/03/23 06:46:16 AM,4.623,,,,,
37,09/03/23 08:46:16 AM,8.680,,,,,
38,09/03/23 10:46:16 AM,11.431,,,,,
39,09/03/23 12:46:16 PM,12.980,,,,,
40,09/03/23 02:46:16 PM,15.569,,,,,
41,09/03/23 04:46:16 PM,11.819,,,,,
42,09/03/23 06:46:16 PM,10.063,,,,,
43,09/03/23 08:46:16 PM,7.582,,,,,
44,09/03/23 10:46:16 PM,6.573,,,,,
45,09/04/23 12:46:16 AM,5.655,,,,,
