"Plot Title: 20365609"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365609, SEN S/N: 20365609)","Coupler Detached (LGR S/N: 20365609)","Coupler Attached (LGR S/N: 20365609)","Host Connected (LGR S/N: 20365609)","Stopped (LGR S/N: 20365609)","End Of File (LGR S/N: 20365609)"
1,08/30/23 06:40:23 PM,23.004,,,,,
2,08/30/23 06:40:34 PM,,Logged,,,,
3,08/30/23 10:40:23 PM,21.760,,,,,
4,08/31/23 02:40:23 AM,21.378,,,,,
5,08/31/23 06:40:23 AM,20.710,,,,,
6,08/31/23 10:40:23 AM,26.097,,,,,
7,08/31/23 12:06:22 PM,,,Logged,,,
8,08/31/23 12:07:13 PM,,Logged,,,,
9,08/31/23 02:40:23 PM,21.282,,,,,
10,08/31/23 06:40:23 PM,17.284,,,,,
11,08/31/23 10:40:23 PM,11.431,,,,,
12,09/01/23 02:40:23 AM,8.082,,,,,
13,09/01/23 06:40:23 AM,6.370,,,,,
14,09/01/23 10:40:23 AM,12.207,,,,,
15,09/01/23 02:40:23 PM,15.951,,,,,
16,09/01/23 06:40:23 PM,13.365,,,,,
17,09/01/23 10:40:23 PM,10.651,,,,,
18,09/02/23 02:40:23 AM,8.382,,,,,
19,09/02/23 06:40:23 AM,6.978,,,,,
20,09/02/23 10:40:23 AM,11.431,,,,,
21,09/02/23 02:40:23 PM,19.187,,,,,
22,09/02/23 06:40:23 PM,13.461,,,,,
23,09/02/23 10:40:23 PM,9.669,,,,,
24,09/03/23 02:40:23 AM,7.983,,,,,
25,09/03/23 06:40:23 AM,6.268,,,,,
26,09/03/23 10:40:23 AM,10.063,,,,,
27,09/03/23 02:40:23 PM,12.401,,,,,
28,09/03/23 06:40:23 PM,10.357,,,,,
29,09/03/23 10:40:23 PM,7.882,,,,,
30,09/04/23 02:40:23 AM,5.860,,,,,
31,09/04/23 06:40:23 AM,4.311,,,,,
32,09/04/23 10:40:23 AM,9.077,,,,,
33,09/04/23 02:40:23 PM,15.855,,,,,
34,09/04/23 06:40:23 PM,12.401,,,,,
35,09/04/23 10:40:23 PM,6.978,,,,,
36,09/05/23 02:40:23 AM,4.207,,,,,
37,09/05/23 06:40:23 AM,2.624,,,,,
38,09/05/23 10:40:23 AM,9.571,,,,,
39,09/05/23 02:40:23 PM,19.377,,,,,
40,09/05/23 06:40:23 PM,12.594,,,,,
41,09/05/23 10:40:23 PM,7.481,,,,,
42,09/06/23 02:40:23 AM,5.552,,,,,
43,09/06/23 06:40:23 AM,3.998,,,,,
44,09/06/23 10:40:23 AM,11.236,,,,,
45,09/06/23 02:40:23 PM,20.424,,,,,
46,09/06/23 06:40:23 PM,16.808,,,,,
47,09/06/23 10:40:23 PM,10.063,,,,,
48,09/07/23 02:40:23 AM,6.674,,,,,
49,09/07/23 06:40:23 AM,4.831,,,,,
50,09/07/23 10:40:23 AM,11.625,,,,,
51,09/07/23 02:40:23 PM,19.472,,,,,
52,09/07/23 06:40:23 PM,15.569,,,,,
53,09/07/23 10:40:23 PM,9.373,,,,,
54,09/08/23 02:40:23 AM,6.877,,,,,
55,09/08/23 06:40:23 AM,5.347,,,,,
56,09/08/23 10:40:23 AM,14.134,,,,,
57,09/08/23 02:40:23 PM,21.378,,,,,
58,09/08/23 06:40:23 PM,16.903,,,,,
59,09/08/23 10:40:23 PM,10.161,,,,,
60,09/09/23 02:40:23 AM,6.877,,,,,
61,09/09/23 06:40:23 AM,5.141,,,,,
62,09/09/23 10:40:23 AM,14.613,,,,,
63,09/09/23 02:40:23 PM,22.717,,,,,
64,09/09/23 06:40:23 PM,15.855,,,,,
65,09/09/23 10:40:23 PM,10.553,,,,,
66,09/10/23 02:40:23 AM,8.082,,,,,
67,09/10/23 06:40:23 AM,5.962,,,,,
68,09/10/23 10:40:23 AM,12.207,,,,,
69,09/10/23 02:40:23 PM,14.709,,,,,
70,09/10/23 06:40:23 PM,11.625,,,,,
71,09/10/23 10:40:23 PM,6.370,,,,,
72,09/11/23 02:40:23 AM,4.415,,,,,
73,09/11/23 06:40:23 AM,3.578,,,,,
74,09/11/23 10:40:23 AM,8.182,,,,,
75,09/11/23 02:40:23 PM,7.381,,,,,
76,09/11/23 06:40:23 PM,3.998,,,,,
77,09/11/23 10:40:23 PM,3.049,,,,,
78,09/12/23 02:40:23 AM,2.088,,,,,
79,09/12/23 06:40:23 AM,1.439,,,,,
80,09/12/23 10:40:23 AM,7.280,,,,,
81,09/12/23 02:40:23 PM,14.517,,,,,
82,09/12/23 06:40:23 PM,9.768,,,,,
83,09/12/23 10:40:23 PM,5.347,,,,,
84,09/13/23 02:40:23 AM,3.472,,,,,
85,09/13/23 06:40:23 AM,1.980,,,,,
86,09/13/23 10:40:23 AM,7.983,,,,,
87,09/13/23 02:40:23 PM,11.334,,,,,
88,09/13/23 06:40:23 PM,7.882,,,,,
89,09/13/23 10:40:23 PM,4.519,,,,,
90,09/14/23 02:40:23 AM,2.517,,,,,
91,09/14/23 06:40:23 AM,1.872,,,,,
92,09/14/23 10:40:23 AM,3.998,,,,,
93,09/14/23 02:40:23 PM,6.573,,,,,
94,09/14/23 06:40:23 PM,4.311,,,,,
