"Plot Title: 21474966"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474966, SEN S/N: 21474966)","Coupler Detached (LGR S/N: 21474966)","End Of File (LGR S/N: 21474966)"
1,09/02/23 11:02:37 AM,31.166,,
2,09/02/23 11:02:52 AM,,Logged,
3,09/02/23 01:02:37 PM,17.379,,
4,09/02/23 03:02:37 PM,19.187,,
5,09/02/23 05:02:37 PM,17.284,,
6,09/02/23 07:02:37 PM,15.378,,
7,09/02/23 09:02:37 PM,12.013,,
8,09/02/23 11:02:37 PM,10.455,,
9,09/03/23 01:02:37 AM,9.669,,
10,09/03/23 03:02:37 AM,9.176,,
11,09/03/23 05:02:37 AM,8.581,,
12,09/03/23 07:02:37 AM,7.983,,
13,09/03/23 09:02:37 AM,9.472,,
14,09/03/23 11:02:37 AM,12.980,,
15,09/03/23 01:02:37 PM,13.654,,
16,09/03/23 03:02:37 PM,17.189,,
17,09/03/23 05:02:37 PM,14.134,,
18,09/03/23 07:02:37 PM,12.401,,
19,09/03/23 09:02:37 PM,10.063,,
20,09/03/23 11:02:37 PM,8.879,,
21,09/04/23 01:02:37 AM,7.882,,
22,09/04/23 03:02:37 AM,7.079,,
23,09/04/23 05:02:37 AM,6.268,,
24,09/04/23 07:02:37 AM,5.552,,
25,09/04/23 09:02:37 AM,7.280,,
26,09/04/23 11:02:37 AM,11.916,,
27,09/04/23 01:02:37 PM,14.709,,
28,09/04/23 03:02:37 PM,15.473,,
29,09/04/23 05:02:37 PM,15.760,,
30,09/04/23 07:02:37 PM,12.013,,
31,09/04/23 09:02:37 PM,9.571,,
32,09/04/23 11:02:37 PM,8.481,,
33,09/05/23 01:02:37 AM,7.582,,
34,09/05/23 03:02:37 AM,6.877,,
35,09/05/23 05:02:37 AM,6.370,,
36,09/05/23 07:02:37 AM,5.757,,
37,09/05/23 09:02:37 AM,6.877,,
38,09/05/23 11:02:37 AM,10.846,,
39,09/05/23 01:02:37 PM,15.187,,
40,09/05/23 03:02:37 PM,18.426,,
41,09/05/23 05:02:37 PM,17.665,,
42,09/05/23 07:02:37 PM,14.517,,
43,09/05/23 09:02:37 PM,11.041,,
44,09/05/23 11:02:37 PM,9.373,,
45,09/06/23 01:02:37 AM,8.082,,
46,09/06/23 03:02:37 AM,7.280,,
47,09/06/23 05:02:37 AM,6.573,,
48,09/06/23 07:02:37 AM,6.064,,
49,09/06/23 09:02:37 AM,7.381,,
50,09/06/23 11:02:37 AM,11.041,,
51,09/06/23 01:02:37 PM,15.091,,
52,09/06/23 03:02:37 PM,17.950,,
53,09/06/23 05:02:37 PM,17.379,,
54,09/06/23 07:02:37 PM,14.325,,
55,09/06/23 09:02:37 PM,11.236,,
56,09/06/23 11:02:37 PM,9.373,,
57,09/07/23 01:02:37 AM,8.382,,
58,09/07/23 03:02:37 AM,7.582,,
59,09/07/23 05:02:37 AM,6.877,,
60,09/07/23 07:02:37 AM,6.166,,
61,09/07/23 09:02:37 AM,7.582,,
62,09/07/23 11:02:37 AM,11.625,,
63,09/07/23 01:02:37 PM,15.664,,
64,09/07/23 03:02:37 PM,17.284,,
65,09/07/23 05:02:37 PM,16.808,,
66,09/07/23 07:02:37 PM,13.558,,
67,09/07/23 09:02:37 PM,10.651,,
68,09/07/23 11:02:37 PM,8.879,,
69,09/08/23 01:02:37 AM,7.682,,
70,09/08/23 03:02:37 AM,6.877,,
71,09/08/23 05:02:37 AM,6.370,,
72,09/08/23 07:02:37 AM,5.860,,
73,09/08/23 09:02:37 AM,7.682,,
74,09/08/23 11:02:37 AM,11.916,,
75,09/08/23 01:02:37 PM,15.855,,
76,09/08/23 03:02:37 PM,17.475,,
77,09/08/23 05:02:37 PM,16.808,,
78,09/08/23 07:02:37 PM,13.942,,
79,09/08/23 09:02:37 PM,10.944,,
80,09/08/23 11:02:37 PM,9.176,,
81,09/09/23 01:02:37 AM,7.782,,
82,09/09/23 03:02:37 AM,6.775,,
83,09/09/23 05:02:37 AM,6.268,,
84,09/09/23 07:02:37 AM,5.860,,
85,09/09/23 09:02:37 AM,7.582,,
86,09/09/23 11:02:37 AM,12.594,,
87,09/09/23 01:02:37 PM,16.332,,
88,09/09/23 03:02:37 PM,17.950,,
89,09/09/23 05:02:37 PM,17.855,,
90,09/09/23 07:02:37 PM,15.569,,
91,09/09/23 09:02:37 PM,12.497,,
92,09/09/23 11:02:37 PM,11.139,,
93,09/10/23 01:02:37 AM,10.063,,
94,09/10/23 03:02:37 AM,9.373,,
95,09/10/23 05:02:37 AM,8.481,,
96,09/10/23 07:02:37 AM,7.280,,
97,09/10/23 09:02:37 AM,8.680,,
98,09/10/23 11:02:37 AM,10.553,,
99,09/10/23 01:02:37 PM,11.236,,
100,09/10/23 03:02:37 PM,13.942,,
101,09/10/23 05:02:37 PM,13.365,,
102,09/10/23 07:02:37 PM,11.722,,
103,09/10/23 09:02:37 PM,10.161,,
104,09/10/23 11:02:37 PM,8.182,,
105,09/11/23 01:02:37 AM,7.582,,
106,09/11/23 03:02:37 AM,7.079,,
107,09/11/23 05:02:37 AM,6.674,,
108,09/11/23 07:02:37 AM,5.347,,
109,09/11/23 09:02:37 AM,6.471,,
110,09/11/23 11:02:37 AM,7.983,,
111,09/11/23 01:02:37 PM,10.748,,
112,09/11/23 03:02:37 PM,11.431,,
113,09/11/23 05:02:37 PM,10.944,,
114,09/11/23 07:02:37 PM,9.472,,
115,09/11/23 09:02:37 PM,8.182,,
116,09/11/23 11:02:37 PM,7.280,,
117,09/12/23 01:02:37 AM,5.450,,
118,09/12/23 03:02:37 AM,4.415,,
119,09/12/23 05:02:37 AM,3.683,,
120,09/12/23 07:02:37 AM,3.155,,
121,09/12/23 09:02:37 AM,4.311,,
122,09/12/23 11:02:37 AM,9.571,,
123,09/12/23 01:02:37 PM,14.038,,
124,09/12/23 03:02:37 PM,14.804,,
125,09/12/23 05:02:37 PM,14.421,,
126,09/12/23 07:02:37 PM,12.304,,
127,09/12/23 09:02:37 PM,8.879,,
128,09/12/23 11:02:37 PM,6.978,,
129,09/13/23 01:02:37 AM,5.757,,
130,09/13/23 03:02:37 AM,4.727,,
131,09/13/23 05:02:37 AM,3.998,,
132,09/13/23 07:02:37 AM,3.472,,
133,09/13/23 09:02:37 AM,5.141,,
134,09/13/23 11:02:37 AM,10.357,,
135,09/13/23 01:02:37 PM,13.750,,
