"Plot Title: 20376534"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20376534, SEN S/N: 20376534)","Coupler Detached (LGR S/N: 20376534)","Bad Battery (LGR S/N: 20376534)","Good Battery (LGR S/N: 20376534)","Coupler Attached (LGR S/N: 20376534)","Host Connected (LGR S/N: 20376534)","Stopped (LGR S/N: 20376534)","End Of File (LGR S/N: 20376534)"
1,09/01/23 12:11:08 PM,24.158,,,,,,,
2,09/01/23 12:11:20 PM,,Logged,,,,,,
3,09/01/23 04:11:08 PM,24.351,,,,,,,
4,09/01/23 08:11:08 PM,23.484,,,,,,,
5,09/02/23 12:11:08 AM,22.046,,,,,,,
6,09/02/23 04:11:08 AM,22.621,,,,,,,
7,09/02/23 08:11:08 AM,20.234,,,,,,,
8,09/02/23 12:11:08 PM,17.189,,,,,,,
9,09/02/23 04:11:08 PM,16.903,,,,,,,
10,09/02/23 08:11:08 PM,11.625,,,,,,,
11,09/03/23 12:11:08 AM,9.077,,,,,,,
12,09/03/23 04:11:08 AM,8.082,,,,,,,
13,09/03/23 08:11:08 AM,7.481,,,,,,,
14,09/03/23 12:11:08 PM,13.654,,,,,,,
15,09/03/23 04:11:08 PM,12.207,,,,,,,
16,09/03/23 08:11:08 PM,9.965,,,,,,,
17,09/04/23 12:11:08 AM,7.481,,,,,,,
18,09/04/23 04:11:08 AM,5.860,,,,,,,
19,09/04/23 08:11:08 AM,5.141,,,,,,,
20,09/04/23 12:11:08 PM,12.401,,,,,,,
21,09/04/23 04:11:08 PM,16.237,,,,,,,
22,09/04/23 08:11:08 PM,9.077,,,,,,,
23,09/05/23 12:11:08 AM,6.370,,,,,,,
24,09/05/23 04:11:08 AM,5.037,,,,,,,
25,09/05/23 08:11:08 AM,4.415,,,,,,,
26,09/05/23 12:11:08 PM,11.722,,,,,,,
27,09/05/23 04:11:08 PM,18.331,,,,,,,
28,09/05/23 08:11:08 PM,11.528,,,,,,,
29,09/06/23 12:11:08 AM,7.682,,,,,,,
30,09/06/23 04:11:08 AM,6.064,,,,,,,
31,09/06/23 08:11:08 AM,5.655,,,,,,,
32,09/06/23 12:11:08 PM,12.110,,,,,,,
33,09/06/23 04:11:08 PM,17.570,,,,,,,
34,09/06/23 08:11:08 PM,12.110,,,,,,,
35,09/07/23 12:11:08 AM,8.382,,,,,,,
36,09/07/23 04:11:08 AM,6.877,,,,,,,
37,09/07/23 08:11:08 AM,5.860,,,,,,,
38,09/07/23 12:11:08 PM,13.750,,,,,,,
39,09/07/23 04:11:08 PM,16.618,,,,,,,
40,09/07/23 08:11:08 PM,11.236,,,,,,,
41,09/08/23 12:11:08 AM,7.782,,,,,,,
42,09/08/23 04:11:08 AM,6.166,,,,,,,
43,09/08/23 08:11:08 AM,6.064,,,,,,,
44,09/08/23 12:11:08 PM,13.846,,,,,,,
45,09/08/23 04:11:08 PM,16.713,,,,,,,
46,09/08/23 08:11:08 PM,11.819,,,,,,,
47,09/09/23 12:11:08 AM,8.182,,,,,,,
48,09/09/23 04:11:08 AM,6.166,,,,,,,
49,09/09/23 08:11:08 AM,5.962,,,,,,,
50,09/09/23 12:11:08 PM,14.804,,,,,,,
51,09/09/23 04:11:08 PM,17.855,,,,,,,
52,09/09/23 08:11:08 PM,13.558,,,,,,,
53,09/10/23 12:11:08 AM,10.161,,,,,,,
54,09/10/23 04:11:08 AM,8.581,,,,,,,
55,09/10/23 08:11:08 AM,7.079,,,,,,,
56,09/10/23 12:11:08 PM,8.978,,,,,,,
57,09/10/23 04:11:08 PM,12.787,,,,,,,
58,09/10/23 08:11:08 PM,10.063,,,,,,,
59,09/11/23 12:11:08 AM,6.573,,,,,,,
60,09/11/23 04:11:08 AM,5.860,,,,,,,
61,09/11/23 08:11:08 AM,4.934,,,,,,,
62,09/11/23 12:11:08 PM,6.978,,,,,,,
63,09/11/23 04:11:08 PM,10.748,,,,,,,
64,09/11/23 08:11:08 PM,7.481,,,,,,,
65,09/12/23 12:11:08 AM,5.037,,,,,,,
66,09/12/23 04:11:08 AM,2.943,,,,,,,
67,09/12/23 08:11:08 AM,2.303,,,,,,,
68,09/12/23 12:11:08 PM,12.690,,,,,,,
69,09/12/23 04:11:08 PM,13.942,,,,,,,
70,09/12/23 08:11:08 PM,9.176,,,,,,,
71,09/13/23 12:11:08 AM,5.244,,,,,,,
72,09/13/23 04:11:08 AM,3.367,,,,,,,
73,09/13/23 08:11:08 AM,2.837,,,,,,,
74,09/13/23 12:11:08 PM,14.134,,,,,,,
75,09/13/23 04:11:08 PM,14.709,,,,,,,
76,09/13/23 08:11:08 PM,8.082,,,,,,,
77,09/14/23 12:11:08 AM,5.141,,,,,,,
78,09/14/23 04:11:08 AM,3.683,,,,,,,
79,09/14/23 08:11:08 AM,4.207,,,,,,,
80,09/14/23 12:11:08 PM,7.280,,,,,,,
81,09/14/23 04:11:08 PM,7.983,,,,,,,
82,09/14/23 08:11:08 PM,4.727,,,,,,,
83,09/15/23 12:11:08 AM,4.311,,,,,,,
84,09/15/23 04:11:08 AM,2.943,,,,,,,
