"Plot Title: jp_NorthEast"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397964, SEN S/N: 21397964)","Coupler Detached (LGR S/N: 21397964)","Bad Battery (LGR S/N: 21397964)","Coupler Attached (LGR S/N: 21397964)","Host Connected (LGR S/N: 21397964)","Stopped (LGR S/N: 21397964)","End Of File (LGR S/N: 21397964)"
1,09/02/23 12:58:33 PM,26.390,,,,,,
2,09/02/23 12:58:50 PM,,Logged,,,,,
3,09/02/23 02:58:33 PM,15.187,,,,,,
4,09/02/23 04:58:33 PM,14.230,,,,,,
5,09/02/23 06:58:33 PM,13.461,,,,,,
6,09/02/23 08:58:33 PM,11.334,,,,,,
7,09/02/23 10:58:33 PM,9.866,,,,,,
8,09/03/23 12:58:33 AM,8.978,,,,,,
9,09/03/23 02:58:33 AM,8.382,,,,,,
10,09/03/23 04:58:33 AM,7.882,,,,,,
11,09/03/23 06:58:33 AM,7.280,,,,,,
12,09/03/23 08:58:33 AM,8.382,,,,,,
13,09/03/23 10:58:33 AM,11.528,,,,,,
14,09/03/23 12:58:33 PM,12.594,,,,,,
15,09/03/23 02:58:33 PM,14.804,,,,,,
16,09/03/23 04:58:33 PM,12.883,,,,,,
17,09/03/23 06:58:33 PM,12.013,,,,,,
18,09/03/23 08:58:33 PM,10.259,,,,,,
19,09/03/23 10:58:33 PM,8.978,,,,,,
20,09/04/23 12:58:33 AM,7.882,,,,,,
21,09/04/23 02:58:33 AM,7.079,,,,,,
22,09/04/23 04:58:33 AM,6.268,,,,,,
23,09/04/23 06:58:33 AM,5.552,,,,,,
24,09/04/23 08:58:33 AM,6.674,,,,,,
25,09/04/23 10:58:33 AM,10.161,,,,,,
26,09/04/23 12:58:33 PM,12.013,,,,,,
27,09/04/23 02:58:33 PM,12.401,,,,,,
28,09/04/23 04:58:33 PM,12.304,,,,,,
29,09/04/23 06:58:33 PM,10.455,,,,,,
30,09/04/23 08:58:33 PM,8.879,,,,,,
31,09/04/23 10:58:33 PM,8.082,,,,,,
32,09/05/23 12:58:33 AM,7.280,,,,,,
33,09/05/23 02:58:33 AM,6.674,,,,,,
34,09/05/23 04:58:33 AM,6.268,,,,,,
35,09/05/23 06:58:33 AM,5.757,,,,,,
36,09/05/23 08:58:33 AM,6.471,,,,,,
37,09/05/23 10:58:33 AM,8.779,,,,,,
38,09/05/23 12:58:33 PM,11.334,,,,,,
39,09/05/23 02:58:33 PM,13.269,,,,,,
40,09/05/23 04:58:33 PM,12.883,,,,,,
41,09/05/23 06:58:33 PM,11.334,,,,,,
42,09/05/23 08:58:33 PM,9.373,,,,,,
43,09/05/23 10:58:33 PM,8.082,,,,,,
44,09/06/23 12:58:33 AM,7.079,,,,,,
45,09/06/23 02:58:33 AM,6.370,,,,,,
46,09/06/23 04:58:33 AM,5.757,,,,,,
47,09/06/23 06:58:33 AM,5.244,,,,,,
48,09/06/23 08:58:33 AM,5.860,,,,,,
49,09/06/23 10:58:33 AM,8.282,,,,,,
50,09/06/23 12:58:33 PM,10.748,,,,,,
51,09/06/23 02:58:33 PM,12.497,,,,,,
52,09/06/23 04:58:33 PM,12.207,,,,,,
53,09/06/23 06:58:33 PM,10.553,,,,,,
54,09/06/23 08:58:33 PM,8.779,,,,,,
55,09/06/23 10:58:33 PM,7.481,,,,,,
56,09/07/23 12:58:33 AM,6.674,,,,,,
57,09/07/23 02:58:33 AM,5.962,,,,,,
58,09/07/23 04:58:33 AM,5.450,,,,,,
59,09/07/23 06:58:33 AM,4.934,,,,,,
60,09/07/23 08:58:33 AM,5.757,,,,,,
61,09/07/23 10:58:33 AM,8.382,,,,,,
62,09/07/23 12:58:33 PM,11.139,,,,,,
63,09/07/23 02:58:33 PM,12.110,,,,,,
64,09/07/23 04:58:33 PM,11.528,,,,,,
65,09/07/23 06:58:33 PM,9.866,,,,,,
66,09/07/23 08:58:33 PM,8.182,,,,,,
67,09/07/23 10:58:33 PM,6.775,,,,,,
68,09/08/23 12:58:33 AM,5.860,,,,,,
69,09/08/23 02:58:33 AM,5.141,,,,,,
70,09/08/23 04:58:33 AM,4.519,,,,,,
71,09/08/23 06:58:33 AM,4.102,,,,,,
72,09/08/23 08:58:33 AM,5.244,,,,,,
73,09/08/23 10:58:33 AM,8.182,,,,,,
74,09/08/23 12:58:33 PM,10.846,,,,,,
75,09/08/23 02:58:33 PM,12.013,,,,,,
76,09/08/23 04:58:33 PM,11.431,,,,,,
77,09/08/23 06:58:33 PM,9.965,,,,,,
78,09/08/23 08:58:33 PM,8.282,,,,,,
79,09/08/23 10:58:33 PM,7.079,,,,,,
80,09/09/23 12:58:33 AM,6.064,,,,,,
81,09/09/23 02:58:33 AM,5.141,,,,,,
82,09/09/23 04:58:33 AM,4.727,,,,,,
83,09/09/23 06:58:33 AM,4.311,,,,,,
84,09/09/23 08:58:33 AM,5.347,,,,,,
85,09/09/23 10:58:33 AM,8.581,,,,,,
86,09/09/23 12:58:33 PM,11.041,,,,,,
87,09/09/23 02:58:33 PM,12.883,,,,,,
88,09/09/23 04:58:33 PM,12.594,,,,,,
89,09/09/23 06:58:33 PM,11.916,,,,,,
90,09/09/23 08:58:33 PM,10.161,,,,,,
91,09/09/23 10:58:33 PM,9.077,,,,,,
92,09/10/23 12:58:33 AM,8.282,,,,,,
93,09/10/23 02:58:33 AM,7.582,,,,,,
94,09/10/23 04:58:33 AM,6.978,,,,,,
95,09/10/23 06:58:33 AM,6.064,,,,,,
96,09/10/23 08:58:33 AM,6.674,,,,,,
97,09/10/23 10:58:33 AM,8.680,,,,,,
98,09/10/23 12:58:33 PM,9.176,,,,,,
99,09/10/23 02:58:33 PM,11.139,,,,,,
100,09/10/23 04:58:33 PM,10.944,,,,,,
