"Plot Title: jp_NorthWest2324"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397969, SEN S/N: 21397969)","Coupler Detached (LGR S/N: 21397969)","Bad Battery (LGR S/N: 21397969)","Coupler Attached (LGR S/N: 21397969)","Host Connected (LGR S/N: 21397969)","Stopped (LGR S/N: 21397969)","End Of File (LGR S/N: 21397969)"
1,09/02/23 01:58:59 PM,29.853,,,,,,
2,09/02/23 01:59:18 PM,,Logged,,,,,
3,09/02/23 03:58:59 PM,16.713,,,,,,
4,09/02/23 05:58:59 PM,17.094,,,,,,
5,09/02/23 07:58:59 PM,11.819,,,,,,
6,09/02/23 09:58:59 PM,9.571,,,,,,
7,09/02/23 11:58:59 PM,8.581,,,,,,
8,09/03/23 01:58:59 AM,7.782,,,,,,
9,09/03/23 03:58:59 AM,7.582,,,,,,
10,09/03/23 05:58:59 AM,6.775,,,,,,
11,09/03/23 07:58:59 AM,6.877,,,,,,
12,09/03/23 09:58:59 AM,12.013,,,,,,
13,09/03/23 11:58:59 AM,14.421,,,,,,
14,09/03/23 01:58:59 PM,16.427,,,,,,
15,09/03/23 03:58:59 PM,13.365,,,,,,
16,09/03/23 05:58:59 PM,11.916,,,,,,
17,09/03/23 07:58:59 PM,10.063,,,,,,
18,09/03/23 09:58:59 PM,8.680,,,,,,
19,09/03/23 11:58:59 PM,7.381,,,,,,
20,09/04/23 01:58:59 AM,6.573,,,,,,
21,09/04/23 03:58:59 AM,5.860,,,,,,
22,09/04/23 05:58:59 AM,5.244,,,,,,
23,09/04/23 07:58:59 AM,5.244,,,,,,
24,09/04/23 09:58:59 AM,9.866,,,,,,
25,09/04/23 11:58:59 AM,11.722,,,,,,
26,09/04/23 01:58:59 PM,14.804,,,,,,
27,09/04/23 03:58:59 PM,15.760,,,,,,
28,09/04/23 05:58:59 PM,12.594,,,,,,
29,09/04/23 07:58:59 PM,8.879,,,,,,
30,09/04/23 09:58:59 PM,7.582,,,,,,
31,09/04/23 11:58:59 PM,6.674,,,,,,
32,09/05/23 01:58:59 AM,5.860,,,,,,
33,09/05/23 03:58:59 AM,5.450,,,,,,
34,09/05/23 05:58:59 AM,5.037,,,,,,
35,09/05/23 07:58:59 AM,5.244,,,,,,
36,09/05/23 09:58:59 AM,8.581,,,,,,
37,09/05/23 11:58:59 AM,12.401,,,,,,
38,09/05/23 01:58:59 PM,16.046,,,,,,
39,09/05/23 03:58:59 PM,17.094,,,,,,
40,09/05/23 05:58:59 PM,15.187,,,,,,
41,09/05/23 07:58:59 PM,10.063,,,,,,
42,09/05/23 09:58:59 PM,7.782,,,,,,
43,09/05/23 11:58:59 PM,6.573,,,,,,
44,09/06/23 01:58:59 AM,5.757,,,,,,
45,09/06/23 03:58:59 AM,5.037,,,,,,
46,09/06/23 05:58:59 AM,4.623,,,,,,
47,09/06/23 07:58:59 AM,4.831,,,,,,
48,09/06/23 09:58:59 AM,8.680,,,,,,
49,09/06/23 11:58:59 AM,12.304,,,,,,
50,09/06/23 01:58:59 PM,15.569,,,,,,
51,09/06/23 03:58:59 PM,16.618,,,,,,
52,09/06/23 05:58:59 PM,14.230,,,,,,
53,09/06/23 07:58:59 PM,10.161,,,,,,
54,09/06/23 09:58:59 PM,7.682,,,,,,
55,09/06/23 11:58:59 PM,6.573,,,,,,
56,09/07/23 01:58:59 AM,5.962,,,,,,
57,09/07/23 03:58:59 AM,5.244,,,,,,
58,09/07/23 05:58:59 AM,4.623,,,,,,
59,09/07/23 07:58:59 AM,4.727,,,,,,
60,09/07/23 09:58:59 AM,8.779,,,,,,
61,09/07/23 11:58:59 AM,12.883,,,,,,
62,09/07/23 01:58:59 PM,15.569,,,,,,
63,09/07/23 03:58:59 PM,15.378,,,,,,
64,09/07/23 05:58:59 PM,13.269,,,,,,
65,09/07/23 07:58:59 PM,9.373,,,,,,
66,09/07/23 09:58:59 PM,7.179,,,,,,
67,09/07/23 11:58:59 PM,5.860,,,,,,
68,09/08/23 01:58:59 AM,4.934,,,,,,
69,09/08/23 03:58:59 AM,4.415,,,,,,
70,09/08/23 05:58:59 AM,4.207,,,,,,
71,09/08/23 07:58:59 AM,4.519,,,,,,
72,09/08/23 09:58:59 AM,9.176,,,,,,
73,09/08/23 11:58:59 AM,13.076,,,,,,
74,09/08/23 01:58:59 PM,15.378,,,,,,
75,09/08/23 03:58:59 PM,15.664,,,,,,
76,09/08/23 05:58:59 PM,13.846,,,,,,
77,09/08/23 07:58:59 PM,9.866,,,,,,
78,09/08/23 09:58:59 PM,7.782,,,,,,
79,09/08/23 11:58:59 PM,6.370,,,,,,
80,09/09/23 01:58:59 AM,5.244,,,,,,
81,09/09/23 03:58:59 AM,4.727,,,,,,
82,09/09/23 05:58:59 AM,4.415,,,,,,
83,09/09/23 07:58:59 AM,4.727,,,,,,
84,09/09/23 09:58:59 AM,9.077,,,,,,
85,09/09/23 11:58:59 AM,12.690,,,,,,
86,09/09/23 01:58:59 PM,16.427,,,,,,
87,09/09/23 03:58:59 PM,16.141,,,,,,
88,09/09/23 05:58:59 PM,15.951,,,,,,
89,09/09/23 07:58:59 PM,12.110,,,,,,
90,09/09/23 09:58:59 PM,9.866,,,,,,
91,09/09/23 11:58:59 PM,8.779,,,,,,
92,09/10/23 01:58:59 AM,8.082,,,,,,
93,09/10/23 03:58:59 AM,7.582,,,,,,
94,09/10/23 05:58:59 AM,6.268,,,,,,
95,09/10/23 07:58:59 AM,5.962,,,,,,
96,09/10/23 09:58:59 AM,10.063,,,,,,
97,09/10/23 11:58:59 AM,8.581,,,,,,
98,09/10/23 01:58:59 PM,13.076,,,,,,
99,09/10/23 03:58:59 PM,12.497,,,,,,
100,09/10/23 05:58:59 PM,11.722,,,,,,
101,09/10/23 07:58:59 PM,9.768,,,,,,
102,09/10/23 09:58:59 PM,8.581,,,,,,
103,09/10/23 11:58:59 PM,6.775,,,,,,
104,09/11/23 01:58:59 AM,6.166,,,,,,
105,09/11/23 03:58:59 AM,5.962,,,,,,
106,09/11/23 05:58:59 AM,4.934,,,,,,
107,09/11/23 07:58:59 AM,4.623,,,,,,
108,09/11/23 09:58:59 AM,6.877,,,,,,
109,09/11/23 11:58:59 AM,8.481,,,,,,
110,09/11/23 01:58:59 PM,9.965,,,,,,
111,09/11/23 03:58:59 PM,10.944,,,,,,
112,09/11/23 05:58:59 PM,9.472,,,,,,
113,09/11/23 07:58:59 PM,7.582,,,,,,
114,09/11/23 09:58:59 PM,6.775,,,,,,
115,09/11/23 11:58:59 PM,5.141,,,,,,
116,09/12/23 01:58:59 AM,3.578,,,,,,
117,09/12/23 03:58:59 AM,2.837,,,,,,
118,09/12/23 05:58:59 AM,2.410,,,,,,
119,09/12/23 07:58:59 AM,2.088,,,,,,
120,09/12/23 09:58:59 AM,6.573,,,,,,
121,09/12/23 11:58:59 AM,12.401,,,,,,
122,09/12/23 01:58:59 PM,13.461,,,,,,
123,09/12/23 03:58:59 PM,11.334,,,,,,
124,09/12/23 05:58:59 PM,13.461,,,,,,
125,09/12/23 07:58:59 PM,8.182,,,,,,
126,09/12/23 09:58:59 PM,5.552,,,,,,
127,09/12/23 11:58:59 PM,4.311,,,,,,
128,09/13/23 01:58:59 AM,3.367,,,,,,
129,09/13/23 03:58:59 AM,2.624,,,,,,
130,09/13/23 05:58:59 AM,2.195,,,,,,
131,09/13/23 07:58:59 AM,1.980,,,,,,
132,09/13/23 09:58:59 AM,6.978,,,,,,
133,09/13/23 11:58:59 AM,11.528,,,,,,
134,09/13/23 01:58:59 PM,12.304,,,,,,
135,09/13/23 03:58:59 PM,11.236,,,,,,
136,09/13/23 05:58:59 PM,8.779,,,,,,
137,09/13/23 07:58:59 PM,6.674,,,,,,
138,09/13/23 09:58:59 PM,5.037,,,,,,
139,09/13/23 11:58:59 PM,4.102,,,,,,
140,09/14/23 01:58:59 AM,3.155,,,,,,
141,09/14/23 03:58:59 AM,2.624,,,,,,
142,09/14/23 05:58:59 AM,2.624,,,,,,
143,09/14/23 07:58:59 AM,3.155,,,,,,
144,09/14/23 09:58:59 AM,3.261,,,,,,
145,09/14/23 11:58:59 AM,6.877,,,,,,
146,09/14/23 01:58:59 PM,10.161,,,,,,
147,09/14/23 03:58:59 PM,8.680,,,,,,
148,09/14/23 05:58:59 PM,6.064,,,,,,
149,09/14/23 07:58:59 PM,4.727,,,,,,
150,09/14/23 09:58:59 PM,3.998,,,,,,
151,09/14/23 11:58:59 PM,3.998,,,,,,
152,09/15/23 01:58:59 AM,3.155,,,,,,
153,09/15/23 03:58:59 AM,2.943,,,,,,
154,09/15/23 05:58:59 AM,2.624,,,,,,
155,09/15/23 07:58:59 AM,2.837,,,,,,
156,09/15/23 09:58:59 AM,3.683,,,,,,
157,09/15/23 11:58:59 AM,5.655,,,,,,
158,09/15/23 01:58:59 PM,7.582,,,,,,
159,09/15/23 03:58:59 PM,12.013,,,,,,
160,09/15/23 05:58:59 PM,8.879,,,,,,
161,09/15/23 07:58:59 PM,6.370,,,,,,
162,09/15/23 09:58:59 PM,3.788,,,,,,
163,09/15/23 11:58:59 PM,2.624,,,,,,
164,09/16/23 01:58:59 AM,1.980,,,,,,
165,09/16/23 03:58:59 AM,1.548,,,,,,
166,09/16/23 05:58:59 AM,1.221,,,,,,
167,09/16/23 07:58:59 AM,1.003,,,,,,
168,09/16/23 09:58:59 AM,1.656,,,,,,
169,09/16/23 11:58:59 AM,8.581,,,,,,
170,09/16/23 01:58:59 PM,13.269,,,,,,
171,09/16/23 03:58:59 PM,13.942,,,,,,
172,09/16/23 05:58:59 PM,10.553,,,,,,
173,09/16/23 07:58:59 PM,5.655,,,,,,
174,09/16/23 09:58:59 PM,3.472,,,,,,
175,09/16/23 11:58:59 PM,2.624,,,,,,
176,09/17/23 01:58:59 AM,1.980,,,,,,
177,09/17/23 03:58:59 AM,1.548,,,,,,
178,09/17/23 05:58:59 AM,1.330,,,,,,
179,09/17/23 07:58:59 AM,1.112,,,,,,
180,09/17/23 09:58:59 AM,3.683,,,,,,
181,09/17/23 11:58:59 AM,9.571,,,,,,
182,09/17/23 01:58:59 PM,13.365,,,,,,
183,09/17/23 03:58:59 PM,13.846,,,,,,
184,09/17/23 05:58:59 PM,10.651,,,,,,
185,09/17/23 07:58:59 PM,6.674,,,,,,
186,09/17/23 09:58:59 PM,4.831,,,,,,
187,09/17/23 11:58:59 PM,3.788,,,,,,
188,09/18/23 01:58:59 AM,2.837,,,,,,
189,09/18/23 03:58:59 AM,2.088,,,,,,
190,09/18/23 05:58:59 AM,1.980,,,,,,
191,09/18/23 07:58:59 AM,1.980,,,,,,
192,09/18/23 09:58:59 AM,5.244,,,,,,
193,09/18/23 11:58:59 AM,8.282,,,,,,
194,09/18/23 01:58:59 PM,11.819,,,,,,
195,09/18/23 03:58:59 PM,10.357,,,,,,
196,09/18/23 05:58:59 PM,5.860,,,,,,
197,09/18/23 07:58:59 PM,4.311,,,,,,
198,09/18/23 09:58:59 PM,3.893,,,,,,
199,09/18/23 11:58:59 PM,3.367,,,,,,
200,09/19/23 01:58:59 AM,3.155,,,,,,
201,09/19/23 03:58:59 AM,2.837,,,,,,
202,09/19/23 05:58:59 AM,2.517,,,,,,
203,09/19/23 07:58:59 AM,2.195,,,,,,
204,09/19/23 09:58:59 AM,3.367,,,,,,
205,09/19/23 11:58:59 AM,7.782,,,,,,
206,09/19/23 01:58:59 PM,10.063,,,,,,
207,09/19/23 03:58:59 PM,8.382,,,,,,
208,09/19/23 05:58:59 PM,6.471,,,,,,
209,09/19/23 07:58:59 PM,4.311,,,,,,
210,09/19/23 09:58:59 PM,2.943,,,,,,
211,09/19/23 11:58:59 PM,1.980,,,,,,
212,09/20/23 01:58:59 AM,1.764,,,,,,
213,09/20/23 03:58:59 AM,1.548,,,,,,
214,09/20/23 05:58:59 AM,1.330,,,,,,
215,09/20/23 07:58:59 AM,1.112,,,,,,
216,09/20/23 09:58:59 AM,3.049,,,,,,
217,09/20/23 11:58:59 AM,7.582,,,,,,
218,09/20/23 01:58:59 PM,9.176,,,,,,
219,09/20/23 03:58:59 PM,10.846,,,,,,
220,09/20/23 05:58:59 PM,9.176,,,,,,
221,09/20/23 07:58:59 PM,5.347,,,,,,
222,09/20/23 09:58:59 PM,3.998,,,,,,
223,09/20/23 11:58:59 PM,2.837,,,,,,
224,09/21/23 01:58:59 AM,2.195,,,,,,
225,09/21/23 03:58:59 AM,1.764,,,,,,
226,09/21/23 05:58:59 AM,1.439,,,,,,
227,09/21/23 07:58:59 AM,1.330,,,,,,
228,09/21/23 09:58:59 AM,4.207,,,,,,
229,09/21/23 11:58:59 AM,7.179,,,,,,
230,09/21/23 01:58:59 PM,10.063,,,,,,
231,09/21/23 03:58:59 PM,12.980,,,,,,
232,09/21/23 05:58:59 PM,10.161,,,,,,
233,09/21/23 07:58:59 PM,5.450,,,,,,
234,09/21/23 09:58:59 PM,3.261,,,,,,
235,09/21/23 11:58:59 PM,2.517,,,,,,
236,09/22/23 01:58:59 AM,1.980,,,,,,
237,09/22/23 03:58:59 AM,1.439,,,,,,
238,09/22/23 05:58:59 AM,1.112,,,,,,
239,09/22/23 07:58:59 AM,0.893,,,,,,
240,09/22/23 09:58:59 AM,2.195,,,,,,
241,09/22/23 11:58:59 AM,6.674,,,,,,
242,09/22/23 01:58:59 PM,9.077,,,,,,
243,09/22/23 03:58:59 PM,9.077,,,,,,
244,09/22/23 05:58:59 PM,6.877,,,,,,
245,09/22/23 07:58:59 PM,3.893,,,,,,
246,09/22/23 09:58:59 PM,2.730,,,,,,
247,09/22/23 11:58:59 PM,1.980,,,,,,
248,09/23/23 01:58:59 AM,1.439,,,,,,
249,09/23/23 03:58:59 AM,1.221,,,,,,
250,09/23/23 05:58:59 AM,0.784,,,,,,
251,09/23/23 07:58:59 AM,0.121,,,,,,
252,09/23/23 09:58:59 AM,0.563,,,,,,
253,09/23/23 11:58:59 AM,4.727,,,,,,
254,09/23/23 01:58:59 PM,8.082,,,,,,
255,09/23/23 03:58:59 PM,8.282,,,,,,
256,09/23/23 05:58:59 PM,6.064,,,,,,
257,09/23/23 07:58:59 PM,2.730,,,,,,
258,09/23/23 09:58:59 PM,1.548,,,,,,
259,09/23/23 11:58:59 PM,1.003,,,,,,
260,09/24/23 01:58:59 AM,0.563,,,,,,
261,09/24/23 03:58:59 AM,0.121,,,,,,
262,09/24/23 05:58:59 AM,-0.325,,,,,,
263,09/24/23 07:58:59 AM,-0.549,,,,,,
264,09/24/23 09:58:59 AM,0.563,,,,,,
265,09/24/23 11:58:59 AM,5.962,,,,,,
266,09/24/23 01:58:59 PM,9.866,,,,,,
267,09/24/23 03:58:59 PM,10.553,,,,,,
268,09/24/23 05:58:59 PM,7.882,,,,,,
269,09/24/23 07:58:59 PM,3.472,,,,,,
270,09/24/23 09:58:59 PM,1.764,,,,,,
271,09/24/23 11:58:59 PM,1.112,,,,,,
272,09/25/23 01:58:59 AM,0.784,,,,,,
273,09/25/23 03:58:59 AM,0.343,,,,,,
