"Plot Title: 20848147"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20848147, SEN S/N: 20848147)","Coupler Detached (LGR S/N: 20848147)","Coupler Attached (LGR S/N: 20848147)","Host Connected (LGR S/N: 20848147)","Stopped (LGR S/N: 20848147)","End Of File (LGR S/N: 20848147)"
1,09/01/23 12:33:56 PM,24.835,,,,,
2,09/01/23 12:34:07 PM,,Logged,,,,
3,09/01/23 04:33:56 PM,24.448,,,,,
4,09/01/23 08:33:56 PM,23.581,,,,,
5,09/02/23 12:33:56 AM,22.142,,,,,
6,09/02/23 04:33:56 AM,22.717,,,,,
7,09/02/23 08:33:56 AM,19.662,,,,,
8,09/02/23 12:33:56 PM,18.426,,,,,
9,09/02/23 04:33:56 PM,18.901,,,,,
10,09/02/23 08:33:56 PM,12.304,,,,,
11,09/03/23 12:33:56 AM,9.176,,,,,
12,09/03/23 04:33:56 AM,7.983,,,,,
13,09/03/23 08:33:56 AM,7.682,,,,,
14,09/03/23 12:33:56 PM,14.517,,,,,
15,09/03/23 04:33:56 PM,12.304,,,,,
16,09/03/23 08:33:56 PM,10.063,,,,,
17,09/04/23 12:33:56 AM,7.481,,,,,
18,09/04/23 04:33:56 AM,5.860,,,,,
19,09/04/23 08:33:56 AM,5.244,,,,,
20,09/04/23 12:33:56 PM,15.855,,,,,
21,09/04/23 04:33:56 PM,20.710,,,,,
22,09/04/23 08:33:56 PM,10.846,,,,,
23,09/05/23 12:33:56 AM,7.882,,,,,
24,09/05/23 04:33:56 AM,6.370,,,,,
25,09/05/23 08:33:56 AM,5.450,,,,,
26,09/05/23 12:33:56 PM,16.999,,,,,
27,09/05/23 04:33:56 PM,22.046,,,,,
28,09/05/23 08:33:56 PM,12.401,,,,,
29,09/06/23 12:33:56 AM,8.581,,,,,
30,09/06/23 04:33:56 AM,6.573,,,,,
31,09/06/23 08:33:56 AM,6.166,,,,,
32,09/06/23 12:33:56 PM,17.284,,,,,
33,09/06/23 04:33:56 PM,22.429,,,,,
34,09/06/23 08:33:56 PM,13.365,,,,,
35,09/07/23 12:33:56 AM,9.077,,,,,
36,09/07/23 04:33:56 AM,7.179,,,,,
37,09/07/23 08:33:56 AM,6.370,,,,,
38,09/07/23 12:33:56 PM,17.760,,,,,
39,09/07/23 04:33:56 PM,22.046,,,,,
40,09/07/23 08:33:56 PM,12.594,,,,,
41,09/08/23 12:33:56 AM,8.382,,,,,
42,09/08/23 04:33:56 AM,6.674,,,,,
43,09/08/23 08:33:56 AM,6.471,,,,,
44,09/08/23 12:33:56 PM,18.331,,,,,
45,09/08/23 04:33:56 PM,22.333,,,,,
46,09/08/23 08:33:56 PM,13.365,,,,,
47,09/09/23 12:33:56 AM,8.879,,,,,
48,09/09/23 04:33:56 AM,6.775,,,,,
49,09/09/23 08:33:56 AM,6.370,,,,,
50,09/09/23 12:33:56 PM,18.426,,,,,
51,09/09/23 04:33:56 PM,21.378,,,,,
52,09/09/23 08:33:56 PM,14.517,,,,,
53,09/10/23 12:33:56 AM,10.944,,,,,
54,09/10/23 04:33:56 AM,9.077,,,,,
55,09/10/23 08:33:56 AM,8.082,,,,,
56,09/10/23 12:33:56 PM,11.041,,,,,
57,09/10/23 04:33:56 PM,15.378,,,,,
58,09/10/23 08:33:56 PM,10.846,,,,,
59,09/11/23 12:33:56 AM,7.280,,,,,
60,09/11/23 04:33:56 AM,6.674,,,,,
61,09/11/23 08:33:56 AM,6.166,,,,,
62,09/11/23 12:33:56 PM,12.110,,,,,
63,09/11/23 04:33:56 PM,12.207,,,,,
64,09/11/23 08:33:56 PM,8.182,,,,,
65,09/12/23 12:33:56 AM,5.244,,,,,
66,09/12/23 04:33:56 AM,3.155,,,,,
67,09/12/23 08:33:56 AM,2.410,,,,,
68,09/12/23 12:33:56 PM,16.141,,,,,
69,09/12/23 04:33:56 PM,16.713,,,,,
70,09/12/23 08:33:56 PM,9.866,,,,,
71,09/13/23 12:33:56 AM,5.860,,,,,
72,09/13/23 04:33:56 AM,3.788,,,,,
73,09/13/23 08:33:56 AM,3.367,,,,,
74,09/13/23 12:33:56 PM,15.951,,,,,
75,09/13/23 04:33:56 PM,14.996,,,,,
76,09/13/23 08:33:56 PM,8.282,,,,,
77,09/14/23 12:33:56 AM,5.347,,,,,
78,09/14/23 04:33:56 AM,3.893,,,,,
79,09/14/23 08:33:56 AM,4.311,,,,,
80,09/14/23 12:33:56 PM,9.866,,,,,
81,09/14/23 04:33:56 PM,8.879,,,,,
82,09/14/23 08:33:56 PM,5.141,,,,,
83,09/15/23 12:33:56 AM,4.623,,,,,
84,09/15/23 04:33:56 AM,3.155,,,,,
85,09/15/23 08:33:56 AM,3.367,,,,,
86,09/15/23 12:33:56 PM,5.757,,,,,
87,09/15/23 04:33:56 PM,12.013,,,,,
88,09/15/23 08:33:56 PM,5.860,,,,,
89,09/16/23 12:33:56 AM,2.410,,,,,
90,09/16/23 04:33:56 AM,1.330,,,,,
91,09/16/23 08:33:56 AM,0.784,,,,,
92,09/16/23 12:33:56 PM,15.187,,,,,
93,09/16/23 04:33:56 PM,20.138,,,,,
94,09/16/23 08:33:56 PM,9.472,,,,,
95,09/17/23 12:33:56 AM,4.831,,,,,
96,09/17/23 04:33:56 AM,2.837,,,,,
97,09/17/23 08:33:56 AM,2.303,,,,,
98,09/17/23 12:33:56 PM,15.855,,,,,
99,09/17/23 04:33:56 PM,19.282,,,,,
100,09/17/23 08:33:56 PM,10.553,,,,,
101,09/18/23 12:33:56 AM,6.471,,,,,
102,09/18/23 04:33:56 AM,4.311,,,,,
103,09/18/23 08:33:56 AM,4.415,,,,,
104,09/18/23 12:33:56 PM,12.110,,,,,
105,09/18/23 04:33:56 PM,13.750,,,,,
106,09/18/23 08:33:56 PM,5.757,,,,,
107,09/19/23 12:33:56 AM,4.207,,,,,
108,09/19/23 04:33:56 AM,3.578,,,,,
109,09/19/23 08:33:56 AM,2.624,,,,,
110,09/19/23 12:33:56 PM,13.461,,,,,
111,09/19/23 04:33:56 PM,9.866,,,,,
112,09/19/23 08:33:56 PM,5.244,,,,,
113,09/20/23 12:33:56 AM,2.943,,,,,
114,09/20/23 04:33:56 AM,2.088,,,,,
115,09/20/23 08:33:56 AM,1.439,,,,,
116,09/20/23 12:33:56 PM,10.455,,,,,
117,09/20/23 04:33:56 PM,16.237,,,,,
118,09/20/23 08:33:56 PM,8.282,,,,,
119,09/21/23 12:33:56 AM,4.727,,,,,
120,09/21/23 04:33:56 AM,3.049,,,,,
121,09/21/23 08:33:56 AM,3.049,,,,,
122,09/21/23 12:33:56 PM,11.334,,,,,
123,09/21/23 04:33:56 PM,17.189,,,,,
124,09/21/23 08:33:56 PM,8.282,,,,,
125,09/22/23 12:33:56 AM,4.727,,,,,
126,09/22/23 04:33:56 AM,2.837,,,,,
127,09/22/23 08:33:56 AM,1.872,,,,,
128,09/22/23 12:33:56 PM,12.690,,,,,
129,09/22/23 04:33:56 PM,16.046,,,,,
130,09/22/23 08:33:56 PM,7.882,,,,,
131,09/23/23 12:33:56 AM,4.519,,,,,
132,09/23/23 04:33:56 AM,2.837,,,,,
133,09/23/23 08:33:56 AM,1.112,,,,,
134,09/23/23 12:33:56 PM,10.944,,,,,
135,09/23/23 04:33:56 PM,15.091,,,,,
136,09/23/23 08:33:56 PM,6.877,,,,,
137,09/24/23 12:33:56 AM,3.049,,,,,
138,09/24/23 04:33:56 AM,1.548,,,,,
139,09/24/23 08:33:56 AM,0.784,,,,,
140,09/24/23 12:33:56 PM,13.750,,,,,
141,09/24/23 04:33:56 PM,19.282,,,,,
