"Plot Title: jp_SouthWest2324"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397968, SEN S/N: 21397968)","Coupler Detached (LGR S/N: 21397968)","Coupler Attached (LGR S/N: 21397968)","Host Connected (LGR S/N: 21397968)","Stopped (LGR S/N: 21397968)","End Of File (LGR S/N: 21397968)"
1,09/02/23 08:49:09 AM,20.519,,,,,
2,09/02/23 08:49:29 AM,,Logged,,,,
3,09/02/23 10:49:09 AM,12.497,,,,,
4,09/02/23 12:49:09 PM,15.569,,,,,
5,09/02/23 02:49:09 PM,18.711,,,,,
6,09/02/23 04:49:09 PM,16.903,,,,,
7,09/02/23 06:49:09 PM,16.713,,,,,
8,09/02/23 08:49:09 PM,13.173,,,,,
9,09/02/23 10:49:09 PM,11.334,,,,,
10,09/03/23 12:49:09 AM,10.161,,,,,
11,09/03/23 02:49:09 AM,9.472,,,,,
12,09/03/23 04:49:09 AM,8.978,,,,,
13,09/03/23 06:49:09 AM,8.182,,,,,
14,09/03/23 08:49:09 AM,8.581,,,,,
15,09/03/23 10:49:09 AM,12.013,,,,,
16,09/03/23 12:49:09 PM,12.883,,,,,
17,09/03/23 02:49:09 PM,16.046,,,,,
18,09/03/23 04:49:09 PM,13.365,,,,,
19,09/03/23 06:49:09 PM,12.787,,,,,
20,09/03/23 08:49:09 PM,10.846,,,,,
21,09/03/23 10:49:09 PM,9.669,,,,,
22,09/04/23 12:49:09 AM,8.481,,,,,
23,09/04/23 02:49:09 AM,7.682,,,,,
24,09/04/23 04:49:09 AM,6.978,,,,,
25,09/04/23 06:49:09 AM,6.268,,,,,
26,09/04/23 08:49:09 AM,6.573,,,,,
27,09/04/23 10:49:09 AM,10.455,,,,,
28,09/04/23 12:49:09 PM,13.654,,,,,
29,09/04/23 02:49:09 PM,15.569,,,,,
30,09/04/23 04:49:09 PM,17.570,,,,,
31,09/04/23 06:49:09 PM,14.517,,,,,
32,09/04/23 08:49:09 PM,11.625,,,,,
33,09/04/23 10:49:09 PM,10.161,,,,,
34,09/05/23 12:49:09 AM,8.978,,,,,
35,09/05/23 02:49:09 AM,8.082,,,,,
36,09/05/23 04:49:09 AM,7.381,,,,,
37,09/05/23 06:49:09 AM,6.877,,,,,
38,09/05/23 08:49:09 AM,6.877,,,,,
39,09/05/23 10:49:09 AM,10.063,,,,,
40,09/05/23 12:49:09 PM,14.230,,,,,
41,09/05/23 02:49:09 PM,17.855,,,,,
42,09/05/23 04:49:09 PM,18.616,,,,,
43,09/05/23 06:49:09 PM,16.713,,,,,
44,09/05/23 08:49:09 PM,12.883,,,,,
45,09/05/23 10:49:09 PM,10.944,,,,,
46,09/06/23 12:49:09 AM,9.571,,,,,
47,09/06/23 02:49:09 AM,8.481,,,,,
48,09/06/23 04:49:09 AM,7.682,,,,,
49,09/06/23 06:49:09 AM,7.079,,,,,
50,09/06/23 08:49:09 AM,7.381,,,,,
51,09/06/23 10:49:09 AM,10.455,,,,,
52,09/06/23 12:49:09 PM,14.230,,,,,
53,09/06/23 02:49:09 PM,17.760,,,,,
54,09/06/23 04:49:09 PM,18.616,,,,,
55,09/06/23 06:49:09 PM,16.903,,,,,
56,09/06/23 08:49:09 PM,13.365,,,,,
57,09/06/23 10:49:09 PM,11.236,,,,,
58,09/07/23 12:49:09 AM,9.866,,,,,
59,09/07/23 02:49:09 AM,8.879,,,,,
60,09/07/23 04:49:09 AM,8.082,,,,,
61,09/07/23 06:49:09 AM,7.280,,,,,
62,09/07/23 08:49:09 AM,7.481,,,,,
63,09/07/23 10:49:09 AM,10.846,,,,,
64,09/07/23 12:49:09 PM,14.517,,,,,
65,09/07/23 02:49:09 PM,16.999,,,,,
66,09/07/23 04:49:09 PM,17.950,,,,,
67,09/07/23 06:49:09 PM,15.855,,,,,
68,09/07/23 08:49:09 PM,12.690,,,,,
69,09/07/23 10:49:09 PM,10.651,,,,,
70,09/08/23 12:49:09 AM,9.176,,,,,
71,09/08/23 02:49:09 AM,8.282,,,,,
72,09/08/23 04:49:09 AM,7.582,,,,,
73,09/08/23 06:49:09 AM,6.978,,,,,
74,09/08/23 08:49:09 AM,7.481,,,,,
75,09/08/23 10:49:09 AM,10.846,,,,,
76,09/08/23 12:49:09 PM,14.804,,,,,
77,09/08/23 02:49:09 PM,17.094,,,,,
78,09/08/23 04:49:09 PM,18.140,,,,,
79,09/08/23 06:49:09 PM,16.713,,,,,
80,09/08/23 08:49:09 PM,13.269,,,,,
81,09/08/23 10:49:09 PM,11.139,,,,,
82,09/09/23 12:49:09 AM,9.669,,,,,
83,09/09/23 02:49:09 AM,8.481,,,,,
84,09/09/23 04:49:09 AM,7.782,,,,,
85,09/09/23 06:49:09 AM,7.079,,,,,
86,09/09/23 08:49:09 AM,7.481,,,,,
87,09/09/23 10:49:09 AM,11.334,,,,,
88,09/09/23 12:49:09 PM,15.091,,,,,
89,09/09/23 02:49:09 PM,17.570,,,,,
90,09/09/23 04:49:09 PM,18.045,,,,,
91,09/09/23 06:49:09 PM,17.189,,,,,
92,09/09/23 08:49:09 PM,14.134,,,,,
93,09/09/23 10:49:09 PM,12.497,,,,,
94,09/10/23 12:49:09 AM,11.431,,,,,
95,09/10/23 02:49:09 AM,10.553,,,,,
96,09/10/23 04:49:09 AM,9.768,,,,,
97,09/10/23 06:49:09 AM,8.581,,,,,
98,09/10/23 08:49:09 AM,8.680,,,,,
99,09/10/23 10:49:09 AM,10.748,,,,,
100,09/10/23 12:49:09 PM,10.651,,,,,
101,09/10/23 02:49:09 PM,14.134,,,,,
102,09/10/23 04:49:09 PM,13.750,,,,,
103,09/10/23 06:49:09 PM,12.497,,,,,
104,09/10/23 08:49:09 PM,11.041,,,,,
105,09/10/23 10:49:09 PM,9.373,,,,,
106,09/11/23 12:49:09 AM,8.382,,,,,
107,09/11/23 02:49:09 AM,7.782,,,,,
108,09/11/23 04:49:09 AM,7.481,,,,,
109,09/11/23 06:49:09 AM,6.268,,,,,
110,09/11/23 08:49:09 AM,6.674,,,,,
111,09/11/23 10:49:09 AM,7.983,,,,,
112,09/11/23 12:49:09 PM,10.846,,,,,
113,09/11/23 02:49:09 PM,11.916,,,,,
114,09/11/23 04:49:09 PM,11.528,,,,,
115,09/11/23 06:49:09 PM,10.259,,,,,
116,09/11/23 08:49:09 PM,8.779,,,,,
117,09/11/23 10:49:09 PM,7.983,,,,,
118,09/12/23 12:49:09 AM,6.370,,,,,
119,09/12/23 02:49:09 AM,5.141,,,,,
120,09/12/23 04:49:09 AM,4.311,,,,,
121,09/12/23 06:49:09 AM,3.683,,,,,
122,09/12/23 08:49:09 AM,3.788,,,,,
123,09/12/23 10:49:09 AM,8.382,,,,,
124,09/12/23 12:49:09 PM,13.461,,,,,
125,09/12/23 02:49:09 PM,15.187,,,,,
126,09/12/23 04:49:09 PM,14.613,,,,,
127,09/12/23 06:49:09 PM,14.134,,,,,
128,09/12/23 08:49:09 PM,10.357,,,,,
