"Plot Title: 20365632"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365632, SEN S/N: 20365632)","Coupler Detached (LGR S/N: 20365632)","Coupler Attached (LGR S/N: 20365632)","Host Connected (LGR S/N: 20365632)","Stopped (LGR S/N: 20365632)","End Of File (LGR S/N: 20365632)"
1,09/04/23 04:39:07 PM,27.370,,,,,
2,09/04/23 04:39:20 PM,,Logged,,,,
3,09/04/23 08:39:07 PM,23.869,,,,,
4,09/05/23 12:39:07 AM,23.004,,,,,
5,09/05/23 04:39:07 AM,21.760,,,,,
6,09/05/23 08:39:07 AM,16.141,,,,,
7,09/05/23 12:39:07 PM,34.268,,,,,
8,09/05/23 04:39:07 PM,16.046,,,,,
9,09/05/23 08:39:07 PM,10.357,,,,,
10,09/06/23 12:39:07 AM,7.682,,,,,
11,09/06/23 04:39:07 AM,6.674,,,,,
12,09/06/23 08:39:07 AM,7.079,,,,,
13,09/06/23 12:39:07 PM,12.401,,,,,
14,09/06/23 04:39:07 PM,17.665,,,,,
15,09/06/23 08:39:07 PM,11.139,,,,,
16,09/07/23 12:39:07 AM,8.581,,,,,
17,09/07/23 04:39:07 AM,7.280,,,,,
18,09/07/23 08:39:07 AM,7.381,,,,,
19,09/07/23 12:39:07 PM,12.304,,,,,
20,09/07/23 04:39:07 PM,16.237,,,,,
21,09/07/23 08:39:07 PM,10.748,,,,,
22,09/08/23 12:39:07 AM,8.082,,,,,
23,09/08/23 04:39:07 AM,6.674,,,,,
24,09/08/23 08:39:07 AM,7.280,,,,,
25,09/08/23 12:39:07 PM,15.473,,,,,
26,09/08/23 04:39:07 PM,17.950,,,,,
27,09/08/23 08:39:07 PM,11.625,,,,,
28,09/09/23 12:39:07 AM,8.282,,,,,
29,09/09/23 04:39:07 AM,6.674,,,,,
30,09/09/23 08:39:07 AM,7.280,,,,,
31,09/09/23 12:39:07 PM,15.951,,,,,
32,09/09/23 04:39:07 PM,16.903,,,,,
33,09/09/23 08:39:07 PM,11.431,,,,,
34,09/10/23 12:39:07 AM,9.373,,,,,
35,09/10/23 04:39:07 AM,8.082,,,,,
36,09/10/23 08:39:07 AM,7.782,,,,,
37,09/10/23 12:39:07 PM,10.846,,,,,
38,09/10/23 04:39:07 PM,10.259,,,,,
39,09/10/23 08:39:07 PM,7.983,,,,,
40,09/11/23 12:39:07 AM,6.775,,,,,
41,09/11/23 04:39:07 AM,5.757,,,,,
42,09/11/23 08:39:07 AM,6.064,,,,,
43,09/11/23 12:39:07 PM,10.357,,,,,
44,09/11/23 04:39:07 PM,11.431,,,,,
45,09/11/23 08:39:07 PM,7.882,,,,,
46,09/12/23 12:39:07 AM,5.141,,,,,
47,09/12/23 04:39:07 AM,3.683,,,,,
48,09/12/23 08:39:07 AM,3.578,,,,,
49,09/12/23 12:39:07 PM,14.134,,,,,
50,09/12/23 04:39:07 PM,13.365,,,,,
51,09/12/23 08:39:07 PM,7.882,,,,,
52,09/13/23 12:39:07 AM,5.347,,,,,
53,09/13/23 04:39:07 AM,3.788,,,,,
54,09/13/23 08:39:07 AM,4.311,,,,,
55,09/13/23 12:39:07 PM,10.259,,,,,
56,09/13/23 04:39:07 PM,13.076,,,,,
57,09/13/23 08:39:07 PM,7.280,,,,,
58,09/14/23 12:39:07 AM,4.831,,,,,
59,09/14/23 04:39:07 AM,3.472,,,,,
60,09/14/23 08:39:07 AM,4.415,,,,,
61,09/14/23 12:39:07 PM,9.571,,,,,
62,09/14/23 04:39:07 PM,5.347,,,,,
63,09/14/23 08:39:07 PM,5.037,,,,,
64,09/15/23 12:39:07 AM,4.727,,,,,
65,09/15/23 04:39:07 AM,4.102,,,,,
66,09/15/23 08:39:07 AM,3.998,,,,,
67,09/15/23 12:39:07 PM,6.064,,,,,
68,09/15/23 04:39:07 PM,8.082,,,,,
69,09/15/23 08:39:07 PM,4.415,,,,,
70,09/16/23 12:39:07 AM,2.517,,,,,
71,09/16/23 04:39:07 AM,1.656,,,,,
72,09/16/23 08:39:07 AM,1.003,,,,,
73,09/16/23 12:39:07 PM,11.041,,,,,
74,09/16/23 04:39:07 PM,14.804,,,,,
75,09/16/23 08:39:07 PM,7.280,,,,,
76,09/17/23 12:39:07 AM,4.102,,,,,
77,09/17/23 04:39:07 AM,3.049,,,,,
78,09/17/23 08:39:07 AM,3.261,,,,,
79,09/17/23 12:39:07 PM,10.748,,,,,
80,09/17/23 04:39:07 PM,13.654,,,,,
81,09/17/23 08:39:07 PM,7.582,,,,,
82,09/18/23 12:39:07 AM,5.552,,,,,
83,09/18/23 04:39:07 AM,3.893,,,,,
84,09/18/23 08:39:07 AM,4.934,,,,,
85,09/18/23 12:39:07 PM,9.866,,,,,
86,09/18/23 04:39:07 PM,11.431,,,,,
87,09/18/23 08:39:07 PM,6.471,,,,,
88,09/19/23 12:39:07 AM,4.934,,,,,
89,09/19/23 04:39:07 AM,4.207,,,,,
90,09/19/23 08:39:07 AM,3.998,,,,,
91,09/19/23 12:39:07 PM,10.748,,,,,
92,09/19/23 04:39:07 PM,11.916,,,,,
93,09/19/23 08:39:07 PM,6.877,,,,,
94,09/20/23 12:39:07 AM,5.037,,,,,
95,09/20/23 04:39:07 AM,4.311,,,,,
96,09/20/23 08:39:07 AM,4.311,,,,,
97,09/20/23 12:39:07 PM,12.594,,,,,
98,09/20/23 04:39:07 PM,11.722,,,,,
99,09/20/23 08:39:07 PM,7.179,,,,,
100,09/21/23 12:39:07 AM,5.347,,,,,
101,09/21/23 04:39:07 AM,3.578,,,,,
102,09/21/23 08:39:07 AM,3.367,,,,,
103,09/21/23 12:39:07 PM,11.722,,,,,
104,09/21/23 04:39:07 PM,12.013,,,,,
105,09/21/23 08:39:07 PM,6.877,,,,,
106,09/22/23 12:39:07 AM,4.623,,,,,
107,09/22/23 04:39:07 AM,3.261,,,,,
108,09/22/23 08:39:07 AM,2.943,,,,,
109,09/22/23 12:39:07 PM,11.334,,,,,
110,09/22/23 04:39:07 PM,14.134,,,,,
111,09/22/23 08:39:07 PM,7.280,,,,,
112,09/23/23 12:39:07 AM,4.727,,,,,
113,09/23/23 04:39:07 AM,2.624,,,,,
114,09/23/23 08:39:07 AM,1.330,,,,,
115,09/23/23 12:39:07 PM,5.244,,,,,
116,09/23/23 04:39:07 PM,7.983,,,,,
117,09/23/23 08:39:07 PM,4.623,,,,,
118,09/24/23 12:39:07 AM,2.730,,,,,
119,09/24/23 04:39:07 AM,1.656,,,,,
120,09/24/23 08:39:07 AM,1.548,,,,,
121,09/24/23 12:39:07 PM,9.077,,,,,
122,09/24/23 04:39:07 PM,12.401,,,,,
123,09/24/23 08:39:07 PM,6.268,,,,,
124,09/25/23 12:39:07 AM,3.367,,,,,
125,09/25/23 04:39:07 AM,1.980,,,,,
126,09/25/23 08:39:07 AM,2.624,,,,,
127,09/25/23 12:39:07 PM,12.304,,,,,
128,09/25/23 04:39:07 PM,15.473,,,,,
129,09/25/23 08:39:07 PM,8.082,,,,,
130,09/26/23 12:39:07 AM,5.860,,,,,
131,09/26/23 04:39:07 AM,4.207,,,,,
132,09/26/23 08:39:07 AM,4.623,,,,,
133,09/26/23 12:39:07 PM,11.722,,,,,
134,09/26/23 04:39:07 PM,15.282,,,,,
135,09/26/23 08:39:07 PM,8.779,,,,,
136,09/27/23 12:39:07 AM,6.370,,,,,
