1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F600000060266E21
Is Mission Active?  true
Mission Start:  Mon Aug 21 20:44:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  3596
Total Samples:  3596
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/21/23, 8:44:00 PM,C,26.5
8/22/23, 12:59:00 AM,C,21
8/22/23, 5:14:00 AM,C,20.5
8/22/23, 9:29:00 AM,C,33
8/22/23, 1:44:00 PM,C,22.5
8/22/23, 5:59:00 PM,C,15
8/22/23, 10:14:00 PM,C,10.5
8/23/23, 2:29:00 AM,C,9
8/23/23, 6:44:00 AM,C,8.5
8/23/23, 10:59:00 AM,C,15.5
8/23/23, 3:14:00 PM,C,14.5
8/23/23, 7:29:00 PM,C,13
8/23/23, 11:44:00 PM,C,10.5
8/24/23, 3:59:00 AM,C,10
8/24/23, 8:14:00 AM,C,10.5
8/24/23, 12:29:00 PM,C,15
8/24/23, 4:44:00 PM,C,15.5
8/24/23, 8:59:00 PM,C,9
8/25/23, 1:14:00 AM,C,9.5
8/25/23, 5:29:00 AM,C,8.5
8/25/23, 9:44:00 AM,C,9
8/25/23, 1:59:00 PM,C,11.5
8/25/23, 6:14:00 PM,C,9.5
8/25/23, 10:29:00 PM,C,8.5
8/26/23, 2:44:00 AM,C,8
8/26/23, 6:59:00 AM,C,6.5
8/26/23, 11:14:00 AM,C,10.5
8/26/23, 3:29:00 PM,C,14
8/26/23, 7:44:00 PM,C,12.5
8/26/23, 11:59:00 PM,C,9.5
8/27/23, 4:14:00 AM,C,8
8/27/23, 8:29:00 AM,C,8.5
8/27/23, 12:44:00 PM,C,14.5
8/27/23, 4:59:00 PM,C,13.5
8/27/23, 9:14:00 PM,C,8.5
8/28/23, 1:29:00 AM,C,8.5
8/28/23, 5:44:00 AM,C,7
8/28/23, 9:59:00 AM,C,9.5
8/28/23, 2:14:00 PM,C,13
8/28/23, 6:29:00 PM,C,12.5
8/28/23, 10:44:00 PM,C,8.5
8/29/23, 2:59:00 AM,C,6
8/29/23, 7:14:00 AM,C,5
8/29/23, 11:29:00 AM,C,11
8/29/23, 3:44:00 PM,C,14
8/29/23, 7:59:00 PM,C,11
8/30/23, 12:14:00 AM,C,8
8/30/23, 4:29:00 AM,C,6.5
8/30/23, 8:44:00 AM,C,7.5
8/30/23, 12:59:00 PM,C,11.5
8/30/23, 5:14:00 PM,C,14
8/30/23, 9:29:00 PM,C,10
8/31/23, 1:44:00 AM,C,8
8/31/23, 5:59:00 AM,C,6.5
8/31/23, 10:14:00 AM,C,9
8/31/23, 2:29:00 PM,C,13
8/31/23, 6:44:00 PM,C,14.5
8/31/23, 10:59:00 PM,C,10
9/1/23, 3:14:00 AM,C,8.5
9/1/23, 7:29:00 AM,C,7.5
9/1/23, 11:44:00 AM,C,13.5
9/1/23, 3:59:00 PM,C,14.5
9/1/23, 8:14:00 PM,C,12
9/2/23, 12:29:00 AM,C,10
9/2/23, 4:44:00 AM,C,8.5
9/2/23, 8:59:00 AM,C,10
9/2/23, 1:14:00 PM,C,13.5
9/2/23, 5:29:00 PM,C,15
9/2/23, 9:44:00 PM,C,11
9/3/23, 1:59:00 AM,C,9.5
9/3/23, 6:14:00 AM,C,8.5
9/3/23, 10:29:00 AM,C,12.5
9/3/23, 2:44:00 PM,C,4.5
9/3/23, 6:59:00 PM,C,6.5
9/3/23, 11:14:00 PM,C,6.5
9/4/23, 3:29:00 AM,C,5.5
9/4/23, 7:44:00 AM,C,5
9/4/23, 11:59:00 AM,C,9.5
9/4/23, 4:14:00 PM,C,9
9/4/23, 8:29:00 PM,C,6.5
9/5/23, 12:44:00 AM,C,4.5
9/5/23, 4:59:00 AM,C,3
9/5/23, 9:14:00 AM,C,5
9/5/23, 1:29:00 PM,C,8.5
9/5/23, 5:44:00 PM,C,10.5
9/5/23, 9:59:00 PM,C,7
9/6/23, 2:14:00 AM,C,5.5
9/6/23, 6:29:00 AM,C,4.5
9/6/23, 10:44:00 AM,C,6
9/6/23, 2:59:00 PM,C,10
9/6/23, 7:14:00 PM,C,10
9/6/23, 11:29:00 PM,C,7
9/7/23, 3:44:00 AM,C,5.5
9/7/23, 7:59:00 AM,C,4.5
