1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 89000000603A5421
Is Mission Active?  true
Mission Start:  Mon Aug 21 20:45:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  3596
Total Samples:  3596
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/21/23, 8:45:00 PM,C,27
8/22/23, 1:00:00 AM,C,22.5
8/22/23, 5:15:00 AM,C,21.5
8/22/23, 9:30:00 AM,C,32.5
8/22/23, 1:45:00 PM,C,25.5
8/22/23, 6:00:00 PM,C,17.5
8/22/23, 10:15:00 PM,C,11.5
8/23/23, 2:30:00 AM,C,10
8/23/23, 6:45:00 AM,C,9
8/23/23, 11:00:00 AM,C,18
8/23/23, 3:15:00 PM,C,16.5
8/23/23, 7:30:00 PM,C,14.5
8/23/23, 11:45:00 PM,C,11.5
8/24/23, 4:00:00 AM,C,10.5
8/24/23, 8:15:00 AM,C,11
8/24/23, 12:30:00 PM,C,18
8/24/23, 4:45:00 PM,C,19
8/24/23, 9:00:00 PM,C,10
8/25/23, 1:15:00 AM,C,10.5
8/25/23, 5:30:00 AM,C,9.5
8/25/23, 9:45:00 AM,C,10
8/25/23, 2:00:00 PM,C,13
8/25/23, 6:15:00 PM,C,11
8/25/23, 10:30:00 PM,C,9.5
8/26/23, 2:45:00 AM,C,8.5
8/26/23, 7:00:00 AM,C,7.5
8/26/23, 11:15:00 AM,C,13
8/26/23, 3:30:00 PM,C,18
8/26/23, 7:45:00 PM,C,14
8/27/23, 12:00:00 AM,C,10
8/27/23, 4:15:00 AM,C,8.5
8/27/23, 8:30:00 AM,C,9.5
8/27/23, 12:45:00 PM,C,20
8/27/23, 5:00:00 PM,C,16
8/27/23, 9:15:00 PM,C,10.5
8/28/23, 1:30:00 AM,C,9
8/28/23, 5:45:00 AM,C,7.5
8/28/23, 10:00:00 AM,C,12
8/28/23, 2:15:00 PM,C,15.5
8/28/23, 6:30:00 PM,C,14.5
8/28/23, 10:45:00 PM,C,9
8/29/23, 3:00:00 AM,C,6.5
8/29/23, 7:15:00 AM,C,5
8/29/23, 11:30:00 AM,C,14
8/29/23, 3:45:00 PM,C,18.5
8/29/23, 8:00:00 PM,C,12.5
8/30/23, 12:15:00 AM,C,8.5
8/30/23, 4:30:00 AM,C,7
8/30/23, 8:45:00 AM,C,8.5
8/30/23, 1:00:00 PM,C,17.5
8/30/23, 5:15:00 PM,C,19
8/30/23, 9:30:00 PM,C,12
8/31/23, 1:45:00 AM,C,9.5
8/31/23, 6:00:00 AM,C,7.5
8/31/23, 10:15:00 AM,C,12
8/31/23, 2:30:00 PM,C,21.5
8/31/23, 6:45:00 PM,C,19
8/31/23, 11:00:00 PM,C,12
9/1/23, 3:15:00 AM,C,9.5
9/1/23, 7:30:00 AM,C,8.5
9/1/23, 11:45:00 AM,C,18.5
9/1/23, 4:00:00 PM,C,18.5
9/1/23, 8:15:00 PM,C,14.5
9/2/23, 12:30:00 AM,C,11
