"Plot Title: 21397972"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397972, SEN S/N: 21397972)","Coupler Detached (LGR S/N: 21397972)","Bad Battery (LGR S/N: 21397972)","End Of File (LGR S/N: 21397972)"
1,08/18/22 05:05:00 PM,12.207,,,
2,08/18/22 05:05:27 PM,,Logged,,
3,08/18/22 07:05:00 PM,9.669,,,
4,08/18/22 09:05:00 PM,6.978,,,
5,08/18/22 11:05:00 PM,5.450,,,
6,08/19/22 01:05:00 AM,4.519,,,
7,08/19/22 03:05:00 AM,3.998,,,
8,08/19/22 05:05:00 AM,2.837,,,
9,08/19/22 07:05:00 AM,2.943,,,
10,08/19/22 09:05:00 AM,6.877,,,
11,08/19/22 11:05:00 AM,13.269,,,
12,08/19/22 01:05:00 PM,10.161,,,
13,08/19/22 03:05:00 PM,8.182,,,
14,08/19/22 05:05:00 PM,12.207,,,
15,08/19/22 07:05:00 PM,8.481,,,
16,08/19/22 09:05:00 PM,5.757,,,
17,08/19/22 11:05:00 PM,5.141,,,
18,08/20/22 01:05:00 AM,4.623,,,
19,08/20/22 03:05:00 AM,3.998,,,
20,08/20/22 05:05:00 AM,3.998,,,
21,08/20/22 07:05:00 AM,4.207,,,
22,08/20/22 09:05:00 AM,4.934,,,
23,08/20/22 11:05:00 AM,7.882,,,
24,08/20/22 01:05:00 PM,12.401,,,
25,08/20/22 03:05:00 PM,3.049,,,
26,08/20/22 05:05:00 PM,9.077,,,
27,08/20/22 07:05:00 PM,7.280,,,
28,08/20/22 09:05:00 PM,5.757,,,
29,08/20/22 11:05:00 PM,4.623,,,
30,08/21/22 01:05:00 AM,3.998,,,
31,08/21/22 03:05:00 AM,3.472,,,
32,08/21/22 05:05:00 AM,2.943,,,
33,08/21/22 07:05:00 AM,3.788,,,
34,08/21/22 09:05:00 AM,6.064,,,
35,08/21/22 11:05:00 AM,8.481,,,
36,08/21/22 01:05:00 PM,10.357,,,
37,08/21/22 03:05:00 PM,8.082,,,
38,08/21/22 05:05:00 PM,7.882,,,
39,08/21/22 07:05:00 PM,5.347,,,
40,08/21/22 09:05:00 PM,4.623,,,
41,08/21/22 11:05:00 PM,3.367,,,
42,08/22/22 01:05:00 AM,2.195,,,
43,08/22/22 03:05:00 AM,2.517,,,
44,08/22/22 05:05:00 AM,2.730,,,
45,08/22/22 07:05:00 AM,3.049,,,
46,08/22/22 09:05:00 AM,6.674,,,
47,08/22/22 11:05:00 AM,12.787,,,
48,08/22/22 01:05:00 PM,14.134,,,
49,08/22/22 03:05:00 PM,8.779,,,
50,08/22/22 05:05:00 PM,9.571,,,
51,08/22/22 07:05:00 PM,8.581,,,
52,08/22/22 09:05:00 PM,5.347,,,
53,08/22/22 11:05:00 PM,3.578,,,
54,08/23/22 01:05:00 AM,2.303,,,
55,08/23/22 03:05:00 AM,1.548,,,
56,08/23/22 05:05:00 AM,1.003,,,
57,08/23/22 07:05:00 AM,0.893,,,
58,08/23/22 09:05:00 AM,4.415,,,
59,08/23/22 11:05:00 AM,11.041,,,
60,08/23/22 01:05:00 PM,14.325,,,
61,08/23/22 03:05:00 PM,11.916,,,
62,08/23/22 05:05:00 PM,6.978,,,
63,08/23/22 07:05:00 PM,5.962,,,
64,08/23/22 09:05:00 PM,3.893,,,
