1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5800000032B2C921
Is Mission Active?  true
Mission Start:  Tue Jun 27 05:43:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  527
Total Samples:  6746
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/27/23 5:43:00 AM,C,26
6/27/23 9:58:00 AM,C,20
6/27/23 2:13:00 PM,C,30
6/27/23 6:28:00 PM,C,24.5
6/27/23 10:43:00 PM,C,11.5
6/28/23 2:58:00 AM,C,8
6/28/23 7:13:00 AM,C,8.5
6/28/23 11:28:00 AM,C,26.5
6/28/23 3:43:00 PM,C,29
6/28/23 7:58:00 PM,C,17
6/29/23 12:13:00 AM,C,10
6/29/23 4:28:00 AM,C,10.5
6/29/23 8:43:00 AM,C,15
6/29/23 12:58:00 PM,C,20.5
6/29/23 5:13:00 PM,C,17.5
6/29/23 9:28:00 PM,C,10.5
6/30/23 1:43:00 AM,C,9.5
6/30/23 5:58:00 AM,C,5.5
6/30/23 10:13:00 AM,C,11
6/30/23 2:28:00 PM,C,12
6/30/23 6:43:00 PM,C,10.5
6/30/23 10:58:00 PM,C,5.5
7/1/23 3:13:00 AM,C,3.5
7/1/23 7:28:00 AM,C,5.5
7/1/23 11:43:00 AM,C,23.5
7/1/23 3:58:00 PM,C,30
7/1/23 8:13:00 PM,C,13.5
7/2/23 12:28:00 AM,C,8
7/2/23 4:43:00 AM,C,6
7/2/23 8:58:00 AM,C,14.5
7/2/23 1:13:00 PM,C,23.5
7/2/23 5:28:00 PM,C,26.5
7/2/23 9:43:00 PM,C,11.5
7/3/23 1:58:00 AM,C,7.5
7/3/23 6:13:00 AM,C,6
7/3/23 10:28:00 AM,C,24.5
7/3/23 2:43:00 PM,C,34
7/3/23 6:58:00 PM,C,19.5
7/3/23 11:13:00 PM,C,12.5
7/4/23 3:28:00 AM,C,9
7/4/23 7:43:00 AM,C,8.5
7/4/23 11:58:00 AM,C,23
7/4/23 4:13:00 PM,C,23
7/4/23 8:28:00 PM,C,10.5
7/5/23 12:43:00 AM,C,9.5
7/5/23 4:58:00 AM,C,7.5
7/5/23 9:13:00 AM,C,11.5
7/5/23 1:28:00 PM,C,21.5
7/5/23 5:43:00 PM,C,4
7/5/23 9:58:00 PM,C,6.5
7/6/23 2:13:00 AM,C,6
7/6/23 6:28:00 AM,C,5
7/6/23 10:43:00 AM,C,14
7/6/23 2:58:00 PM,C,17.5
7/6/23 7:13:00 PM,C,15
7/6/23 11:28:00 PM,C,8.5
7/7/23 3:43:00 AM,C,6
7/7/23 7:58:00 AM,C,9
7/7/23 12:13:00 PM,C,21
7/7/23 4:28:00 PM,C,12.5
7/7/23 8:43:00 PM,C,9
7/8/23 12:58:00 AM,C,8
7/8/23 5:13:00 AM,C,7
7/8/23 9:28:00 AM,C,16
7/8/23 1:43:00 PM,C,22
7/8/23 5:58:00 PM,C,16
7/8/23 10:13:00 PM,C,9.5
7/9/23 2:28:00 AM,C,8
7/9/23 6:43:00 AM,C,7
7/9/23 10:58:00 AM,C,18.5
7/9/23 3:13:00 PM,C,24.5
7/9/23 7:28:00 PM,C,18.5
7/9/23 11:43:00 PM,C,9.5
7/10/23 3:58:00 AM,C,7.5
7/10/23 8:13:00 AM,C,12
7/10/23 12:28:00 PM,C,24.5
7/10/23 4:43:00 PM,C,27
7/10/23 8:58:00 PM,C,13.5
7/11/23 1:13:00 AM,C,10
7/11/23 5:28:00 AM,C,8.5
7/11/23 9:43:00 AM,C,18.5
7/11/23 1:58:00 PM,C,31.5
7/11/23 6:13:00 PM,C,26.5
7/11/23 10:28:00 PM,C,13
7/12/23 2:43:00 AM,C,10
7/12/23 6:58:00 AM,C,9
7/12/23 11:13:00 AM,C,28.5
7/12/23 3:28:00 PM,C,31
7/12/23 7:43:00 PM,C,18
7/12/23 11:58:00 PM,C,11.5
7/13/23 4:13:00 AM,C,9.5
7/13/23 8:28:00 AM,C,20
7/13/23 12:43:00 PM,C,29
7/13/23 4:58:00 PM,C,17.5
7/13/23 9:13:00 PM,C,13.5
7/14/23 1:28:00 AM,C,11
7/14/23 5:43:00 AM,C,7.5
7/14/23 9:58:00 AM,C,23
7/14/23 2:13:00 PM,C,27
7/14/23 6:28:00 PM,C,23
7/14/23 10:43:00 PM,C,13
7/15/23 2:58:00 AM,C,8
7/15/23 7:13:00 AM,C,10.5
7/15/23 11:28:00 AM,C,30
7/15/23 3:43:00 PM,C,35.5
7/15/23 7:58:00 PM,C,19.5
7/16/23 12:13:00 AM,C,11
7/16/23 4:28:00 AM,C,9.5
7/16/23 8:43:00 AM,C,20.5
7/16/23 12:58:00 PM,C,33.5
7/16/23 5:13:00 PM,C,29
7/16/23 9:28:00 PM,C,15.5
7/17/23 1:43:00 AM,C,13
7/17/23 5:58:00 AM,C,11
7/17/23 10:13:00 AM,C,27
7/17/23 2:28:00 PM,C,37
7/17/23 6:43:00 PM,C,20
7/17/23 10:58:00 PM,C,14
7/18/23 3:13:00 AM,C,11.5
7/18/23 7:28:00 AM,C,14
7/18/23 11:43:00 AM,C,27.5
7/18/23 3:58:00 PM,C,27
7/18/23 8:13:00 PM,C,19
7/19/23 12:28:00 AM,C,14
7/19/23 4:43:00 AM,C,10.5
7/19/23 8:58:00 AM,C,11.5
7/19/23 1:13:00 PM,C,26
7/19/23 5:28:00 PM,C,25.5
7/19/23 9:43:00 PM,C,12.5
7/20/23 1:58:00 AM,C,11
7/20/23 6:13:00 AM,C,8.5
7/20/23 10:28:00 AM,C,12
7/20/23 2:43:00 PM,C,15
7/20/23 6:58:00 PM,C,14.5
7/20/23 11:13:00 PM,C,10
7/21/23 3:28:00 AM,C,6.5
7/21/23 7:43:00 AM,C,9
7/21/23 11:58:00 AM,C,25.5
7/21/23 4:13:00 PM,C,23
7/21/23 8:28:00 PM,C,13
7/22/23 12:43:00 AM,C,8.5
7/22/23 4:58:00 AM,C,8
7/22/23 9:13:00 AM,C,18
7/22/23 1:28:00 PM,C,31
7/22/23 5:43:00 PM,C,29
7/22/23 9:58:00 PM,C,13.5
7/23/23 2:13:00 AM,C,11
7/23/23 6:28:00 AM,C,10
7/23/23 10:43:00 AM,C,26
7/23/23 2:58:00 PM,C,31
7/23/23 7:13:00 PM,C,18.5
7/23/23 11:28:00 PM,C,14
7/24/23 3:43:00 AM,C,12.5
7/24/23 7:58:00 AM,C,17
7/24/23 12:13:00 PM,C,32.5
7/24/23 4:28:00 PM,C,29.5
7/24/23 8:43:00 PM,C,17
7/25/23 12:58:00 AM,C,14
7/25/23 5:13:00 AM,C,12.5
7/25/23 9:28:00 AM,C,16.5
7/25/23 1:43:00 PM,C,25
7/25/23 5:58:00 PM,C,20.5
7/25/23 10:13:00 PM,C,13.5
7/26/23 2:28:00 AM,C,12.5
7/26/23 6:43:00 AM,C,11
7/26/23 10:58:00 AM,C,32.5
7/26/23 3:13:00 PM,C,27
7/26/23 7:28:00 PM,C,18.5
7/26/23 11:43:00 PM,C,10.5
7/27/23 3:58:00 AM,C,9
7/27/23 8:13:00 AM,C,14.5
7/27/23 12:28:00 PM,C,32
7/27/23 4:43:00 PM,C,34
7/27/23 8:58:00 PM,C,16
7/28/23 1:13:00 AM,C,10.5
7/28/23 5:28:00 AM,C,9.5
7/28/23 9:43:00 AM,C,23
7/28/23 1:58:00 PM,C,29
7/28/23 6:13:00 PM,C,21.5
7/28/23 10:28:00 PM,C,12.5
7/29/23 2:43:00 AM,C,10
7/29/23 6:58:00 AM,C,11.5
7/29/23 11:13:00 AM,C,28
7/29/23 3:28:00 PM,C,22.5
7/29/23 7:43:00 PM,C,16
7/29/23 11:58:00 PM,C,12.5
7/30/23 4:13:00 AM,C,10.5
7/30/23 8:28:00 AM,C,18.5
7/30/23 12:43:00 PM,C,28
7/30/23 4:58:00 PM,C,22
7/30/23 9:13:00 PM,C,14
7/31/23 1:28:00 AM,C,12
7/31/23 5:43:00 AM,C,12
7/31/23 9:58:00 AM,C,24
7/31/23 2:13:00 PM,C,24
7/31/23 6:28:00 PM,C,14
7/31/23 10:43:00 PM,C,11.5
8/1/23 2:58:00 AM,C,9.5
8/1/23 7:13:00 AM,C,9.5
8/1/23 11:28:00 AM,C,24
8/1/23 3:43:00 PM,C,23.5
8/1/23 7:58:00 PM,C,10.5
8/2/23 12:13:00 AM,C,9.5
8/2/23 4:28:00 AM,C,8.5
8/2/23 8:43:00 AM,C,10.5
8/2/23 12:58:00 PM,C,16
8/2/23 5:13:00 PM,C,13.5
8/2/23 9:28:00 PM,C,11.5
8/3/23 1:43:00 AM,C,9.5
8/3/23 5:58:00 AM,C,7.5
8/3/23 10:13:00 AM,C,19
8/3/23 2:28:00 PM,C,23
8/3/23 6:43:00 PM,C,18
8/3/23 10:58:00 PM,C,10
8/4/23 3:13:00 AM,C,8.5
8/4/23 7:28:00 AM,C,9.5
8/4/23 11:43:00 AM,C,19.5
8/4/23 3:58:00 PM,C,26.5
8/4/23 8:13:00 PM,C,14
8/5/23 12:28:00 AM,C,9
8/5/23 4:43:00 AM,C,7
8/5/23 8:58:00 AM,C,9.5
8/5/23 1:13:00 PM,C,20.5
8/5/23 5:28:00 PM,C,14
8/5/23 9:43:00 PM,C,10
8/6/23 1:58:00 AM,C,8
8/6/23 6:13:00 AM,C,6
8/6/23 10:28:00 AM,C,18.5
8/6/23 2:43:00 PM,C,14
8/6/23 6:58:00 PM,C,9.5
8/6/23 11:13:00 PM,C,6.5
8/7/23 3:28:00 AM,C,4.5
8/7/23 7:43:00 AM,C,8
8/7/23 11:58:00 AM,C,16.5
8/7/23 4:13:00 PM,C,13
8/7/23 8:28:00 PM,C,8.5
8/8/23 12:43:00 AM,C,6
8/8/23 4:58:00 AM,C,5
8/8/23 9:13:00 AM,C,16
8/8/23 1:28:00 PM,C,20.5
8/8/23 5:43:00 PM,C,18.5
8/8/23 9:58:00 PM,C,10
8/9/23 2:13:00 AM,C,6.5
8/9/23 6:28:00 AM,C,5
8/9/23 10:43:00 AM,C,18.5
8/9/23 2:58:00 PM,C,28
8/9/23 7:13:00 PM,C,17
8/9/23 11:28:00 PM,C,9
8/10/23 3:43:00 AM,C,9.5
8/10/23 7:58:00 AM,C,9.5
8/10/23 12:13:00 PM,C,24
8/10/23 4:28:00 PM,C,24
8/10/23 8:43:00 PM,C,14
8/11/23 12:58:00 AM,C,10.5
8/11/23 5:13:00 AM,C,9.5
8/11/23 9:28:00 AM,C,17.5
8/11/23 1:43:00 PM,C,29.5
8/11/23 5:58:00 PM,C,16
8/11/23 10:13:00 PM,C,12
8/12/23 2:28:00 AM,C,10.5
8/12/23 6:43:00 AM,C,9.5
8/12/23 10:58:00 AM,C,18.5
8/12/23 3:13:00 PM,C,13
8/12/23 7:28:00 PM,C,12
8/12/23 11:43:00 PM,C,9
8/13/23 3:58:00 AM,C,8
8/13/23 8:13:00 AM,C,12
8/13/23 12:28:00 PM,C,11.5
8/13/23 4:43:00 PM,C,11.5
8/13/23 8:58:00 PM,C,9
8/14/23 1:13:00 AM,C,7.5
8/14/23 5:28:00 AM,C,3.5
8/14/23 9:43:00 AM,C,18
8/14/23 1:58:00 PM,C,27.5
8/14/23 6:13:00 PM,C,21
8/14/23 10:28:00 PM,C,9
8/15/23 2:43:00 AM,C,6.5
8/15/23 6:58:00 AM,C,8
8/15/23 11:13:00 AM,C,23
8/15/23 3:28:00 PM,C,31
8/15/23 7:43:00 PM,C,16.5
8/15/23 11:58:00 PM,C,12
8/16/23 4:13:00 AM,C,9.5
8/16/23 8:28:00 AM,C,16
8/16/23 12:43:00 PM,C,26.5
8/16/23 4:58:00 PM,C,21.5
8/16/23 9:13:00 PM,C,11.5
8/17/23 1:28:00 AM,C,9
8/17/23 5:43:00 AM,C,7.5
8/17/23 9:58:00 AM,C,22
8/17/23 2:13:00 PM,C,27
8/17/23 6:28:00 PM,C,16
8/17/23 10:43:00 PM,C,12.5
8/18/23 2:58:00 AM,C,11
8/18/23 7:13:00 AM,C,11
8/18/23 11:28:00 AM,C,20
8/18/23 3:43:00 PM,C,15
8/18/23 7:58:00 PM,C,13.5
8/19/23 12:13:00 AM,C,12
8/19/23 4:28:00 AM,C,10.5
8/19/23 8:43:00 AM,C,18
8/19/23 12:58:00 PM,C,21.5
8/19/23 5:13:00 PM,C,21
8/19/23 9:28:00 PM,C,12
8/20/23 1:43:00 AM,C,10
8/20/23 5:58:00 AM,C,8.5
8/20/23 10:13:00 AM,C,21.5
8/20/23 2:28:00 PM,C,25
8/20/23 6:43:00 PM,C,21
8/20/23 10:58:00 PM,C,12
8/21/23 3:13:00 AM,C,10.5
8/21/23 7:28:00 AM,C,10.5
8/21/23 11:43:00 AM,C,28
8/21/23 3:58:00 PM,C,31.5
8/21/23 8:13:00 PM,C,16
8/22/23 12:28:00 AM,C,13
8/22/23 4:43:00 AM,C,12
8/22/23 8:58:00 AM,C,18
8/22/23 1:13:00 PM,C,21.5
8/22/23 5:28:00 PM,C,18
8/22/23 9:43:00 PM,C,22.5
8/23/23 1:58:00 AM,C,21.5
8/23/23 6:13:00 AM,C,21.5
8/23/23 10:28:00 AM,C,21
8/23/23 2:43:00 PM,C,21
8/23/23 6:58:00 PM,C,22
8/23/23 11:13:00 PM,C,24.5
8/24/23 3:28:00 AM,C,24.5
8/24/23 7:43:00 AM,C,24.5
8/24/23 11:58:00 AM,C,24
8/24/23 4:13:00 PM,C,25.5
8/24/23 8:28:00 PM,C,26
8/25/23 12:43:00 AM,C,26
8/25/23 4:58:00 AM,C,25
8/25/23 9:13:00 AM,C,24.5
8/25/23 1:28:00 PM,C,24
8/25/23 5:43:00 PM,C,23.5
8/25/23 9:58:00 PM,C,23
8/26/23 2:13:00 AM,C,22.5
8/26/23 6:28:00 AM,C,22
8/26/23 10:43:00 AM,C,22
8/26/23 2:58:00 PM,C,22
8/26/23 7:13:00 PM,C,22
8/26/23 11:28:00 PM,C,22.5
8/27/23 3:43:00 AM,C,22
8/27/23 7:58:00 AM,C,22
8/27/23 12:13:00 PM,C,22
8/27/23 4:28:00 PM,C,23
8/27/23 8:43:00 PM,C,23.5
8/28/23 12:58:00 AM,C,23.5
8/28/23 5:13:00 AM,C,23
8/28/23 9:28:00 AM,C,22.5
8/28/23 1:43:00 PM,C,23
8/28/23 5:58:00 PM,C,23.5
8/28/23 10:13:00 PM,C,23.5
8/29/23 2:28:00 AM,C,23
8/29/23 6:43:00 AM,C,22.5
8/29/23 10:58:00 AM,C,22.5
8/29/23 3:13:00 PM,C,23
8/29/23 7:28:00 PM,C,24.5
8/29/23 11:43:00 PM,C,24.5
8/30/23 3:58:00 AM,C,24
8/30/23 8:13:00 AM,C,21
8/30/23 12:28:00 PM,C,20.5
8/30/23 4:43:00 PM,C,20.5
8/30/23 8:58:00 PM,C,21
8/31/23 1:13:00 AM,C,20.5
8/31/23 5:28:00 AM,C,20.5
8/31/23 9:43:00 AM,C,20.5
8/31/23 1:58:00 PM,C,20.5
8/31/23 6:13:00 PM,C,20.5
8/31/23 10:28:00 PM,C,20.5
9/1/23 2:43:00 AM,C,20.5
9/1/23 6:58:00 AM,C,20.5
9/1/23 11:13:00 AM,C,20.5
9/1/23 3:28:00 PM,C,23
9/1/23 7:43:00 PM,C,25
9/1/23 11:58:00 PM,C,23
9/2/23 4:13:00 AM,C,23
9/2/23 8:28:00 AM,C,22.5
9/2/23 12:43:00 PM,C,22.5
9/2/23 4:58:00 PM,C,23.5
9/2/23 9:13:00 PM,C,22.5
9/3/23 1:28:00 AM,C,22
9/3/23 5:43:00 AM,C,22
9/3/23 9:58:00 AM,C,22
9/3/23 2:13:00 PM,C,22.5
9/3/23 6:28:00 PM,C,23.5
9/3/23 10:43:00 PM,C,23.5
9/4/23 2:58:00 AM,C,23
9/4/23 7:13:00 AM,C,21.5
9/4/23 11:28:00 AM,C,21.5
9/4/23 3:43:00 PM,C,21.5
9/4/23 7:58:00 PM,C,23
9/5/23 12:13:00 AM,C,22.5
9/5/23 4:28:00 AM,C,21.5
9/5/23 8:43:00 AM,C,20.5
9/5/23 12:58:00 PM,C,20.5
9/5/23 5:13:00 PM,C,22
9/5/23 9:28:00 PM,C,23.5
9/6/23 1:43:00 AM,C,22.5
9/6/23 5:58:00 AM,C,20.5
9/6/23 10:13:00 AM,C,19.5
9/6/23 2:28:00 PM,C,20.5
9/6/23 6:43:00 PM,C,21.5
9/6/23 10:58:00 PM,C,22.5
9/7/23 3:13:00 AM,C,22.5
9/7/23 7:28:00 AM,C,22
9/7/23 11:43:00 AM,C,22
9/7/23 3:58:00 PM,C,21.5
9/7/23 8:13:00 PM,C,20.5
9/8/23 12:28:00 AM,C,22
9/8/23 4:43:00 AM,C,21.5
9/8/23 8:58:00 AM,C,21
9/8/23 1:13:00 PM,C,23
9/8/23 5:28:00 PM,C,24.5
9/8/23 9:43:00 PM,C,25.5
9/9/23 1:58:00 AM,C,24.5
9/9/23 6:13:00 AM,C,23.5
9/9/23 10:28:00 AM,C,22.5
9/9/23 2:43:00 PM,C,24
9/9/23 6:58:00 PM,C,25
9/9/23 11:13:00 PM,C,24.5
9/10/23 3:28:00 AM,C,24
9/10/23 7:43:00 AM,C,23
9/10/23 11:58:00 AM,C,22
9/10/23 4:13:00 PM,C,21
9/10/23 8:28:00 PM,C,21.5
9/11/23 12:43:00 AM,C,21.5
9/11/23 4:58:00 AM,C,21
9/11/23 9:13:00 AM,C,20.5
9/11/23 1:28:00 PM,C,20.5
9/11/23 5:43:00 PM,C,21
9/11/23 9:58:00 PM,C,20.5
9/12/23 2:13:00 AM,C,18.5
9/12/23 6:28:00 AM,C,17
9/12/23 10:43:00 AM,C,17.5
9/12/23 2:58:00 PM,C,19.5
9/12/23 7:13:00 PM,C,21.5
9/12/23 11:28:00 PM,C,20
9/13/23 3:43:00 AM,C,19
9/13/23 7:58:00 AM,C,17.5
9/13/23 12:13:00 PM,C,19
9/13/23 4:28:00 PM,C,21
9/13/23 8:43:00 PM,C,22
9/14/23 12:58:00 AM,C,20.5
9/14/23 5:13:00 AM,C,19.5
9/14/23 9:28:00 AM,C,19
9/14/23 1:43:00 PM,C,20.5
9/14/23 5:58:00 PM,C,20.5
9/14/23 10:13:00 PM,C,20
9/15/23 2:28:00 AM,C,18
9/15/23 6:43:00 AM,C,17.5
9/15/23 10:58:00 AM,C,18
9/15/23 3:13:00 PM,C,19
9/15/23 7:28:00 PM,C,19.5
9/15/23 11:43:00 PM,C,19.5
9/16/23 3:58:00 AM,C,19
9/16/23 8:13:00 AM,C,18
9/16/23 12:28:00 PM,C,20
9/16/23 4:43:00 PM,C,19.5
9/16/23 8:58:00 PM,C,20
9/17/23 1:13:00 AM,C,20
9/17/23 5:28:00 AM,C,19.5
9/17/23 9:43:00 AM,C,19
9/17/23 1:58:00 PM,C,21
9/17/23 6:13:00 PM,C,21
9/17/23 10:28:00 PM,C,21.5
9/18/23 2:43:00 AM,C,21.5
9/18/23 6:58:00 AM,C,21
9/18/23 11:13:00 AM,C,21
9/18/23 3:28:00 PM,C,22.5
9/18/23 7:43:00 PM,C,23
9/18/23 11:58:00 PM,C,22
9/19/23 4:13:00 AM,C,21
9/19/23 8:28:00 AM,C,21
9/19/23 12:43:00 PM,C,22
9/19/23 4:58:00 PM,C,23
9/19/23 9:13:00 PM,C,23
9/20/23 1:28:00 AM,C,21.5
9/20/23 5:43:00 AM,C,20.5
9/20/23 9:58:00 AM,C,20
9/20/23 2:13:00 PM,C,22
9/20/23 6:28:00 PM,C,22.5
9/20/23 10:43:00 PM,C,22.5
9/21/23 2:58:00 AM,C,21.5
9/21/23 7:13:00 AM,C,20.5
9/21/23 11:28:00 AM,C,20
9/21/23 3:43:00 PM,C,22
9/21/23 7:58:00 PM,C,22.5
9/22/23 12:13:00 AM,C,22
9/22/23 4:28:00 AM,C,21
9/22/23 8:43:00 AM,C,19.5
