1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AF00000060402621
Is Mission Active?  false
Mission Start:  Sun Jul 24 20:09:00 MDT 2022
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2433
Total Samples:  2433
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/24/22 8:09:00 PM,C,24.5
7/25/22 12:24:00 AM,C,21
7/25/22 4:39:00 AM,C,20.5
7/25/22 8:54:00 AM,C,17
7/25/22 1:09:00 PM,C,24
7/25/22 5:24:00 PM,C,22
7/25/22 9:39:00 PM,C,21
7/26/22 1:54:00 AM,C,21.5
7/26/22 6:09:00 AM,C,20
7/26/22 10:24:00 AM,C,20.5
7/26/22 2:39:00 PM,C,20
7/26/22 6:54:00 PM,C,20
7/26/22 11:09:00 PM,C,20.5
7/27/22 3:24:00 AM,C,20.5
7/27/22 7:39:00 AM,C,20
7/27/22 11:54:00 AM,C,23
7/27/22 4:09:00 PM,C,23
7/27/22 8:24:00 PM,C,23
7/28/22 12:39:00 AM,C,23
7/28/22 4:54:00 AM,C,22.5
7/28/22 9:09:00 AM,C,22.5
7/28/22 1:24:00 PM,C,22.5
7/28/22 5:39:00 PM,C,23
7/28/22 9:54:00 PM,C,22.5
7/29/22 2:09:00 AM,C,22.5
7/29/22 6:24:00 AM,C,22
7/29/22 10:39:00 AM,C,23
7/29/22 2:54:00 PM,C,23
7/29/22 7:09:00 PM,C,23
7/29/22 11:24:00 PM,C,23
7/30/22 3:39:00 AM,C,22.5
7/30/22 7:54:00 AM,C,22.5
7/30/22 12:09:00 PM,C,23
7/30/22 4:24:00 PM,C,23
7/30/22 8:39:00 PM,C,23
7/31/22 12:54:00 AM,C,22.5
7/31/22 5:09:00 AM,C,22.5
7/31/22 9:24:00 AM,C,23
7/31/22 1:39:00 PM,C,23
7/31/22 5:54:00 PM,C,23
7/31/22 10:09:00 PM,C,23
8/1/22 2:24:00 AM,C,23
8/1/22 6:39:00 AM,C,22.5
8/1/22 10:54:00 AM,C,23
8/1/22 3:09:00 PM,C,23.5
8/1/22 7:24:00 PM,C,23
8/1/22 11:39:00 PM,C,23
8/2/22 3:54:00 AM,C,23
8/2/22 8:09:00 AM,C,23
8/2/22 12:24:00 PM,C,23.5
8/2/22 4:39:00 PM,C,23
8/2/22 8:54:00 PM,C,23
8/3/22 1:09:00 AM,C,23
8/3/22 5:24:00 AM,C,23
8/3/22 9:39:00 AM,C,23
8/3/22 1:54:00 PM,C,23
8/3/22 6:09:00 PM,C,23
8/3/22 10:24:00 PM,C,23
8/4/22 2:39:00 AM,C,23
8/4/22 6:54:00 AM,C,23
8/4/22 11:09:00 AM,C,23.5
8/4/22 3:24:00 PM,C,23.5
8/4/22 7:39:00 PM,C,23.5
8/4/22 11:54:00 PM,C,23
8/5/22 4:09:00 AM,C,23
8/5/22 8:24:00 AM,C,23
8/5/22 12:39:00 PM,C,23.5
8/5/22 4:54:00 PM,C,23
8/5/22 9:09:00 PM,C,23
8/6/22 1:24:00 AM,C,23
8/6/22 5:39:00 AM,C,23
8/6/22 9:54:00 AM,C,23
8/6/22 2:09:00 PM,C,23.5
8/6/22 6:24:00 PM,C,23
8/6/22 10:39:00 PM,C,23
8/7/22 2:54:00 AM,C,23
8/7/22 7:09:00 AM,C,22.5
8/7/22 11:24:00 AM,C,23
8/7/22 3:39:00 PM,C,23
8/7/22 7:54:00 PM,C,23
8/8/22 12:09:00 AM,C,23
8/8/22 4:24:00 AM,C,22.5
8/8/22 8:39:00 AM,C,23
8/8/22 12:54:00 PM,C,23.5
8/8/22 5:09:00 PM,C,23
8/8/22 9:24:00 PM,C,23
8/9/22 1:39:00 AM,C,23
8/9/22 5:54:00 AM,C,23
8/9/22 10:09:00 AM,C,23.5
8/9/22 2:24:00 PM,C,23.5
8/9/22 6:39:00 PM,C,23
8/9/22 10:54:00 PM,C,23
8/10/22 3:09:00 AM,C,23
8/10/22 7:24:00 AM,C,23
8/10/22 11:39:00 AM,C,23.5
8/10/22 3:54:00 PM,C,23
8/10/22 8:09:00 PM,C,23
8/11/22 12:24:00 AM,C,23
8/11/22 4:39:00 AM,C,23
8/11/22 8:54:00 AM,C,23
8/11/22 1:09:00 PM,C,23.5
8/11/22 5:24:00 PM,C,23.5
8/11/22 9:39:00 PM,C,24
8/12/22 1:54:00 AM,C,23
8/12/22 6:09:00 AM,C,23
8/12/22 10:24:00 AM,C,23.5
8/12/22 2:39:00 PM,C,23.5
8/12/22 6:54:00 PM,C,23
8/12/22 11:09:00 PM,C,23
8/13/22 3:24:00 AM,C,23
8/13/22 7:39:00 AM,C,23
8/13/22 11:54:00 AM,C,23.5
8/13/22 4:09:00 PM,C,25.5
8/13/22 8:24:00 PM,C,31.5
8/14/22 12:39:00 AM,C,26.5
8/14/22 4:54:00 AM,C,23.5
8/14/22 9:09:00 AM,C,22
8/14/22 1:24:00 PM,C,25
8/14/22 5:39:00 PM,C,25
8/14/22 9:54:00 PM,C,23.5
8/15/22 2:09:00 AM,C,21
8/15/22 6:24:00 AM,C,18
8/15/22 10:39:00 AM,C,16.5
8/15/22 2:54:00 PM,C,19
8/15/22 7:09:00 PM,C,18.5
8/15/22 11:24:00 PM,C,16.5
8/16/22 3:39:00 AM,C,15
8/16/22 7:54:00 AM,C,13.5
8/16/22 12:09:00 PM,C,14
8/16/22 4:24:00 PM,C,16.5
8/16/22 8:39:00 PM,C,16.5
8/17/22 12:54:00 AM,C,14.5
8/17/22 5:09:00 AM,C,12.5
8/17/22 9:24:00 AM,C,11.5
8/17/22 1:39:00 PM,C,13.5
8/17/22 5:54:00 PM,C,15.5
8/17/22 10:09:00 PM,C,17.5
8/18/22 2:24:00 AM,C,14.5
8/18/22 6:39:00 AM,C,11.5
8/18/22 10:54:00 AM,C,10
8/18/22 3:09:00 PM,C,11
8/18/22 7:24:00 PM,C,12.5
8/18/22 11:39:00 PM,C,13
8/19/22 3:54:00 AM,C,12
8/19/22 8:09:00 AM,C,9.5
8/19/22 12:24:00 PM,C,10.5
8/19/22 4:39:00 PM,C,15
8/19/22 8:54:00 PM,C,20
8/20/22 1:09:00 AM,C,21.5
8/20/22 5:24:00 AM,C,20.5
8/20/22 9:39:00 AM,C,19.5
8/20/22 1:54:00 PM,C,20
8/20/22 6:09:00 PM,C,22.5
8/20/22 10:24:00 PM,C,22
8/21/22 2:39:00 AM,C,21
8/21/22 6:54:00 AM,C,19
8/21/22 11:09:00 AM,C,18.5
8/21/22 3:24:00 PM,C,21
8/21/22 7:39:00 PM,C,23
8/21/22 11:54:00 PM,C,23.5
8/22/22 4:09:00 AM,C,22.5
8/22/22 8:24:00 AM,C,21
8/22/22 12:39:00 PM,C,21.5
8/22/22 4:54:00 PM,C,20
8/22/22 9:09:00 PM,C,17.5
8/23/22 1:24:00 AM,C,14
8/23/22 5:39:00 AM,C,11
8/23/22 9:54:00 AM,C,9
8/23/22 2:09:00 PM,C,10
8/23/22 6:24:00 PM,C,15
