1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4D000000602F7021
Is Mission Active?  false
Mission Start:  Sun Jul 24 20:19:00 MDT 2022
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2433
Total Samples:  2433
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/24/22 8:19:00 PM,C,24
7/25/22 12:34:00 AM,C,20.5
7/25/22 4:49:00 AM,C,19.5
7/25/22 9:04:00 AM,C,15.5
7/25/22 1:19:00 PM,C,22.5
7/25/22 5:34:00 PM,C,22
7/25/22 9:49:00 PM,C,21
7/26/22 2:04:00 AM,C,21
7/26/22 6:19:00 AM,C,19.5
7/26/22 10:34:00 AM,C,20
7/26/22 2:49:00 PM,C,19.5
7/26/22 7:04:00 PM,C,19.5
7/26/22 11:19:00 PM,C,20
7/27/22 3:34:00 AM,C,20
7/27/22 7:49:00 AM,C,19.5
7/27/22 12:04:00 PM,C,22.5
7/27/22 4:19:00 PM,C,22.5
7/27/22 8:34:00 PM,C,22.5
7/28/22 12:49:00 AM,C,22.5
7/28/22 5:04:00 AM,C,22
7/28/22 9:19:00 AM,C,22
7/28/22 1:34:00 PM,C,22
7/28/22 5:49:00 PM,C,22.5
7/28/22 10:04:00 PM,C,22
7/29/22 2:19:00 AM,C,22
7/29/22 6:34:00 AM,C,21.5
7/29/22 10:49:00 AM,C,22
7/29/22 3:04:00 PM,C,22.5
7/29/22 7:19:00 PM,C,22.5
7/29/22 11:34:00 PM,C,22.5
7/30/22 3:49:00 AM,C,22
7/30/22 8:04:00 AM,C,22
7/30/22 12:19:00 PM,C,22.5
7/30/22 4:34:00 PM,C,22.5
7/30/22 8:49:00 PM,C,22.5
7/31/22 1:04:00 AM,C,22
7/31/22 5:19:00 AM,C,22
7/31/22 9:34:00 AM,C,22.5
7/31/22 1:49:00 PM,C,22.5
7/31/22 6:04:00 PM,C,22.5
7/31/22 10:19:00 PM,C,22.5
8/1/22 2:34:00 AM,C,22.5
8/1/22 6:49:00 AM,C,22
8/1/22 11:04:00 AM,C,22.5
8/1/22 3:19:00 PM,C,23
8/1/22 7:34:00 PM,C,22.5
8/1/22 11:49:00 PM,C,22.5
8/2/22 4:04:00 AM,C,22.5
8/2/22 8:19:00 AM,C,22.5
8/2/22 12:34:00 PM,C,23
8/2/22 4:49:00 PM,C,22.5
8/2/22 9:04:00 PM,C,22.5
8/3/22 1:19:00 AM,C,22.5
8/3/22 5:34:00 AM,C,22.5
8/3/22 9:49:00 AM,C,22.5
