Plot Title: 21397973,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397973, SEN S/N: 21397973)",Coupler Detached (LGR S/N: 21397973),Bad Battery (LGR S/N: 21397973),End Of File (LGR S/N: 21397973)
1,8/18/22 14:59,18.236,,,
2,8/18/22 14:59,,Logged,,
3,8/18/22 16:59,12.787,,,
4,8/18/22 18:59,9.275,,,
5,8/18/22 20:59,6.978,,,
6,8/18/22 22:59,5.45,,,
7,8/19/22 0:59,4.415,,,
8,8/19/22 2:59,3.998,,,
9,8/19/22 4:59,3.261,,,
10,8/19/22 6:59,2.837,,,
11,8/19/22 8:59,7.882,,,
12,8/19/22 10:59,13.173,,,
13,8/19/22 12:59,12.787,,,
14,8/19/22 14:59,10.259,,,
15,8/19/22 16:59,14.23,,,
16,8/19/22 18:59,10.161,,,
17,8/19/22 20:59,6.775,,,
18,8/19/22 22:59,5.552,,,
19,8/20/22 0:59,4.727,,,
20,8/20/22 2:59,4.207,,,
21,8/20/22 4:59,3.788,,,
22,8/20/22 6:59,4.102,,,
23,8/20/22 8:59,4.831,,,
24,8/20/22 10:59,8.581,,,
25,8/20/22 12:59,13.461,,,
26,8/20/22 14:59,6.064,,,
27,8/20/22 16:59,10.161,,,
28,8/20/22 18:59,8.481,,,
29,8/20/22 20:59,6.268,,,
30,8/20/22 22:59,5.244,,,
31,8/21/22 0:59,4.102,,,
32,8/21/22 2:59,3.578,,,
33,8/21/22 4:59,3.049,,,
34,8/21/22 6:59,3.683,,,
35,8/21/22 8:59,5.86,,,
36,8/21/22 10:59,8.68,,,
37,8/21/22 12:59,11.722,,,
38,8/21/22 14:59,7.079,,,
39,8/21/22 16:59,8.581,,,
40,8/21/22 18:59,6.268,,,
41,8/21/22 20:59,4.934,,,
42,8/21/22 22:59,3.788,,,
43,8/22/22 0:59,2.73,,,
44,8/22/22 2:59,2.624,,,
45,8/22/22 4:59,2.837,,,
46,8/22/22 6:59,2.943,,,
47,8/22/22 8:59,7.582,,,
48,8/22/22 10:59,13.365,,,
49,8/22/22 12:59,15.664,,,
50,8/22/22 14:59,9.965,,,
51,8/22/22 16:59,8.779,,,
52,8/22/22 18:59,9.077,,,
53,8/22/22 20:59,5.962,,,
54,8/22/22 22:59,3.893,,,
55,8/23/22 0:59,2.73,,,
56,8/23/22 2:59,2.088,,,
57,8/23/22 4:59,1.548,,,
58,8/23/22 6:59,1.112,,,
59,8/23/22 8:59,5.347,,,
60,8/23/22 10:59,10.846,,,
61,8/23/22 12:59,14.804,,,
62,8/23/22 14:59,13.75,,,
63,8/23/22 16:59,6.064,,,
64,8/23/22 18:59,5.757,,,
65,8/23/22 20:59,4.102,,,
66,8/23/22 22:59,3.155,,,
67,8/24/22 0:59,2.624,,,
68,8/24/22 2:59,1.98,,,
69,8/24/22 4:59,1.764,,,
70,8/24/22 6:59,1.872,,,
71,8/24/22 8:59,5.86,,,
72,8/24/22 10:59,11.625,,,
73,8/24/22 12:59,13.076,,,
74,8/24/22 14:59,11.041,,,
75,8/24/22 16:59,8.282,,,
76,8/24/22 18:59,8.879,,,
77,8/24/22 20:59,5.552,,,
78,8/24/22 22:59,3.893,,,
79,8/25/22 0:59,3.367,,,
80,8/25/22 2:59,2.73,,,
81,8/25/22 4:59,2.195,,,
82,8/25/22 6:59,2.195,,,
83,8/25/22 8:59,6.573,,,
84,8/25/22 10:59,12.304,,,
85,8/25/22 12:59,13.558,,,
86,8/25/22 14:59,9.373,,,
87,8/25/22 16:59,8.182,,,
88,8/25/22 18:59,5.757,,,
89,8/25/22 20:59,5.347,,,
90,8/25/22 22:59,4.623,,,
91,8/26/22 0:59,4.207,,,
92,8/26/22 2:59,3.367,,,
93,8/26/22 4:59,3.049,,,
94,8/26/22 6:59,3.472,,,
95,8/26/22 8:59,5.347,,,
96,8/26/22 10:59,8.382,,,
