"Plot Title: gp.nl.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474965, SEN S/N: 21474965)","Coupler Detached (LGR S/N: 21474965)","Bad Battery (LGR S/N: 21474965)","Coupler Attached (LGR S/N: 21474965)","Host Connected (LGR S/N: 21474965)","End Of File (LGR S/N: 21474965)"
1,08/23/24 04:18:00 PM,22.333,,,,,
2,08/23/24 04:18:15 PM,,Logged,,,,
3,08/23/24 06:18:00 PM,15.473,,,,,
4,08/23/24 08:18:00 PM,10.651,,,,,
5,08/23/24 10:18:00 PM,8.282,,,,,
6,08/24/24 12:18:00 AM,6.877,,,,,
7,08/24/24 02:18:00 AM,5.141,,,,,
8,08/24/24 04:18:00 AM,4.207,,,,,
9,08/24/24 06:18:00 AM,4.207,,,,,
10,08/24/24 08:18:00 AM,5.962,,,,,
11,08/24/24 10:18:00 AM,9.669,,,,,
12,08/24/24 12:18:00 PM,12.690,,,,,
13,08/24/24 02:18:00 PM,15.664,,,,,
14,08/24/24 04:18:00 PM,16.141,,,,,
15,08/24/24 06:18:00 PM,15.664,,,,,
16,08/24/24 08:18:00 PM,10.944,,,,,
17,08/24/24 10:18:00 PM,9.275,,,,,
18,08/25/24 12:18:00 AM,7.582,,,,,
19,08/25/24 02:18:00 AM,6.064,,,,,
20,08/25/24 04:18:00 AM,5.347,,,,,
21,08/25/24 06:18:00 AM,4.519,,,,,
22,08/25/24 08:18:00 AM,4.831,,,,,
23,08/25/24 10:18:00 AM,11.334,,,,,
24,08/25/24 12:18:00 PM,18.331,,,,,
25,08/25/24 02:18:00 PM,20.519,,,,,
26,08/25/24 04:18:00 PM,16.427,,,,,
27,08/25/24 06:18:00 PM,16.332,,,,,
28,08/25/24 08:18:00 PM,10.748,,,,,
29,08/25/24 10:18:00 PM,7.782,,,,,
30,08/26/24 12:18:00 AM,6.775,,,,,
31,08/26/24 02:18:00 AM,5.244,,,,,
32,08/26/24 04:18:00 AM,4.519,,,,,
33,08/26/24 06:18:00 AM,4.207,,,,,
34,08/26/24 08:18:00 AM,5.244,,,,,
35,08/26/24 10:18:00 AM,8.680,,,,,
36,08/26/24 12:18:00 PM,13.654,,,,,
37,08/26/24 02:18:00 PM,13.461,,,,,
38,08/26/24 04:18:00 PM,15.951,,,,,
39,08/26/24 06:18:00 PM,13.750,,,,,
40,08/26/24 08:18:00 PM,8.382,,,,,
41,08/26/24 10:18:00 PM,5.244,,,,,
42,08/27/24 12:18:00 AM,3.261,,,,,
43,08/27/24 02:18:00 AM,2.195,,,,,
44,08/27/24 04:18:00 AM,1.656,,,,,
45,08/27/24 06:18:00 AM,1.003,,,,,
46,08/27/24 08:18:00 AM,2.624,,,,,
47,08/27/24 10:18:00 AM,11.334,,,,,
48,08/27/24 12:18:00 PM,20.043,,,,,
49,08/27/24 02:18:00 PM,25.708,,,,,
50,08/27/24 04:18:00 PM,24.448,,,,,
51,08/27/24 06:18:00 PM,20.519,,,,,
52,08/27/24 08:18:00 PM,14.517,,,,,
53,08/27/24 10:18:00 PM,10.553,,,,,
54,08/28/24 12:18:00 AM,7.280,,,,,
55,08/28/24 02:18:00 AM,5.037,,,,,
56,08/28/24 04:18:00 AM,5.141,,,,,
57,08/28/24 06:18:00 AM,4.831,,,,,
58,08/28/24 08:18:00 AM,6.877,,,,,
59,08/28/24 10:18:00 AM,13.558,,,,,
60,08/28/24 12:18:00 PM,20.519,,,,,
61,08/28/24 02:18:00 PM,26.390,,,,,
62,08/28/24 04:18:00 PM,26.292,,,,,
63,08/28/24 06:18:00 PM,21.760,,,,,
64,08/28/24 08:18:00 PM,15.473,,,,,
65,08/28/24 10:18:00 PM,11.916,,,,,
66,08/29/24 12:18:00 AM,9.965,,,,,
67,08/29/24 02:18:00 AM,8.779,,,,,
68,08/29/24 04:18:00 AM,7.381,,,,,
69,08/29/24 06:18:00 AM,5.552,,,,,
70,08/29/24 08:18:00 AM,7.582,,,,,
71,08/29/24 10:18:00 AM,16.141,,,,,
72,08/29/24 12:18:00 PM,21.760,,,,,
73,08/29/24 02:18:00 PM,23.677,,,,,
74,08/29/24 04:18:00 PM,24.062,,,,,
75,08/29/24 06:18:00 PM,19.758,,,,,
76,08/29/24 08:18:00 PM,13.654,,,,,
77,08/29/24 10:18:00 PM,9.669,,,,,
78,08/30/24 12:18:00 AM,6.471,,,,,
79,08/30/24 02:18:00 AM,3.998,,,,,
80,08/30/24 04:18:00 AM,3.049,,,,,
81,08/30/24 06:18:00 AM,1.221,,,,,
82,08/30/24 08:18:00 AM,3.998,,,,,
83,08/30/24 10:18:00 AM,13.942,,,,,
84,08/30/24 12:18:00 PM,22.525,,,,,
85,08/30/24 02:18:00 PM,28.258,,,,,
86,08/30/24 04:18:00 PM,28.853,,,,,
87,08/30/24 06:18:00 PM,19.377,,,,,
88,08/30/24 08:18:00 PM,13.365,,,,,
89,08/30/24 10:18:00 PM,9.373,,,,,
90,08/31/24 12:18:00 AM,6.674,,,,,
91,08/31/24 02:18:00 AM,4.311,,,,,
92,08/31/24 04:18:00 AM,3.049,,,,,
93,08/31/24 06:18:00 AM,2.410,,,,,
94,08/31/24 08:18:00 AM,5.655,,,,,
95,08/31/24 10:18:00 AM,15.187,,,,,
96,08/31/24 12:18:00 PM,24.062,,,,,
97,08/31/24 02:18:00 PM,27.764,,,,,
98,08/31/24 04:18:00 PM,25.125,,,,,
99,08/31/24 06:18:00 PM,19.567,,,,,
100,08/31/24 08:18:00 PM,12.787,,,,,
101,08/31/24 10:18:00 PM,8.978,,,,,
102,09/01/24 12:18:00 AM,6.064,,,,,
103,09/01/24 02:18:00 AM,3.788,,,,,
104,09/01/24 04:18:00 AM,2.303,,,,,
105,09/01/24 06:18:00 AM,1.330,,,,,
106,09/01/24 08:18:00 AM,4.311,,,,,
107,09/01/24 10:18:00 AM,15.187,,,,,
108,09/01/24 12:18:00 PM,24.062,,,,,
109,09/01/24 02:18:00 PM,28.456,,,,,
110,09/01/24 04:18:00 PM,25.319,,,,,
111,09/01/24 06:18:00 PM,20.234,,,,,
112,09/01/24 08:18:00 PM,12.787,,,,,
113,09/01/24 10:18:00 PM,8.879,,,,,
114,09/02/24 12:18:00 AM,6.166,,,,,
115,09/02/24 02:18:00 AM,3.893,,,,,
116,09/02/24 04:18:00 AM,1.656,,,,,
117,09/02/24 06:18:00 AM,2.837,,,,,
118,09/02/24 08:18:00 AM,6.471,,,,,
