"Plot Title: gp.nl.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474964, SEN S/N: 21474964)","Coupler Detached (LGR S/N: 21474964)","Bad Battery (LGR S/N: 21474964)","Coupler Attached (LGR S/N: 21474964)","Host Connected (LGR S/N: 21474964)","End Of File (LGR S/N: 21474964)"
1,08/23/24 04:07:28 PM,21.760,,,,,
2,08/23/24 04:07:34 PM,,Logged,,,,
3,08/23/24 08:07:28 PM,10.944,,,,,
4,08/24/24 12:07:28 AM,8.481,,,,,
5,08/24/24 04:07:28 AM,6.573,,,,,
6,08/24/24 08:07:28 AM,6.978,,,,,
7,08/24/24 12:07:28 PM,10.944,,,,,
8,08/24/24 04:07:28 PM,13.365,,,,,
9,08/24/24 08:07:28 PM,10.553,,,,,
10,08/25/24 12:07:28 AM,8.382,,,,,
11,08/25/24 04:07:28 AM,6.978,,,,,
12,08/25/24 08:07:28 AM,6.166,,,,,
13,08/25/24 12:07:28 PM,13.846,,,,,
14,08/25/24 04:07:28 PM,13.076,,,,,
15,08/25/24 08:07:28 PM,10.357,,,,,
16,08/26/24 12:07:28 AM,8.082,,,,,
17,08/26/24 04:07:28 AM,6.674,,,,,
18,08/26/24 08:07:28 AM,6.674,,,,,
19,08/26/24 12:07:28 PM,11.334,,,,,
20,08/26/24 04:07:28 PM,13.750,,,,,
21,08/26/24 08:07:28 PM,9.768,,,,,
22,08/27/24 12:07:28 AM,6.370,,,,,
23,08/27/24 04:07:28 AM,4.727,,,,,
24,08/27/24 08:07:28 AM,4.415,,,,,
25,08/27/24 12:07:28 PM,12.787,,,,,
26,08/27/24 04:07:28 PM,17.855,,,,,
27,08/27/24 08:07:28 PM,12.401,,,,,
28,08/28/24 12:07:28 AM,8.581,,,,,
29,08/28/24 04:07:28 AM,6.877,,,,,
30,08/28/24 08:07:28 AM,6.775,,,,,
31,08/28/24 12:07:28 PM,13.269,,,,,
32,08/28/24 04:07:28 PM,18.901,,,,,
33,08/28/24 08:07:28 PM,12.980,,,,,
34,08/29/24 12:07:28 AM,9.866,,,,,
35,08/29/24 04:07:28 AM,8.282,,,,,
36,08/29/24 08:07:28 AM,7.381,,,,,
37,08/29/24 12:07:28 PM,14.613,,,,,
38,08/29/24 04:07:28 PM,17.570,,,,,
39,08/29/24 08:07:28 PM,12.207,,,,,
40,08/30/24 12:07:28 AM,8.282,,,,,
41,08/30/24 04:07:28 AM,6.166,,,,,
42,08/30/24 08:07:28 AM,5.347,,,,,
43,08/30/24 12:07:28 PM,14.517,,,,,
44,08/30/24 04:07:28 PM,21.282,,,,,
45,08/30/24 08:07:28 PM,12.110,,,,,
46,08/31/24 12:07:28 AM,8.382,,,,,
47,08/31/24 04:07:28 AM,6.064,,,,,
48,08/31/24 08:07:28 AM,6.166,,,,,
49,08/31/24 12:07:28 PM,15.664,,,,,
50,08/31/24 04:07:28 PM,19.662,,,,,
51,08/31/24 08:07:28 PM,12.110,,,,,
52,09/01/24 12:07:28 AM,8.082,,,,,
53,09/01/24 04:07:28 AM,5.757,,,,,
54,09/01/24 08:07:28 AM,5.450,,,,,
55,09/01/24 12:07:28 PM,16.141,,,,,
56,09/01/24 04:07:28 PM,20.901,,,,,
57,09/01/24 08:07:28 PM,12.207,,,,,
58,09/02/24 12:07:28 AM,8.082,,,,,
59,09/02/24 04:07:28 AM,5.347,,,,,
60,09/02/24 08:07:28 AM,6.775,,,,,
61,09/02/24 12:07:28 PM,16.046,,,,,
62,09/02/24 04:07:28 PM,11.722,,,,,
63,09/02/24 08:07:28 PM,8.082,,,,,
64,09/03/24 12:07:28 AM,5.244,,,,,
65,09/03/24 04:07:28 AM,4.207,,,,,
66,09/03/24 08:07:28 AM,4.623,,,,,
67,09/03/24 12:07:28 PM,12.594,,,,,
68,09/03/24 04:07:28 PM,14.134,,,,,
69,09/03/24 08:07:28 PM,9.965,,,,,
70,09/04/24 12:07:28 AM,8.182,,,,,
71,09/04/24 04:07:28 AM,5.655,,,,,
72,09/04/24 08:07:28 AM,5.141,,,,,
73,09/04/24 12:07:28 PM,12.594,,,,,
74,09/04/24 04:07:28 PM,11.236,,,,,
75,09/04/24 08:07:28 PM,8.879,,,,,
76,09/05/24 12:07:28 AM,5.244,,,,,
77,09/05/24 04:07:28 AM,4.727,,,,,
78,09/05/24 08:07:28 AM,4.311,,,,,
79,09/05/24 12:07:28 PM,8.182,,,,,
80,09/05/24 04:07:28 PM,11.916,,,,,
81,09/05/24 08:07:28 PM,7.582,,,,,
82,09/06/24 12:07:28 AM,4.311,,,,,
83,09/06/24 04:07:28 AM,2.837,,,,,
84,09/06/24 08:07:28 AM,1.764,,,,,
85,09/06/24 12:07:28 PM,11.819,,,,,
86,09/06/24 04:07:28 PM,19.092,,,,,
87,09/06/24 08:07:28 PM,11.431,,,,,
88,09/07/24 12:07:28 AM,7.381,,,,,
89,09/07/24 04:07:28 AM,5.141,,,,,
90,09/07/24 08:07:28 AM,4.727,,,,,
91,09/07/24 12:07:28 PM,12.497,,,,,
92,09/07/24 04:07:28 PM,18.045,,,,,
93,09/07/24 08:07:28 PM,10.259,,,,,
94,09/08/24 12:07:28 AM,7.882,,,,,
95,09/08/24 04:07:28 AM,5.655,,,,,
96,09/08/24 08:07:28 AM,4.727,,,,,
97,09/08/24 12:07:28 PM,12.304,,,,,
