"Plot Title: gp.nu.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397973, SEN S/N: 21397973)","Coupler Detached (LGR S/N: 21397973)","Bad Battery (LGR S/N: 21397973)","Coupler Attached (LGR S/N: 21397973)","Host Connected (LGR S/N: 21397973)","End Of File (LGR S/N: 21397973)"
1,08/23/24 11:31:32 AM,28.655,,,,,
2,08/23/24 11:31:42 AM,,Logged,,,,
3,08/23/24 01:31:32 PM,12.787,,,,,
4,08/23/24 03:31:32 PM,11.625,,,,,
5,08/23/24 05:31:32 PM,11.722,,,,,
6,08/23/24 07:31:32 PM,9.176,,,,,
7,08/23/24 09:31:32 PM,7.280,,,,,
8,08/23/24 11:31:32 PM,6.775,,,,,
9,08/24/24 01:31:32 AM,5.962,,,,,
10,08/24/24 03:31:32 AM,5.347,,,,,
11,08/24/24 05:31:32 AM,4.831,,,,,
12,08/24/24 07:31:32 AM,4.519,,,,,
13,08/24/24 09:31:32 AM,6.064,,,,,
14,08/24/24 11:31:32 AM,8.282,,,,,
15,08/24/24 01:31:32 PM,11.722,,,,,
16,08/24/24 03:31:32 PM,10.944,,,,,
17,08/24/24 05:31:32 PM,11.819,,,,,
18,08/24/24 07:31:32 PM,9.571,,,,,
19,08/24/24 09:31:32 PM,7.682,,,,,
20,08/24/24 11:31:32 PM,6.978,,,,,
21,08/25/24 01:31:32 AM,6.268,,,,,
22,08/25/24 03:31:32 AM,5.552,,,,,
23,08/25/24 05:31:32 AM,4.831,,,,,
24,08/25/24 07:31:32 AM,4.311,,,,,
25,08/25/24 09:31:32 AM,5.962,,,,,
26,08/25/24 11:31:32 AM,11.139,,,,,
27,08/25/24 01:31:32 PM,11.334,,,,,
28,08/25/24 03:31:32 PM,10.846,,,,,
29,08/25/24 05:31:32 PM,11.528,,,,,
30,08/25/24 07:31:32 PM,8.382,,,,,
31,08/25/24 09:31:32 PM,6.064,,,,,
32,08/25/24 11:31:32 PM,5.962,,,,,
33,08/26/24 01:31:32 AM,5.552,,,,,
34,08/26/24 03:31:32 AM,5.037,,,,,
35,08/26/24 05:31:32 AM,4.623,,,,,
36,08/26/24 07:31:32 AM,4.207,,,,,
37,08/26/24 09:31:32 AM,5.655,,,,,
38,08/26/24 11:31:32 AM,6.978,,,,,
39,08/26/24 01:31:32 PM,8.382,,,,,
40,08/26/24 03:31:32 PM,10.063,,,,,
41,08/26/24 05:31:32 PM,10.161,,,,,
42,08/26/24 07:31:32 PM,7.782,,,,,
43,08/26/24 09:31:32 PM,5.552,,,,,
44,08/26/24 11:31:32 PM,4.415,,,,,
45,08/27/24 01:31:32 AM,3.788,,,,,
46,08/27/24 03:31:32 AM,3.261,,,,,
47,08/27/24 05:31:32 AM,2.730,,,,,
48,08/27/24 07:31:32 AM,2.303,,,,,
49,08/27/24 09:31:32 AM,5.860,,,,,
50,08/27/24 11:31:32 AM,10.259,,,,,
51,08/27/24 01:31:32 PM,14.134,,,,,
52,08/27/24 03:31:32 PM,15.473,,,,,
53,08/27/24 05:31:32 PM,13.269,,,,,
54,08/27/24 07:31:32 PM,9.571,,,,,
55,08/27/24 09:31:32 PM,7.582,,,,,
56,08/27/24 11:31:32 PM,6.268,,,,,
57,08/28/24 01:31:32 AM,5.450,,,,,
58,08/28/24 03:31:32 AM,5.037,,,,,
59,08/28/24 05:31:32 AM,4.415,,,,,
60,08/28/24 07:31:32 AM,4.102,,,,,
61,08/28/24 09:31:32 AM,6.674,,,,,
62,08/28/24 11:31:32 AM,10.553,,,,,
63,08/28/24 01:31:32 PM,14.038,,,,,
64,08/28/24 03:31:32 PM,14.996,,,,,
65,08/28/24 05:31:32 PM,12.980,,,,,
66,08/28/24 07:31:32 PM,9.866,,,,,
67,08/28/24 09:31:32 PM,7.882,,,,,
68,08/28/24 11:31:32 PM,6.775,,,,,
69,08/29/24 01:31:32 AM,6.166,,,,,
70,08/29/24 03:31:32 AM,5.552,,,,,
71,08/29/24 05:31:32 AM,4.623,,,,,
72,08/29/24 07:31:32 AM,4.311,,,,,
73,08/29/24 09:31:32 AM,7.481,,,,,
74,08/29/24 11:31:32 AM,10.944,,,,,
75,08/29/24 01:31:32 PM,12.401,,,,,
76,08/29/24 03:31:32 PM,13.750,,,,,
77,08/29/24 05:31:32 PM,11.528,,,,,
78,08/29/24 07:31:32 PM,8.879,,,,,
79,08/29/24 09:31:32 PM,6.978,,,,,
80,08/29/24 11:31:32 PM,5.347,,,,,
81,08/30/24 01:31:32 AM,4.519,,,,,
82,08/30/24 03:31:32 AM,3.893,,,,,
83,08/30/24 05:31:32 AM,3.155,,,,,
84,08/30/24 07:31:32 AM,2.410,,,,,
85,08/30/24 09:31:32 AM,6.166,,,,,
86,08/30/24 11:31:32 AM,10.651,,,,,
87,08/30/24 01:31:32 PM,14.038,,,,,
88,08/30/24 03:31:32 PM,15.378,,,,,
89,08/30/24 05:31:32 PM,11.431,,,,,
90,08/30/24 07:31:32 PM,8.581,,,,,
91,08/30/24 09:31:32 PM,6.268,,,,,
92,08/30/24 11:31:32 PM,5.757,,,,,
93,08/31/24 01:31:32 AM,4.934,,,,,
94,08/31/24 03:31:32 AM,3.788,,,,,
95,08/31/24 05:31:32 AM,3.367,,,,,
96,08/31/24 07:31:32 AM,3.261,,,,,
97,08/31/24 09:31:32 AM,6.471,,,,,
98,08/31/24 11:31:32 AM,10.748,,,,,
99,08/31/24 01:31:32 PM,14.517,,,,,
100,08/31/24 03:31:32 PM,12.110,,,,,
101,08/31/24 05:31:32 PM,10.944,,,,,
102,08/31/24 07:31:32 PM,8.082,,,,,
103,08/31/24 09:31:32 PM,6.166,,,,,
104,08/31/24 11:31:32 PM,4.934,,,,,
105,09/01/24 01:31:32 AM,4.102,,,,,
106,09/01/24 03:31:32 AM,3.472,,,,,
