"Plot Title: gp.nu.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20384653, SEN S/N: 20384653)","Coupler Detached (LGR S/N: 20384653)","Bad Battery (LGR S/N: 20384653)","Coupler Attached (LGR S/N: 20384653)","Host Connected (LGR S/N: 20384653)","Good Battery (LGR S/N: 20384653)","Stopped (LGR S/N: 20384653)","End Of File (LGR S/N: 20384653)"
1,08/23/24 11:38:43 AM,24.545,,,,,,,
2,08/23/24 11:38:58 AM,,Logged,,,,,,
3,08/23/24 01:38:43 PM,13.846,,,,,,,
4,08/23/24 03:38:43 PM,13.076,,,,,,,
5,08/23/24 05:38:43 PM,13.269,,,,,,,
6,08/23/24 07:38:43 PM,9.571,,,,,,,
7,08/23/24 09:38:43 PM,6.978,,,,,,,
8,08/23/24 11:38:43 PM,6.370,,,,,,,
9,08/24/24 01:38:43 AM,5.655,,,,,,,
10,08/24/24 03:38:43 AM,4.831,,,,,,,
11,08/24/24 05:38:43 AM,4.311,,,,,,,
12,08/24/24 07:38:43 AM,4.207,,,,,,,
13,08/24/24 09:38:43 AM,6.471,,,,,,,
14,08/24/24 11:38:43 AM,9.472,,,,,,,
15,08/24/24 01:38:43 PM,13.846,,,,,,,
16,08/24/24 03:38:43 PM,12.594,,,,,,,
17,08/24/24 05:38:43 PM,13.942,,,,,,,
18,08/24/24 07:38:43 PM,10.259,,,,,,,
19,08/24/24 09:38:43 PM,7.882,,,,,,,
20,08/24/24 11:38:43 PM,6.877,,,,,,,
21,08/25/24 01:38:43 AM,6.166,,,,,,,
22,08/25/24 03:38:43 AM,5.244,,,,,,,
23,08/25/24 05:38:43 AM,4.519,,,,,,,
24,08/25/24 07:38:43 AM,3.893,,,,,,,
25,08/25/24 09:38:43 AM,6.370,,,,,,,
26,08/25/24 11:38:43 AM,12.497,,,,,,,
27,08/25/24 01:38:43 PM,13.076,,,,,,,
28,08/25/24 03:38:43 PM,11.916,,,,,,,
29,08/25/24 05:38:43 PM,13.173,,,,,,,
30,08/25/24 07:38:43 PM,8.680,,,,,,,
31,08/25/24 09:38:43 PM,6.064,,,,,,,
32,08/25/24 11:38:43 PM,5.757,,,,,,,
33,08/26/24 01:38:43 AM,5.141,,,,,,,
34,08/26/24 03:38:43 AM,4.623,,,,,,,
35,08/26/24 05:38:43 AM,4.207,,,,,,,
36,08/26/24 07:38:43 AM,3.893,,,,,,,
37,08/26/24 09:38:43 AM,6.064,,,,,,,
38,08/26/24 11:38:43 AM,7.782,,,,,,,
39,08/26/24 01:38:43 PM,9.275,,,,,,,
40,08/26/24 03:38:43 PM,11.819,,,,,,,
41,08/26/24 05:38:43 PM,11.722,,,,,,,
42,08/26/24 07:38:43 PM,7.983,,,,,,,
43,08/26/24 09:38:43 PM,5.347,,,,,,,
44,08/26/24 11:38:43 PM,3.998,,,,,,,
45,08/27/24 01:38:43 AM,3.367,,,,,,,
46,08/27/24 03:38:43 AM,2.624,,,,,,,
47,08/27/24 05:38:43 AM,2.195,,,,,,,
48,08/27/24 07:38:43 AM,1.980,,,,,,,
49,08/27/24 09:38:43 AM,6.268,,,,,,,
50,08/27/24 11:38:43 AM,11.041,,,,,,,
51,08/27/24 01:38:43 PM,14.996,,,,,,,
52,08/27/24 03:38:43 PM,16.903,,,,,,,
53,08/27/24 05:38:43 PM,14.996,,,,,,,
54,08/27/24 07:38:43 PM,9.965,,,,,,,
55,08/27/24 09:38:43 PM,7.481,,,,,,,
56,08/27/24 11:38:43 PM,5.860,,,,,,,
57,08/28/24 01:38:43 AM,4.934,,,,,,,
58,08/28/24 03:38:43 AM,4.623,,,,,,,
59,08/28/24 05:38:43 AM,3.998,,,,,,,
60,08/28/24 07:38:43 AM,3.998,,,,,,,
61,08/28/24 09:38:43 AM,7.280,,,,,,,
62,08/28/24 11:38:43 AM,11.528,,,,,,,
63,08/28/24 01:38:43 PM,15.282,,,,,,,
64,08/28/24 03:38:43 PM,16.332,,,,,,,
65,08/28/24 05:38:43 PM,14.517,,,,,,,
66,08/28/24 07:38:43 PM,10.455,,,,,,,
67,08/28/24 09:38:43 PM,7.983,,,,,,,
68,08/28/24 11:38:43 PM,6.674,,,,,,,
69,08/29/24 01:38:43 AM,6.166,,,,,,,
70,08/29/24 03:38:43 AM,5.450,,,,,,,
71,08/29/24 05:38:43 AM,4.519,,,,,,,
72,08/29/24 07:38:43 AM,4.519,,,,,,,
73,08/29/24 09:38:43 AM,8.282,,,,,,,
74,08/29/24 11:38:43 AM,11.819,,,,,,,
75,08/29/24 01:38:43 PM,13.365,,,,,,,
76,08/29/24 03:38:43 PM,15.187,,,,,,,
77,08/29/24 05:38:43 PM,12.690,,,,,,,
78,08/29/24 07:38:43 PM,9.176,,,,,,,
79,08/29/24 09:38:43 PM,6.877,,,,,,,
80,08/29/24 11:38:43 PM,4.831,,,,,,,
81,08/30/24 01:38:43 AM,3.893,,,,,,,
82,08/30/24 03:38:43 AM,3.261,,,,,,,
83,08/30/24 05:38:43 AM,2.517,,,,,,,
84,08/30/24 07:38:43 AM,1.872,,,,,,,
85,08/30/24 09:38:43 AM,6.573,,,,,,,
86,08/30/24 11:38:43 AM,11.139,,,,,,,
87,08/30/24 01:38:43 PM,14.709,,,,,,,
88,08/30/24 03:38:43 PM,16.808,,,,,,,
89,08/30/24 05:38:43 PM,12.304,,,,,,,
90,08/30/24 07:38:43 PM,8.779,,,,,,,
91,08/30/24 09:38:43 PM,6.064,,,,,,,
92,08/30/24 11:38:43 PM,5.450,,,,,,,
93,08/31/24 01:38:43 AM,4.415,,,,,,,
94,08/31/24 03:38:43 AM,3.367,,,,,,,
95,08/31/24 05:38:43 AM,3.261,,,,,,,
96,08/31/24 07:38:43 AM,3.367,,,,,,,
97,08/31/24 09:38:43 AM,7.079,,,,,,,
98,08/31/24 11:38:43 AM,11.722,,,,,,,
99,08/31/24 01:38:43 PM,15.951,,,,,,,
100,08/31/24 03:38:43 PM,13.558,,,,,,,
101,08/31/24 05:38:43 PM,12.304,,,,,,,
102,08/31/24 07:38:43 PM,8.481,,,,,,,
103,08/31/24 09:38:43 PM,6.268,,,,,,,
104,08/31/24 11:38:43 PM,4.727,,,,,,,
105,09/01/24 01:38:43 AM,3.683,,,,,,,
106,09/01/24 03:38:43 AM,2.943,,,,,,,
107,09/01/24 05:38:43 AM,2.195,,,,,,,
108,09/01/24 07:38:43 AM,1.764,,,,,,,
109,09/01/24 09:38:43 AM,6.674,,,,,,,
110,09/01/24 11:38:43 AM,12.401,,,,,,,
111,09/01/24 01:38:43 PM,15.951,,,,,,,
112,09/01/24 03:38:43 PM,15.378,,,,,,,
113,09/01/24 05:38:43 PM,12.207,,,,,,,
114,09/01/24 07:38:43 PM,8.182,,,,,,,
115,09/01/24 09:38:43 PM,5.655,,,,,,,
116,09/01/24 11:38:43 PM,4.727,,,,,,,
117,09/02/24 01:38:43 AM,4.102,,,,,,,
118,09/02/24 03:38:43 AM,3.578,,,,,,,
119,09/02/24 05:38:43 AM,3.472,,,,,,,
120,09/02/24 07:38:43 AM,3.578,,,,,,,
121,09/02/24 09:38:43 AM,7.179,,,,,,,
122,09/02/24 11:38:43 AM,12.980,,,,,,,
123,09/02/24 01:38:43 PM,14.134,,,,,,,
124,09/02/24 03:38:43 PM,7.582,,,,,,,
125,09/02/24 05:38:43 PM,5.552,,,,,,,
126,09/02/24 07:38:43 PM,5.244,,,,,,,
127,09/02/24 09:38:43 PM,3.998,,,,,,,
128,09/02/24 11:38:43 PM,2.943,,,,,,,
129,09/03/24 01:38:43 AM,2.410,,,,,,,
130,09/03/24 03:38:43 AM,2.195,,,,,,,
131,09/03/24 05:38:43 AM,2.195,,,,,,,
132,09/03/24 07:38:43 AM,2.410,,,,,,,
133,09/03/24 09:38:43 AM,6.268,,,,,,,
134,09/03/24 11:38:43 AM,12.207,,,,,,,
135,09/03/24 01:38:43 PM,15.855,,,,,,,
136,09/03/24 03:38:43 PM,13.269,,,,,,,
137,09/03/24 05:38:43 PM,12.980,,,,,,,
138,09/03/24 07:38:43 PM,9.275,,,,,,,
139,09/03/24 09:38:43 PM,7.179,,,,,,,
140,09/03/24 11:38:43 PM,6.370,,,,,,,
141,09/04/24 01:38:43 AM,5.757,,,,,,,
142,09/04/24 03:38:43 AM,4.519,,,,,,,
143,09/04/24 05:38:43 AM,3.261,,,,,,,
144,09/04/24 07:38:43 AM,2.943,,,,,,,
145,09/04/24 09:38:43 AM,7.882,,,,,,,
146,09/04/24 11:38:43 AM,13.173,,,,,,,
147,09/04/24 01:38:43 PM,11.139,,,,,,,
148,09/04/24 03:38:43 PM,9.176,,,,,,,
149,09/04/24 05:38:43 PM,9.472,,,,,,,
150,09/04/24 07:38:43 PM,7.280,,,,,,,
151,09/04/24 09:38:43 PM,5.860,,,,,,,
152,09/04/24 11:38:43 PM,4.311,,,,,,,
153,09/05/24 01:38:43 AM,3.261,,,,,,,
154,09/05/24 03:38:43 AM,2.837,,,,,,,
155,09/05/24 05:38:43 AM,2.624,,,,,,,
156,09/05/24 07:38:43 AM,2.517,,,,,,,
157,09/05/24 09:38:43 AM,2.410,,,,,,,
158,09/05/24 11:38:43 AM,3.578,,,,,,,
159,09/05/24 01:38:43 PM,8.382,,,,,,,
160,09/05/24 03:38:43 PM,10.161,,,,,,,
161,09/05/24 05:38:43 PM,7.381,,,,,,,
162,09/05/24 07:38:43 PM,4.831,,,,,,,
163,09/05/24 09:38:43 PM,2.730,,,,,,,
164,09/05/24 11:38:43 PM,1.764,,,,,,,
165,09/06/24 01:38:43 AM,1.330,,,,,,,
166,09/06/24 03:38:43 AM,1.003,,,,,,,
167,09/06/24 05:38:43 AM,0.563,,,,,,,
168,09/06/24 07:38:43 AM,0.121,,,,,,,
169,09/06/24 09:38:43 AM,0.563,,,,,,,
170,09/06/24 11:38:43 AM,8.481,,,,,,,
171,09/06/24 01:38:43 PM,13.173,,,,,,,
172,09/06/24 03:38:43 PM,13.846,,,,,,,
173,09/06/24 05:38:43 PM,13.269,,,,,,,
174,09/06/24 07:38:43 PM,7.882,,,,,,,
175,09/06/24 09:38:43 PM,4.831,,,,,,,
176,09/06/24 11:38:43 PM,3.788,,,,,,,
177,09/07/24 01:38:43 AM,2.943,,,,,,,
178,09/07/24 03:38:43 AM,2.303,,,,,,,
179,09/07/24 05:38:43 AM,1.872,,,,,,,
180,09/07/24 07:38:43 AM,1.764,,,,,,,
181,09/07/24 09:38:43 AM,5.347,,,,,,,
182,09/07/24 11:38:43 AM,9.965,,,,,,,
183,09/07/24 01:38:43 PM,12.980,,,,,,,
184,09/07/24 03:38:43 PM,15.187,,,,,,,
185,09/07/24 05:38:43 PM,11.139,,,,,,,
186,09/07/24 07:38:43 PM,5.962,,,,,,,
187,09/07/24 09:38:43 PM,4.415,,,,,,,
188,09/07/24 11:38:43 PM,4.207,,,,,,,
189,09/08/24 01:38:43 AM,3.261,,,,,,,
190,09/08/24 03:38:43 AM,2.410,,,,,,,
191,09/08/24 05:38:43 AM,1.980,,,,,,,
192,09/08/24 07:38:43 AM,1.764,,,,,,,
193,09/08/24 09:38:43 AM,5.347,,,,,,,
194,09/08/24 11:38:43 AM,8.779,,,,,,,
195,09/08/24 01:38:43 PM,11.236,,,,,,,
196,09/08/24 03:38:43 PM,12.207,,,,,,,
197,09/08/24 05:38:43 PM,10.455,,,,,,,
198,09/08/24 07:38:43 PM,7.381,,,,,,,
199,09/08/24 09:38:43 PM,5.347,,,,,,,
200,09/08/24 11:38:43 PM,4.311,,,,,,,
201,09/09/24 01:38:43 AM,3.472,,,,,,,
202,09/09/24 03:38:43 AM,3.049,,,,,,,
203,09/09/24 05:38:43 AM,2.943,,,,,,,
204,09/09/24 07:38:43 AM,2.837,,,,,,,
205,09/09/24 09:38:43 AM,6.064,,,,,,,
206,09/09/24 11:38:43 AM,11.041,,,,,,,
207,09/09/24 01:38:43 PM,12.594,,,,,,,
208,09/09/24 03:38:43 PM,12.207,,,,,,,
209,09/09/24 05:38:43 PM,9.768,,,,,,,
210,09/09/24 07:38:43 PM,7.079,,,,,,,
211,09/09/24 09:38:43 PM,5.860,,,,,,,
212,09/09/24 11:38:43 PM,5.037,,,,,,,
213,09/10/24 01:38:43 AM,4.102,,,,,,,
214,09/10/24 03:38:43 AM,3.472,,,,,,,
215,09/10/24 05:38:43 AM,3.049,,,,,,,
216,09/10/24 07:38:43 AM,3.049,,,,,,,
217,09/10/24 09:38:43 AM,5.655,,,,,,,
218,09/10/24 11:38:43 AM,8.978,,,,,,,
219,09/10/24 01:38:43 PM,7.882,,,,,,,
220,09/10/24 03:38:43 PM,11.819,,,,,,,
221,09/10/24 05:38:43 PM,8.581,,,,,,,
222,09/10/24 07:38:43 PM,5.962,,,,,,,
223,09/10/24 09:38:43 PM,4.207,,,,,,,
224,09/10/24 11:38:43 PM,3.998,,,,,,,
225,09/11/24 01:38:43 AM,3.049,,,,,,,
226,09/11/24 03:38:43 AM,1.764,,,,,,,
227,09/11/24 05:38:43 AM,1.439,,,,,,,
228,09/11/24 07:38:43 AM,1.330,,,,,,,
229,09/11/24 09:38:43 AM,5.347,,,,,,,
230,09/11/24 11:38:43 AM,10.063,,,,,,,
231,09/11/24 01:38:43 PM,13.365,,,,,,,
232,09/11/24 03:38:43 PM,10.944,,,,,,,
233,09/11/24 05:38:43 PM,11.041,,,,,,,
234,09/11/24 07:38:43 PM,5.655,,,,,,,
235,09/11/24 09:38:43 PM,3.893,,,,,,,
236,09/11/24 11:38:43 PM,2.837,,,,,,,
237,09/12/24 01:38:43 AM,2.303,,,,,,,
238,09/12/24 03:38:43 AM,1.764,,,,,,,
239,09/12/24 05:38:43 AM,1.439,,,,,,,
240,09/12/24 07:38:43 AM,1.221,,,,,,,
241,09/12/24 09:38:43 AM,4.311,,,,,,,
242,09/12/24 11:38:43 AM,10.063,,,,,,,
243,09/12/24 01:38:43 PM,12.497,,,,,,,
244,09/12/24 03:38:43 PM,13.076,,,,,,,
245,09/12/24 05:38:43 PM,10.259,,,,,,,
246,09/12/24 07:38:43 PM,7.179,,,,,,,
247,09/12/24 09:38:43 PM,5.552,,,,,,,
248,09/12/24 11:38:43 PM,4.415,,,,,,,
249,09/13/24 01:38:43 AM,3.367,,,,,,,
250,09/13/24 03:38:43 AM,2.624,,,,,,,
251,09/13/24 05:38:43 AM,2.088,,,,,,,
252,09/13/24 07:38:43 AM,1.656,,,,,,,
253,09/13/24 09:38:43 AM,5.037,,,,,,,
254,09/13/24 11:38:43 AM,10.357,,,,,,,
255,09/13/24 01:38:43 PM,12.110,,,,,,,
256,09/13/24 03:38:43 PM,12.594,,,,,,,
257,09/13/24 05:38:43 PM,11.139,,,,,,,
258,09/13/24 07:38:43 PM,7.381,,,,,,,
259,09/13/24 09:38:43 PM,4.831,,,,,,,
260,09/13/24 11:38:43 PM,3.472,,,,,,,
261,09/14/24 01:38:43 AM,2.837,,,,,,,
262,09/14/24 03:38:43 AM,2.088,,,,,,,
263,09/14/24 05:38:43 AM,1.872,,,,,,,
264,09/14/24 07:38:43 AM,1.221,,,,,,,
265,09/14/24 09:38:43 AM,4.415,,,,,,,
266,09/14/24 11:38:43 AM,8.978,,,,,,,
267,09/14/24 01:38:43 PM,12.594,,,,,,,
268,09/14/24 03:38:43 PM,13.269,,,,,,,
269,09/14/24 05:38:43 PM,11.139,,,,,,,
270,09/14/24 07:38:43 PM,7.582,,,,,,,
271,09/14/24 09:38:43 PM,5.037,,,,,,,
272,09/14/24 11:38:43 PM,3.578,,,,,,,
