"Plot Title: gp.sl.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397965, SEN S/N: 21397965)","Coupler Detached (LGR S/N: 21397965)","Bad Battery (LGR S/N: 21397965)","Coupler Attached (LGR S/N: 21397965)","Host Connected (LGR S/N: 21397965)","End Of File (LGR S/N: 21397965)"
1,08/23/24 03:06:39 PM,22.621,,,,,
2,08/23/24 03:06:59 PM,,Logged,,,,
3,08/23/24 05:06:39 PM,16.332,,,,,
4,08/23/24 07:06:39 PM,13.750,,,,,
5,08/23/24 09:06:39 PM,10.357,,,,,
6,08/23/24 11:06:39 PM,9.077,,,,,
7,08/24/24 01:06:39 AM,7.983,,,,,
8,08/24/24 03:06:39 AM,6.674,,,,,
9,08/24/24 05:06:39 AM,6.268,,,,,
10,08/24/24 07:06:39 AM,6.064,,,,,
11,08/24/24 09:06:39 AM,6.978,,,,,
12,08/24/24 11:06:39 AM,9.275,,,,,
13,08/24/24 01:06:39 PM,11.431,,,,,
14,08/24/24 03:06:39 PM,12.497,,,,,
15,08/24/24 05:06:39 PM,14.421,,,,,
16,08/24/24 07:06:39 PM,12.787,,,,,
17,08/24/24 09:06:39 PM,10.063,,,,,
18,08/24/24 11:06:39 PM,9.077,,,,,
19,08/25/24 01:06:39 AM,8.082,,,,,
20,08/25/24 03:06:39 AM,7.079,,,,,
21,08/25/24 05:06:39 AM,6.471,,,,,
22,08/25/24 07:06:39 AM,5.757,,,,,
23,08/25/24 09:06:39 AM,6.268,,,,,
24,08/25/24 11:06:39 AM,11.528,,,,,
25,08/25/24 01:06:39 PM,13.750,,,,,
26,08/25/24 03:06:39 PM,15.187,,,,,
27,08/25/24 05:06:39 PM,15.091,,,,,
28,08/25/24 07:06:39 PM,13.076,,,,,
29,08/25/24 09:06:39 PM,10.063,,,,,
30,08/25/24 11:06:39 PM,8.282,,,,,
31,08/26/24 01:06:39 AM,7.682,,,,,
32,08/26/24 03:06:39 AM,6.674,,,,,
33,08/26/24 05:06:39 AM,6.268,,,,,
34,08/26/24 07:06:39 AM,5.757,,,,,
35,08/26/24 09:06:39 AM,6.573,,,,,
36,08/26/24 11:06:39 AM,7.983,,,,,
37,08/26/24 01:06:39 PM,11.625,,,,,
38,08/26/24 03:06:39 PM,11.722,,,,,
39,08/26/24 05:06:39 PM,14.325,,,,,
40,08/26/24 07:06:39 PM,12.497,,,,,
41,08/26/24 09:06:39 PM,8.978,,,,,
42,08/26/24 11:06:39 PM,6.877,,,,,
43,08/27/24 01:06:39 AM,5.552,,,,,
44,08/27/24 03:06:39 AM,4.727,,,,,
45,08/27/24 05:06:39 AM,3.998,,,,,
46,08/27/24 07:06:39 AM,3.472,,,,,
47,08/27/24 09:06:39 AM,5.141,,,,,
48,08/27/24 11:06:39 AM,11.041,,,,,
49,08/27/24 01:06:39 PM,17.475,,,,,
50,08/27/24 03:06:39 PM,21.378,,,,,
51,08/27/24 05:06:39 PM,19.758,,,,,
52,08/27/24 07:06:39 PM,16.046,,,,,
53,08/27/24 09:06:39 PM,12.497,,,,,
54,08/27/24 11:06:39 PM,10.161,,,,,
55,08/28/24 01:06:39 AM,8.382,,,,,
56,08/28/24 03:06:39 AM,7.179,,,,,
57,08/28/24 05:06:39 AM,6.674,,,,,
58,08/28/24 07:06:39 AM,6.166,,,,,
59,08/28/24 09:06:39 AM,7.582,,,,,
60,08/28/24 11:06:39 AM,12.304,,,,,
61,08/28/24 01:06:39 PM,17.475,,,,,
62,08/28/24 03:06:39 PM,21.569,,,,,
63,08/28/24 05:06:39 PM,20.901,,,,,
64,08/28/24 07:06:39 PM,16.903,,,,,
65,08/28/24 09:06:39 PM,13.076,,,,,
66,08/28/24 11:06:39 PM,10.944,,,,,
67,08/29/24 01:06:39 AM,9.768,,,,,
68,08/29/24 03:06:39 AM,8.779,,,,,
69,08/29/24 05:06:39 AM,7.582,,,,,
70,08/29/24 07:06:39 AM,6.471,,,,,
71,08/29/24 09:06:39 AM,8.182,,,,,
72,08/29/24 11:06:39 AM,13.461,,,,,
73,08/29/24 01:06:39 PM,17.665,,,,,
74,08/29/24 03:06:39 PM,19.187,,,,,
75,08/29/24 05:06:39 PM,18.331,,,,,
76,08/29/24 07:06:39 PM,14.996,,,,,
77,08/29/24 09:06:39 PM,11.819,,,,,
78,08/29/24 11:06:39 PM,9.472,,,,,
79,08/30/24 01:06:39 AM,7.582,,,,,
80,08/30/24 03:06:39 AM,6.268,,,,,
81,08/30/24 05:06:39 AM,5.552,,,,,
82,08/30/24 07:06:39 AM,4.415,,,,,
83,08/30/24 09:06:39 AM,6.370,,,,,
84,08/30/24 11:06:39 AM,12.883,,,,,
85,08/30/24 01:06:39 PM,18.331,,,,,
86,08/30/24 03:06:39 PM,21.760,,,,,
87,08/30/24 05:06:39 PM,19.377,,,,,
88,08/30/24 07:06:39 PM,15.091,,,,,
89,08/30/24 09:06:39 PM,11.625,,,,,
90,08/30/24 11:06:39 PM,9.669,,,,,
91,08/31/24 01:06:39 AM,8.082,,,,,
92,08/31/24 03:06:39 AM,6.471,,,,,
93,08/31/24 05:06:39 AM,5.450,,,,,
94,08/31/24 07:06:39 AM,4.831,,,,,
95,08/31/24 09:06:39 AM,7.079,,,,,
96,08/31/24 11:06:39 AM,12.304,,,,,
97,08/31/24 01:06:39 PM,18.236,,,,,
98,08/31/24 03:06:39 PM,19.662,,,,,
99,08/31/24 05:06:39 PM,18.711,,,,,
100,08/31/24 07:06:39 PM,14.900,,,,,
101,08/31/24 09:06:39 PM,11.334,,,,,
102,08/31/24 11:06:39 PM,9.472,,,,,
103,09/01/24 01:06:39 AM,7.481,,,,,
104,09/01/24 03:06:39 AM,5.860,,,,,
105,09/01/24 05:06:39 AM,4.831,,,,,
106,09/01/24 07:06:39 AM,4.102,,,,,
107,09/01/24 09:06:39 AM,6.471,,,,,
108,09/01/24 11:06:39 AM,13.076,,,,,
109,09/01/24 01:06:39 PM,18.521,,,,,
110,09/01/24 03:06:39 PM,21.664,,,,,
111,09/01/24 05:06:39 PM,19.758,,,,,
112,09/01/24 07:06:39 PM,15.569,,,,,
113,09/01/24 09:06:39 PM,11.431,,,,,
114,09/01/24 11:06:39 PM,9.373,,,,,
115,09/02/24 01:06:39 AM,7.782,,,,,
116,09/02/24 03:06:39 AM,6.471,,,,,
117,09/02/24 05:06:39 AM,5.244,,,,,
118,09/02/24 07:06:39 AM,5.244,,,,,
119,09/02/24 09:06:39 AM,7.682,,,,,
120,09/02/24 11:06:39 AM,13.942,,,,,
121,09/02/24 01:06:39 PM,15.664,,,,,
122,09/02/24 03:06:39 PM,14.421,,,,,
123,09/02/24 05:06:39 PM,11.528,,,,,
124,09/02/24 07:06:39 PM,10.161,,,,,
125,09/02/24 09:06:39 PM,8.282,,,,,
126,09/02/24 11:06:39 PM,6.573,,,,,
127,09/03/24 01:06:39 AM,5.552,,,,,
128,09/03/24 03:06:39 AM,4.831,,,,,
129,09/03/24 05:06:39 AM,4.415,,,,,
130,09/03/24 07:06:39 AM,4.102,,,,,
131,09/03/24 09:06:39 AM,5.962,,,,,
132,09/03/24 11:06:39 AM,12.013,,,,,
133,09/03/24 01:06:39 PM,17.760,,,,,
134,09/03/24 03:06:39 PM,16.237,,,,,
135,09/03/24 05:06:39 PM,15.569,,,,,
136,09/03/24 07:06:39 PM,12.883,,,,,
137,09/03/24 09:06:39 PM,10.161,,,,,
138,09/03/24 11:06:39 PM,8.879,,,,,
139,09/04/24 01:06:39 AM,8.282,,,,,
140,09/04/24 03:06:39 AM,6.877,,,,,
141,09/04/24 05:06:39 AM,5.552,,,,,
142,09/04/24 07:06:39 AM,4.519,,,,,
143,09/04/24 09:06:39 AM,6.877,,,,,
144,09/04/24 11:06:39 AM,13.558,,,,,
145,09/04/24 01:06:39 PM,13.654,,,,,
146,09/04/24 03:06:39 PM,13.558,,,,,
147,09/04/24 05:06:39 PM,13.846,,,,,
148,09/04/24 07:06:39 PM,11.625,,,,,
149,09/04/24 09:06:39 PM,9.275,,,,,
150,09/04/24 11:06:39 PM,7.983,,,,,
151,09/05/24 01:06:39 AM,5.757,,,,,
152,09/05/24 03:06:39 AM,4.934,,,,,
153,09/05/24 05:06:39 AM,4.519,,,,,
154,09/05/24 07:06:39 AM,4.207,,,,,
155,09/05/24 09:06:39 AM,4.311,,,,,
156,09/05/24 11:06:39 AM,6.370,,,,,
157,09/05/24 01:06:39 PM,9.866,,,,,
158,09/05/24 03:06:39 PM,12.594,,,,,
159,09/05/24 05:06:39 PM,12.207,,,,,
160,09/05/24 07:06:39 PM,10.259,,,,,
161,09/05/24 09:06:39 PM,7.179,,,,,
162,09/05/24 11:06:39 PM,5.141,,,,,
163,09/06/24 01:06:39 AM,3.998,,,,,
164,09/06/24 03:06:39 AM,2.943,,,,,
165,09/06/24 05:06:39 AM,2.517,,,,,
166,09/06/24 07:06:39 AM,1.872,,,,,
167,09/06/24 09:06:39 AM,1.872,,,,,
168,09/06/24 11:06:39 AM,9.275,,,,,
169,09/06/24 01:06:39 PM,16.237,,,,,
170,09/06/24 03:06:39 PM,19.853,,,,,
171,09/06/24 05:06:39 PM,20.424,,,,,
172,09/06/24 07:06:39 PM,16.046,,,,,
173,09/06/24 09:06:39 PM,11.431,,,,,
174,09/06/24 11:06:39 PM,8.978,,,,,
175,09/07/24 01:06:39 AM,7.280,,,,,
176,09/07/24 03:06:39 AM,5.757,,,,,
177,09/07/24 05:06:39 AM,4.934,,,,,
178,09/07/24 07:06:39 AM,3.998,,,,,
179,09/07/24 09:06:39 AM,5.757,,,,,
180,09/07/24 11:06:39 AM,12.013,,,,,
181,09/07/24 01:06:39 PM,17.189,,,,,
182,09/07/24 03:06:39 PM,20.996,,,,,
183,09/07/24 05:06:39 PM,19.377,,,,,
184,09/07/24 07:06:39 PM,14.134,,,,,
185,09/07/24 09:06:39 PM,10.846,,,,,
186,09/07/24 11:06:39 PM,8.978,,,,,
187,09/08/24 01:06:39 AM,7.882,,,,,
188,09/08/24 03:06:39 AM,6.573,,,,,
189,09/08/24 05:06:39 AM,5.552,,,,,
190,09/08/24 07:06:39 AM,4.623,,,,,
191,09/08/24 09:06:39 AM,5.962,,,,,
192,09/08/24 11:06:39 AM,12.013,,,,,
193,09/08/24 01:06:39 PM,14.804,,,,,
194,09/08/24 03:06:39 PM,18.426,,,,,
195,09/08/24 05:06:39 PM,16.332,,,,,
196,09/08/24 07:06:39 PM,13.461,,,,,
197,09/08/24 09:06:39 PM,10.748,,,,,
198,09/08/24 11:06:39 PM,8.779,,,,,
199,09/09/24 01:06:39 AM,7.079,,,,,
200,09/09/24 03:06:39 AM,6.268,,,,,
201,09/09/24 05:06:39 AM,5.347,,,,,
202,09/09/24 07:06:39 AM,4.831,,,,,
203,09/09/24 09:06:39 AM,6.674,,,,,
204,09/09/24 11:06:39 AM,11.625,,,,,
205,09/09/24 01:06:39 PM,16.999,,,,,
206,09/09/24 03:06:39 PM,18.806,,,,,
207,09/09/24 05:06:39 PM,15.282,,,,,
208,09/09/24 07:06:39 PM,12.883,,,,,
209,09/09/24 09:06:39 PM,10.553,,,,,
210,09/09/24 11:06:39 PM,9.275,,,,,
211,09/10/24 01:06:39 AM,8.082,,,,,
212,09/10/24 03:06:39 AM,7.079,,,,,
213,09/10/24 05:06:39 AM,6.166,,,,,
214,09/10/24 07:06:39 AM,5.552,,,,,
215,09/10/24 09:06:39 AM,6.978,,,,,
216,09/10/24 11:06:39 AM,11.139,,,,,
217,09/10/24 01:06:39 PM,12.013,,,,,
218,09/10/24 03:06:39 PM,13.558,,,,,
219,09/10/24 05:06:39 PM,12.013,,,,,
220,09/10/24 07:06:39 PM,9.866,,,,,
221,09/10/24 09:06:39 PM,7.582,,,,,
222,09/10/24 11:06:39 PM,6.573,,,,,
223,09/11/24 01:06:39 AM,5.860,,,,,
224,09/11/24 03:06:39 AM,4.727,,,,,
225,09/11/24 05:06:39 AM,3.893,,,,,
226,09/11/24 07:06:39 AM,3.472,,,,,
227,09/11/24 09:06:39 AM,5.037,,,,,
228,09/11/24 11:06:39 AM,11.139,,,,,
229,09/11/24 01:06:39 PM,16.523,,,,,
230,09/11/24 03:06:39 PM,16.713,,,,,
231,09/11/24 05:06:39 PM,14.325,,,,,
232,09/11/24 07:06:39 PM,10.846,,,,,
233,09/11/24 09:06:39 PM,8.182,,,,,
234,09/11/24 11:06:39 PM,6.471,,,,,
235,09/12/24 01:06:39 AM,5.347,,,,,
236,09/12/24 03:06:39 AM,4.311,,,,,
237,09/12/24 05:06:39 AM,3.788,,,,,
238,09/12/24 07:06:39 AM,3.155,,,,,
239,09/12/24 09:06:39 AM,3.683,,,,,
240,09/12/24 11:06:39 AM,9.176,,,,,
241,09/12/24 01:06:39 PM,13.750,,,,,
242,09/12/24 03:06:39 PM,15.855,,,,,
243,09/12/24 05:06:39 PM,14.517,,,,,
244,09/12/24 07:06:39 PM,11.431,,,,,
245,09/12/24 09:06:39 PM,9.176,,,,,
246,09/12/24 11:06:39 PM,7.682,,,,,
247,09/13/24 01:06:39 AM,6.166,,,,,
248,09/13/24 03:06:39 AM,5.037,,,,,
249,09/13/24 05:06:39 AM,4.311,,,,,
250,09/13/24 07:06:39 AM,3.472,,,,,
251,09/13/24 09:06:39 AM,5.037,,,,,
252,09/13/24 11:06:39 AM,10.748,,,,,
253,09/13/24 01:06:39 PM,14.613,,,,,
254,09/13/24 03:06:39 PM,18.711,,,,,
255,09/13/24 05:06:39 PM,17.760,,,,,
256,09/13/24 07:06:39 PM,13.846,,,,,
257,09/13/24 09:06:39 PM,9.571,,,,,
258,09/13/24 11:06:39 PM,7.582,,,,,
259,09/14/24 01:06:39 AM,6.268,,,,,
260,09/14/24 03:06:39 AM,5.141,,,,,
261,09/14/24 05:06:39 AM,4.102,,,,,
262,09/14/24 07:06:39 AM,3.893,,,,,
263,09/14/24 09:06:39 AM,5.347,,,,,
264,09/14/24 11:06:39 AM,10.651,,,,,
265,09/14/24 01:06:39 PM,16.808,,,,,
266,09/14/24 03:06:39 PM,19.377,,,,,
267,09/14/24 05:06:39 PM,18.521,,,,,
268,09/14/24 07:06:39 PM,15.282,,,,,
269,09/14/24 09:06:39 PM,11.041,,,,,
270,09/14/24 11:06:39 PM,8.779,,,,,
271,09/15/24 01:06:39 AM,7.179,,,,,
272,09/15/24 03:06:39 AM,6.064,,,,,
273,09/15/24 05:06:39 AM,5.347,,,,,
274,09/15/24 07:06:39 AM,4.311,,,,,
275,09/15/24 09:06:39 AM,6.370,,,,,
276,09/15/24 11:06:39 AM,11.625,,,,,
277,09/15/24 01:06:39 PM,14.421,,,,,
278,09/15/24 03:06:39 PM,14.517,,,,,
279,09/15/24 05:06:39 PM,12.110,,,,,
280,09/15/24 07:06:39 PM,10.553,,,,,
281,09/15/24 09:06:39 PM,8.481,,,,,
282,09/15/24 11:06:39 PM,6.978,,,,,
283,09/16/24 01:06:39 AM,6.064,,,,,
284,09/16/24 03:06:39 AM,4.727,,,,,
285,09/16/24 05:06:39 AM,3.683,,,,,
286,09/16/24 07:06:39 AM,3.367,,,,,
287,09/16/24 09:06:39 AM,4.934,,,,,
288,09/16/24 11:06:39 AM,10.357,,,,,
289,09/16/24 01:06:39 PM,11.041,,,,,
290,09/16/24 03:06:39 PM,12.497,,,,,
291,09/16/24 05:06:39 PM,12.497,,,,,
292,09/16/24 07:06:39 PM,10.161,,,,,
293,09/16/24 09:06:39 PM,7.481,,,,,
294,09/16/24 11:06:39 PM,6.471,,,,,
295,09/17/24 01:06:39 AM,5.757,,,,,
296,09/17/24 03:06:39 AM,4.727,,,,,
297,09/17/24 05:06:39 AM,3.788,,,,,
298,09/17/24 07:06:39 AM,3.367,,,,,
299,09/17/24 09:06:39 AM,5.141,,,,,
300,09/17/24 11:06:39 AM,8.182,,,,,
301,09/17/24 01:06:39 PM,8.282,,,,,
302,09/17/24 03:06:39 PM,8.282,,,,,
303,09/17/24 05:06:39 PM,6.775,,,,,
304,09/17/24 07:06:39 PM,5.552,,,,,
305,09/17/24 09:06:39 PM,4.207,,,,,
306,09/17/24 11:06:39 PM,3.367,,,,,
307,09/18/24 01:06:39 AM,2.730,,,,,
308,09/18/24 03:06:39 AM,2.303,,,,,
309,09/18/24 05:06:39 AM,1.872,,,,,
310,09/18/24 07:06:39 AM,1.439,,,,,
311,09/18/24 09:06:39 AM,1.439,,,,,
312,09/18/24 11:06:39 AM,4.934,,,,,
313,09/18/24 01:06:39 PM,11.236,,,,,
314,09/18/24 03:06:39 PM,15.951,,,,,
315,09/18/24 05:06:39 PM,15.091,,,,,
316,09/18/24 07:06:39 PM,10.455,,,,,
317,09/18/24 09:06:39 PM,6.877,,,,,
318,09/18/24 11:06:39 PM,4.831,,,,,
319,09/19/24 01:06:39 AM,3.261,,,,,
320,09/19/24 03:06:39 AM,2.303,,,,,
321,09/19/24 05:06:39 AM,1.764,,,,,
322,09/19/24 07:06:39 AM,1.656,,,,,
323,09/19/24 09:06:39 AM,2.303,,,,,
324,09/19/24 11:06:39 AM,8.481,,,,,
325,09/19/24 01:06:39 PM,14.996,,,,,
326,09/19/24 03:06:39 PM,17.950,,,,,
327,09/19/24 05:06:39 PM,16.713,,,,,
328,09/19/24 07:06:39 PM,12.304,,,,,
329,09/19/24 09:06:39 PM,8.879,,,,,
330,09/19/24 11:06:39 PM,7.079,,,,,
331,09/20/24 01:06:39 AM,5.552,,,,,
332,09/20/24 03:06:39 AM,5.244,,,,,
333,09/20/24 05:06:39 AM,4.727,,,,,
334,09/20/24 07:06:39 AM,4.102,,,,,
335,09/20/24 09:06:39 AM,4.519,,,,,
336,09/20/24 11:06:39 AM,7.481,,,,,
337,09/20/24 01:06:39 PM,10.357,,,,,
338,09/20/24 03:06:39 PM,11.722,,,,,
339,09/20/24 05:06:39 PM,10.553,,,,,
340,09/20/24 07:06:39 PM,8.978,,,,,
341,09/20/24 09:06:39 PM,6.370,,,,,
342,09/20/24 11:06:39 PM,5.141,,,,,
343,09/21/24 01:06:39 AM,4.311,,,,,
344,09/21/24 03:06:39 AM,3.261,,,,,
345,09/21/24 05:06:39 AM,2.195,,,,,
346,09/21/24 07:06:39 AM,1.330,,,,,
347,09/21/24 09:06:39 AM,2.624,,,,,
348,09/21/24 11:06:39 AM,7.179,,,,,
349,09/21/24 01:06:39 PM,13.173,,,,,
350,09/21/24 03:06:39 PM,10.553,,,,,
351,09/21/24 05:06:39 PM,7.983,,,,,
352,09/21/24 07:06:39 PM,6.166,,,,,
353,09/21/24 09:06:39 PM,5.141,,,,,
354,09/21/24 11:06:39 PM,4.623,,,,,
355,09/22/24 01:06:39 AM,4.311,,,,,
356,09/22/24 03:06:39 AM,4.102,,,,,
357,09/22/24 05:06:39 AM,3.893,,,,,
358,09/22/24 07:06:39 AM,3.788,,,,,
359,09/22/24 09:06:39 AM,3.683,,,,,
360,09/22/24 11:06:39 AM,3.472,,,,,
361,09/22/24 01:06:39 PM,3.367,,,,,
362,09/22/24 03:06:39 PM,6.064,,,,,
363,09/22/24 05:06:39 PM,9.176,,,,,
364,09/22/24 07:06:39 PM,6.674,,,,,
365,09/22/24 09:06:39 PM,4.311,,,,,
366,09/22/24 11:06:39 PM,3.261,,,,,
367,09/23/24 01:06:39 AM,2.624,,,,,
