"Plot Title: gp.sl.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365628, SEN S/N: 20365628)","Coupler Detached (LGR S/N: 20365628)","Coupler Attached (LGR S/N: 20365628)","Host Connected (LGR S/N: 20365628)","Stopped (LGR S/N: 20365628)","End Of File (LGR S/N: 20365628)"
1,08/23/24 03:16:36 PM,23.100,,,,,
2,08/23/24 03:16:50 PM,,Logged,,,,
3,08/23/24 05:16:36 PM,16.903,,,,,
4,08/23/24 07:16:36 PM,15.187,,,,,
5,08/23/24 09:16:36 PM,11.819,,,,,
6,08/23/24 11:16:36 PM,10.259,,,,,
7,08/24/24 01:16:36 AM,8.978,,,,,
8,08/24/24 03:16:36 AM,7.582,,,,,
9,08/24/24 05:16:36 AM,6.877,,,,,
10,08/24/24 07:16:36 AM,6.471,,,,,
11,08/24/24 09:16:36 AM,7.079,,,,,
12,08/24/24 11:16:36 AM,9.176,,,,,
13,08/24/24 01:16:36 PM,11.334,,,,,
14,08/24/24 03:16:36 PM,12.690,,,,,
15,08/24/24 05:16:36 PM,14.900,,,,,
16,08/24/24 07:16:36 PM,14.038,,,,,
17,08/24/24 09:16:36 PM,11.236,,,,,
18,08/24/24 11:16:36 PM,9.965,,,,,
19,08/25/24 01:16:36 AM,8.879,,,,,
20,08/25/24 03:16:36 AM,7.782,,,,,
21,08/25/24 05:16:36 AM,7.079,,,,,
22,08/25/24 07:16:36 AM,6.370,,,,,
23,08/25/24 09:16:36 AM,6.573,,,,,
24,08/25/24 11:16:36 AM,10.748,,,,,
25,08/25/24 01:16:36 PM,13.365,,,,,
26,08/25/24 03:16:36 PM,14.996,,,,,
27,08/25/24 05:16:36 PM,15.760,,,,,
28,08/25/24 07:16:36 PM,14.517,,,,,
29,08/25/24 09:16:36 PM,11.334,,,,,
30,08/25/24 11:16:36 PM,9.472,,,,,
31,08/26/24 01:16:36 AM,8.581,,,,,
32,08/26/24 03:16:36 AM,7.481,,,,,
