"Plot Title: gp.nu.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397966, SEN S/N: 21397966)","Coupler Detached (LGR S/N: 21397966)","Coupler Attached (LGR S/N: 21397966)","Host Connected (LGR S/N: 21397966)","End Of File (LGR S/N: 21397966)"
1,08/23/24 02:04:18 PM,14.038,,,,
2,08/23/24 02:04:34 PM,,Logged,,,
3,08/23/24 04:04:18 PM,18.045,,,,
4,08/23/24 06:04:18 PM,17.379,,,,
5,08/23/24 08:04:18 PM,11.139,,,,
6,08/23/24 10:04:18 PM,9.077,,,,
7,08/24/24 12:04:18 AM,7.983,,,,
8,08/24/24 02:04:18 AM,6.877,,,,
9,08/24/24 04:04:18 AM,5.962,,,,
10,08/24/24 06:04:18 AM,5.347,,,,
11,08/24/24 08:04:18 AM,5.655,,,,
12,08/24/24 10:04:18 AM,8.978,,,,
13,08/24/24 12:04:18 PM,10.944,,,,
14,08/24/24 02:04:18 PM,17.760,,,,
15,08/24/24 04:04:18 PM,16.808,,,,
16,08/24/24 06:04:18 PM,17.475,,,,
17,08/24/24 08:04:18 PM,11.236,,,,
18,08/24/24 10:04:18 PM,9.472,,,,
19,08/25/24 12:04:18 AM,8.382,,,,
20,08/25/24 02:04:18 AM,7.481,,,,
21,08/25/24 04:04:18 AM,6.471,,,,
22,08/25/24 06:04:18 AM,5.552,,,,
23,08/25/24 08:04:18 AM,5.347,,,,
24,08/25/24 10:04:18 AM,9.176,,,,
25,08/25/24 12:04:18 PM,14.709,,,,
26,08/25/24 02:04:18 PM,18.616,,,,
27,08/25/24 04:04:18 PM,11.722,,,,
28,08/25/24 06:04:18 PM,13.365,,,,
29,08/25/24 08:04:18 PM,8.680,,,,
30,08/25/24 10:04:18 PM,6.674,,,,
31,08/26/24 12:04:18 AM,6.268,,,,
32,08/26/24 02:04:18 AM,5.655,,,,
33,08/26/24 04:04:18 AM,5.244,,,,
34,08/26/24 06:04:18 AM,4.727,,,,
35,08/26/24 08:04:18 AM,4.623,,,,
36,08/26/24 10:04:18 AM,7.481,,,,
37,08/26/24 12:04:18 PM,8.282,,,,
38,08/26/24 02:04:18 PM,8.282,,,,
39,08/26/24 04:04:18 PM,13.461,,,,
40,08/26/24 06:04:18 PM,14.900,,,,
41,08/26/24 08:04:18 PM,9.275,,,,
42,08/26/24 10:04:18 PM,6.370,,,,
43,08/27/24 12:04:18 AM,4.934,,,,
44,08/27/24 02:04:18 AM,3.998,,,,
45,08/27/24 04:04:18 AM,3.367,,,,
46,08/27/24 06:04:18 AM,2.837,,,,
47,08/27/24 08:04:18 AM,2.730,,,,
48,08/27/24 10:04:18 AM,7.882,,,,
49,08/27/24 12:04:18 PM,16.523,,,,
50,08/27/24 02:04:18 PM,22.717,,,,
51,08/27/24 04:04:18 PM,23.581,,,,
52,08/27/24 06:04:18 PM,18.331,,,,
53,08/27/24 08:04:18 PM,13.365,,,,
54,08/27/24 10:04:18 PM,10.455,,,,
55,08/28/24 12:04:18 AM,8.680,,,,
56,08/28/24 02:04:18 AM,7.782,,,,
57,08/28/24 04:04:18 AM,6.877,,,,
58,08/28/24 06:04:18 AM,5.860,,,,
59,08/28/24 08:04:18 AM,5.860,,,,
60,08/28/24 10:04:18 AM,10.357,,,,
61,08/28/24 12:04:18 PM,17.189,,,,
62,08/28/24 02:04:18 PM,22.717,,,,
63,08/28/24 04:04:18 PM,24.738,,,,
64,08/28/24 06:04:18 PM,21.664,,,,
65,08/28/24 08:04:18 PM,15.855,,,,
66,08/28/24 10:04:18 PM,12.690,,,,
67,08/29/24 12:04:18 AM,10.846,,,,
68,08/29/24 02:04:18 AM,9.768,,,,
69,08/29/24 04:04:18 AM,8.382,,,,
70,08/29/24 06:04:18 AM,7.179,,,,
71,08/29/24 08:04:18 AM,7.079,,,,
72,08/29/24 10:04:18 AM,12.401,,,,
73,08/29/24 12:04:18 PM,18.711,,,,
74,08/29/24 02:04:18 PM,21.951,,,,
75,08/29/24 04:04:18 PM,22.717,,,,
76,08/29/24 06:04:18 PM,20.329,,,,
77,08/29/24 08:04:18 PM,14.613,,,,
78,08/29/24 10:04:18 PM,11.528,,,,
79,08/30/24 12:04:18 AM,9.275,,,,
80,08/30/24 02:04:18 AM,7.983,,,,
