"Plot Title: gp.su.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365609, SEN S/N: 20365609)","Coupler Detached (LGR S/N: 20365609)","Bad Battery (LGR S/N: 20365609)","Coupler Attached (LGR S/N: 20365609)","Host Connected (LGR S/N: 20365609)","Good Battery (LGR S/N: 20365609)","Stopped (LGR S/N: 20365609)","End Of File (LGR S/N: 20365609)"
1,08/23/24 02:14:30 PM,17.379,,,,,,,
2,08/23/24 02:14:53 PM,,Logged,,,,,,
3,08/23/24 04:14:30 PM,14.325,,,,,,,
4,08/23/24 06:14:30 PM,13.942,,,,,,,
5,08/23/24 08:14:30 PM,10.553,,,,,,,
6,08/23/24 10:14:30 PM,8.879,,,,,,,
7,08/24/24 12:14:30 AM,7.782,,,,,,,
8,08/24/24 02:14:30 AM,6.877,,,,,,,
9,08/24/24 04:14:30 AM,6.064,,,,,,,
10,08/24/24 06:14:30 AM,5.347,,,,,,,
11,08/24/24 08:14:30 AM,5.552,,,,,,,
12,08/24/24 10:14:30 AM,7.582,,,,,,,
13,08/24/24 12:14:30 PM,8.779,,,,,,,
14,08/24/24 02:14:30 PM,13.173,,,,,,,
15,08/24/24 04:14:30 PM,14.038,,,,,,,
16,08/24/24 06:14:30 PM,13.846,,,,,,,
17,08/24/24 08:14:30 PM,10.846,,,,,,,
18,08/24/24 10:14:30 PM,9.275,,,,,,,
19,08/25/24 12:14:30 AM,8.282,,,,,,,
20,08/25/24 02:14:30 AM,7.280,,,,,,,
21,08/25/24 04:14:30 AM,6.370,,,,,,,
22,08/25/24 06:14:30 AM,5.552,,,,,,,
23,08/25/24 08:14:30 AM,5.141,,,,,,,
24,08/25/24 10:14:30 AM,7.682,,,,,,,
25,08/25/24 12:14:30 PM,11.431,,,,,,,
26,08/25/24 02:14:30 PM,14.804,,,,,,,
27,08/25/24 04:14:30 PM,11.819,,,,,,,
28,08/25/24 06:14:30 PM,11.528,,,,,,,
29,08/25/24 08:14:30 PM,9.077,,,,,,,
30,08/25/24 10:14:30 PM,6.674,,,,,,,
31,08/26/24 12:14:30 AM,6.166,,,,,,,
32,08/26/24 02:14:30 AM,5.552,,,,,,,
33,08/26/24 04:14:30 AM,5.037,,,,,,,
34,08/26/24 06:14:30 AM,4.623,,,,,,,
35,08/26/24 08:14:30 AM,4.415,,,,,,,
36,08/26/24 10:14:30 AM,5.962,,,,,,,
37,08/26/24 12:14:30 PM,6.978,,,,,,,
38,08/26/24 02:14:30 PM,7.582,,,,,,,
39,08/26/24 04:14:30 PM,10.259,,,,,,,
40,08/26/24 06:14:30 PM,10.944,,,,,,,
41,08/26/24 08:14:30 PM,8.581,,,,,,,
42,08/26/24 10:14:30 PM,6.674,,,,,,,
43,08/27/24 12:14:30 AM,5.244,,,,,,,
44,08/27/24 02:14:30 AM,4.311,,,,,,,
45,08/27/24 04:14:30 AM,3.472,,,,,,,
46,08/27/24 06:14:30 AM,2.837,,,,,,,
47,08/27/24 08:14:30 AM,3.472,,,,,,,
48,08/27/24 10:14:30 AM,7.280,,,,,,,
49,08/27/24 12:14:30 PM,13.558,,,,,,,
50,08/27/24 02:14:30 PM,19.092,,,,,,,
51,08/27/24 04:14:30 PM,20.424,,,,,,,
52,08/27/24 06:14:30 PM,17.189,,,,,,,
53,08/27/24 08:14:30 PM,13.750,,,,,,,
54,08/27/24 10:14:30 PM,11.236,,,,,,,
55,08/28/24 12:14:30 AM,9.275,,,,,,,
56,08/28/24 02:14:30 AM,7.882,,,,,,,
57,08/28/24 04:14:30 AM,6.775,,,,,,,
58,08/28/24 06:14:30 AM,5.860,,,,,,,
59,08/28/24 08:14:30 AM,6.064,,,,,,,
60,08/28/24 10:14:30 AM,9.472,,,,,,,
61,08/28/24 12:14:30 PM,14.709,,,,,,,
62,08/28/24 02:14:30 PM,19.853,,,,,,,
63,08/28/24 04:14:30 PM,22.046,,,,,,,
64,08/28/24 06:14:30 PM,19.758,,,,,,,
65,08/28/24 08:14:30 PM,15.760,,,,,,,
66,08/28/24 10:14:30 PM,12.883,,,,,,,
67,08/29/24 12:14:30 AM,10.846,,,,,,,
68,08/29/24 02:14:30 AM,9.472,,,,,,,
69,08/29/24 04:14:30 AM,8.182,,,,,,,
70,08/29/24 06:14:30 AM,7.079,,,,,,,
71,08/29/24 08:14:30 AM,7.179,,,,,,,
72,08/29/24 10:14:30 AM,11.236,,,,,,,
73,08/29/24 12:14:30 PM,16.332,,,,,,,
74,08/29/24 02:14:30 PM,19.472,,,,,,,
75,08/29/24 04:14:30 PM,20.519,,,,,,,
76,08/29/24 06:14:30 PM,18.521,,,,,,,
77,08/29/24 08:14:30 PM,14.613,,,,,,,
78,08/29/24 10:14:30 PM,11.916,,,,,,,
79,08/30/24 12:14:30 AM,9.571,,,,,,,
80,08/30/24 02:14:30 AM,7.983,,,,,,,
81,08/30/24 04:14:30 AM,6.674,,,,,,,
82,08/30/24 06:14:30 AM,5.450,,,,,,,
83,08/30/24 08:14:30 AM,5.552,,,,,,,
84,08/30/24 10:14:30 AM,10.259,,,,,,,
85,08/30/24 12:14:30 PM,16.046,,,,,,,
86,08/30/24 02:14:30 PM,21.569,,,,,,,
87,08/30/24 04:14:30 PM,23.773,,,,,,,
88,08/30/24 06:14:30 PM,19.948,,,,,,,
89,08/30/24 08:14:30 PM,15.855,,,,,,,
90,08/30/24 10:14:30 PM,12.594,,,,,,,
91,08/31/24 12:14:30 AM,10.651,,,,,,,
92,08/31/24 02:14:30 AM,8.680,,,,,,,
93,08/31/24 04:14:30 AM,7.179,,,,,,,
94,08/31/24 06:14:30 AM,6.268,,,,,,,
95,08/31/24 08:14:30 AM,6.775,,,,,,,
96,08/31/24 10:14:30 AM,11.041,,,,,,,
97,08/31/24 12:14:30 PM,17.189,,,,,,,
98,08/31/24 02:14:30 PM,20.901,,,,,,,
99,08/31/24 04:14:30 PM,21.187,,,,,,,
100,08/31/24 06:14:30 PM,18.996,,,,,,,
101,08/31/24 08:14:30 PM,14.900,,,,,,,
102,08/31/24 10:14:30 PM,11.916,,,,,,,
103,09/01/24 12:14:30 AM,9.866,,,,,,,
104,09/01/24 02:14:30 AM,8.581,,,,,,,
105,09/01/24 04:14:30 AM,7.179,,,,,,,
106,09/01/24 06:14:30 AM,6.064,,,,,,,
107,09/01/24 08:14:30 AM,6.573,,,,,,,
108,09/01/24 10:14:30 AM,10.161,,,,,,,
109,09/01/24 12:14:30 PM,14.325,,,,,,,
110,09/01/24 02:14:30 PM,17.094,,,,,,,
111,09/01/24 04:14:30 PM,17.189,,,,,,,
112,09/01/24 06:14:30 PM,15.664,,,,,,,
113,09/01/24 08:14:30 PM,12.690,,,,,,,
114,09/01/24 10:14:30 PM,10.161,,,,,,,
115,09/02/24 12:14:30 AM,8.481,,,,,,,
116,09/02/24 02:14:30 AM,7.381,,,,,,,
117,09/02/24 04:14:30 AM,6.573,,,,,,,
118,09/02/24 06:14:30 AM,5.860,,,,,,,
119,09/02/24 08:14:30 AM,6.471,,,,,,,
120,09/02/24 10:14:30 AM,10.846,,,,,,,
121,09/02/24 12:14:30 PM,17.950,,,,,,,
122,09/02/24 02:14:30 PM,18.331,,,,,,,
123,09/02/24 04:14:30 PM,13.750,,,,,,,
124,09/02/24 06:14:30 PM,10.455,,,,,,,
125,09/02/24 08:14:30 PM,8.581,,,,,,,
126,09/02/24 10:14:30 PM,7.179,,,,,,,
127,09/03/24 12:14:30 AM,5.860,,,,,,,
128,09/03/24 02:14:30 AM,4.934,,,,,,,
129,09/03/24 04:14:30 AM,4.311,,,,,,,
130,09/03/24 06:14:30 AM,3.893,,,,,,,
131,09/03/24 08:14:30 AM,4.727,,,,,,,
132,09/03/24 10:14:30 AM,9.472,,,,,,,
133,09/03/24 12:14:30 PM,16.713,,,,,,,
134,09/03/24 02:14:30 PM,21.378,,,,,,,
135,09/03/24 04:14:30 PM,18.140,,,,,,,
136,09/03/24 06:14:30 PM,15.760,,,,,,,
137,09/03/24 08:14:30 PM,12.883,,,,,,,
138,09/03/24 10:14:30 PM,11.041,,,,,,,
139,09/04/24 12:14:30 AM,9.866,,,,,,,
140,09/04/24 02:14:30 AM,8.779,,,,,,,
141,09/04/24 04:14:30 AM,7.481,,,,,,,
142,09/04/24 06:14:30 AM,6.471,,,,,,,
143,09/04/24 08:14:30 AM,6.775,,,,,,,
144,09/04/24 10:14:30 AM,11.236,,,,,,,
145,09/04/24 12:14:30 PM,14.517,,,,,,,
146,09/04/24 02:14:30 PM,14.709,,,,,,,
147,09/04/24 04:14:30 PM,13.461,,,,,,,
148,09/04/24 06:14:30 PM,12.497,,,,,,,
149,09/04/24 08:14:30 PM,10.748,,,,,,,
150,09/04/24 10:14:30 PM,9.373,,,,,,,
151,09/05/24 12:14:30 AM,7.179,,,,,,,
152,09/05/24 02:14:30 AM,5.655,,,,,,,
153,09/05/24 04:14:30 AM,4.934,,,,,,,
154,09/05/24 06:14:30 AM,4.415,,,,,,,
155,09/05/24 08:14:30 AM,4.102,,,,,,,
156,09/05/24 10:14:30 AM,4.102,,,,,,,
157,09/05/24 12:14:30 PM,6.064,,,,,,,
158,09/05/24 02:14:30 PM,10.748,,,,,,,
159,09/05/24 04:14:30 PM,11.431,,,,,,,
160,09/05/24 06:14:30 PM,9.669,,,,,,,
161,09/05/24 08:14:30 PM,7.381,,,,,,,
162,09/05/24 10:14:30 PM,5.141,,,,,,,
163,09/06/24 12:14:30 AM,3.683,,,,,,,
164,09/06/24 02:14:30 AM,2.730,,,,,,,
165,09/06/24 04:14:30 AM,1.980,,,,,,,
166,09/06/24 06:14:30 AM,1.439,,,,,,,
167,09/06/24 08:14:30 AM,1.764,,,,,,,
168,09/06/24 10:14:30 AM,6.166,,,,,,,
169,09/06/24 12:14:30 PM,13.558,,,,,,,
170,09/06/24 02:14:30 PM,16.046,,,,,,,
171,09/06/24 04:14:30 PM,17.855,,,,,,,
172,09/06/24 06:14:30 PM,17.475,,,,,,,
173,09/06/24 08:14:30 PM,12.980,,,,,,,
174,09/06/24 10:14:30 PM,9.866,,,,,,,
175,09/07/24 12:14:30 AM,7.983,,,,,,,
176,09/07/24 02:14:30 AM,6.674,,,,,,,
177,09/07/24 04:14:30 AM,5.347,,,,,,,
178,09/07/24 06:14:30 AM,4.311,,,,,,,
179,09/07/24 08:14:30 AM,4.623,,,,,,,
180,09/07/24 10:14:30 AM,9.275,,,,,,,
181,09/07/24 12:14:30 PM,14.804,,,,,,,
182,09/07/24 02:14:30 PM,19.092,,,,,,,
183,09/07/24 04:14:30 PM,21.282,,,,,,,
184,09/07/24 06:14:30 PM,17.284,,,,,,,
185,09/07/24 08:14:30 PM,12.690,,,,,,,
