"Plot Title: gp.tl.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365620, SEN S/N: 20365620)","Coupler Detached (LGR S/N: 20365620)","Bad Battery (LGR S/N: 20365620)","Coupler Attached (LGR S/N: 20365620)","Host Connected (LGR S/N: 20365620)","Stopped (LGR S/N: 20365620)","End Of File (LGR S/N: 20365620)"
1,08/23/24 03:37:29 PM,21.855,,,,,,
2,08/23/24 03:37:45 PM,,Logged,,,,,
3,08/23/24 05:37:29 PM,15.091,,,,,,
4,08/23/24 07:37:29 PM,12.787,,,,,,
5,08/23/24 09:37:29 PM,10.161,,,,,,
6,08/23/24 11:37:29 PM,9.077,,,,,,
7,08/24/24 01:37:29 AM,7.983,,,,,,
8,08/24/24 03:37:29 AM,6.877,,,,,,
9,08/24/24 05:37:29 AM,6.573,,,,,,
10,08/24/24 07:37:29 AM,6.370,,,,,,
11,08/24/24 09:37:29 AM,7.280,,,,,,
12,08/24/24 11:37:29 AM,9.669,,,,,,
13,08/24/24 01:37:29 PM,11.819,,,,,,
14,08/24/24 03:37:29 PM,12.304,,,,,,
15,08/24/24 05:37:29 PM,13.942,,,,,,
16,08/24/24 07:37:29 PM,12.110,,,,,,
17,08/24/24 09:37:29 PM,9.965,,,,,,
18,08/24/24 11:37:29 PM,8.978,,,,,,
19,08/25/24 01:37:29 AM,8.082,,,,,,
20,08/25/24 03:37:29 AM,7.280,,,,,,
21,08/25/24 05:37:29 AM,6.674,,,,,,
22,08/25/24 07:37:29 AM,6.064,,,,,,
23,08/25/24 09:37:29 AM,6.978,,,,,,
24,08/25/24 11:37:29 AM,11.916,,,,,,
25,08/25/24 01:37:29 PM,13.654,,,,,,
26,08/25/24 03:37:29 PM,13.942,,,,,,
27,08/25/24 05:37:29 PM,14.613,,,,,,
28,08/25/24 07:37:29 PM,11.916,,,,,,
29,08/25/24 09:37:29 PM,9.571,,,,,,
30,08/25/24 11:37:29 PM,8.282,,,,,,
31,08/26/24 01:37:29 AM,7.682,,,,,,
32,08/26/24 03:37:29 AM,6.775,,,,,,
33,08/26/24 05:37:29 AM,6.573,,,,,,
34,08/26/24 07:37:29 AM,6.166,,,,,,
35,08/26/24 09:37:29 AM,7.381,,,,,,
36,08/26/24 11:37:29 AM,8.779,,,,,,
37,08/26/24 01:37:29 PM,11.431,,,,,,
38,08/26/24 03:37:29 PM,12.401,,,,,,
39,08/26/24 05:37:29 PM,14.325,,,,,,
40,08/26/24 07:37:29 PM,11.722,,,,,,
41,08/26/24 09:37:29 PM,8.879,,,,,,
42,08/26/24 11:37:29 PM,6.978,,,,,,
43,08/27/24 01:37:29 AM,5.860,,,,,,
44,08/27/24 03:37:29 AM,5.037,,,,,,
45,08/27/24 05:37:29 AM,4.311,,,,,,
46,08/27/24 07:37:29 AM,3.788,,,,,,
47,08/27/24 09:37:29 AM,6.064,,,,,,
48,08/27/24 11:37:29 AM,11.819,,,,,,
49,08/27/24 01:37:29 PM,17.665,,,,,,
50,08/27/24 03:37:29 PM,20.710,,,,,,
51,08/27/24 05:37:29 PM,18.901,,,,,,
52,08/27/24 07:37:29 PM,14.996,,,,,,
53,08/27/24 09:37:29 PM,12.013,,,,,,
54,08/27/24 11:37:29 PM,9.866,,,,,,
55,08/28/24 01:37:29 AM,8.182,,,,,,
56,08/28/24 03:37:29 AM,7.179,,,,,,
57,08/28/24 05:37:29 AM,6.775,,,,,,
