"Plot Title: gp.tl.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406008, SEN S/N: 20406008)","Coupler Detached (LGR S/N: 20406008)","Bad Battery (LGR S/N: 20406008)","Coupler Attached (LGR S/N: 20406008)","Host Connected (LGR S/N: 20406008)","End Of File (LGR S/N: 20406008)"
1,08/23/24 03:55:02 PM,22.429,,,,,
2,08/23/24 03:55:16 PM,,Logged,,,,
3,08/23/24 07:55:02 PM,11.625,,,,,
4,08/23/24 11:55:02 PM,8.879,,,,,
5,08/24/24 03:55:02 AM,6.877,,,,,
6,08/24/24 07:55:02 AM,6.877,,,,,
7,08/24/24 11:55:02 AM,10.259,,,,,
8,08/24/24 03:55:02 PM,12.304,,,,,
9,08/24/24 07:55:02 PM,11.139,,,,,
10,08/24/24 11:55:02 PM,8.680,,,,,
11,08/25/24 03:55:02 AM,7.381,,,,,
12,08/25/24 07:55:02 AM,6.370,,,,,
13,08/25/24 11:55:02 AM,12.497,,,,,
14,08/25/24 03:55:02 PM,12.594,,,,,
15,08/25/24 07:55:02 PM,10.944,,,,,
16,08/25/24 11:55:02 PM,8.282,,,,,
17,08/26/24 03:55:02 AM,6.978,,,,,
18,08/26/24 07:55:02 AM,6.573,,,,,
19,08/26/24 11:55:02 AM,9.571,,,,,
20,08/26/24 03:55:02 PM,12.207,,,,,
21,08/26/24 07:55:02 PM,10.455,,,,,
22,08/26/24 11:55:02 PM,6.674,,,,,
23,08/27/24 03:55:02 AM,5.244,,,,,
24,08/27/24 07:55:02 AM,4.415,,,,,
25,08/27/24 11:55:02 AM,12.690,,,,,
26,08/27/24 03:55:02 PM,18.996,,,,,
27,08/27/24 07:55:02 PM,13.269,,,,,
28,08/27/24 11:55:02 PM,9.275,,,,,
29,08/28/24 03:55:02 AM,7.381,,,,,
30,08/28/24 07:55:02 AM,6.877,,,,,
31,08/28/24 11:55:02 AM,13.173,,,,,
32,08/28/24 03:55:02 PM,19.092,,,,,
33,08/28/24 07:55:02 PM,13.942,,,,,
34,08/28/24 11:55:02 PM,10.357,,,,,
35,08/29/24 03:55:02 AM,8.879,,,,,
36,08/29/24 07:55:02 AM,7.280,,,,,
37,08/29/24 11:55:02 AM,13.942,,,,,
38,08/29/24 03:55:02 PM,16.999,,,,,
39,08/29/24 07:55:02 PM,12.594,,,,,
40,08/29/24 11:55:02 PM,9.077,,,,,
41,08/30/24 03:55:02 AM,6.877,,,,,
42,08/30/24 07:55:02 AM,5.244,,,,,
43,08/30/24 11:55:02 AM,13.365,,,,,
44,08/30/24 03:55:02 PM,18.806,,,,,
45,08/30/24 07:55:02 PM,12.690,,,,,
46,08/30/24 11:55:02 PM,9.176,,,,,
47,08/31/24 03:55:02 AM,6.775,,,,,
48,08/31/24 07:55:02 AM,6.268,,,,,
49,08/31/24 11:55:02 AM,13.558,,,,,
50,08/31/24 03:55:02 PM,17.570,,,,,
51,08/31/24 07:55:02 PM,12.401,,,,,
52,08/31/24 11:55:02 PM,9.077,,,,,
53,09/01/24 03:55:02 AM,6.370,,,,,
54,09/01/24 07:55:02 AM,5.141,,,,,
55,09/01/24 11:55:02 AM,13.942,,,,,
56,09/01/24 03:55:02 PM,18.996,,,,,
57,09/01/24 07:55:02 PM,12.787,,,,,
58,09/01/24 11:55:02 PM,8.879,,,,,
59,09/02/24 03:55:02 AM,6.674,,,,,
60,09/02/24 07:55:02 AM,6.370,,,,,
61,09/02/24 11:55:02 AM,14.230,,,,,
62,09/02/24 03:55:02 PM,11.528,,,,,
63,09/02/24 07:55:02 PM,9.077,,,,,
64,09/02/24 11:55:02 PM,6.775,,,,,
65,09/03/24 03:55:02 AM,5.655,,,,,
66,09/03/24 07:55:02 AM,5.347,,,,,
67,09/03/24 11:55:02 AM,12.207,,,,,
68,09/03/24 03:55:02 PM,13.461,,,,,
69,09/03/24 07:55:02 PM,10.944,,,,,
70,09/03/24 11:55:02 PM,8.779,,,,,
71,09/04/24 03:55:02 AM,6.978,,,,,
72,09/04/24 07:55:02 AM,5.347,,,,,
73,09/04/24 11:55:02 AM,13.173,,,,,
74,09/04/24 03:55:02 PM,11.236,,,,,
75,09/04/24 07:55:02 PM,10.063,,,,,
76,09/04/24 11:55:02 PM,7.381,,,,,
77,09/05/24 03:55:02 AM,5.655,,,,,
78,09/05/24 07:55:02 AM,5.037,,,,,
79,09/05/24 11:55:02 AM,7.782,,,,,
80,09/05/24 03:55:02 PM,12.110,,,,,
81,09/05/24 07:55:02 PM,8.481,,,,,
82,09/05/24 11:55:02 PM,5.244,,,,,
83,09/06/24 03:55:02 AM,3.578,,,,,
84,09/06/24 07:55:02 AM,2.624,,,,,
85,09/06/24 11:55:02 AM,11.528,,,,,
86,09/06/24 03:55:02 PM,18.806,,,,,
87,09/06/24 07:55:02 PM,12.497,,,,,
88,09/06/24 11:55:02 PM,8.082,,,,,
89,09/07/24 03:55:02 AM,5.655,,,,,
90,09/07/24 07:55:02 AM,4.519,,,,,
91,09/07/24 11:55:02 AM,12.594,,,,,
92,09/07/24 03:55:02 PM,18.426,,,,,
93,09/07/24 07:55:02 PM,11.431,,,,,
94,09/07/24 11:55:02 PM,8.581,,,,,
95,09/08/24 03:55:02 AM,6.573,,,,,
96,09/08/24 07:55:02 AM,5.141,,,,,
97,09/08/24 11:55:02 AM,11.819,,,,,
98,09/08/24 03:55:02 PM,15.855,,,,,
99,09/08/24 07:55:02 PM,11.334,,,,,
100,09/08/24 11:55:02 PM,8.282,,,,,
101,09/09/24 03:55:02 AM,6.370,,,,,
102,09/09/24 07:55:02 AM,5.757,,,,,
103,09/09/24 11:55:02 AM,12.690,,,,,
