"Plot Title: gp.tl.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406008, SEN S/N: 20406008)","Coupler Detached (LGR S/N: 20406008)","Coupler Attached (LGR S/N: 20406008)","Host Connected (LGR S/N: 20406008)","Stopped (LGR S/N: 20406008)","End Of File (LGR S/N: 20406008)"
1,06/13/25 02:01:14 PM,26.292,,,,,
2,06/13/25 02:01:32 PM,,Logged,,,,
3,06/13/25 04:01:14 PM,18.901,,,,,
4,06/13/25 06:01:14 PM,16.618,,,,,
5,06/13/25 08:01:14 PM,13.942,,,,,
6,06/13/25 10:01:14 PM,10.161,,,,,
7,06/14/25 12:01:14 AM,8.082,,,,,
8,06/14/25 02:01:14 AM,6.775,,,,,
9,06/14/25 04:01:14 AM,5.450,,,,,
10,06/14/25 06:01:14 AM,4.415,,,,,
11,06/14/25 08:01:14 AM,5.655,,,,,
12,06/14/25 10:01:14 AM,10.063,,,,,
13,06/14/25 12:01:14 PM,15.569,,,,,
14,06/14/25 02:01:14 PM,19.948,,,,,
15,06/14/25 04:01:14 PM,19.187,,,,,
16,06/14/25 06:01:14 PM,17.379,,,,,
17,06/14/25 08:01:14 PM,12.883,,,,,
18,06/14/25 10:01:14 PM,10.063,,,,,
19,06/15/25 12:01:14 AM,8.182,,,,,
20,06/15/25 02:01:14 AM,7.280,,,,,
21,06/15/25 04:01:14 AM,6.166,,,,,
22,06/15/25 06:01:14 AM,5.037,,,,,
23,06/15/25 08:01:14 AM,6.166,,,,,
24,06/15/25 10:01:14 AM,10.651,,,,,
25,06/15/25 12:01:14 PM,16.141,,,,,
26,06/15/25 02:01:14 PM,17.760,,,,,
27,06/15/25 04:01:14 PM,16.713,,,,,
28,06/15/25 06:01:14 PM,16.903,,,,,
29,06/15/25 08:01:14 PM,13.654,,,,,
30,06/15/25 10:01:14 PM,10.357,,,,,
31,06/16/25 12:01:14 AM,8.680,,,,,
32,06/16/25 02:01:14 AM,7.582,,,,,
33,06/16/25 04:01:14 AM,6.268,,,,,
34,06/16/25 06:01:14 AM,5.347,,,,,
35,06/16/25 08:01:14 AM,6.573,,,,,
36,06/16/25 10:01:14 AM,11.236,,,,,
37,06/16/25 12:01:14 PM,14.996,,,,,
38,06/16/25 02:01:14 PM,18.331,,,,,
39,06/16/25 04:01:14 PM,17.284,,,,,
40,06/16/25 06:01:14 PM,16.046,,,,,
41,06/16/25 08:01:14 PM,12.594,,,,,
42,06/16/25 10:01:14 PM,10.063,,,,,
43,06/17/25 12:01:14 AM,8.779,,,,,
44,06/17/25 02:01:14 AM,7.682,,,,,
45,06/17/25 04:01:14 AM,6.877,,,,,
46,06/17/25 06:01:14 AM,5.962,,,,,
47,06/17/25 08:01:14 AM,6.775,,,,,
48,06/17/25 10:01:14 AM,10.748,,,,,
49,06/17/25 12:01:14 PM,14.230,,,,,
50,06/17/25 02:01:14 PM,14.325,,,,,
51,06/17/25 04:01:14 PM,16.903,,,,,
52,06/17/25 06:01:14 PM,12.787,,,,,
53,06/17/25 08:01:14 PM,10.748,,,,,
54,06/17/25 10:01:14 PM,8.382,,,,,
55,06/18/25 12:01:14 AM,6.978,,,,,
56,06/18/25 02:01:14 AM,5.962,,,,,
57,06/18/25 04:01:14 AM,5.141,,,,,
58,06/18/25 06:01:14 AM,4.311,,,,,
59,06/18/25 08:01:14 AM,5.347,,,,,
60,06/18/25 10:01:14 AM,9.866,,,,,
61,06/18/25 12:01:14 PM,15.760,,,,,
62,06/18/25 02:01:14 PM,19.662,,,,,
63,06/18/25 04:01:14 PM,20.615,,,,,
64,06/18/25 06:01:14 PM,18.616,,,,,
65,06/18/25 08:01:14 PM,14.038,,,,,
66,06/18/25 10:01:14 PM,10.846,,,,,
67,06/19/25 12:01:14 AM,9.176,,,,,
68,06/19/25 02:01:14 AM,7.782,,,,,
69,06/19/25 04:01:14 AM,7.079,,,,,
70,06/19/25 06:01:14 AM,6.471,,,,,
71,06/19/25 08:01:14 AM,7.481,,,,,
72,06/19/25 10:01:14 AM,11.916,,,,,
73,06/19/25 12:01:14 PM,17.189,,,,,
74,06/19/25 02:01:14 PM,21.473,,,,,
75,06/19/25 04:01:14 PM,22.525,,,,,
76,06/19/25 06:01:14 PM,18.996,,,,,
77,06/19/25 08:01:14 PM,15.378,,,,,
78,06/19/25 10:01:14 PM,11.819,,,,,
79,06/20/25 12:01:14 AM,10.259,,,,,
80,06/20/25 02:01:14 AM,9.176,,,,,
81,06/20/25 04:01:14 AM,8.382,,,,,
82,06/20/25 06:01:14 AM,7.381,,,,,
83,06/20/25 08:01:14 AM,8.282,,,,,
84,06/20/25 10:01:14 AM,11.528,,,,,
85,06/20/25 12:01:14 PM,15.760,,,,,
86,06/20/25 02:01:14 PM,17.855,,,,,
87,06/20/25 04:01:14 PM,18.711,,,,,
88,06/20/25 06:01:14 PM,16.713,,,,,
89,06/20/25 08:01:14 PM,13.558,,,,,
90,06/20/25 10:01:14 PM,11.041,,,,,
91,06/21/25 12:01:14 AM,9.866,,,,,
92,06/21/25 02:01:14 AM,8.879,,,,,
93,06/21/25 04:01:14 AM,7.882,,,,,
94,06/21/25 06:01:14 AM,7.280,,,,,
95,06/21/25 08:01:14 AM,7.882,,,,,
96,06/21/25 10:01:14 AM,11.528,,,,,
97,06/21/25 12:01:14 PM,17.570,,,,,
98,06/21/25 02:01:14 PM,20.996,,,,,
99,06/21/25 04:01:14 PM,21.378,,,,,
100,06/21/25 06:01:14 PM,18.521,,,,,
101,06/21/25 08:01:14 PM,14.613,,,,,
102,06/21/25 10:01:14 PM,10.944,,,,,
103,06/22/25 12:01:14 AM,9.275,,,,,
104,06/22/25 02:01:14 AM,7.682,,,,,
105,06/22/25 04:01:14 AM,6.370,,,,,
106,06/22/25 06:01:14 AM,6.064,,,,,
107,06/22/25 08:01:14 AM,7.280,,,,,
108,06/22/25 10:01:14 AM,11.625,,,,,
109,06/22/25 12:01:14 PM,16.903,,,,,
110,06/22/25 02:01:14 PM,19.662,,,,,
111,06/22/25 04:01:14 PM,18.806,,,,,
112,06/22/25 06:01:14 PM,16.141,,,,,
113,06/22/25 08:01:14 PM,12.883,,,,,
114,06/22/25 10:01:14 PM,9.866,,,,,
115,06/23/25 12:01:14 AM,8.282,,,,,
116,06/23/25 02:01:14 AM,7.079,,,,,
117,06/23/25 04:01:14 AM,6.573,,,,,
118,06/23/25 06:01:14 AM,6.370,,,,,
119,06/23/25 08:01:14 AM,8.282,,,,,
120,06/23/25 10:01:14 AM,10.846,,,,,
121,06/23/25 12:01:14 PM,14.804,,,,,
122,06/23/25 02:01:14 PM,16.808,,,,,
123,06/23/25 04:01:14 PM,15.282,,,,,
124,06/23/25 06:01:14 PM,13.846,,,,,
125,06/23/25 08:01:14 PM,11.431,,,,,
126,06/23/25 10:01:14 PM,9.768,,,,,
127,06/24/25 12:01:14 AM,8.481,,,,,
128,06/24/25 02:01:14 AM,8.481,,,,,
129,06/24/25 04:01:14 AM,8.182,,,,,
130,06/24/25 06:01:14 AM,7.179,,,,,
131,06/24/25 08:01:14 AM,7.682,,,,,
132,06/24/25 10:01:14 AM,12.207,,,,,
133,06/24/25 12:01:14 PM,13.076,,,,,
134,06/24/25 02:01:14 PM,16.237,,,,,
135,06/24/25 04:01:14 PM,16.237,,,,,
136,06/24/25 06:01:14 PM,14.804,,,,,
137,06/24/25 08:01:14 PM,12.207,,,,,
138,06/24/25 10:01:14 PM,9.472,,,,,
139,06/25/25 12:01:14 AM,8.680,,,,,
140,06/25/25 02:01:14 AM,7.682,,,,,
