"Plot Title: gp.tu.2425"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474967, SEN S/N: 21474967)","Coupler Detached (LGR S/N: 21474967)","Coupler Attached (LGR S/N: 21474967)","Host Connected (LGR S/N: 21474967)","End Of File (LGR S/N: 21474967)"
1,05/31/25 02:11:38 PM,24.158,,,,
2,05/31/25 02:11:57 PM,,Logged,,,
3,05/31/25 03:11:38 PM,10.944,,,,
4,05/31/25 04:11:38 PM,7.481,,,,
5,05/31/25 05:11:38 PM,7.481,,,,
6,05/31/25 06:11:38 PM,7.882,,,,
7,05/31/25 07:11:38 PM,6.877,,,,
8,05/31/25 08:11:38 PM,5.962,,,,
9,05/31/25 09:11:38 PM,4.831,,,,
10,05/31/25 10:11:38 PM,4.207,,,,
11,05/31/25 11:11:38 PM,3.578,,,,
12,06/01/25 12:11:38 AM,3.578,,,,
13,06/01/25 01:11:38 AM,2.837,,,,
14,06/01/25 02:11:38 AM,2.088,,,,
15,06/01/25 03:11:38 AM,1.439,,,,
16,06/01/25 04:11:38 AM,1.112,,,,
17,06/01/25 05:11:38 AM,0.893,,,,
18,06/01/25 06:11:38 AM,0.784,,,,
19,06/01/25 07:11:38 AM,1.003,,,,
20,06/01/25 08:11:38 AM,2.088,,,,
21,06/01/25 09:11:38 AM,3.683,,,,
22,06/01/25 10:11:38 AM,5.757,,,,
23,06/01/25 11:11:38 AM,7.481,,,,
24,06/01/25 12:11:38 PM,9.472,,,,
25,06/01/25 01:11:38 PM,10.161,,,,
26,06/01/25 02:11:38 PM,9.472,,,,
27,06/01/25 03:11:38 PM,11.334,,,,
28,06/01/25 04:11:38 PM,9.077,,,,
29,06/01/25 05:11:38 PM,10.651,,,,
30,06/01/25 06:11:38 PM,10.063,,,,
31,06/01/25 07:11:38 PM,9.275,,,,
32,06/01/25 08:11:38 PM,7.381,,,,
33,06/01/25 09:11:38 PM,5.655,,,,
34,06/01/25 10:11:38 PM,4.519,,,,
35,06/01/25 11:11:38 PM,3.683,,,,
36,06/02/25 12:11:38 AM,3.155,,,,
37,06/02/25 01:11:38 AM,2.730,,,,
38,06/02/25 02:11:38 AM,2.195,,,,
39,06/02/25 03:11:38 AM,1.548,,,,
40,06/02/25 04:11:38 AM,1.221,,,,
41,06/02/25 05:11:38 AM,1.003,,,,
42,06/02/25 06:11:38 AM,0.784,,,,
43,06/02/25 07:11:38 AM,0.784,,,,
44,06/02/25 08:11:38 AM,1.656,,,,
45,06/02/25 09:11:38 AM,2.517,,,,
46,06/02/25 10:11:38 AM,3.998,,,,
47,06/02/25 11:11:38 AM,4.831,,,,
48,06/02/25 12:11:38 PM,6.268,,,,
49,06/02/25 01:11:38 PM,7.983,,,,
50,06/02/25 02:11:38 PM,7.983,,,,
51,06/02/25 03:11:38 PM,7.179,,,,
52,06/02/25 04:11:38 PM,7.582,,,,
53,06/02/25 05:11:38 PM,7.882,,,,
54,06/02/25 06:11:38 PM,7.179,,,,
55,06/02/25 07:11:38 PM,6.268,,,,
56,06/02/25 08:11:38 PM,5.347,,,,
57,06/02/25 09:11:38 PM,4.415,,,,
58,06/02/25 10:11:38 PM,3.788,,,,
59,06/02/25 11:11:38 PM,3.472,,,,
60,06/03/25 12:11:38 AM,3.155,,,,
61,06/03/25 01:11:38 AM,2.730,,,,
62,06/03/25 02:11:38 AM,1.872,,,,
63,06/03/25 03:11:38 AM,1.656,,,,
64,06/03/25 04:11:38 AM,1.330,,,,
65,06/03/25 05:11:38 AM,1.112,,,,
66,06/03/25 06:11:38 AM,1.003,,,,
67,06/03/25 07:11:38 AM,0.784,,,,
68,06/03/25 08:11:38 AM,0.784,,,,
69,06/03/25 09:11:38 AM,2.088,,,,
70,06/03/25 10:11:38 AM,4.623,,,,
71,06/03/25 11:11:38 AM,5.860,,,,
72,06/03/25 12:11:38 PM,7.381,,,,
73,06/03/25 01:11:38 PM,6.573,,,,
74,06/03/25 02:11:38 PM,8.282,,,,
75,06/03/25 03:11:38 PM,8.082,,,,
76,06/03/25 04:11:38 PM,8.082,,,,
77,06/03/25 05:11:38 PM,8.082,,,,
78,06/03/25 06:11:38 PM,6.978,,,,
79,06/03/25 07:11:38 PM,6.166,,,,
80,06/03/25 08:11:38 PM,5.037,,,,
81,06/03/25 09:11:38 PM,3.683,,,,
82,06/03/25 10:11:38 PM,3.155,,,,
83,06/03/25 11:11:38 PM,2.837,,,,
84,06/04/25 12:11:38 AM,2.517,,,,
85,06/04/25 01:11:38 AM,2.303,,,,
86,06/04/25 02:11:38 AM,2.088,,,,
87,06/04/25 03:11:38 AM,1.872,,,,
88,06/04/25 04:11:38 AM,1.764,,,,
89,06/04/25 05:11:38 AM,1.439,,,,
90,06/04/25 06:11:38 AM,1.221,,,,
91,06/04/25 07:11:38 AM,1.003,,,,
92,06/04/25 08:11:38 AM,0.893,,,,
93,06/04/25 09:11:38 AM,0.893,,,,
94,06/04/25 10:11:38 AM,0.893,,,,
95,06/04/25 11:11:38 AM,1.330,,,,
96,06/04/25 12:11:38 PM,1.872,,,,
97,06/04/25 01:11:38 PM,4.727,,,,
98,06/04/25 02:11:38 PM,7.983,,,,
99,06/04/25 03:11:38 PM,8.779,,,,
100,06/04/25 04:11:38 PM,11.236,,,,
101,06/04/25 05:11:38 PM,9.965,,,,
102,06/04/25 06:11:38 PM,8.581,,,,
103,06/04/25 07:11:38 PM,5.757,,,,
104,06/04/25 08:11:38 PM,4.831,,,,
105,06/04/25 09:11:38 PM,3.893,,,,
106,06/04/25 10:11:38 PM,3.261,,,,
107,06/04/25 11:11:38 PM,2.517,,,,
108,06/05/25 12:11:38 AM,2.195,,,,
109,06/05/25 01:11:38 AM,1.980,,,,
110,06/05/25 02:11:38 AM,1.764,,,,
111,06/05/25 03:11:38 AM,1.656,,,,
112,06/05/25 04:11:38 AM,1.548,,,,
113,06/05/25 05:11:38 AM,1.330,,,,
114,06/05/25 06:11:38 AM,1.112,,,,
115,06/05/25 07:11:38 AM,1.003,,,,
116,06/05/25 08:11:38 AM,1.003,,,,
117,06/05/25 09:11:38 AM,1.439,,,,
118,06/05/25 10:11:38 AM,3.683,,,,
119,06/05/25 11:11:38 AM,5.552,,,,
120,06/05/25 12:11:38 PM,6.064,,,,
121,06/05/25 01:11:38 PM,6.978,,,,
122,06/05/25 02:11:38 PM,9.077,,,,
123,06/05/25 03:11:38 PM,8.779,,,,
124,06/05/25 04:11:38 PM,7.582,,,,
125,06/05/25 05:11:38 PM,6.978,,,,
126,06/05/25 06:11:38 PM,5.962,,,,
127,06/05/25 07:11:38 PM,5.244,,,,
128,06/05/25 08:11:38 PM,4.207,,,,
129,06/05/25 09:11:38 PM,3.578,,,,
130,06/05/25 10:11:38 PM,2.624,,,,
131,06/05/25 11:11:38 PM,1.980,,,,
132,06/06/25 12:11:38 AM,1.656,,,,
133,06/06/25 01:11:38 AM,1.548,,,,
134,06/06/25 02:11:38 AM,1.439,,,,
135,06/06/25 03:11:38 AM,1.330,,,,
136,06/06/25 04:11:38 AM,1.221,,,,
137,06/06/25 05:11:38 AM,1.112,,,,
138,06/06/25 06:11:38 AM,1.003,,,,
139,06/06/25 07:11:38 AM,0.893,,,,
140,06/06/25 08:11:38 AM,0.784,,,,
141,06/06/25 09:11:38 AM,0.784,,,,
142,06/06/25 10:11:38 AM,0.893,,,,
143,06/06/25 11:11:38 AM,3.261,,,,
144,06/06/25 12:11:38 PM,5.962,,,,
145,06/06/25 01:11:38 PM,8.082,,,,
146,06/06/25 02:11:38 PM,8.680,,,,
147,06/06/25 03:11:38 PM,10.259,,,,
148,06/06/25 04:11:38 PM,9.077,,,,
149,06/06/25 05:11:38 PM,7.782,,,,
150,06/06/25 06:11:38 PM,5.860,,,,
151,06/06/25 07:11:38 PM,4.207,,,,
152,06/06/25 08:11:38 PM,3.049,,,,
153,06/06/25 09:11:38 PM,2.195,,,,
154,06/06/25 10:11:38 PM,1.764,,,,
155,06/06/25 11:11:38 PM,1.548,,,,
156,06/07/25 12:11:38 AM,1.221,,,,
157,06/07/25 01:11:38 AM,1.003,,,,
158,06/07/25 02:11:38 AM,0.784,,,,
159,06/07/25 03:11:38 AM,0.674,,,,
160,06/07/25 04:11:38 AM,0.563,,,,
161,06/07/25 05:11:38 AM,0.453,,,,
162,06/07/25 06:11:38 AM,0.343,,,,
163,06/07/25 07:11:38 AM,0.232,,,,
164,06/07/25 08:11:38 AM,0.343,,,,
165,06/07/25 09:11:38 AM,0.343,,,,
166,06/07/25 10:11:38 AM,0.784,,,,
167,06/07/25 11:11:38 AM,4.623,,,,
168,06/07/25 12:11:38 PM,8.182,,,,
169,06/07/25 01:11:38 PM,9.768,,,,
170,06/07/25 02:11:38 PM,9.669,,,,
171,06/07/25 03:11:38 PM,11.431,,,,
172,06/07/25 04:11:38 PM,11.431,,,,
173,06/07/25 05:11:38 PM,11.236,,,,
174,06/07/25 06:11:38 PM,10.063,,,,
175,06/07/25 07:11:38 PM,8.182,,,,
176,06/07/25 08:11:38 PM,7.179,,,,
177,06/07/25 09:11:38 PM,5.655,,,,
178,06/07/25 10:11:38 PM,4.623,,,,
179,06/07/25 11:11:38 PM,3.683,,,,
180,06/08/25 12:11:38 AM,2.943,,,,
181,06/08/25 01:11:38 AM,2.410,,,,
182,06/08/25 02:11:38 AM,1.980,,,,
183,06/08/25 03:11:38 AM,1.656,,,,
184,06/08/25 04:11:38 AM,1.330,,,,
185,06/08/25 05:11:38 AM,1.221,,,,
186,06/08/25 06:11:38 AM,1.112,,,,
187,06/08/25 07:11:38 AM,1.330,,,,
188,06/08/25 08:11:38 AM,2.410,,,,
189,06/08/25 09:11:38 AM,4.207,,,,
190,06/08/25 10:11:38 AM,6.370,,,,
191,06/08/25 11:11:38 AM,8.481,,,,
192,06/08/25 12:11:38 PM,10.553,,,,
193,06/08/25 01:11:38 PM,11.722,,,,
194,06/08/25 02:11:38 PM,12.980,,,,
195,06/08/25 03:11:38 PM,13.846,,,,
196,06/08/25 04:11:38 PM,10.553,,,,
197,06/08/25 05:11:38 PM,9.768,,,,
198,06/08/25 06:11:38 PM,7.782,,,,
199,06/08/25 07:11:38 PM,6.775,,,,
200,06/08/25 08:11:38 PM,6.471,,,,
201,06/08/25 09:11:38 PM,5.141,,,,
202,06/08/25 10:11:38 PM,4.415,,,,
203,06/08/25 11:11:38 PM,3.788,,,,
204,06/09/25 12:11:38 AM,3.261,,,,
205,06/09/25 01:11:38 AM,2.517,,,,
206,06/09/25 02:11:38 AM,2.410,,,,
207,06/09/25 03:11:38 AM,2.195,,,,
208,06/09/25 04:11:38 AM,1.872,,,,
209,06/09/25 05:11:38 AM,1.439,,,,
210,06/09/25 06:11:38 AM,1.221,,,,
211,06/09/25 07:11:38 AM,1.112,,,,
212,06/09/25 08:11:38 AM,1.112,,,,
213,06/09/25 09:11:38 AM,1.980,,,,
214,06/09/25 10:11:38 AM,4.623,,,,
215,06/09/25 11:11:38 AM,6.471,,,,
216,06/09/25 12:11:38 PM,8.581,,,,
217,06/09/25 01:11:38 PM,10.553,,,,
218,06/09/25 02:11:38 PM,11.722,,,,
219,06/09/25 03:11:38 PM,12.787,,,,
220,06/09/25 04:11:38 PM,13.654,,,,
221,06/09/25 05:11:38 PM,12.787,,,,
222,06/09/25 06:11:38 PM,11.625,,,,
223,06/09/25 07:11:38 PM,10.748,,,,
224,06/09/25 08:11:38 PM,9.669,,,,
225,06/09/25 09:11:38 PM,7.782,,,,
226,06/09/25 10:11:38 PM,6.268,,,,
227,06/09/25 11:11:38 PM,5.037,,,,
228,06/10/25 12:11:38 AM,4.207,,,,
229,06/10/25 01:11:38 AM,3.578,,,,
230,06/10/25 02:11:38 AM,2.943,,,,
231,06/10/25 03:11:38 AM,2.410,,,,
232,06/10/25 04:11:38 AM,1.980,,,,
233,06/10/25 05:11:38 AM,1.764,,,,
234,06/10/25 06:11:38 AM,1.548,,,,
235,06/10/25 07:11:38 AM,1.980,,,,
236,06/10/25 08:11:38 AM,3.155,,,,
237,06/10/25 09:11:38 AM,4.934,,,,
238,06/10/25 10:11:38 AM,6.471,,,,
239,06/10/25 11:11:38 AM,8.779,,,,
240,06/10/25 12:11:38 PM,11.334,,,,
241,06/10/25 01:11:38 PM,13.942,,,,
242,06/10/25 02:11:38 PM,15.282,,,,
243,06/10/25 03:11:38 PM,15.473,,,,
244,06/10/25 04:11:38 PM,15.378,,,,
245,06/10/25 05:11:38 PM,14.613,,,,
246,06/10/25 06:11:38 PM,13.750,,,,
247,06/10/25 07:11:38 PM,10.846,,,,
248,06/10/25 08:11:38 PM,7.682,,,,
249,06/10/25 09:11:38 PM,6.573,,,,
250,06/10/25 10:11:38 PM,5.655,,,,
251,06/10/25 11:11:38 PM,4.727,,,,
252,06/11/25 12:11:38 AM,4.207,,,,
253,06/11/25 01:11:38 AM,3.788,,,,
254,06/11/25 02:11:38 AM,3.578,,,,
255,06/11/25 03:11:38 AM,3.155,,,,
256,06/11/25 04:11:38 AM,2.730,,,,
257,06/11/25 05:11:38 AM,2.410,,,,
258,06/11/25 06:11:38 AM,2.195,,,,
259,06/11/25 07:11:38 AM,2.517,,,,
260,06/11/25 08:11:38 AM,3.472,,,,
261,06/11/25 09:11:38 AM,3.683,,,,
262,06/11/25 10:11:38 AM,5.347,,,,
263,06/11/25 11:11:38 AM,7.582,,,,
264,06/11/25 12:11:38 PM,9.965,,,,
265,06/11/25 01:11:38 PM,11.722,,,,
266,06/11/25 02:11:38 PM,13.750,,,,
267,06/11/25 03:11:38 PM,10.357,,,,
268,06/11/25 04:11:38 PM,10.553,,,,
269,06/11/25 05:11:38 PM,12.594,,,,
270,06/11/25 06:11:38 PM,10.357,,,,
271,06/11/25 07:11:38 PM,8.779,,,,
272,06/11/25 08:11:38 PM,7.782,,,,
273,06/11/25 09:11:38 PM,7.079,,,,
274,06/11/25 10:11:38 PM,5.860,,,,
275,06/11/25 11:11:38 PM,5.141,,,,
276,06/12/25 12:11:38 AM,4.415,,,,
277,06/12/25 01:11:38 AM,3.683,,,,
278,06/12/25 02:11:38 AM,3.155,,,,
279,06/12/25 03:11:38 AM,2.943,,,,
280,06/12/25 04:11:38 AM,2.730,,,,
281,06/12/25 05:11:38 AM,3.049,,,,
282,06/12/25 06:11:38 AM,2.943,,,,
283,06/12/25 07:11:38 AM,3.155,,,,
284,06/12/25 08:11:38 AM,3.683,,,,
285,06/12/25 09:11:38 AM,5.552,,,,
286,06/12/25 10:11:38 AM,7.682,,,,
287,06/12/25 11:11:38 AM,9.077,,,,
288,06/12/25 12:11:38 PM,11.528,,,,
289,06/12/25 01:11:38 PM,12.497,,,,
290,06/12/25 02:11:38 PM,11.528,,,,
291,06/12/25 03:11:38 PM,10.553,,,,
292,06/12/25 04:11:38 PM,12.304,,,,
293,06/12/25 05:11:38 PM,12.110,,,,
294,06/12/25 06:11:38 PM,9.176,,,,
295,06/12/25 07:11:38 PM,7.179,,,,
296,06/12/25 08:11:38 PM,5.757,,,,
