"Plot Title: gp.tl.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365620, SEN S/N: 20365620)","Coupler Detached (LGR S/N: 20365620)","Coupler Attached (LGR S/N: 20365620)","Host Connected (LGR S/N: 20365620)","Stopped (LGR S/N: 20365620)","End Of File (LGR S/N: 20365620)"
1,06/13/25 02:04:10 PM,20.805,,,,,
2,06/13/25 02:04:26 PM,,Logged,,,,
3,06/13/25 04:04:10 PM,21.091,,,,,
4,06/13/25 06:04:10 PM,18.236,,,,,
5,06/13/25 08:04:10 PM,14.613,,,,,
6,06/13/25 10:04:10 PM,10.553,,,,,
7,06/14/25 12:04:10 AM,8.282,,,,,
8,06/14/25 02:04:10 AM,6.877,,,,,
9,06/14/25 04:04:10 AM,5.450,,,,,
10,06/14/25 06:04:10 AM,4.415,,,,,
11,06/14/25 08:04:10 AM,5.655,,,,,
12,06/14/25 10:04:10 AM,10.944,,,,,
13,06/14/25 12:04:10 PM,17.094,,,,,
14,06/14/25 02:04:10 PM,21.760,,,,,
15,06/14/25 04:04:10 PM,21.378,,,,,
16,06/14/25 06:04:10 PM,18.711,,,,,
17,06/14/25 08:04:10 PM,13.750,,,,,
18,06/14/25 10:04:10 PM,10.455,,,,,
19,06/15/25 12:04:10 AM,8.382,,,,,
20,06/15/25 02:04:10 AM,7.381,,,,,
21,06/15/25 04:04:10 AM,6.166,,,,,
22,06/15/25 06:04:10 AM,5.037,,,,,
23,06/15/25 08:04:10 AM,6.166,,,,,
24,06/15/25 10:04:10 AM,11.625,,,,,
25,06/15/25 12:04:10 PM,17.665,,,,,
26,06/15/25 02:04:10 PM,19.758,,,,,
27,06/15/25 04:04:10 PM,18.331,,,,,
28,06/15/25 06:04:10 PM,17.950,,,,,
29,06/15/25 08:04:10 PM,14.038,,,,,
30,06/15/25 10:04:10 PM,10.455,,,,,
31,06/16/25 12:04:10 AM,8.581,,,,,
32,06/16/25 02:04:10 AM,7.381,,,,,
33,06/16/25 04:04:10 AM,6.064,,,,,
34,06/16/25 06:04:10 AM,5.141,,,,,
35,06/16/25 08:04:10 AM,6.573,,,,,
36,06/16/25 10:04:10 AM,12.110,,,,,
37,06/16/25 12:04:10 PM,16.713,,,,,
38,06/16/25 02:04:10 PM,20.329,,,,,
39,06/16/25 04:04:10 PM,19.377,,,,,
40,06/16/25 06:04:10 PM,17.475,,,,,
41,06/16/25 08:04:10 PM,13.076,,,,,
