"Plot Title: 21397972"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397972, SEN S/N: 21397972)","Coupler Detached (LGR S/N: 21397972)","Coupler Attached (LGR S/N: 21397972)","Host Connected (LGR S/N: 21397972)","Bad Battery (LGR S/N: 21397972)","Good Battery (LGR S/N: 21397972)","Stopped (LGR S/N: 21397972)","End Of File (LGR S/N: 21397972)"
1,07/04/24 11:03:13 AM,15.951,,,,,,,
2,07/04/24 11:03:31 AM,,Logged,,,,,,
3,07/04/24 01:03:13 PM,15.664,,,,,,,
4,07/04/24 03:03:13 PM,17.760,,,,,,,
5,07/04/24 05:03:13 PM,16.618,,,,,,,
6,07/04/24 07:03:13 PM,13.269,,,,,,,
7,07/04/24 09:03:13 PM,10.063,,,,,,,
8,07/04/24 11:03:13 PM,7.582,,,,,,,
9,07/05/24 01:03:13 AM,6.166,,,,,,,
10,07/05/24 03:03:13 AM,5.037,,,,,,,
11,07/05/24 05:03:13 AM,3.788,,,,,,,
12,07/05/24 07:03:13 AM,3.261,,,,,,,
13,07/05/24 09:03:13 AM,6.471,,,,,,,
14,07/05/24 11:03:13 AM,11.722,,,,,,,
15,07/05/24 01:03:13 PM,15.091,,,,,,,
16,07/05/24 03:03:13 PM,17.284,,,,,,,
17,07/05/24 05:03:13 PM,16.903,,,,,,,
18,07/05/24 07:03:13 PM,14.325,,,,,,,
19,07/05/24 09:03:13 PM,10.259,,,,,,,
20,07/05/24 11:03:13 PM,7.882,,,,,,,
21,07/06/24 01:03:13 AM,6.471,,,,,,,
22,07/06/24 03:03:13 AM,5.244,,,,,,,
23,07/06/24 05:03:13 AM,4.519,,,,,,,
24,07/06/24 07:03:13 AM,4.519,,,,,,,
25,07/06/24 09:03:13 AM,7.179,,,,,,,
26,07/06/24 11:03:13 AM,12.401,,,,,,,
27,07/06/24 01:03:13 PM,16.332,,,,,,,
28,07/06/24 03:03:13 PM,18.711,,,,,,,
29,07/06/24 05:03:13 PM,17.950,,,,,,,
30,07/06/24 07:03:13 PM,13.846,,,,,,,
31,07/06/24 09:03:13 PM,10.748,,,,,,,
32,07/06/24 11:03:13 PM,8.978,,,,,,,
33,07/07/24 01:03:13 AM,7.882,,,,,,,
34,07/07/24 03:03:13 AM,6.573,,,,,,,
35,07/07/24 05:03:13 AM,5.655,,,,,,,
36,07/07/24 07:03:13 AM,5.141,,,,,,,
37,07/07/24 09:03:13 AM,7.882,,,,,,,
38,07/07/24 11:03:13 AM,12.787,,,,,,,
39,07/07/24 01:03:13 PM,15.951,,,,,,,
40,07/07/24 03:03:13 PM,14.421,,,,,,,
41,07/07/24 05:03:13 PM,12.497,,,,,,,
42,07/07/24 07:03:13 PM,10.357,,,,,,,
43,07/07/24 09:03:13 PM,8.581,,,,,,,
44,07/07/24 11:03:13 PM,6.978,,,,,,,
45,07/08/24 01:03:13 AM,5.552,,,,,,,
46,07/08/24 03:03:13 AM,5.552,,,,,,,
47,07/08/24 05:03:13 AM,4.415,,,,,,,
48,07/08/24 07:03:13 AM,3.578,,,,,,,
49,07/08/24 09:03:13 AM,6.877,,,,,,,
50,07/08/24 11:03:13 AM,12.401,,,,,,,
51,07/08/24 01:03:13 PM,17.284,,,,,,,
52,07/08/24 03:03:13 PM,18.140,,,,,,,
53,07/08/24 05:03:13 PM,15.378,,,,,,,
54,07/08/24 07:03:13 PM,15.473,,,,,,,
55,07/08/24 09:03:13 PM,11.236,,,,,,,
56,07/08/24 11:03:13 PM,8.382,,,,,,,
57,07/09/24 01:03:13 AM,6.674,,,,,,,
58,07/09/24 03:03:13 AM,5.450,,,,,,,
59,07/09/24 05:03:13 AM,4.831,,,,,,,
60,07/09/24 07:03:13 AM,5.141,,,,,,,
61,07/09/24 09:03:13 AM,7.882,,,,,,,
62,07/09/24 11:03:13 AM,11.528,,,,,,,
63,07/09/24 01:03:13 PM,14.038,,,,,,,
64,07/09/24 03:03:13 PM,14.134,,,,,,,
65,07/09/24 05:03:13 PM,12.110,,,,,,,
66,07/09/24 07:03:13 PM,9.176,,,,,,,
67,07/09/24 09:03:13 PM,7.481,,,,,,,
68,07/09/24 11:03:13 PM,5.860,,,,,,,
69,07/10/24 01:03:13 AM,4.934,,,,,,,
70,07/10/24 03:03:13 AM,3.998,,,,,,,
71,07/10/24 05:03:13 AM,3.472,,,,,,,
72,07/10/24 07:03:13 AM,3.472,,,,,,,
73,07/10/24 09:03:13 AM,6.674,,,,,,,
74,07/10/24 11:03:13 AM,12.304,,,,,,,
75,07/10/24 01:03:13 PM,16.141,,,,,,,
76,07/10/24 03:03:13 PM,15.855,,,,,,,
77,07/10/24 05:03:13 PM,13.942,,,,,,,
78,07/10/24 07:03:13 PM,11.722,,,,,,,
79,07/10/24 09:03:13 PM,8.879,,,,,,,
80,07/10/24 11:03:13 PM,6.978,,,,,,,
81,07/11/24 01:03:13 AM,6.166,,,,,,,
82,07/11/24 03:03:13 AM,4.831,,,,,,,
83,07/11/24 05:03:13 AM,4.934,,,,,,,
84,07/11/24 07:03:13 AM,5.450,,,,,,,
85,07/11/24 09:03:13 AM,8.182,,,,,,,
86,07/11/24 11:03:13 AM,10.161,,,,,,,
87,07/11/24 01:03:13 PM,15.091,,,,,,,
88,07/11/24 03:03:13 PM,18.426,,,,,,,
89,07/11/24 05:03:13 PM,17.284,,,,,,,
90,07/11/24 07:03:13 PM,14.325,,,,,,,
91,07/11/24 09:03:13 PM,11.625,,,,,,,
92,07/11/24 11:03:13 PM,9.176,,,,,,,
93,07/12/24 01:03:13 AM,7.682,,,,,,,
94,07/12/24 03:03:13 AM,6.573,,,,,,,
95,07/12/24 05:03:13 AM,6.166,,,,,,,
96,07/12/24 07:03:13 AM,6.166,,,,,,,
97,07/12/24 09:03:13 AM,8.978,,,,,,,
98,07/12/24 11:03:13 AM,13.269,,,,,,,
99,07/12/24 01:03:13 PM,17.094,,,,,,,
100,07/12/24 03:03:13 PM,19.567,,,,,,,
101,07/12/24 05:03:13 PM,19.282,,,,,,,
102,07/12/24 07:03:13 PM,16.523,,,,,,,
103,07/12/24 09:03:13 PM,12.594,,,,,,,
104,07/12/24 11:03:13 PM,10.553,,,,,,,
105,07/13/24 01:03:13 AM,9.472,,,,,,,
106,07/13/24 03:03:13 AM,8.680,,,,,,,
107,07/13/24 05:03:13 AM,8.082,,,,,,,
108,07/13/24 07:03:13 AM,7.381,,,,,,,
109,07/13/24 09:03:13 AM,9.965,,,,,,,
110,07/13/24 11:03:13 AM,15.187,,,,,,,
111,07/13/24 01:03:13 PM,18.426,,,,,,,
112,07/13/24 03:03:13 PM,19.472,,,,,,,
113,07/13/24 05:03:13 PM,17.760,,,,,,,
114,07/13/24 07:03:13 PM,15.091,,,,,,,
115,07/13/24 09:03:13 PM,12.304,,,,,,,
116,07/13/24 11:03:13 PM,10.259,,,,,,,
117,07/14/24 01:03:13 AM,9.373,,,,,,,
118,07/14/24 03:03:13 AM,8.182,,,,,,,
119,07/14/24 05:03:13 AM,7.481,,,,,,,
120,07/14/24 07:03:13 AM,7.481,,,,,,,
121,07/14/24 09:03:13 AM,9.965,,,,,,,
122,07/14/24 11:03:13 AM,16.713,,,,,,,
123,07/14/24 01:03:13 PM,20.329,,,,,,,
124,07/14/24 03:03:13 PM,14.804,,,,,,,
125,07/14/24 05:03:13 PM,14.900,,,,,,,
126,07/14/24 07:03:13 PM,13.846,,,,,,,
127,07/14/24 09:03:13 PM,11.236,,,,,,,
128,07/14/24 11:03:13 PM,9.571,,,,,,,
129,07/15/24 01:03:13 AM,9.176,,,,,,,
130,07/15/24 03:03:13 AM,8.879,,,,,,,
131,07/15/24 05:03:13 AM,7.682,,,,,,,
132,07/15/24 07:03:13 AM,7.481,,,,,,,
133,07/15/24 09:03:13 AM,9.472,,,,,,,
134,07/15/24 11:03:13 AM,11.625,,,,,,,
135,07/15/24 01:03:13 PM,14.709,,,,,,,
136,07/15/24 03:03:13 PM,19.472,,,,,,,
137,07/15/24 05:03:13 PM,17.094,,,,,,,
138,07/15/24 07:03:13 PM,12.787,,,,,,,
139,07/15/24 09:03:13 PM,9.866,,,,,,,
140,07/15/24 11:03:13 PM,8.082,,,,,,,
141,07/16/24 01:03:13 AM,6.775,,,,,,,
142,07/16/24 03:03:13 AM,6.166,,,,,,,
143,07/16/24 05:03:13 AM,6.268,,,,,,,
144,07/16/24 07:03:13 AM,5.552,,,,,,,
145,07/16/24 09:03:13 AM,9.077,,,,,,,
146,07/16/24 11:03:13 AM,12.883,,,,,,,
147,07/16/24 01:03:13 PM,13.846,,,,,,,
148,07/16/24 03:03:13 PM,13.076,,,,,,,
149,07/16/24 05:03:13 PM,12.690,,,,,,,
150,07/16/24 07:03:13 PM,9.965,,,,,,,
151,07/16/24 09:03:13 PM,7.983,,,,,,,
152,07/16/24 11:03:13 PM,6.877,,,,,,,
153,07/17/24 01:03:13 AM,5.655,,,,,,,
154,07/17/24 03:03:13 AM,4.311,,,,,,,
155,07/17/24 05:03:13 AM,3.998,,,,,,,
156,07/17/24 07:03:13 AM,3.893,,,,,,,
157,07/17/24 09:03:13 AM,6.064,,,,,,,
158,07/17/24 11:03:13 AM,11.334,,,,,,,
159,07/17/24 01:03:13 PM,15.760,,,,,,,
160,07/17/24 03:03:13 PM,14.804,,,,,,,
161,07/17/24 05:03:13 PM,11.625,,,,,,,
162,07/17/24 07:03:13 PM,10.357,,,,,,,
163,07/17/24 09:03:13 PM,8.779,,,,,,,
164,07/17/24 11:03:13 PM,7.682,,,,,,,
165,07/18/24 01:03:13 AM,6.268,,,,,,,
166,07/18/24 03:03:13 AM,5.244,,,,,,,
167,07/18/24 05:03:13 AM,4.311,,,,,,,
168,07/18/24 07:03:13 AM,4.311,,,,,,,
169,07/18/24 09:03:13 AM,7.983,,,,,,,
170,07/18/24 11:03:13 AM,13.269,,,,,,,
171,07/18/24 01:03:13 PM,14.230,,,,,,,
172,07/18/24 03:03:13 PM,13.654,,,,,,,
173,07/18/24 05:03:13 PM,12.304,,,,,,,
174,07/18/24 07:03:13 PM,10.651,,,,,,,
175,07/18/24 09:03:13 PM,8.382,,,,,,,
176,07/18/24 11:03:13 PM,6.573,,,,,,,
177,07/19/24 01:03:13 AM,5.037,,,,,,,
178,07/19/24 03:03:13 AM,5.141,,,,,,,
179,07/19/24 05:03:13 AM,5.347,,,,,,,
180,07/19/24 07:03:13 AM,5.552,,,,,,,
181,07/19/24 09:03:13 AM,6.775,,,,,,,
182,07/19/24 11:03:13 AM,9.965,,,,,,,
183,07/19/24 01:03:13 PM,12.787,,,,,,,
184,07/19/24 03:03:13 PM,14.421,,,,,,,
185,07/19/24 05:03:13 PM,13.654,,,,,,,
186,07/19/24 07:03:13 PM,9.965,,,,,,,
187,07/19/24 09:03:13 PM,7.381,,,,,,,
188,07/19/24 11:03:13 PM,6.064,,,,,,,
189,07/20/24 01:03:13 AM,5.757,,,,,,,
190,07/20/24 03:03:13 AM,4.831,,,,,,,
191,07/20/24 05:03:13 AM,3.683,,,,,,,
192,07/20/24 07:03:13 AM,3.683,,,,,,,
193,07/20/24 09:03:13 AM,7.481,,,,,,,
194,07/20/24 11:03:13 AM,10.944,,,,,,,
195,07/20/24 01:03:13 PM,15.855,,,,,,,
196,07/20/24 03:03:13 PM,17.855,,,,,,,
197,07/20/24 05:03:13 PM,15.091,,,,,,,
198,07/20/24 07:03:13 PM,12.013,,,,,,,
199,07/20/24 09:03:13 PM,9.866,,,,,,,
200,07/20/24 11:03:13 PM,8.680,,,,,,,
201,07/21/24 01:03:13 AM,7.280,,,,,,,
202,07/21/24 03:03:13 AM,6.674,,,,,,,
203,07/21/24 05:03:13 AM,6.166,,,,,,,
204,07/21/24 07:03:13 AM,5.450,,,,,,,
205,07/21/24 09:03:13 AM,7.882,,,,,,,
206,07/21/24 11:03:13 AM,12.401,,,,,,,
207,07/21/24 01:03:13 PM,11.431,,,,,,,
208,07/21/24 03:03:13 PM,5.757,,,,,,,
209,07/21/24 05:03:13 PM,7.582,,,,,,,
210,07/21/24 07:03:13 PM,7.582,,,,,,,
211,07/21/24 09:03:13 PM,6.064,,,,,,,
212,07/21/24 11:03:13 PM,4.831,,,,,,,
213,07/22/24 01:03:13 AM,3.683,,,,,,,
214,07/22/24 03:03:13 AM,2.943,,,,,,,
215,07/22/24 05:03:13 AM,2.517,,,,,,,
216,07/22/24 07:03:13 AM,2.088,,,,,,,
217,07/22/24 09:03:13 AM,4.415,,,,,,,
218,07/22/24 11:03:13 AM,10.944,,,,,,,
219,07/22/24 01:03:13 PM,14.900,,,,,,,
220,07/22/24 03:03:13 PM,11.916,,,,,,,
221,07/22/24 05:03:13 PM,11.431,,,,,,,
222,07/22/24 07:03:13 PM,8.182,,,,,,,
223,07/22/24 09:03:13 PM,6.674,,,,,,,
224,07/22/24 11:03:13 PM,4.831,,,,,,,
225,07/23/24 01:03:13 AM,3.788,,,,,,,
226,07/23/24 03:03:13 AM,2.943,,,,,,,
227,07/23/24 05:03:13 AM,2.410,,,,,,,
228,07/23/24 07:03:13 AM,1.980,,,,,,,
229,07/23/24 09:03:13 AM,3.683,,,,,,,
230,07/23/24 11:03:13 AM,9.965,,,,,,,
231,07/23/24 01:03:13 PM,14.996,,,,,,,
232,07/23/24 03:03:13 PM,17.475,,,,,,,
233,07/23/24 05:03:13 PM,15.378,,,,,,,
234,07/23/24 07:03:13 PM,12.594,,,,,,,
235,07/23/24 09:03:13 PM,9.176,,,,,,,
236,07/23/24 11:03:13 PM,7.079,,,,,,,
237,07/24/24 01:03:13 AM,5.860,,,,,,,
238,07/24/24 03:03:13 AM,4.519,,,,,,,
239,07/24/24 05:03:13 AM,3.578,,,,,,,
240,07/24/24 07:03:13 AM,3.261,,,,,,,
241,07/24/24 09:03:13 AM,6.674,,,,,,,
242,07/24/24 11:03:13 AM,12.401,,,,,,,
243,07/24/24 01:03:13 PM,13.558,,,,,,,
244,07/24/24 03:03:13 PM,15.473,,,,,,,
245,07/24/24 05:03:13 PM,14.134,,,,,,,
246,07/24/24 07:03:13 PM,11.528,,,,,,,
247,07/24/24 09:03:13 PM,8.779,,,,,,,
248,07/24/24 11:03:13 PM,7.079,,,,,,,
249,07/25/24 01:03:13 AM,6.064,,,,,,,
250,07/25/24 03:03:13 AM,5.552,,,,,,,
251,07/25/24 05:03:13 AM,4.727,,,,,,,
252,07/25/24 07:03:13 AM,4.102,,,,,,,
253,07/25/24 09:03:13 AM,7.481,,,,,,,
254,07/25/24 11:03:13 AM,13.076,,,,,,,
255,07/25/24 01:03:13 PM,18.426,,,,,,,
256,07/25/24 03:03:13 PM,18.236,,,,,,,
257,07/25/24 05:03:13 PM,14.804,,,,,,,
258,07/25/24 07:03:13 PM,11.528,,,,,,,
259,07/25/24 09:03:13 PM,9.768,,,,,,,
260,07/25/24 11:03:13 PM,8.879,,,,,,,
261,07/26/24 01:03:13 AM,8.282,,,,,,,
262,07/26/24 03:03:13 AM,7.582,,,,,,,
