"Plot Title: Experiment"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397962, SEN S/N: 21397962)","Coupler Detached (LGR S/N: 21397962)","End Of File (LGR S/N: 21397962)"
1,08/22/22 01:17:11 PM,23.581,,
2,08/22/22 01:17:28 PM,,Logged,
3,08/22/22 03:17:11 PM,12.787,,
4,08/22/22 05:17:11 PM,14.804,,
5,08/22/22 07:17:11 PM,12.401,,
6,08/22/22 09:17:11 PM,8.082,,
7,08/22/22 11:17:11 PM,6.370,,
8,08/23/22 01:17:11 AM,5.037,,
9,08/23/22 03:17:11 AM,3.788,,
10,08/23/22 05:17:11 AM,3.155,,
11,08/23/22 07:17:11 AM,2.624,,
12,08/23/22 09:17:11 AM,6.775,,
13,08/23/22 11:17:11 AM,14.325,,
14,08/23/22 01:17:11 PM,19.662,,
15,08/23/22 03:17:11 PM,23.196,,
16,08/23/22 05:17:11 PM,20.234,,
17,08/23/22 07:17:11 PM,14.709,,
18,08/23/22 09:17:11 PM,9.077,,
19,08/23/22 11:17:11 PM,7.179,,
20,08/24/22 01:17:11 AM,6.064,,
21,08/24/22 03:17:11 AM,5.450,,
22,08/24/22 05:17:11 AM,5.037,,
23,08/24/22 07:17:11 AM,4.831,,
24,08/24/22 09:17:11 AM,9.373,,
25,08/24/22 11:17:11 AM,16.141,,
26,08/24/22 01:17:11 PM,19.187,,
27,08/24/22 03:17:11 PM,18.331,,
28,08/24/22 05:17:11 PM,16.903,,
29,08/24/22 07:17:11 PM,12.690,,
30,08/24/22 09:17:11 PM,8.680,,
31,08/24/22 11:17:11 PM,6.978,,
32,08/25/22 01:17:11 AM,5.962,,
33,08/25/22 03:17:11 AM,5.244,,
34,08/25/22 05:17:11 AM,5.141,,
35,08/25/22 07:17:11 AM,4.831,,
36,08/25/22 09:17:11 AM,9.077,,
37,08/25/22 11:17:11 AM,13.461,,
38,08/25/22 01:17:11 PM,13.269,,
39,08/25/22 03:17:11 PM,8.481,,
40,08/25/22 05:17:11 PM,9.472,,
41,08/25/22 07:17:11 PM,8.481,,
42,08/25/22 09:17:11 PM,7.381,,
43,08/25/22 11:17:11 PM,6.573,,
44,08/26/22 01:17:11 AM,6.064,,
45,08/26/22 03:17:11 AM,5.244,,
46,08/26/22 05:17:11 AM,4.519,,
47,08/26/22 07:17:11 AM,5.141,,
48,08/26/22 09:17:11 AM,7.179,,
49,08/26/22 11:17:11 AM,9.373,,
50,08/26/22 01:17:11 PM,11.236,,
51,08/26/22 03:17:11 PM,14.325,,
52,08/26/22 05:17:11 PM,10.553,,
