"Plot Title: 21474966"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474966, SEN S/N: 21474966)","Coupler Detached (LGR S/N: 21474966)","End Of File (LGR S/N: 21474966)"
1,08/22/22 01:07:16 PM,16.332,,
2,08/22/22 01:07:37 PM,,Logged,
3,08/22/22 03:07:16 PM,14.038,,
4,08/22/22 05:07:16 PM,13.173,,
5,08/22/22 07:07:16 PM,12.787,,
6,08/22/22 09:07:16 PM,8.581,,
7,08/22/22 11:07:16 PM,6.775,,
8,08/23/22 01:07:16 AM,5.450,,
9,08/23/22 03:07:16 AM,4.207,,
10,08/23/22 05:07:16 AM,3.472,,
11,08/23/22 07:07:16 AM,2.837,,
12,08/23/22 09:07:16 AM,10.063,,
13,08/23/22 11:07:16 AM,16.332,,
14,08/23/22 01:07:16 PM,20.424,,
15,08/23/22 03:07:16 PM,21.664,,
16,08/23/22 05:07:16 PM,20.329,,
17,08/23/22 07:07:16 PM,13.750,,
18,08/23/22 09:07:16 PM,8.879,,
19,08/23/22 11:07:16 PM,7.079,,
20,08/24/22 01:07:16 AM,6.064,,
21,08/24/22 03:07:16 AM,5.141,,
22,08/24/22 05:07:16 AM,4.831,,
23,08/24/22 07:07:16 AM,4.519,,
24,08/24/22 09:07:16 AM,10.357,,
25,08/24/22 11:07:16 AM,16.523,,
26,08/24/22 01:07:16 PM,18.806,,
27,08/24/22 03:07:16 PM,18.521,,
28,08/24/22 05:07:16 PM,14.325,,
29,08/24/22 07:07:16 PM,12.594,,
30,08/24/22 09:07:16 PM,8.680,,
31,08/24/22 11:07:16 PM,6.978,,
32,08/25/22 01:07:16 AM,5.962,,
33,08/25/22 03:07:16 AM,5.141,,
34,08/25/22 05:07:16 AM,4.934,,
35,08/25/22 07:07:16 AM,4.727,,
36,08/25/22 09:07:16 AM,10.063,,
37,08/25/22 11:07:16 AM,17.379,,
38,08/25/22 01:07:16 PM,13.942,,
39,08/25/22 03:07:16 PM,8.779,,
40,08/25/22 05:07:16 PM,9.768,,
41,08/25/22 07:07:16 PM,8.581,,
42,08/25/22 09:07:16 PM,7.481,,
43,08/25/22 11:07:16 PM,6.573,,
44,08/26/22 01:07:16 AM,6.064,,
45,08/26/22 03:07:16 AM,5.347,,
46,08/26/22 05:07:16 AM,4.519,,
47,08/26/22 07:07:16 AM,5.037,,
48,08/26/22 09:07:16 AM,6.674,,
49,08/26/22 11:07:16 AM,9.176,,
50,08/26/22 01:07:16 PM,10.161,,
51,08/26/22 03:07:16 PM,13.558,,
52,08/26/22 05:07:16 PM,11.236,,
53,08/26/22 07:07:16 PM,7.882,,
54,08/26/22 09:07:16 PM,6.775,,
55,08/26/22 11:07:16 PM,5.962,,
56,08/27/22 01:07:16 AM,5.141,,
57,08/27/22 03:07:16 AM,4.102,,
58,08/27/22 05:07:16 AM,3.683,,
59,08/27/22 07:07:16 AM,3.261,,
60,08/27/22 09:07:16 AM,8.581,,
61,08/27/22 11:07:16 AM,16.903,,
62,08/27/22 01:07:16 PM,14.804,,
63,08/27/22 03:07:16 PM,13.942,,
64,08/27/22 05:07:16 PM,10.259,,
65,08/27/22 07:07:16 PM,8.978,,
66,08/27/22 09:07:16 PM,6.166,,
67,08/27/22 11:07:16 PM,5.244,,
68,08/28/22 01:07:16 AM,4.519,,
69,08/28/22 03:07:16 AM,4.207,,
70,08/28/22 05:07:16 AM,3.893,,
71,08/28/22 07:07:16 AM,3.893,,
72,08/28/22 09:07:16 AM,9.669,,
73,08/28/22 11:07:16 AM,17.379,,
74,08/28/22 01:07:16 PM,14.996,,
75,08/28/22 03:07:16 PM,13.365,,
76,08/28/22 05:07:16 PM,11.625,,
77,08/28/22 07:07:16 PM,9.176,,
78,08/28/22 09:07:16 PM,6.573,,
79,08/28/22 11:07:16 PM,5.244,,
80,08/29/22 01:07:16 AM,4.727,,
81,08/29/22 03:07:16 AM,4.207,,
82,08/29/22 05:07:16 AM,3.578,,
83,08/29/22 07:07:16 AM,3.049,,
84,08/29/22 09:07:16 AM,10.651,,
85,08/29/22 11:07:16 AM,20.138,,
86,08/29/22 01:07:16 PM,20.138,,
87,08/29/22 03:07:16 PM,20.329,,
88,08/29/22 05:07:16 PM,20.519,,
89,08/29/22 07:07:16 PM,14.900,,
90,08/29/22 09:07:16 PM,10.161,,
91,08/29/22 11:07:16 PM,7.983,,
92,08/30/22 01:07:16 AM,6.674,,
93,08/30/22 03:07:16 AM,5.860,,
94,08/30/22 05:07:16 AM,5.450,,
95,08/30/22 07:07:16 AM,4.934,,
96,08/30/22 09:07:16 AM,13.269,,
97,08/30/22 11:07:16 AM,22.046,,
98,08/30/22 01:07:16 PM,23.484,,
99,08/30/22 03:07:16 PM,23.100,,
100,08/30/22 05:07:16 PM,20.901,,
101,08/30/22 07:07:16 PM,17.284,,
102,08/30/22 09:07:16 PM,11.625,,
103,08/30/22 11:07:16 PM,9.571,,
104,08/31/22 01:07:16 AM,8.680,,
105,08/31/22 03:07:16 AM,7.782,,
106,08/31/22 05:07:16 AM,7.280,,
107,08/31/22 07:07:16 AM,6.471,,
108,08/31/22 09:07:16 AM,14.038,,
109,08/31/22 11:07:16 AM,22.429,,
110,08/31/22 01:07:16 PM,19.472,,
111,08/31/22 03:07:16 PM,17.379,,
112,08/31/22 05:07:16 PM,16.903,,
113,08/31/22 07:07:16 PM,13.558,,
114,08/31/22 09:07:16 PM,9.571,,
115,08/31/22 11:07:16 PM,7.882,,
116,09/01/22 01:07:16 AM,6.775,,
117,09/01/22 03:07:16 AM,6.064,,
118,09/01/22 05:07:16 AM,5.962,,
119,09/01/22 07:07:16 AM,5.757,,
120,09/01/22 09:07:16 AM,13.173,,
121,09/01/22 11:07:16 AM,21.187,,
122,09/01/22 01:07:16 PM,19.187,,
123,09/01/22 03:07:16 PM,18.236,,
124,09/01/22 05:07:16 PM,18.045,,
125,09/01/22 07:07:16 PM,13.750,,
126,09/01/22 09:07:16 PM,10.259,,
127,09/01/22 11:07:16 PM,9.176,,
128,09/02/22 01:07:16 AM,8.082,,
129,09/02/22 03:07:16 AM,8.182,,
130,09/02/22 05:07:16 AM,7.582,,
131,09/02/22 07:07:16 AM,6.978,,
132,09/02/22 09:07:16 AM,14.325,,
133,09/02/22 11:07:16 AM,22.908,,
134,09/02/22 01:07:16 PM,21.473,,
135,09/02/22 03:07:16 PM,22.238,,
136,09/02/22 05:07:16 PM,19.853,,
137,09/02/22 07:07:16 PM,15.664,,
138,09/02/22 09:07:16 PM,11.431,,
139,09/02/22 11:07:16 PM,9.077,,
140,09/03/22 01:07:16 AM,7.582,,
141,09/03/22 03:07:16 AM,6.370,,
142,09/03/22 05:07:16 AM,5.655,,
143,09/03/22 07:07:16 AM,5.037,,
144,09/03/22 09:07:16 AM,14.996,,
