"Plot Title: jp.se.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365579, SEN S/N: 20365579)","Coupler Detached (LGR S/N: 20365579)","Coupler Attached (LGR S/N: 20365579)","Host Connected (LGR S/N: 20365579)","Stopped (LGR S/N: 20365579)","End Of File (LGR S/N: 20365579)"
1,09/01/23 12:07:29 PM,24.931,,,,,
2,09/01/23 12:07:39 PM,,Logged,,,,
3,09/01/23 04:07:29 PM,24.255,,,,,
4,09/01/23 08:07:29 PM,23.773,,,,,
5,09/02/23 12:07:29 AM,22.046,,,,,
6,09/02/23 04:07:29 AM,22.621,,,,,
7,09/02/23 08:07:29 AM,21.378,,,,,
8,09/02/23 12:07:29 PM,14.517,,,,,
9,09/02/23 04:07:29 PM,16.618,,,,,
10,09/02/23 08:07:29 PM,12.690,,,,,
11,09/03/23 12:07:29 AM,9.275,,,,,
12,09/03/23 04:07:29 AM,8.082,,,,,
13,09/03/23 08:07:29 AM,7.179,,,,,
14,09/03/23 12:07:29 PM,12.401,,,,,
15,09/03/23 04:07:29 PM,13.558,,,,,
16,09/03/23 08:07:29 PM,10.651,,,,,
17,09/04/23 12:07:29 AM,7.582,,,,,
18,09/04/23 04:07:29 AM,5.860,,,,,
19,09/04/23 08:07:29 AM,4.623,,,,,
20,09/04/23 12:07:29 PM,11.041,,,,,
21,09/04/23 04:07:29 PM,18.236,,,,,
22,09/04/23 08:07:29 PM,10.846,,,,,
23,09/05/23 12:07:29 AM,7.782,,,,,
24,09/05/23 04:07:29 AM,6.268,,,,,
25,09/05/23 08:07:29 AM,5.141,,,,,
26,09/05/23 12:07:29 PM,12.110,,,,,
27,09/05/23 04:07:29 PM,20.996,,,,,
28,09/05/23 08:07:29 PM,13.654,,,,,
29,09/06/23 12:07:29 AM,8.779,,,,,
30,09/06/23 04:07:29 AM,6.775,,,,,
31,09/06/23 08:07:29 AM,5.860,,,,,
32,09/06/23 12:07:29 PM,12.207,,,,,
33,09/06/23 04:07:29 PM,20.615,,,,,
34,09/06/23 08:07:29 PM,13.558,,,,,
35,09/07/23 12:07:29 AM,8.879,,,,,
36,09/07/23 04:07:29 AM,7.079,,,,,
37,09/07/23 08:07:29 AM,5.860,,,,,
38,09/07/23 12:07:29 PM,13.076,,,,,
39,09/07/23 04:07:29 PM,19.472,,,,,
40,09/07/23 08:07:29 PM,12.594,,,,,
41,09/08/23 12:07:29 AM,7.882,,,,,
42,09/08/23 04:07:29 AM,6.268,,,,,
43,09/08/23 08:07:29 AM,5.552,,,,,
44,09/08/23 12:07:29 PM,13.269,,,,,
45,09/08/23 04:07:29 PM,19.662,,,,,
46,09/08/23 08:07:29 PM,13.173,,,,,
47,09/09/23 12:07:29 AM,8.382,,,,,
48,09/09/23 04:07:29 AM,6.166,,,,,
49,09/09/23 08:07:29 AM,5.552,,,,,
50,09/09/23 12:07:29 PM,13.654,,,,,
51,09/09/23 04:07:29 PM,19.092,,,,,
52,09/09/23 08:07:29 PM,14.325,,,,,
53,09/10/23 12:07:29 AM,10.357,,,,,
54,09/10/23 04:07:29 AM,8.680,,,,,
55,09/10/23 08:07:29 AM,6.978,,,,,
56,09/10/23 12:07:29 PM,9.472,,,,,
57,09/10/23 04:07:29 PM,13.846,,,,,
58,09/10/23 08:07:29 PM,10.748,,,,,
59,09/11/23 12:07:29 AM,7.280,,,,,
