"Plot Title: jp_SouthEast2324"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397962, SEN S/N: 21397962)","Coupler Detached (LGR S/N: 21397962)","Coupler Attached (LGR S/N: 21397962)","Host Connected (LGR S/N: 21397962)","Stopped (LGR S/N: 21397962)","End Of File (LGR S/N: 21397962)"
1,09/02/23 10:02:05 AM,25.222,,,,,
2,09/02/23 10:02:22 AM,,Logged,,,,
3,09/02/23 12:02:05 PM,15.569,,,,,
4,09/02/23 02:02:05 PM,20.234,,,,,
5,09/02/23 04:02:05 PM,17.379,,,,,
6,09/02/23 06:02:05 PM,19.092,,,,,
7,09/02/23 08:02:05 PM,13.173,,,,,
8,09/02/23 10:02:05 PM,11.041,,,,,
9,09/03/23 12:02:05 AM,10.063,,,,,
10,09/03/23 02:02:05 AM,9.373,,,,,
11,09/03/23 04:02:05 AM,8.978,,,,,
12,09/03/23 06:02:05 AM,8.282,,,,,
13,09/03/23 08:02:05 AM,7.983,,,,,
14,09/03/23 10:02:05 AM,10.357,,,,,
15,09/03/23 12:02:05 PM,13.173,,,,,
16,09/03/23 02:02:05 PM,15.951,,,,,
17,09/03/23 04:02:05 PM,13.076,,,,,
18,09/03/23 06:02:05 PM,12.787,,,,,
19,09/03/23 08:02:05 PM,11.334,,,,,
20,09/03/23 10:02:05 PM,9.866,,,,,
21,09/04/23 12:02:05 AM,8.581,,,,,
22,09/04/23 02:02:05 AM,7.782,,,,,
23,09/04/23 04:02:05 AM,6.978,,,,,
24,09/04/23 06:02:05 AM,6.268,,,,,
25,09/04/23 08:02:05 AM,5.757,,,,,
26,09/04/23 10:02:05 AM,8.082,,,,,
27,09/04/23 12:02:05 PM,11.528,,,,,
28,09/04/23 02:02:05 PM,15.282,,,,,
29,09/04/23 04:02:05 PM,18.521,,,,,
30,09/04/23 06:02:05 PM,15.760,,,,,
31,09/04/23 08:02:05 PM,11.528,,,,,
32,09/04/23 10:02:05 PM,9.669,,,,,
33,09/05/23 12:02:05 AM,8.581,,,,,
34,09/05/23 02:02:05 AM,7.682,,,,,
35,09/05/23 04:02:05 AM,7.079,,,,,
36,09/05/23 06:02:05 AM,6.573,,,,,
37,09/05/23 08:02:05 AM,5.962,,,,,
38,09/05/23 10:02:05 AM,7.481,,,,,
39,09/05/23 12:02:05 PM,12.594,,,,,
40,09/05/23 02:02:05 PM,18.331,,,,,
41,09/05/23 04:02:05 PM,21.187,,,,,
42,09/05/23 06:02:05 PM,19.758,,,,,
43,09/05/23 08:02:05 PM,14.230,,,,,
44,09/05/23 10:02:05 PM,11.139,,,,,
45,09/06/23 12:02:05 AM,9.669,,,,,
46,09/06/23 02:02:05 AM,8.481,,,,,
47,09/06/23 04:02:05 AM,7.682,,,,,
48,09/06/23 06:02:05 AM,6.978,,,,,
49,09/06/23 08:02:05 AM,6.674,,,,,
50,09/06/23 10:02:05 AM,8.382,,,,,
51,09/06/23 12:02:05 PM,12.690,,,,,
52,09/06/23 02:02:05 PM,18.140,,,,,
53,09/06/23 04:02:05 PM,20.710,,,,,
54,09/06/23 06:02:05 PM,18.996,,,,,
55,09/06/23 08:02:05 PM,14.325,,,,,
56,09/06/23 10:02:05 PM,11.431,,,,,
57,09/07/23 12:02:05 AM,9.866,,,,,
58,09/07/23 02:02:05 AM,8.879,,,,,
59,09/07/23 04:02:05 AM,8.082,,,,,
60,09/07/23 06:02:05 AM,7.381,,,,,
61,09/07/23 08:02:05 AM,6.775,,,,,
62,09/07/23 10:02:05 AM,8.779,,,,,
63,09/07/23 12:02:05 PM,13.846,,,,,
64,09/07/23 02:02:05 PM,18.331,,,,,
65,09/07/23 04:02:05 PM,19.567,,,,,
66,09/07/23 06:02:05 PM,17.760,,,,,
67,09/07/23 08:02:05 PM,13.365,,,,,
68,09/07/23 10:02:05 PM,10.651,,,,,
69,09/08/23 12:02:05 AM,9.077,,,,,
70,09/08/23 02:02:05 AM,7.983,,,,,
71,09/08/23 04:02:05 AM,7.381,,,,,
72,09/08/23 06:02:05 AM,6.877,,,,,
73,09/08/23 08:02:05 AM,6.573,,,,,
74,09/08/23 10:02:05 AM,8.879,,,,,
75,09/08/23 12:02:05 PM,14.230,,,,,
76,09/08/23 02:02:05 PM,17.950,,,,,
77,09/08/23 04:02:05 PM,20.043,,,,,
78,09/08/23 06:02:05 PM,18.901,,,,,
79,09/08/23 08:02:05 PM,14.038,,,,,
80,09/08/23 10:02:05 PM,11.139,,,,,
81,09/09/23 12:02:05 AM,9.472,,,,,
82,09/09/23 02:02:05 AM,8.082,,,,,
83,09/09/23 04:02:05 AM,7.280,,,,,
84,09/09/23 06:02:05 AM,6.775,,,,,
85,09/09/23 08:02:05 AM,6.573,,,,,
86,09/09/23 10:02:05 AM,9.176,,,,,
87,09/09/23 12:02:05 PM,14.996,,,,,
88,09/09/23 02:02:05 PM,20.329,,,,,
89,09/09/23 04:02:05 PM,19.948,,,,,
90,09/09/23 06:02:05 PM,20.234,,,,,
91,09/09/23 08:02:05 PM,15.091,,,,,
92,09/09/23 10:02:05 PM,12.497,,,,,
93,09/10/23 12:02:05 AM,11.139,,,,,
94,09/10/23 02:02:05 AM,10.357,,,,,
95,09/10/23 04:02:05 AM,9.472,,,,,
96,09/10/23 06:02:05 AM,8.182,,,,,
97,09/10/23 08:02:05 AM,7.782,,,,,
98,09/10/23 10:02:05 AM,10.357,,,,,
99,09/10/23 12:02:05 PM,9.768,,,,,
100,09/10/23 02:02:05 PM,15.091,,,,,
101,09/10/23 04:02:05 PM,14.230,,,,,
102,09/10/23 06:02:05 PM,13.365,,,,,
103,09/10/23 08:02:05 PM,11.236,,,,,
104,09/10/23 10:02:05 PM,9.866,,,,,
105,09/11/23 12:02:05 AM,8.082,,,,,
106,09/11/23 02:02:05 AM,7.481,,,,,
107,09/11/23 04:02:05 AM,7.179,,,,,
108,09/11/23 06:02:05 AM,6.268,,,,,
109,09/11/23 08:02:05 AM,5.962,,,,,
110,09/11/23 10:02:05 AM,7.882,,,,,
111,09/11/23 12:02:05 PM,8.680,,,,,
112,09/11/23 02:02:05 PM,11.236,,,,,
113,09/11/23 04:02:05 PM,12.980,,,,,
114,09/11/23 06:02:05 PM,11.334,,,,,
115,09/11/23 08:02:05 PM,9.077,,,,,
116,09/11/23 10:02:05 PM,8.082,,,,,
117,09/12/23 12:02:05 AM,6.573,,,,,
118,09/12/23 02:02:05 AM,5.037,,,,,
119,09/12/23 04:02:05 AM,4.311,,,,,
120,09/12/23 06:02:05 AM,3.683,,,,,
121,09/12/23 08:02:05 AM,3.261,,,,,
122,09/12/23 10:02:05 AM,5.450,,,,,
123,09/12/23 12:02:05 PM,12.110,,,,,
124,09/12/23 02:02:05 PM,15.951,,,,,
125,09/12/23 04:02:05 PM,15.091,,,,,
126,09/12/23 06:02:05 PM,16.999,,,,,
127,09/12/23 08:02:05 PM,11.431,,,,,
128,09/12/23 10:02:05 PM,8.581,,,,,
129,09/13/23 12:02:05 AM,6.877,,,,,
130,09/13/23 02:02:05 AM,5.655,,,,,
131,09/13/23 04:02:05 AM,4.623,,,,,
132,09/13/23 06:02:05 AM,4.102,,,,,
133,09/13/23 08:02:05 AM,3.788,,,,,
134,09/13/23 10:02:05 AM,6.775,,,,,
135,09/13/23 12:02:05 PM,14.421,,,,,
136,09/13/23 02:02:05 PM,18.236,,,,,
137,09/13/23 04:02:05 PM,15.951,,,,,
138,09/13/23 06:02:05 PM,12.207,,,,,
139,09/13/23 08:02:05 PM,9.768,,,,,
140,09/13/23 10:02:05 PM,7.983,,,,,
141,09/14/23 12:02:05 AM,6.775,,,,,
142,09/14/23 02:02:05 AM,5.757,,,,,
143,09/14/23 04:02:05 AM,5.141,,,,,
144,09/14/23 06:02:05 AM,4.934,,,,,
145,09/14/23 08:02:05 AM,5.244,,,,,
146,09/14/23 10:02:05 AM,5.141,,,,,
147,09/14/23 12:02:05 PM,7.782,,,,,
148,09/14/23 02:02:05 PM,10.944,,,,,
149,09/14/23 04:02:05 PM,9.275,,,,,
150,09/14/23 06:02:05 PM,7.280,,,,,
151,09/14/23 08:02:05 PM,6.064,,,,,
152,09/14/23 10:02:05 PM,5.450,,,,,
153,09/15/23 12:02:05 AM,5.347,,,,,
154,09/15/23 02:02:05 AM,4.519,,,,,
155,09/15/23 04:02:05 AM,4.207,,,,,
156,09/15/23 06:02:05 AM,3.788,,,,,
157,09/15/23 08:02:05 AM,3.998,,,,,
158,09/15/23 10:02:05 AM,4.519,,,,,
159,09/15/23 12:02:05 PM,5.962,,,,,
160,09/15/23 02:02:05 PM,7.481,,,,,
161,09/15/23 04:02:05 PM,12.497,,,,,
162,09/15/23 06:02:05 PM,9.472,,,,,
163,09/15/23 08:02:05 PM,7.079,,,,,
164,09/15/23 10:02:05 PM,4.831,,,,,
165,09/16/23 12:02:05 AM,3.578,,,,,
166,09/16/23 02:02:05 AM,2.837,,,,,
167,09/16/23 04:02:05 AM,2.303,,,,,
168,09/16/23 06:02:05 AM,1.764,,,,,
169,09/16/23 08:02:05 AM,1.439,,,,,
170,09/16/23 10:02:05 AM,1.872,,,,,
171,09/16/23 12:02:05 PM,10.553,,,,,
172,09/16/23 02:02:05 PM,16.523,,,,,
173,09/16/23 04:02:05 PM,19.092,,,,,
174,09/16/23 06:02:05 PM,16.713,,,,,
175,09/16/23 08:02:05 PM,11.139,,,,,
176,09/16/23 10:02:05 PM,8.082,,,,,
177,09/17/23 12:02:05 AM,6.166,,,,,
178,09/17/23 02:02:05 AM,4.934,,,,,
179,09/17/23 04:02:05 AM,3.998,,,,,
180,09/17/23 06:02:05 AM,3.367,,,,,
181,09/17/23 08:02:05 AM,3.049,,,,,
182,09/17/23 10:02:05 AM,5.552,,,,,
183,09/17/23 12:02:05 PM,11.528,,,,,
184,09/17/23 02:02:05 PM,16.903,,,,,
185,09/17/23 04:02:05 PM,19.282,,,,,
186,09/17/23 06:02:05 PM,16.332,,,,,
187,09/17/23 08:02:05 PM,11.625,,,,,
188,09/17/23 10:02:05 PM,9.176,,,,,
189,09/18/23 12:02:05 AM,7.582,,,,,
190,09/18/23 02:02:05 AM,6.370,,,,,
191,09/18/23 04:02:05 AM,5.450,,,,,
192,09/18/23 06:02:05 AM,4.831,,,,,
193,09/18/23 08:02:05 AM,4.727,,,,,
194,09/18/23 10:02:05 AM,6.775,,,,,
195,09/18/23 12:02:05 PM,10.063,,,,,
196,09/18/23 02:02:05 PM,14.804,,,,,
197,09/18/23 04:02:05 PM,13.942,,,,,
198,09/18/23 06:02:05 PM,8.978,,,,,
199,09/18/23 08:02:05 PM,7.079,,,,,
200,09/18/23 10:02:05 PM,6.268,,,,,
201,09/19/23 12:02:05 AM,5.450,,,,,
202,09/19/23 02:02:05 AM,5.037,,,,,
203,09/19/23 04:02:05 AM,4.623,,,,,
204,09/19/23 06:02:05 AM,4.311,,,,,
205,09/19/23 08:02:05 AM,3.788,,,,,
206,09/19/23 10:02:05 AM,4.623,,,,,
207,09/19/23 12:02:05 PM,9.768,,,,,
208,09/19/23 02:02:05 PM,12.594,,,,,
209,09/19/23 04:02:05 PM,10.846,,,,,
210,09/19/23 06:02:05 PM,8.581,,,,,
211,09/19/23 08:02:05 PM,6.573,,,,,
212,09/19/23 10:02:05 PM,5.244,,,,,
213,09/20/23 12:02:05 AM,4.207,,,,,
214,09/20/23 02:02:05 AM,3.472,,,,,
215,09/20/23 04:02:05 AM,3.261,,,,,
216,09/20/23 06:02:05 AM,2.730,,,,,
217,09/20/23 08:02:05 AM,2.410,,,,,
218,09/20/23 10:02:05 AM,4.415,,,,,
219,09/20/23 12:02:05 PM,9.472,,,,,
220,09/20/23 02:02:05 PM,11.819,,,,,
221,09/20/23 04:02:05 PM,14.804,,,,,
222,09/20/23 06:02:05 PM,13.942,,,,,
223,09/20/23 08:02:05 PM,9.768,,,,,
224,09/20/23 10:02:05 PM,7.381,,,,,
225,09/21/23 12:02:05 AM,6.064,,,,,
226,09/21/23 02:02:05 AM,4.934,,,,,
227,09/21/23 04:02:05 AM,4.207,,,,,
228,09/21/23 06:02:05 AM,3.472,,,,,
229,09/21/23 08:02:05 AM,3.472,,,,,
230,09/21/23 10:02:05 AM,5.347,,,,,
231,09/21/23 12:02:05 PM,8.978,,,,,
232,09/21/23 02:02:05 PM,12.401,,,,,
233,09/21/23 04:02:05 PM,16.713,,,,,
234,09/21/23 06:02:05 PM,14.804,,,,,
235,09/21/23 08:02:05 PM,9.669,,,,,
236,09/21/23 10:02:05 PM,7.179,,,,,
237,09/22/23 12:02:05 AM,5.962,,,,,
238,09/22/23 02:02:05 AM,4.934,,,,,
239,09/22/23 04:02:05 AM,4.207,,,,,
240,09/22/23 06:02:05 AM,3.261,,,,,
241,09/22/23 08:02:05 AM,2.730,,,,,
242,09/22/23 10:02:05 AM,5.037,,,,,
243,09/22/23 12:02:05 PM,9.768,,,,,
244,09/22/23 02:02:05 PM,13.846,,,,,
245,09/22/23 04:02:05 PM,14.996,,,,,
246,09/22/23 06:02:05 PM,13.365,,,,,
247,09/22/23 08:02:05 PM,9.077,,,,,
248,09/22/23 10:02:05 PM,7.079,,,,,
249,09/23/23 12:02:05 AM,5.757,,,,,
250,09/23/23 02:02:05 AM,4.623,,,,,
251,09/23/23 04:02:05 AM,3.998,,,,,
252,09/23/23 06:02:05 AM,2.730,,,,,
253,09/23/23 08:02:05 AM,1.980,,,,,
254,09/23/23 10:02:05 AM,3.367,,,,,
255,09/23/23 12:02:05 PM,7.582,,,,,
256,09/23/23 02:02:05 PM,11.722,,,,,
257,09/23/23 04:02:05 PM,13.558,,,,,
258,09/23/23 06:02:05 PM,12.013,,,,,
259,09/23/23 08:02:05 PM,7.983,,,,,
260,09/23/23 10:02:05 PM,5.655,,,,,
261,09/24/23 12:02:05 AM,4.207,,,,,
262,09/24/23 02:02:05 AM,3.261,,,,,
263,09/24/23 04:02:05 AM,2.624,,,,,
264,09/24/23 06:02:05 AM,1.872,,,,,
265,09/24/23 08:02:05 AM,1.548,,,,,
266,09/24/23 10:02:05 AM,3.788,,,,,
267,09/24/23 12:02:05 PM,10.651,,,,,
