"Plot Title: jp_NorthWest2324"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397969, SEN S/N: 21397969)","Host Connected (LGR S/N: 21397969)","Coupler Detached (LGR S/N: 21397969)","Good Battery (LGR S/N: 21397969)","Coupler Attached (LGR S/N: 21397969)","Bad Battery (LGR S/N: 21397969)","End Of File (LGR S/N: 21397969)"
1,07/05/24 11:27:51 AM,16.808,,,,,,
2,07/05/24 11:28:09 AM,,Logged,,,,,
3,07/05/24 11:28:10 AM,,,Logged,,,,
4,07/05/24 01:27:51 PM,16.713,,,,,,
5,07/05/24 03:27:51 PM,18.901,,,,,,
6,07/05/24 05:27:51 PM,17.284,,,,,,
7,07/05/24 07:27:51 PM,13.269,,,,,,
8,07/05/24 09:27:51 PM,8.680,,,,,,
9,07/05/24 11:27:51 PM,6.877,,,,,,
10,07/06/24 01:27:51 AM,5.860,,,,,,
11,07/06/24 03:27:51 AM,5.141,,,,,,
12,07/06/24 05:27:51 AM,4.415,,,,,,
13,07/06/24 07:27:51 AM,5.037,,,,,,
14,07/06/24 09:27:51 AM,10.357,,,,,,
15,07/06/24 11:27:51 AM,16.237,,,,,,
16,07/06/24 01:27:51 PM,18.616,,,,,,
17,07/06/24 03:27:51 PM,19.948,,,,,,
18,07/06/24 05:27:51 PM,16.618,,,,,,
19,07/06/24 07:27:51 PM,12.883,,,,,,
20,07/06/24 09:27:51 PM,10.455,,,,,,
21,07/06/24 11:27:51 PM,8.779,,,,,,
22,07/07/24 01:27:51 AM,7.582,,,,,,
23,07/07/24 03:27:51 AM,6.166,,,,,,
24,07/07/24 05:27:51 AM,5.141,,,,,,
25,07/07/24 07:27:51 AM,5.757,,,,,,
26,07/07/24 09:27:51 AM,10.455,,,,,,
27,07/07/24 11:27:51 AM,15.473,,,,,,
28,07/07/24 01:27:51 PM,16.713,,,,,,
29,07/07/24 03:27:51 PM,16.427,,,,,,
30,07/07/24 05:27:51 PM,14.709,,,,,,
31,07/07/24 07:27:51 PM,12.690,,,,,,
32,07/07/24 09:27:51 PM,9.176,,,,,,
33,07/07/24 11:27:51 PM,7.381,,,,,,
34,07/08/24 01:27:51 AM,6.166,,,,,,
35,07/08/24 03:27:51 AM,6.166,,,,,,
36,07/08/24 05:27:51 AM,4.415,,,,,,
37,07/08/24 07:27:51 AM,4.934,,,,,,
38,07/08/24 09:27:51 AM,10.357,,,,,,
39,07/08/24 11:27:51 AM,15.855,,,,,,
40,07/08/24 01:27:51 PM,20.519,,,,,,
41,07/08/24 03:27:51 PM,22.621,,,,,,
42,07/08/24 05:27:51 PM,22.046,,,,,,
43,07/08/24 07:27:51 PM,17.189,,,,,,
44,07/08/24 09:27:51 PM,11.819,,,,,,
45,07/08/24 11:27:51 PM,9.373,,,,,,
46,07/09/24 01:27:51 AM,8.182,,,,,,
47,07/09/24 03:27:51 AM,6.978,,,,,,
48,07/09/24 05:27:51 AM,6.166,,,,,,
49,07/09/24 07:27:51 AM,7.280,,,,,,
50,07/09/24 09:27:51 AM,11.528,,,,,,
51,07/09/24 11:27:51 AM,17.665,,,,,,
52,07/09/24 01:27:51 PM,20.519,,,,,,
53,07/09/24 03:27:51 PM,18.711,,,,,,
54,07/09/24 05:27:51 PM,14.325,,,,,,
55,07/09/24 07:27:51 PM,12.787,,,,,,
56,07/09/24 09:27:51 PM,9.669,,,,,,
57,07/09/24 11:27:51 PM,7.782,,,,,,
58,07/10/24 01:27:51 AM,6.978,,,,,,
59,07/10/24 03:27:51 AM,5.860,,,,,,
60,07/10/24 05:27:51 AM,5.450,,,,,,
61,07/10/24 07:27:51 AM,6.471,,,,,,
62,07/10/24 09:27:51 AM,11.236,,,,,,
63,07/10/24 11:27:51 AM,16.141,,,,,,
64,07/10/24 01:27:51 PM,19.472,,,,,,
65,07/10/24 03:27:51 PM,18.045,,,,,,
66,07/10/24 05:27:51 PM,12.013,,,,,,
67,07/10/24 07:27:51 PM,13.750,,,,,,
68,07/10/24 09:27:51 PM,9.176,,,,,,
69,07/10/24 11:27:51 PM,7.582,,,,,,
70,07/11/24 01:27:51 AM,6.268,,,,,,
71,07/11/24 03:27:51 AM,5.450,,,,,,
72,07/11/24 05:27:51 AM,5.037,,,,,,
73,07/11/24 07:27:51 AM,6.064,,,,,,
74,07/11/24 09:27:51 AM,11.334,,,,,,
75,07/11/24 11:27:51 AM,15.569,,,,,,
76,07/11/24 01:27:51 PM,19.758,,,,,,
77,07/11/24 03:27:51 PM,20.234,,,,,,
