"Plot Title: 20365618"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365618, SEN S/N: 20365618)","Coupler Detached (LGR S/N: 20365618)","Bad Battery (LGR S/N: 20365618)","Coupler Attached (LGR S/N: 20365618)","Host Connected (LGR S/N: 20365618)","End Of File (LGR S/N: 20365618)"
1,08/19/24 12:12:48 PM,19.948,,,,,
2,08/19/24 12:13:01 PM,,Logged,,,,
3,08/19/24 02:12:48 PM,13.750,,,,,
4,08/19/24 04:12:48 PM,13.173,,,,,
5,08/19/24 06:12:48 PM,12.883,,,,,
6,08/19/24 08:12:48 PM,10.455,,,,,
7,08/19/24 10:12:48 PM,8.680,,,,,
8,08/20/24 12:12:48 AM,8.282,,,,,
9,08/20/24 02:12:48 AM,7.381,,,,,
10,08/20/24 04:12:48 AM,6.978,,,,,
11,08/20/24 06:12:48 AM,6.471,,,,,
12,08/20/24 08:12:48 AM,6.877,,,,,
13,08/20/24 10:12:48 AM,9.176,,,,,
14,08/20/24 12:12:48 PM,11.431,,,,,
15,08/20/24 02:12:48 PM,14.709,,,,,
16,08/20/24 04:12:48 PM,14.517,,,,,
17,08/20/24 06:12:48 PM,13.365,,,,,
18,08/20/24 08:12:48 PM,10.259,,,,,
19,08/20/24 10:12:48 PM,8.581,,,,,
20,08/21/24 12:12:48 AM,7.782,,,,,
21,08/21/24 02:12:48 AM,7.179,,,,,
22,08/21/24 04:12:48 AM,7.280,,,,,
23,08/21/24 06:12:48 AM,7.582,,,,,
24,08/21/24 08:12:48 AM,7.481,,,,,
25,08/21/24 10:12:48 AM,9.077,,,,,
26,08/21/24 12:12:48 PM,10.944,,,,,
27,08/21/24 02:12:48 PM,11.819,,,,,
28,08/21/24 04:12:48 PM,12.787,,,,,
29,08/21/24 06:12:48 PM,9.571,,,,,
30,08/21/24 08:12:48 PM,8.581,,,,,
31,08/21/24 10:12:48 PM,7.782,,,,,
32,08/22/24 12:12:48 AM,7.179,,,,,
33,08/22/24 02:12:48 AM,7.280,,,,,
34,08/22/24 04:12:48 AM,6.978,,,,,
35,08/22/24 06:12:48 AM,6.674,,,,,
36,08/22/24 08:12:48 AM,6.877,,,,,
37,08/22/24 10:12:48 AM,8.282,,,,,
38,08/22/24 12:12:48 PM,12.013,,,,,
39,08/22/24 02:12:48 PM,12.787,,,,,
40,08/22/24 04:12:48 PM,10.651,,,,,
41,08/22/24 06:12:48 PM,9.373,,,,,
42,08/22/24 08:12:48 PM,8.382,,,,,
43,08/22/24 10:12:48 PM,7.582,,,,,
44,08/23/24 12:12:48 AM,7.079,,,,,
45,08/23/24 02:12:48 AM,6.674,,,,,
46,08/23/24 04:12:48 AM,6.471,,,,,
47,08/23/24 06:12:48 AM,6.166,,,,,
48,08/23/24 08:12:48 AM,6.370,,,,,
49,08/23/24 10:12:48 AM,8.282,,,,,
50,08/23/24 12:12:48 PM,9.275,,,,,
51,08/23/24 02:12:48 PM,9.571,,,,,
52,08/23/24 04:12:48 PM,10.063,,,,,
53,08/23/24 06:12:48 PM,10.259,,,,,
54,08/23/24 08:12:48 PM,8.282,,,,,
55,08/23/24 10:12:48 PM,7.582,,,,,
56,08/24/24 12:12:48 AM,7.079,,,,,
57,08/24/24 02:12:48 AM,6.573,,,,,
58,08/24/24 04:12:48 AM,6.268,,,,,
59,08/24/24 06:12:48 AM,5.655,,,,,
60,08/24/24 08:12:48 AM,5.655,,,,,
61,08/24/24 10:12:48 AM,8.282,,,,,
62,08/24/24 12:12:48 PM,8.581,,,,,
63,08/24/24 02:12:48 PM,9.571,,,,,
64,08/24/24 04:12:48 PM,10.455,,,,,
65,08/24/24 06:12:48 PM,9.965,,,,,
66,08/24/24 08:12:48 PM,8.581,,,,,
67,08/24/24 10:12:48 PM,7.582,,,,,
68,08/25/24 12:12:48 AM,6.877,,,,,
69,08/25/24 02:12:48 AM,6.573,,,,,
70,08/25/24 04:12:48 AM,6.166,,,,,
