"Plot Title: j.se.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365579, SEN S/N: 20365579)","Coupler Detached (LGR S/N: 20365579)","Coupler Attached (LGR S/N: 20365579)","Host Connected (LGR S/N: 20365579)","End Of File (LGR S/N: 20365579)"
1,08/20/24 10:38:01 AM,19.662,,,,
2,08/20/24 10:38:18 AM,,Logged,,,
3,08/20/24 12:38:01 PM,17.950,,,,
4,08/20/24 02:38:01 PM,22.908,,,,
5,08/20/24 04:38:01 PM,19.853,,,,
6,08/20/24 06:38:01 PM,18.901,,,,
7,08/20/24 08:38:01 PM,14.134,,,,
8,08/20/24 10:38:01 PM,11.334,,,,
9,08/21/24 12:38:01 AM,10.063,,,,
10,08/21/24 02:38:01 AM,9.275,,,,
11,08/21/24 04:38:01 AM,8.978,,,,
12,08/21/24 06:38:01 AM,8.879,,,,
13,08/21/24 08:38:01 AM,8.680,,,,
14,08/21/24 10:38:01 AM,11.139,,,,
15,08/21/24 12:38:01 PM,15.473,,,,
16,08/21/24 02:38:01 PM,16.046,,,,
17,08/21/24 04:38:01 PM,15.760,,,,
18,08/21/24 06:38:01 PM,10.553,,,,
19,08/21/24 08:38:01 PM,9.275,,,,
20,08/21/24 10:38:01 PM,7.983,,,,
21,08/22/24 12:38:01 AM,7.381,,,,
22,08/22/24 02:38:01 AM,7.280,,,,
23,08/22/24 04:38:01 AM,6.775,,,,
24,08/22/24 06:38:01 AM,6.268,,,,
25,08/22/24 08:38:01 AM,7.280,,,,
26,08/22/24 10:38:01 AM,9.176,,,,
27,08/22/24 12:38:01 PM,13.750,,,,
28,08/22/24 02:38:01 PM,13.365,,,,
29,08/22/24 04:38:01 PM,10.455,,,,
30,08/22/24 06:38:01 PM,8.978,,,,
31,08/22/24 08:38:01 PM,7.983,,,,
32,08/22/24 10:38:01 PM,7.280,,,,
33,08/23/24 12:38:01 AM,6.370,,,,
34,08/23/24 02:38:01 AM,5.962,,,,
35,08/23/24 04:38:01 AM,5.655,,,,
36,08/23/24 06:38:01 AM,5.450,,,,
37,08/23/24 08:38:01 AM,6.064,,,,
38,08/23/24 10:38:01 AM,9.768,,,,
39,08/23/24 12:38:01 PM,10.161,,,,
40,08/23/24 02:38:01 PM,10.553,,,,
41,08/23/24 04:38:01 PM,11.916,,,,
42,08/23/24 06:38:01 PM,11.041,,,,
43,08/23/24 08:38:01 PM,8.978,,,,
44,08/23/24 10:38:01 PM,7.782,,,,
45,08/24/24 12:38:01 AM,6.775,,,,
46,08/24/24 02:38:01 AM,6.166,,,,
47,08/24/24 04:38:01 AM,5.757,,,,
48,08/24/24 06:38:01 AM,5.244,,,,
49,08/24/24 08:38:01 AM,5.655,,,,
50,08/24/24 10:38:01 AM,8.481,,,,
51,08/24/24 12:38:01 PM,10.063,,,,
52,08/24/24 02:38:01 PM,11.722,,,,
53,08/24/24 04:38:01 PM,14.325,,,,
54,08/24/24 06:38:01 PM,11.625,,,,
55,08/24/24 08:38:01 PM,9.077,,,,
56,08/24/24 10:38:01 PM,8.182,,,,
57,08/25/24 12:38:01 AM,7.179,,,,
58,08/25/24 02:38:01 AM,6.674,,,,
59,08/25/24 04:38:01 AM,5.860,,,,
60,08/25/24 06:38:01 AM,4.727,,,,
61,08/25/24 08:38:01 AM,5.244,,,,
62,08/25/24 10:38:01 AM,9.866,,,,
63,08/25/24 12:38:01 PM,12.013,,,,
64,08/25/24 02:38:01 PM,18.426,,,,
65,08/25/24 04:38:01 PM,13.846,,,,
66,08/25/24 06:38:01 PM,12.207,,,,
67,08/25/24 08:38:01 PM,8.182,,,,
68,08/25/24 10:38:01 PM,7.682,,,,
69,08/26/24 12:38:01 AM,6.573,,,,
70,08/26/24 02:38:01 AM,6.166,,,,
71,08/26/24 04:38:01 AM,5.757,,,,
72,08/26/24 06:38:01 AM,5.141,,,,
73,08/26/24 08:38:01 AM,5.655,,,,
74,08/26/24 10:38:01 AM,8.680,,,,
75,08/26/24 12:38:01 PM,11.139,,,,
76,08/26/24 02:38:01 PM,12.304,,,,
77,08/26/24 04:38:01 PM,15.473,,,,
78,08/26/24 06:38:01 PM,14.325,,,,
79,08/26/24 08:38:01 PM,9.571,,,,
80,08/26/24 10:38:01 PM,7.582,,,,
81,08/27/24 12:38:01 AM,6.370,,,,
82,08/27/24 02:38:01 AM,5.655,,,,
83,08/27/24 04:38:01 AM,4.519,,,,
84,08/27/24 06:38:01 AM,4.102,,,,
85,08/27/24 08:38:01 AM,4.207,,,,
86,08/27/24 10:38:01 AM,8.282,,,,
87,08/27/24 12:38:01 PM,15.378,,,,
88,08/27/24 02:38:01 PM,20.615,,,,
89,08/27/24 04:38:01 PM,20.901,,,,
90,08/27/24 06:38:01 PM,20.424,,,,
91,08/27/24 08:38:01 PM,13.269,,,,
92,08/27/24 10:38:01 PM,10.063,,,,
93,08/28/24 12:38:01 AM,8.382,,,,
94,08/28/24 02:38:01 AM,7.280,,,,
95,08/28/24 04:38:01 AM,6.471,,,,
96,08/28/24 06:38:01 AM,5.552,,,,
97,08/28/24 08:38:01 AM,5.757,,,,
98,08/28/24 10:38:01 AM,9.275,,,,
99,08/28/24 12:38:01 PM,15.091,,,,
100,08/28/24 02:38:01 PM,19.948,,,,
101,08/28/24 04:38:01 PM,21.569,,,,
102,08/28/24 06:38:01 PM,17.855,,,,
103,08/28/24 08:38:01 PM,12.401,,,,
104,08/28/24 10:38:01 PM,10.161,,,,
105,08/29/24 12:38:01 AM,8.978,,,,
106,08/29/24 02:38:01 AM,8.082,,,,
107,08/29/24 04:38:01 AM,6.674,,,,
108,08/29/24 06:38:01 AM,5.860,,,,
109,08/29/24 08:38:01 AM,6.166,,,,
110,08/29/24 10:38:01 AM,10.748,,,,
111,08/29/24 12:38:01 PM,15.569,,,,
112,08/29/24 02:38:01 PM,15.760,,,,
113,08/29/24 04:38:01 PM,12.594,,,,
114,08/29/24 06:38:01 PM,11.236,,,,
115,08/29/24 08:38:01 PM,8.481,,,,
116,08/29/24 10:38:01 PM,6.775,,,,
117,08/30/24 12:38:01 AM,5.552,,,,
118,08/30/24 02:38:01 AM,4.519,,,,
119,08/30/24 04:38:01 AM,3.472,,,,
120,08/30/24 06:38:01 AM,2.624,,,,
121,08/30/24 08:38:01 AM,3.049,,,,
122,08/30/24 10:38:01 AM,8.282,,,,
123,08/30/24 12:38:01 PM,14.134,,,,
124,08/30/24 02:38:01 PM,20.234,,,,
125,08/30/24 04:38:01 PM,21.951,,,,
126,08/30/24 06:38:01 PM,16.141,,,,
127,08/30/24 08:38:01 PM,11.819,,,,
128,08/30/24 10:38:01 PM,9.176,,,,
129,08/31/24 12:38:01 AM,7.782,,,,
130,08/31/24 02:38:01 AM,6.674,,,,
131,08/31/24 04:38:01 AM,5.962,,,,
132,08/31/24 06:38:01 AM,5.552,,,,
133,08/31/24 08:38:01 AM,5.552,,,,
134,08/31/24 10:38:01 AM,10.651,,,,
135,08/31/24 12:38:01 PM,17.379,,,,
136,08/31/24 02:38:01 PM,20.424,,,,
137,08/31/24 04:38:01 PM,20.615,,,,
138,08/31/24 06:38:01 PM,17.760,,,,
139,08/31/24 08:38:01 PM,11.916,,,,
140,08/31/24 10:38:01 PM,9.472,,,,
141,09/01/24 12:38:01 AM,7.882,,,,
142,09/01/24 02:38:01 AM,6.775,,,,
143,09/01/24 04:38:01 AM,5.962,,,,
144,09/01/24 06:38:01 AM,5.141,,,,
145,09/01/24 08:38:01 AM,5.552,,,,
146,09/01/24 10:38:01 AM,10.944,,,,
147,09/01/24 12:38:01 PM,18.045,,,,
148,09/01/24 02:38:01 PM,23.484,,,,
149,09/01/24 04:38:01 PM,21.378,,,,
150,09/01/24 06:38:01 PM,17.665,,,,
151,09/01/24 08:38:01 PM,12.207,,,,
152,09/01/24 10:38:01 PM,9.965,,,,
153,09/02/24 12:38:01 AM,8.680,,,,
154,09/02/24 02:38:01 AM,7.782,,,,
155,09/02/24 04:38:01 AM,7.179,,,,
156,09/02/24 06:38:01 AM,6.064,,,,
157,09/02/24 08:38:01 AM,6.370,,,,
158,09/02/24 10:38:01 AM,11.334,,,,
159,09/02/24 12:38:01 PM,16.523,,,,
160,09/02/24 02:38:01 PM,22.812,,,,
161,09/02/24 04:38:01 PM,16.713,,,,
162,09/02/24 06:38:01 PM,15.187,,,,
163,09/02/24 08:38:01 PM,11.334,,,,
164,09/02/24 10:38:01 PM,8.879,,,,
165,09/03/24 12:38:01 AM,7.983,,,,
166,09/03/24 02:38:01 AM,7.280,,,,
167,09/03/24 04:38:01 AM,6.471,,,,
168,09/03/24 06:38:01 AM,6.166,,,,
169,09/03/24 08:38:01 AM,6.471,,,,
170,09/03/24 10:38:01 AM,11.236,,,,
171,09/03/24 12:38:01 PM,18.236,,,,
172,09/03/24 02:38:01 PM,21.569,,,,
173,09/03/24 04:38:01 PM,23.196,,,,
174,09/03/24 06:38:01 PM,20.805,,,,
175,09/03/24 08:38:01 PM,14.230,,,,
176,09/03/24 10:38:01 PM,11.916,,,,
177,09/04/24 12:38:01 AM,10.455,,,,
178,09/04/24 02:38:01 AM,9.373,,,,
179,09/04/24 04:38:01 AM,7.682,,,,
180,09/04/24 06:38:01 AM,6.573,,,,
181,09/04/24 08:38:01 AM,7.582,,,,
182,09/04/24 10:38:01 AM,11.625,,,,
183,09/04/24 12:38:01 PM,10.063,,,,
184,09/04/24 02:38:01 PM,12.690,,,,
185,09/04/24 04:38:01 PM,14.996,,,,
186,09/04/24 06:38:01 PM,14.134,,,,
187,09/04/24 08:38:01 PM,9.669,,,,
188,09/04/24 10:38:01 PM,8.581,,,,
189,09/05/24 12:38:01 AM,6.268,,,,
190,09/05/24 02:38:01 AM,5.552,,,,
191,09/05/24 04:38:01 AM,5.347,,,,
192,09/05/24 06:38:01 AM,4.934,,,,
193,09/05/24 08:38:01 AM,5.037,,,,
194,09/05/24 10:38:01 AM,5.244,,,,
195,09/05/24 12:38:01 PM,12.497,,,,
196,09/05/24 02:38:01 PM,16.808,,,,
197,09/05/24 04:38:01 PM,15.569,,,,
198,09/05/24 06:38:01 PM,12.013,,,,
199,09/05/24 08:38:01 PM,7.782,,,,
200,09/05/24 10:38:01 PM,5.450,,,,
