"Plot Title: jp.se.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397962, SEN S/N: 21397962)","Coupler Detached (LGR S/N: 21397962)","Bad Battery (LGR S/N: 21397962)","Coupler Attached (LGR S/N: 21397962)","Host Connected (LGR S/N: 21397962)","End Of File (LGR S/N: 21397962)"
1,08/20/24 10:46:35 AM,20.138,,,,,
2,08/20/24 10:46:51 AM,,Logged,,,,
3,08/20/24 12:46:35 PM,18.521,,,,,
4,08/20/24 02:46:35 PM,22.908,,,,,
5,08/20/24 04:46:35 PM,19.567,,,,,
6,08/20/24 06:46:35 PM,18.806,,,,,
7,08/20/24 08:46:35 PM,14.709,,,,,
8,08/20/24 10:46:35 PM,12.401,,,,,
9,08/21/24 12:46:35 AM,11.139,,,,,
10,08/21/24 02:46:35 AM,10.357,,,,,
11,08/21/24 04:46:35 AM,10.063,,,,,
12,08/21/24 06:46:35 AM,9.571,,,,,
13,08/21/24 08:46:35 AM,9.472,,,,,
14,08/21/24 10:46:35 AM,11.722,,,,,
15,08/21/24 12:46:35 PM,15.664,,,,,
16,08/21/24 02:46:35 PM,16.237,,,,,
17,08/21/24 04:46:35 PM,15.760,,,,,
18,08/21/24 06:46:35 PM,11.528,,,,,
19,08/21/24 08:46:35 PM,10.259,,,,,
20,08/21/24 10:46:35 PM,9.077,,,,,
21,08/22/24 12:46:35 AM,8.481,,,,,
22,08/22/24 02:46:35 AM,8.282,,,,,
23,08/22/24 04:46:35 AM,7.782,,,,,
24,08/22/24 06:46:35 AM,7.481,,,,,
25,08/22/24 08:46:35 AM,8.182,,,,,
26,08/22/24 10:46:35 AM,9.669,,,,,
27,08/22/24 12:46:35 PM,13.269,,,,,
28,08/22/24 02:46:35 PM,13.076,,,,,
29,08/22/24 04:46:35 PM,10.651,,,,,
30,08/22/24 06:46:35 PM,9.275,,,,,
31,08/22/24 08:46:35 PM,8.382,,,,,
32,08/22/24 10:46:35 PM,7.782,,,,,
33,08/23/24 12:46:35 AM,7.079,,,,,
34,08/23/24 02:46:35 AM,6.674,,,,,
35,08/23/24 04:46:35 AM,6.471,,,,,
36,08/23/24 06:46:35 AM,6.166,,,,,
37,08/23/24 08:46:35 AM,6.674,,,,,
38,08/23/24 10:46:35 AM,9.768,,,,,
39,08/23/24 12:46:35 PM,10.455,,,,,
40,08/23/24 02:46:35 PM,10.651,,,,,
41,08/23/24 04:46:35 PM,12.013,,,,,
42,08/23/24 06:46:35 PM,11.236,,,,,
43,08/23/24 08:46:35 PM,9.571,,,,,
44,08/23/24 10:46:35 PM,8.382,,,,,
45,08/24/24 12:46:35 AM,7.582,,,,,
46,08/24/24 02:46:35 AM,6.978,,,,,
47,08/24/24 04:46:35 AM,6.471,,,,,
48,08/24/24 06:46:35 AM,6.064,,,,,
49,08/24/24 08:46:35 AM,6.370,,,,,
50,08/24/24 10:46:35 AM,8.481,,,,,
51,08/24/24 12:46:35 PM,10.553,,,,,
52,08/24/24 02:46:35 PM,11.431,,,,,
53,08/24/24 04:46:35 PM,13.846,,,,,
54,08/24/24 06:46:35 PM,11.722,,,,,
55,08/24/24 08:46:35 PM,9.669,,,,,
56,08/24/24 10:46:35 PM,8.779,,,,,
57,08/25/24 12:46:35 AM,7.882,,,,,
58,08/25/24 02:46:35 AM,7.381,,,,,
59,08/25/24 04:46:35 AM,6.674,,,,,
60,08/25/24 06:46:35 AM,5.757,,,,,
61,08/25/24 08:46:35 AM,6.064,,,,,
62,08/25/24 10:46:35 AM,9.669,,,,,
63,08/25/24 12:46:35 PM,12.110,,,,,
64,08/25/24 02:46:35 PM,17.570,,,,,
65,08/25/24 04:46:35 PM,14.134,,,,,
66,08/25/24 06:46:35 PM,12.207,,,,,
67,08/25/24 08:46:35 PM,8.581,,,,,
68,08/25/24 10:46:35 PM,8.182,,,,,
69,08/26/24 12:46:35 AM,7.179,,,,,
70,08/26/24 02:46:35 AM,6.775,,,,,
71,08/26/24 04:46:35 AM,6.370,,,,,
72,08/26/24 06:46:35 AM,5.860,,,,,
73,08/26/24 08:46:35 AM,6.268,,,,,
74,08/26/24 10:46:35 AM,8.978,,,,,
75,08/26/24 12:46:35 PM,11.041,,,,,
76,08/26/24 02:46:35 PM,12.787,,,,,
77,08/26/24 04:46:35 PM,15.664,,,,,
78,08/26/24 06:46:35 PM,14.230,,,,,
79,08/26/24 08:46:35 PM,10.357,,,,,
80,08/26/24 10:46:35 PM,8.581,,,,,
81,08/27/24 12:46:35 AM,7.381,,,,,
82,08/27/24 02:46:35 AM,6.573,,,,,
83,08/27/24 04:46:35 AM,5.655,,,,,
84,08/27/24 06:46:35 AM,5.037,,,,,
