"Plot Title: jp.sw.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397968, SEN S/N: 21397968)","Coupler Detached (LGR S/N: 21397968)","Host Connected (LGR S/N: 21397968)","Coupler Attached (LGR S/N: 21397968)","End Of File (LGR S/N: 21397968)"
1,06/10/25 12:36:12 PM,21.473,,,,
2,06/10/25 12:36:48 PM,,Logged,,,
3,06/10/25 02:36:12 PM,23.869,,,,
4,06/10/25 04:36:12 PM,24.062,,,,
5,06/10/25 06:36:12 PM,18.236,,,,
6,06/10/25 08:36:12 PM,12.594,,,,
7,06/10/25 10:36:12 PM,9.275,,,,
8,06/11/25 12:36:12 AM,7.481,,,,
9,06/11/25 02:36:12 AM,6.471,,,,
10,06/11/25 04:36:12 AM,5.347,,,,
11,06/11/25 06:36:12 AM,4.311,,,,
12,06/11/25 08:36:12 AM,6.573,,,,
13,06/11/25 10:36:12 AM,12.110,,,,
14,06/11/25 12:36:12 PM,18.426,,,,
15,06/11/25 02:36:12 PM,14.230,,,,
16,06/11/25 04:36:12 PM,19.567,,,,
17,06/11/25 06:36:12 PM,15.951,,,,
18,06/11/25 08:36:12 PM,11.722,,,,
19,06/11/25 10:36:12 PM,8.082,,,,
20,06/12/25 12:36:12 AM,6.573,,,,
21,06/12/25 02:36:12 AM,5.757,,,,
22,06/12/25 04:36:12 AM,5.347,,,,
23,06/12/25 06:36:12 AM,5.141,,,,
24,06/12/25 08:36:12 AM,6.471,,,,
25,06/12/25 10:36:12 AM,9.571,,,,
26,06/12/25 12:36:12 PM,16.046,,,,
27,06/12/25 02:36:12 PM,19.282,,,,
28,06/12/25 04:36:12 PM,14.325,,,,
29,06/12/25 06:36:12 PM,13.558,,,,
30,06/12/25 08:36:12 PM,9.866,,,,
31,06/12/25 10:36:12 PM,7.381,,,,
32,06/13/25 12:36:12 AM,6.166,,,,
33,06/13/25 02:36:12 AM,5.244,,,,
34,06/13/25 04:36:12 AM,4.519,,,,
35,06/13/25 06:36:12 AM,3.998,,,,
36,06/13/25 08:36:12 AM,6.573,,,,
37,06/13/25 10:36:12 AM,13.269,,,,
38,06/13/25 12:36:12 PM,18.140,,,,
39,06/13/25 02:36:12 PM,22.333,,,,
40,06/13/25 04:36:12 PM,22.525,,,,
41,06/13/25 06:36:12 PM,30.963,,,,
42,06/13/25 08:36:12 PM,4.519,,,,
43,06/13/25 10:36:12 PM,3.788,,,,
44,06/14/25 12:36:12 AM,2.624,,,,
45,06/14/25 02:36:12 AM,2.943,,,,
46,06/14/25 04:36:12 AM,2.195,,,,
47,06/14/25 06:36:12 AM,2.410,,,,
48,06/14/25 08:36:12 AM,21.664,,,,
49,06/14/25 10:36:12 AM,37.165,,,,
50,06/14/25 12:36:12 PM,48.687,,,,
51,06/14/25 02:36:12 PM,35.222,,,,
52,06/14/25 04:36:12 PM,49.225,,,,
53,06/14/25 06:36:12 PM,30.760,,,,
54,06/14/25 08:36:12 PM,5.860,,,,
55,06/14/25 10:36:12 PM,3.367,,,,
56,06/15/25 12:36:12 AM,2.410,,,,
57,06/15/25 02:36:12 AM,0.121,,,,
58,06/15/25 04:36:12 AM,0.232,,,,
59,06/15/25 06:36:12 AM,0.453,,,,
60,06/15/25 08:36:12 AM,23.196,,,,
61,06/15/25 10:36:12 AM,40.071,,,,
62,06/15/25 12:36:12 PM,36.511,,,,
63,06/15/25 02:36:12 PM,48.821,,,,
64,06/15/25 04:36:12 PM,42.520,,,,
65,06/15/25 06:36:12 PM,24.641,,,,
66,06/15/25 08:36:12 PM,6.471,,,,
67,06/15/25 10:36:12 PM,5.141,,,,
68,06/16/25 12:36:12 AM,4.311,,,,
69,06/16/25 02:36:12 AM,3.683,,,,
70,06/16/25 04:36:12 AM,1.872,,,,
71,06/16/25 06:36:12 AM,3.261,,,,
72,06/16/25 08:36:12 AM,24.158,,,,
73,06/16/25 10:36:12 AM,38.046,,,,
74,06/16/25 12:36:12 PM,48.955,,,,
75,06/16/25 02:36:12 PM,46.465,,,,
76,06/16/25 04:36:12 PM,23.196,,,,
77,06/16/25 06:36:12 PM,24.835,,,,
78,06/16/25 08:36:12 PM,7.280,,,,
79,06/16/25 10:36:12 PM,3.261,,,,
80,06/17/25 12:36:12 AM,4.102,,,,
81,06/17/25 02:36:12 AM,3.155,,,,
82,06/17/25 04:36:12 AM,1.548,,,,
83,06/17/25 06:36:12 AM,1.003,,,,
84,06/17/25 08:36:12 AM,21.951,,,,
85,06/17/25 10:36:12 AM,19.472,,,,
86,06/17/25 12:36:12 PM,29.452,,,,
87,06/17/25 02:36:12 PM,43.966,,,,
88,06/17/25 04:36:12 PM,25.125,,,,
89,06/17/25 06:36:12 PM,6.166,,,,
90,06/17/25 08:36:12 PM,2.088,,,,
91,06/17/25 10:36:12 PM,1.112,,,,
92,06/18/25 12:36:12 AM,-0.325,,,,
93,06/18/25 02:36:12 AM,-1.456,,,,
94,06/18/25 04:36:12 AM,-1.799,,,,
95,06/18/25 06:36:12 AM,-0.887,,,,
96,06/18/25 08:36:12 AM,18.045,,,,
97,06/18/25 10:36:12 AM,36.079,,,,
98,06/18/25 12:36:12 PM,50.456,,,,
99,06/18/25 02:36:12 PM,55.580,,,,
100,06/18/25 04:36:12 PM,43.844,,,,
101,06/18/25 06:36:12 PM,31.166,,,,
102,06/18/25 08:36:12 PM,5.962,,,,
103,06/18/25 10:36:12 PM,1.221,,,,
104,06/19/25 12:36:12 AM,2.088,,,,
105,06/19/25 02:36:12 AM,2.303,,,,
106,06/19/25 04:36:12 AM,1.656,,,,
107,06/19/25 06:36:12 AM,3.261,,,,
108,06/19/25 08:36:12 AM,21.378,,,,
109,06/19/25 10:36:12 AM,41.341,,,,
110,06/19/25 12:36:12 PM,57.481,,,,
111,06/19/25 02:36:12 PM,43.480,,,,
112,06/19/25 04:36:12 PM,42.639,,,,
113,06/19/25 06:36:12 PM,20.901,,,,
114,06/19/25 08:36:12 PM,8.978,,,,
115,06/19/25 10:36:12 PM,5.962,,,,
116,06/20/25 12:36:12 AM,5.244,,,,
117,06/20/25 02:36:12 AM,5.552,,,,
118,06/20/25 04:36:12 AM,5.655,,,,
119,06/20/25 06:36:12 AM,7.481,,,,
120,06/20/25 08:36:12 AM,21.855,,,,
121,06/20/25 10:36:12 AM,37.384,,,,
122,06/20/25 12:36:12 PM,47.368,,,,
123,06/20/25 02:36:12 PM,40.415,,,,
124,06/20/25 04:36:12 PM,31.268,,,,
125,06/20/25 06:36:12 PM,19.282,,,,
126,06/20/25 08:36:12 PM,14.421,,,,
127,06/20/25 10:36:12 PM,11.722,,,,
128,06/21/25 12:36:12 AM,10.846,,,,
129,06/21/25 02:36:12 AM,9.768,,,,
130,06/21/25 04:36:12 AM,8.581,,,,
131,06/21/25 06:36:12 AM,8.182,,,,
132,06/21/25 08:36:12 AM,10.846,,,,
133,06/21/25 10:36:12 AM,15.664,,,,
134,06/21/25 12:36:12 PM,23.388,,,,
135,06/21/25 02:36:12 PM,26.683,,,,
136,06/21/25 04:36:12 PM,26.390,,,,
137,06/21/25 06:36:12 PM,23.292,,,,
138,06/21/25 08:36:12 PM,16.332,,,,
139,06/21/25 10:36:12 PM,12.304,,,,
140,06/22/25 12:36:12 AM,10.259,,,,
141,06/22/25 02:36:12 AM,8.978,,,,
142,06/22/25 04:36:12 AM,8.182,,,,
143,06/22/25 06:36:12 AM,7.481,,,,
144,06/22/25 08:36:12 AM,10.748,,,,
145,06/22/25 10:36:12 AM,16.999,,,,
146,06/22/25 12:36:12 PM,23.773,,,,
147,06/22/25 02:36:12 PM,25.708,,,,
148,06/22/25 04:36:12 PM,25.416,,,,
149,06/22/25 06:36:12 PM,21.282,,,,
150,06/22/25 08:36:12 PM,14.900,,,,
151,06/22/25 10:36:12 PM,10.944,,,,
152,06/23/25 12:36:12 AM,9.077,,,,
153,06/23/25 02:36:12 AM,7.079,,,,
154,06/23/25 04:36:12 AM,6.064,,,,
155,06/23/25 06:36:12 AM,7.280,,,,
156,06/23/25 08:36:12 AM,9.472,,,,
157,06/23/25 10:36:12 AM,14.613,,,,
158,06/23/25 12:36:12 PM,19.282,,,,
159,06/23/25 02:36:12 PM,17.284,,,,
160,06/23/25 04:36:12 PM,12.110,,,,
161,06/23/25 06:36:12 PM,11.819,,,,
162,06/23/25 08:36:12 PM,10.161,,,,
163,06/23/25 10:36:12 PM,9.275,,,,
164,06/24/25 12:36:12 AM,8.382,,,,
165,06/24/25 02:36:12 AM,7.682,,,,
166,06/24/25 04:36:12 AM,6.268,,,,
167,06/24/25 06:36:12 AM,5.347,,,,
168,06/24/25 08:36:12 AM,9.373,,,,
169,06/24/25 10:36:12 AM,13.365,,,,
170,06/24/25 12:36:12 PM,13.269,,,,
171,06/24/25 02:36:12 PM,18.616,,,,
172,06/24/25 04:36:12 PM,19.282,,,,
173,06/24/25 06:36:12 PM,16.903,,,,
174,06/24/25 08:36:12 PM,12.401,,,,
175,06/24/25 10:36:12 PM,9.866,,,,
176,06/25/25 12:36:12 AM,8.581,,,,
177,06/25/25 02:36:12 AM,8.282,,,,
178,06/25/25 04:36:12 AM,7.481,,,,
179,06/25/25 06:36:12 AM,6.674,,,,
180,06/25/25 08:36:12 AM,9.768,,,,
181,06/25/25 10:36:12 AM,14.325,,,,
182,06/25/25 12:36:12 PM,17.475,,,,
183,06/25/25 02:36:12 PM,21.187,,,,
184,06/25/25 04:36:12 PM,16.332,,,,
185,06/25/25 06:36:12 PM,14.709,,,,
186,06/25/25 08:36:12 PM,11.625,,,,
187,06/25/25 10:36:12 PM,8.082,,,,
188,06/26/25 12:36:12 AM,5.860,,,,
189,06/26/25 02:36:12 AM,4.623,,,,
190,06/26/25 04:36:12 AM,4.102,,,,
191,06/26/25 06:36:12 AM,3.472,,,,
192,06/26/25 08:36:12 AM,7.882,,,,
193,06/26/25 10:36:12 AM,14.900,,,,
194,06/26/25 12:36:12 PM,20.519,,,,
195,06/26/25 02:36:12 PM,24.448,,,,
196,06/26/25 04:36:12 PM,23.100,,,,
197,06/26/25 06:36:12 PM,21.855,,,,
198,06/26/25 08:36:12 PM,16.046,,,,
199,06/26/25 10:36:12 PM,11.916,,,,
200,06/27/25 12:36:12 AM,9.077,,,,
201,06/27/25 02:36:12 AM,7.481,,,,
202,06/27/25 04:36:12 AM,6.877,,,,
203,06/27/25 06:36:12 AM,6.166,,,,
204,06/27/25 08:36:12 AM,10.063,,,,
205,06/27/25 10:36:12 AM,18.236,,,,
206,06/27/25 12:36:12 PM,20.710,,,,
207,06/27/25 02:36:12 PM,21.378,,,,
208,06/27/25 04:36:12 PM,25.222,,,,
