"Plot Title: jp.te.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474966, SEN S/N: 21474966)","Coupler Detached (LGR S/N: 21474966)","Host Connected (LGR S/N: 21474966)","Coupler Attached (LGR S/N: 21474966)","End Of File (LGR S/N: 21474966)"
1,08/20/24 12:50:23 PM,30.558,,,,
2,08/20/24 12:50:41 PM,,Logged,,,
3,08/20/24 02:50:23 PM,19.853,,,,
4,08/20/24 04:50:23 PM,17.665,,,,
5,08/20/24 06:50:23 PM,17.379,,,,
6,08/20/24 08:50:23 PM,14.038,,,,
7,08/20/24 10:50:23 PM,11.819,,,,
8,08/21/24 12:50:23 AM,10.651,,,,
9,08/21/24 02:50:23 AM,9.768,,,,
10,08/21/24 04:50:23 AM,9.472,,,,
11,08/21/24 06:50:23 AM,8.879,,,,
12,08/21/24 08:50:23 AM,8.779,,,,
13,08/21/24 10:50:23 AM,11.139,,,,
14,08/21/24 12:50:23 PM,14.230,,,,
15,08/21/24 02:50:23 PM,14.996,,,,
16,08/21/24 04:50:23 PM,14.613,,,,
17,08/21/24 06:50:23 PM,10.063,,,,
18,08/21/24 08:50:23 PM,8.879,,,,
19,08/21/24 10:50:23 PM,7.983,,,,
20,08/22/24 12:50:23 AM,7.381,,,,
21,08/22/24 02:50:23 AM,7.179,,,,
22,08/22/24 04:50:23 AM,6.775,,,,
23,08/22/24 06:50:23 AM,6.573,,,,
24,08/22/24 08:50:23 AM,7.381,,,,
25,08/22/24 10:50:23 AM,8.779,,,,
26,08/22/24 12:50:23 PM,12.013,,,,
27,08/22/24 02:50:23 PM,12.013,,,,
28,08/22/24 04:50:23 PM,9.965,,,,
29,08/22/24 06:50:23 PM,8.680,,,,
30,08/22/24 08:50:23 PM,7.682,,,,
31,08/22/24 10:50:23 PM,7.179,,,,
32,08/23/24 12:50:23 AM,6.674,,,,
33,08/23/24 02:50:23 AM,6.268,,,,
34,08/23/24 04:50:23 AM,5.962,,,,
35,08/23/24 06:50:23 AM,5.757,,,,
36,08/23/24 08:50:23 AM,6.573,,,,
37,08/23/24 10:50:23 AM,9.275,,,,
38,08/23/24 12:50:23 PM,9.669,,,,
39,08/23/24 02:50:23 PM,9.373,,,,
40,08/23/24 04:50:23 PM,10.063,,,,
41,08/23/24 06:50:23 PM,9.768,,,,
42,08/23/24 08:50:23 PM,8.581,,,,
43,08/23/24 10:50:23 PM,7.582,,,,
44,08/24/24 12:50:23 AM,6.978,,,,
45,08/24/24 02:50:23 AM,6.370,,,,
46,08/24/24 04:50:23 AM,5.860,,,,
47,08/24/24 06:50:23 AM,5.450,,,,
48,08/24/24 08:50:23 AM,5.860,,,,
49,08/24/24 10:50:23 AM,7.582,,,,
50,08/24/24 12:50:23 PM,9.275,,,,
51,08/24/24 02:50:23 PM,9.571,,,,
52,08/24/24 04:50:23 PM,11.528,,,,
53,08/24/24 06:50:23 PM,10.161,,,,
54,08/24/24 08:50:23 PM,8.680,,,,
55,08/24/24 10:50:23 PM,7.983,,,,
56,08/25/24 12:50:23 AM,7.179,,,,
57,08/25/24 02:50:23 AM,6.775,,,,
58,08/25/24 04:50:23 AM,6.064,,,,
59,08/25/24 06:50:23 AM,5.141,,,,
60,08/25/24 08:50:23 AM,5.552,,,,
61,08/25/24 10:50:23 AM,8.879,,,,
62,08/25/24 12:50:23 PM,10.651,,,,
63,08/25/24 02:50:23 PM,15.187,,,,
64,08/25/24 04:50:23 PM,12.690,,,,
65,08/25/24 06:50:23 PM,10.651,,,,
66,08/25/24 08:50:23 PM,7.682,,,,
67,08/25/24 10:50:23 PM,7.280,,,,
68,08/26/24 12:50:23 AM,6.471,,,,
69,08/26/24 02:50:23 AM,6.064,,,,
70,08/26/24 04:50:23 AM,5.757,,,,
71,08/26/24 06:50:23 AM,5.347,,,,
72,08/26/24 08:50:23 AM,5.757,,,,
73,08/26/24 10:50:23 AM,7.882,,,,
74,08/26/24 12:50:23 PM,9.768,,,,
75,08/26/24 02:50:23 PM,11.041,,,,
76,08/26/24 04:50:23 PM,13.076,,,,
77,08/26/24 06:50:23 PM,12.013,,,,
78,08/26/24 08:50:23 PM,9.176,,,,
79,08/26/24 10:50:23 PM,7.682,,,,
80,08/27/24 12:50:23 AM,6.674,,,,
81,08/27/24 02:50:23 AM,6.064,,,,
82,08/27/24 04:50:23 AM,5.244,,,,
83,08/27/24 06:50:23 AM,4.519,,,,
84,08/27/24 08:50:23 AM,5.141,,,,
85,08/27/24 10:50:23 AM,8.282,,,,
86,08/27/24 12:50:23 PM,13.461,,,,
87,08/27/24 02:50:23 PM,17.760,,,,
88,08/27/24 04:50:23 PM,18.711,,,,
89,08/27/24 06:50:23 PM,17.855,,,,
90,08/27/24 08:50:23 PM,12.690,,,,
91,08/27/24 10:50:23 PM,10.259,,,,
92,08/28/24 12:50:23 AM,8.680,,,,
93,08/28/24 02:50:23 AM,7.582,,,,
94,08/28/24 04:50:23 AM,6.877,,,,
95,08/28/24 06:50:23 AM,6.268,,,,
96,08/28/24 08:50:23 AM,6.877,,,,
97,08/28/24 10:50:23 AM,9.571,,,,
98,08/28/24 12:50:23 PM,13.365,,,,
99,08/28/24 02:50:23 PM,16.999,,,,
100,08/28/24 04:50:23 PM,18.045,,,,
101,08/28/24 06:50:23 PM,15.187,,,,
102,08/28/24 08:50:23 PM,11.625,,,,
103,08/28/24 10:50:23 PM,10.063,,,,
104,08/29/24 12:50:23 AM,8.978,,,,
105,08/29/24 02:50:23 AM,8.082,,,,
106,08/29/24 04:50:23 AM,7.179,,,,
107,08/29/24 06:50:23 AM,6.573,,,,
108,08/29/24 08:50:23 AM,7.179,,,,
109,08/29/24 10:50:23 AM,10.553,,,,
110,08/29/24 12:50:23 PM,14.230,,,,
111,08/29/24 02:50:23 PM,14.230,,,,
112,08/29/24 04:50:23 PM,11.528,,,,
113,08/29/24 06:50:23 PM,10.651,,,,
114,08/29/24 08:50:23 PM,8.581,,,,
115,08/29/24 10:50:23 PM,7.179,,,,
116,08/30/24 12:50:23 AM,6.064,,,,
117,08/30/24 02:50:23 AM,5.141,,,,
118,08/30/24 04:50:23 AM,4.519,,,,
119,08/30/24 06:50:23 AM,3.893,,,,
120,08/30/24 08:50:23 AM,4.727,,,,
121,08/30/24 10:50:23 AM,8.680,,,,
122,08/30/24 12:50:23 PM,12.980,,,,
123,08/30/24 02:50:23 PM,17.475,,,,
124,08/30/24 04:50:23 PM,18.236,,,,
125,08/30/24 06:50:23 PM,14.613,,,,
126,08/30/24 08:50:23 PM,11.334,,,,
127,08/30/24 10:50:23 PM,9.275,,,,
128,08/31/24 12:50:23 AM,8.082,,,,
129,08/31/24 02:50:23 AM,7.280,,,,
130,08/31/24 04:50:23 AM,6.573,,,,
131,08/31/24 06:50:23 AM,5.962,,,,
132,08/31/24 08:50:23 AM,6.775,,,,
133,08/31/24 10:50:23 AM,10.553,,,,
134,08/31/24 12:50:23 PM,15.282,,,,
135,08/31/24 02:50:23 PM,17.950,,,,
136,08/31/24 04:50:23 PM,18.045,,,,
137,08/31/24 06:50:23 PM,16.046,,,,
138,08/31/24 08:50:23 PM,12.013,,,,
139,08/31/24 10:50:23 PM,9.965,,,,
140,09/01/24 12:50:23 AM,8.581,,,,
141,09/01/24 02:50:23 AM,7.582,,,,
142,09/01/24 04:50:23 AM,6.775,,,,
143,09/01/24 06:50:23 AM,6.064,,,,
144,09/01/24 08:50:23 AM,6.674,,,,
145,09/01/24 10:50:23 AM,10.651,,,,
146,09/01/24 12:50:23 PM,15.951,,,,
147,09/01/24 02:50:23 PM,20.043,,,,
148,09/01/24 04:50:23 PM,18.996,,,,
149,09/01/24 06:50:23 PM,16.427,,,,
150,09/01/24 08:50:23 PM,12.497,,,,
151,09/01/24 10:50:23 PM,10.455,,,,
152,09/02/24 12:50:23 AM,9.176,,,,
153,09/02/24 02:50:23 AM,8.182,,,,
154,09/02/24 04:50:23 AM,7.481,,,,
155,09/02/24 06:50:23 AM,6.978,,,,
156,09/02/24 08:50:23 AM,7.582,,,,
157,09/02/24 10:50:23 AM,11.041,,,,
158,09/02/24 12:50:23 PM,15.091,,,,
159,09/02/24 02:50:23 PM,18.996,,,,
160,09/02/24 04:50:23 PM,15.473,,,,
161,09/02/24 06:50:23 PM,14.325,,,,
162,09/02/24 08:50:23 PM,11.722,,,,
163,09/02/24 10:50:23 PM,9.866,,,,
164,09/03/24 12:50:23 AM,8.779,,,,
165,09/03/24 02:50:23 AM,7.983,,,,
166,09/03/24 04:50:23 AM,7.481,,,,
167,09/03/24 06:50:23 AM,6.978,,,,
168,09/03/24 08:50:23 AM,7.682,,,,
169,09/03/24 10:50:23 AM,11.236,,,,
170,09/03/24 12:50:23 PM,16.141,,,,
171,09/03/24 02:50:23 PM,19.282,,,,
172,09/03/24 04:50:23 PM,20.329,,,,
173,09/03/24 06:50:23 PM,18.711,,,,
174,09/03/24 08:50:23 PM,14.517,,,,
175,09/03/24 10:50:23 PM,12.401,,,,
176,09/04/24 12:50:23 AM,11.041,,,,
177,09/04/24 02:50:23 AM,10.063,,,,
178,09/04/24 04:50:23 AM,8.779,,,,
179,09/04/24 06:50:23 AM,7.983,,,,
180,09/04/24 08:50:23 AM,8.581,,,,
181,09/04/24 10:50:23 AM,11.236,,,,
182,09/04/24 12:50:23 PM,9.866,,,,
183,09/04/24 02:50:23 PM,10.651,,,,
184,09/04/24 04:50:23 PM,12.594,,,,
185,09/04/24 06:50:23 PM,12.207,,,,
186,09/04/24 08:50:23 PM,9.472,,,,
187,09/04/24 10:50:23 PM,7.882,,,,
188,09/05/24 12:50:23 AM,5.552,,,,
189,09/05/24 02:50:23 AM,4.831,,,,
190,09/05/24 04:50:23 AM,4.831,,,,
191,09/05/24 06:50:23 AM,4.207,,,,
192,09/05/24 08:50:23 AM,4.415,,,,
193,09/05/24 10:50:23 AM,5.962,,,,
194,09/05/24 12:50:23 PM,10.259,,,,
195,09/05/24 02:50:23 PM,13.558,,,,
196,09/05/24 04:50:23 PM,13.654,,,,
197,09/05/24 06:50:23 PM,10.161,,,,
198,09/05/24 08:50:23 PM,7.079,,,,
199,09/05/24 10:50:23 PM,5.347,,,,
200,09/06/24 12:50:23 AM,4.207,,,,
201,09/06/24 02:50:23 AM,3.472,,,,
202,09/06/24 04:50:23 AM,2.837,,,,
203,09/06/24 06:50:23 AM,2.303,,,,
204,09/06/24 08:50:23 AM,3.155,,,,
205,09/06/24 10:50:23 AM,10.063,,,,
206,09/06/24 12:50:23 PM,16.237,,,,
207,09/06/24 02:50:23 PM,20.138,,,,
208,09/06/24 04:50:23 PM,20.138,,,,
209,09/06/24 06:50:23 PM,15.855,,,,
210,09/06/24 08:50:23 PM,10.748,,,,
211,09/06/24 10:50:23 PM,8.581,,,,
212,09/07/24 12:50:23 AM,7.381,,,,
213,09/07/24 02:50:23 AM,6.471,,,,
214,09/07/24 04:50:23 AM,5.757,,,,
215,09/07/24 06:50:23 AM,5.347,,,,
216,09/07/24 08:50:23 AM,6.268,,,,
217,09/07/24 10:50:23 AM,10.846,,,,
218,09/07/24 12:50:23 PM,15.760,,,,
219,09/07/24 02:50:23 PM,17.475,,,,
220,09/07/24 04:50:23 PM,17.094,,,,
221,09/07/24 06:50:23 PM,13.461,,,,
222,09/07/24 08:50:23 PM,10.259,,,,
223,09/07/24 10:50:23 PM,8.680,,,,
224,09/08/24 12:50:23 AM,7.481,,,,
225,09/08/24 02:50:23 AM,6.978,,,,
226,09/08/24 04:50:23 AM,6.166,,,,
227,09/08/24 06:50:23 AM,5.552,,,,
228,09/08/24 08:50:23 AM,6.573,,,,
229,09/08/24 10:50:23 AM,11.625,,,,
230,09/08/24 12:50:23 PM,14.709,,,,
231,09/08/24 02:50:23 PM,15.664,,,,
232,09/08/24 04:50:23 PM,14.517,,,,
233,09/08/24 06:50:23 PM,12.207,,,,
234,09/08/24 08:50:23 PM,9.373,,,,
235,09/08/24 10:50:23 PM,8.182,,,,
236,09/09/24 12:50:23 AM,7.280,,,,
237,09/09/24 02:50:23 AM,6.471,,,,
238,09/09/24 04:50:23 AM,5.962,,,,
239,09/09/24 06:50:23 AM,5.347,,,,
240,09/09/24 08:50:23 AM,6.471,,,,
241,09/09/24 10:50:23 AM,11.139,,,,
242,09/09/24 12:50:23 PM,14.900,,,,
243,09/09/24 02:50:23 PM,15.855,,,,
244,09/09/24 04:50:23 PM,13.076,,,,
245,09/09/24 06:50:23 PM,10.651,,,,
246,09/09/24 08:50:23 PM,8.978,,,,
247,09/09/24 10:50:23 PM,7.682,,,,
248,09/10/24 12:50:23 AM,6.978,,,,
249,09/10/24 02:50:23 AM,6.064,,,,
250,09/10/24 04:50:23 AM,5.552,,,,
251,09/10/24 06:50:23 AM,5.037,,,,
252,09/10/24 08:50:23 AM,6.064,,,,
253,09/10/24 10:50:23 AM,9.866,,,,
254,09/10/24 12:50:23 PM,10.063,,,,
255,09/10/24 02:50:23 PM,12.497,,,,
256,09/10/24 04:50:23 PM,8.680,,,,
257,09/10/24 06:50:23 PM,6.978,,,,
258,09/10/24 08:50:23 PM,5.450,,,,
259,09/10/24 10:50:23 PM,4.934,,,,
260,09/11/24 12:50:23 AM,4.623,,,,
261,09/11/24 02:50:23 AM,3.788,,,,
262,09/11/24 04:50:23 AM,3.367,,,,
263,09/11/24 06:50:23 AM,3.155,,,,
264,09/11/24 08:50:23 AM,4.623,,,,
265,09/11/24 10:50:23 AM,8.779,,,,
266,09/11/24 12:50:23 PM,13.846,,,,
267,09/11/24 02:50:23 PM,17.379,,,,
268,09/11/24 04:50:23 PM,12.497,,,,
269,09/11/24 06:50:23 PM,8.282,,,,
270,09/11/24 08:50:23 PM,6.471,,,,
271,09/11/24 10:50:23 PM,5.347,,,,
272,09/12/24 12:50:23 AM,4.831,,,,
273,09/12/24 02:50:23 AM,4.207,,,,
274,09/12/24 04:50:23 AM,3.998,,,,
275,09/12/24 06:50:23 AM,3.788,,,,
276,09/12/24 08:50:23 AM,4.519,,,,
277,09/12/24 10:50:23 AM,9.176,,,,
278,09/12/24 12:50:23 PM,13.365,,,,
279,09/12/24 02:50:23 PM,16.618,,,,
280,09/12/24 04:50:23 PM,15.282,,,,
281,09/12/24 06:50:23 PM,11.916,,,,
282,09/12/24 08:50:23 PM,9.077,,,,
283,09/12/24 10:50:23 PM,7.481,,,,
284,09/13/24 12:50:23 AM,6.268,,,,
285,09/13/24 02:50:23 AM,5.757,,,,
286,09/13/24 04:50:23 AM,5.037,,,,
287,09/13/24 06:50:23 AM,4.415,,,,
288,09/13/24 08:50:23 AM,5.037,,,,
289,09/13/24 10:50:23 AM,9.077,,,,
290,09/13/24 12:50:23 PM,13.846,,,,
291,09/13/24 02:50:23 PM,17.094,,,,
292,09/13/24 04:50:23 PM,16.999,,,,
293,09/13/24 06:50:23 PM,13.750,,,,
294,09/13/24 08:50:23 PM,9.571,,,,
295,09/13/24 10:50:23 PM,7.882,,,,
296,09/14/24 12:50:23 AM,6.471,,,,
297,09/14/24 02:50:23 AM,5.552,,,,
298,09/14/24 04:50:23 AM,4.934,,,,
299,09/14/24 06:50:23 AM,4.415,,,,
300,09/14/24 08:50:23 AM,5.141,,,,
301,09/14/24 10:50:23 AM,9.373,,,,
302,09/14/24 12:50:23 PM,14.421,,,,
303,09/14/24 02:50:23 PM,17.950,,,,
304,09/14/24 04:50:23 PM,17.284,,,,
305,09/14/24 06:50:23 PM,14.038,,,,
306,09/14/24 08:50:23 PM,10.259,,,,
307,09/14/24 10:50:23 PM,8.382,,,,
308,09/15/24 12:50:23 AM,7.079,,,,
309,09/15/24 02:50:23 AM,6.268,,,,
310,09/15/24 04:50:23 AM,5.655,,,,
311,09/15/24 06:50:23 AM,4.831,,,,
312,09/15/24 08:50:23 AM,5.552,,,,
313,09/15/24 10:50:23 AM,10.846,,,,
314,09/15/24 12:50:23 PM,11.528,,,,
315,09/15/24 02:50:23 PM,14.804,,,,
316,09/15/24 04:50:23 PM,8.978,,,,
317,09/15/24 06:50:23 PM,9.077,,,,
318,09/15/24 08:50:23 PM,7.179,,,,
319,09/15/24 10:50:23 PM,6.166,,,,
320,09/16/24 12:50:23 AM,5.655,,,,
321,09/16/24 02:50:23 AM,5.037,,,,
322,09/16/24 04:50:23 AM,4.207,,,,
323,09/16/24 06:50:23 AM,3.683,,,,
324,09/16/24 08:50:23 AM,4.519,,,,
325,09/16/24 10:50:23 AM,9.472,,,,
326,09/16/24 12:50:23 PM,12.690,,,,
327,09/16/24 02:50:23 PM,11.722,,,,
328,09/16/24 04:50:23 PM,14.613,,,,
329,09/16/24 06:50:23 PM,11.722,,,,
330,09/16/24 08:50:23 PM,8.680,,,,
331,09/16/24 10:50:23 PM,6.978,,,,
332,09/17/24 12:50:23 AM,6.166,,,,
333,09/17/24 02:50:23 AM,5.450,,,,
334,09/17/24 04:50:23 AM,4.934,,,,
335,09/17/24 06:50:23 AM,4.727,,,,
336,09/17/24 08:50:23 AM,5.141,,,,
337,09/17/24 10:50:23 AM,8.779,,,,
338,09/17/24 12:50:23 PM,11.528,,,,
339,09/17/24 02:50:23 PM,9.768,,,,
340,09/17/24 04:50:23 PM,6.268,,,,
341,09/17/24 06:50:23 PM,6.268,,,,
342,09/17/24 08:50:23 PM,3.578,,,,
343,09/17/24 10:50:23 PM,2.730,,,,
344,09/18/24 12:50:23 AM,2.410,,,,
345,09/18/24 02:50:23 AM,1.872,,,,
346,09/18/24 04:50:23 AM,1.330,,,,
347,09/18/24 06:50:23 AM,0.893,,,,
348,09/18/24 08:50:23 AM,1.003,,,,
349,09/18/24 10:50:23 AM,4.831,,,,
350,09/18/24 12:50:23 PM,9.176,,,,
351,09/18/24 02:50:23 PM,13.558,,,,
352,09/18/24 04:50:23 PM,12.594,,,,
353,09/18/24 06:50:23 PM,9.176,,,,
354,09/18/24 08:50:23 PM,6.064,,,,
355,09/18/24 10:50:23 PM,4.415,,,,
356,09/19/24 12:50:23 AM,3.578,,,,
357,09/19/24 02:50:23 AM,2.837,,,,
358,09/19/24 04:50:23 AM,2.517,,,,
359,09/19/24 06:50:23 AM,2.088,,,,
360,09/19/24 08:50:23 AM,2.837,,,,
361,09/19/24 10:50:23 AM,6.877,,,,
362,09/19/24 12:50:23 PM,12.401,,,,
363,09/19/24 02:50:23 PM,16.523,,,,
364,09/19/24 04:50:23 PM,16.808,,,,
365,09/19/24 06:50:23 PM,13.173,,,,
366,09/19/24 08:50:23 PM,8.978,,,,
367,09/19/24 10:50:23 PM,7.079,,,,
368,09/20/24 12:50:23 AM,5.860,,,,
369,09/20/24 02:50:23 AM,5.244,,,,
370,09/20/24 04:50:23 AM,5.244,,,,
371,09/20/24 06:50:23 AM,4.623,,,,
372,09/20/24 08:50:23 AM,5.037,,,,
373,09/20/24 10:50:23 AM,10.063,,,,
374,09/20/24 12:50:23 PM,14.804,,,,
375,09/20/24 02:50:23 PM,15.378,,,,
376,09/20/24 04:50:23 PM,14.038,,,,
377,09/20/24 06:50:23 PM,12.013,,,,
378,09/20/24 08:50:23 PM,8.680,,,,
379,09/20/24 10:50:23 PM,7.079,,,,
380,09/21/24 12:50:23 AM,6.064,,,,
381,09/21/24 02:50:23 AM,5.141,,,,
382,09/21/24 04:50:23 AM,4.311,,,,
383,09/21/24 06:50:23 AM,3.683,,,,
384,09/21/24 08:50:23 AM,4.311,,,,
385,09/21/24 10:50:23 AM,9.275,,,,
386,09/21/24 12:50:23 PM,14.134,,,,
387,09/21/24 02:50:23 PM,14.421,,,,
388,09/21/24 04:50:23 PM,9.669,,,,
389,09/21/24 06:50:23 PM,6.674,,,,
