"Plot Title: jp.tw.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20578496, SEN S/N: 20578496)","Bad Battery (LGR S/N: 20578496)","Coupler Detached (LGR S/N: 20578496)","Good Battery (LGR S/N: 20578496)","Coupler Attached (LGR S/N: 20578496)","Host Connected (LGR S/N: 20578496)","End Of File (LGR S/N: 20578496)"
1,08/20/24 12:42:02 PM,30.760,Logged,,,,,
2,08/20/24 12:42:23 PM,,,Logged,,,,
3,08/20/24 02:42:02 PM,22.621,,,Logged,,,
4,08/20/24 04:42:02 PM,19.948,,,,,,
5,08/20/24 06:42:02 PM,18.140,,,,,,
6,08/20/24 08:42:02 PM,14.038,,,,,,
7,08/20/24 10:42:02 PM,11.625,,,,,,
8,08/21/24 12:42:02 AM,10.357,,,,,,
9,08/21/24 02:42:02 AM,9.472,,,,,,
10,08/21/24 04:42:02 AM,9.275,,,,,,
11,08/21/24 06:42:02 AM,9.176,,,,,,
12,08/21/24 08:42:02 AM,9.176,,,,,,
13,08/21/24 10:42:02 AM,12.497,,,,,,
14,08/21/24 12:42:02 PM,16.618,,,,,,
15,08/21/24 02:42:02 PM,16.808,,,,,,
16,08/21/24 04:42:02 PM,16.332,,,,,,
17,08/21/24 06:42:02 PM,11.722,,,,,,
18,08/21/24 08:42:02 PM,10.161,,,,,,
19,08/21/24 10:42:02 PM,8.779,,,,,,
20,08/22/24 12:42:02 AM,8.082,,,,,,
21,08/22/24 02:42:02 AM,7.983,,,,,,
22,08/22/24 04:42:02 AM,7.481,,,,,,
23,08/22/24 06:42:02 AM,6.978,,,,,,
24,08/22/24 08:42:02 AM,7.782,,,,,,
25,08/22/24 10:42:02 AM,9.275,,,,,,
26,08/22/24 12:42:02 PM,13.750,,,,,,
27,08/22/24 02:42:02 PM,13.558,,,,,,
28,08/22/24 04:42:02 PM,10.748,,,,,,
29,08/22/24 06:42:02 PM,9.275,,,,,,
30,08/22/24 08:42:02 PM,8.382,,,,,,
31,08/22/24 10:42:02 PM,7.582,,,,,,
32,08/23/24 12:42:02 AM,6.775,,,,,,
33,08/23/24 02:42:02 AM,6.370,,,,,,
34,08/23/24 04:42:02 AM,6.064,,,,,,
35,08/23/24 06:42:02 AM,5.757,,,,,,
36,08/23/24 08:42:02 AM,6.978,,,,,,
37,08/23/24 10:42:02 AM,10.846,,,,,,
38,08/23/24 12:42:02 PM,11.139,,,,,,
39,08/23/24 02:42:02 PM,11.139,,,,,,
40,08/23/24 04:42:02 PM,11.722,,,,,,
41,08/23/24 06:42:02 PM,10.651,,,,,,
42,08/23/24 08:42:02 PM,8.879,,,,,,
43,08/23/24 10:42:02 PM,7.882,,,,,,
44,08/24/24 12:42:02 AM,7.079,,,,,,
45,08/24/24 02:42:02 AM,6.471,,,,,,
46,08/24/24 04:42:02 AM,5.962,,,,,,
47,08/24/24 06:42:02 AM,5.450,,,,,,
48,08/24/24 08:42:02 AM,6.064,,,,,,
49,08/24/24 10:42:02 AM,9.275,,,,,,
50,08/24/24 12:42:02 PM,10.748,,,,,,
51,08/24/24 02:42:02 PM,11.819,,,,,,
52,08/24/24 04:42:02 PM,13.269,,,,,,
53,08/24/24 06:42:02 PM,11.334,,,,,,
54,08/24/24 08:42:02 PM,9.176,,,,,,
55,08/24/24 10:42:02 PM,8.382,,,,,,
56,08/25/24 12:42:02 AM,7.481,,,,,,
57,08/25/24 02:42:02 AM,7.079,,,,,,
58,08/25/24 04:42:02 AM,6.268,,,,,,
59,08/25/24 06:42:02 AM,5.244,,,,,,
